,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,2.896975050531123,2.5839005635037133,3.312687515546024,2.7278819995733286,3.216262094274392,3.427075411886996,3.1176945891971704,3.137055174631404,3.1248000837287906,2.39854424127261,2.9229493209725614,3.2071066531684735,3.063551910079247,2.968422371955818,3.282895526505363,3.389649251758442,3.3282529575858857,2.781612672809063,3.29387769205978,2.787068654506029,2.917710470828587,2.4346252722515573,3.020284929817596,3.3807423647870767,2.7422148100117227,3.0828411686149675,3.0781025668182034,2.756978746816074,2.921993115355035,3.0818245567038174,3.1168387106674347,2.954822685188968,3.007865050814684,2.6711034815887857,3.2222822863942184,3.224869153337965,3.1339565633816875,2.936519927766383,2.893438796598168,3.1586527301881424,2.636580703211358
Albanian,2.896975050531123,0,2.515137977781178,3.075408164437629,2.7124072887975097,3.075011850210704,3.240075345107612,2.982303411891593,3.063449558558067,3.028766368807926,2.952336943160612,3.1563327242219845,2.9711130767904192,2.7550751516114746,3.05626704019381,3.0816716668972206,3.1860244076327597,3.148739300725348,2.823419842678826,2.945430432291448,2.70805206711524,2.9577764628522116,2.448360573963567,2.9173774383160307,3.096696026648111,2.6092474534350933,3.1426643647030064,2.8258512230040234,2.6651274653239594,2.871487993727868,2.896313090055599,2.9636993220931322,2.894324223689408,2.944609894173797,2.3963847201211586,3.0762056792717583,3.084746242279625,2.9921026288723236,3.046733048511012,2.83580874968425,2.9309793994232045,2.6069053559966098
Armenian,2.5839005635037133,2.515137977781178,0,2.746263637216217,2.6546636783718185,2.7267587724808053,2.77910294214167,2.7119802239464486,2.7396325710359433,2.6938220416700815,2.7047397091106844,2.8084962228681016,2.6440594766999044,2.5250448346927072,2.76498452637389,2.7055371102350354,2.8415520884582275,2.801857055975225,2.547802021013847,2.6173057419011836,2.661748485880777,2.7869791779286714,2.508557196898932,2.656518215660438,2.707851914305506,2.5554322804366905,2.6519686064871464,2.5425479133062945,2.5470351107791966,2.778736737585661,2.6715207011336095,2.703545820961696,2.6877979207288187,2.6760633665887203,2.416217985375206,2.7203769542906913,2.7889975918716057,2.70784360039748,2.6583210576674765,2.6474746524966317,2.661064000569173,2.5952438294586804
Bengali,3.312687515546024,3.075408164437629,2.746263637216217,0,2.9120252225970717,3.247675141480227,3.4157526320147764,3.2239613769835604,3.1761174830599885,3.4298121102284207,3.28347798689282,3.3431122871104044,3.2672830101912633,3.1615551122409054,3.3029833418363292,3.284147040302083,3.100502819364799,3.0079591078821335,3.128380422376855,3.3486525735076724,2.8466096570083295,3.1422129355033612,2.561451204595941,3.113651547300075,3.093012008377947,2.533934112271105,3.4376410149301817,3.218920120775838,2.9525323447997653,2.9794717217032805,3.169449590650767,3.1912313285555673,3.085362599900237,3.143699946182863,2.777146803402958,3.2686901628914518,3.3461988269975933,3.1645575918351443,3.2546201959207686,2.998788478552581,2.8947341774785604,2.7641612770730806
Bosnian,2.7278819995733286,2.7124072887975097,2.6546636783718185,2.9120252225970717,0,2.4639877607346166,2.989462152408447,2.04743111840764,2.5453647637630046,2.7936434841034603,2.859435754707468,2.9946991429834044,2.76056056520336,2.7052881496987613,2.9348892071968864,2.9165292910043514,3.0113330000308602,2.9847866218958448,2.717024543717754,2.84051284166583,2.6997641603436335,2.780055023609675,2.414749948416047,2.16052140720168,2.9344201263118084,2.6979930908578855,2.8383777000659074,2.7532814773207526,2.727842684932757,2.4469608338388698,2.816835971711731,2.8274281303627466,2.3063421546032985,1.7248590672963655,2.60865685651544,2.4121252613403192,2.449329041027494,2.8200428780023503,2.8665263028876833,2.28559751155928,2.818290784267746,2.730585389232348
Bulgarian,3.216262094274392,3.075011850210704,2.7267587724808053,3.247675141480227,2.4639877607346166,0,3.336245656797083,2.5784270862369905,2.8858581121046853,3.3281075817119152,3.2413255778601124,3.236865806244433,3.187759078195549,3.1066088424186082,3.304117840826165,3.2125489449222426,3.3633860076344706,3.31023350169647,3.0833651741644643,3.296515829139966,2.7497587923262587,3.03409796488901,2.4523248747312127,2.4593434227556834,3.3428170061061366,2.8629393497302074,3.351791599397528,3.1592917156847182,2.9609365727652124,2.681285529932571,3.1747864605655156,3.126780135370918,2.708434616548404,2.613293784804824,2.7946792077384606,2.8981072961819327,2.85183536428304,3.1030422439300263,3.1946387362911546,2.681970351157729,3.1161786035980072,2.6854776683542156
Catalan,3.427075411886996,3.240075345107612,2.77910294214167,3.4157526320147764,2.989462152408447,3.336245656797083,0,3.2879325196570504,3.305442474739399,3.576015283023552,3.344640291762921,3.341124665278005,3.1897343827559594,2.9413119737902322,3.3763509125506457,3.3920984183144824,3.525918650230283,3.4360299065768913,3.1898283246052506,3.5249042800511345,2.583514224626812,3.1807832858586704,2.568140438823393,3.2016507217747634,3.5172044813238865,2.9900203195563093,3.4932269225761106,3.4383117556079674,3.051826016597184,3.0769993630060255,2.8845370515737105,3.0934743781666567,3.1856063658767457,3.2504541945299494,2.9701734764766825,3.42333968865389,3.4511331183378835,2.811194568380034,3.339978216141733,3.1184752893428334,3.3156234631467223,2.82404857310905
Croatian,3.1176945891971704,2.982303411891593,2.7119802239464486,3.2239613769835604,2.04743111840764,2.5784270862369905,3.2879325196570504,0,2.7152646293067844,3.1732353052926228,3.1689439942545863,3.2182964317226967,3.093011305664738,3.0473828586220413,3.2317825688159663,3.2038738662427346,3.346266041501316,3.307681588361293,3.0219394201039003,3.204674609637165,2.779195058563249,3.0702354035725286,2.443079651853718,2.4510750217029855,3.2613930045267283,2.7990156999457745,3.277623432441601,3.044609955098863,2.907616451780005,2.6397261487730734,3.1384457168159057,3.0591890015919123,2.6448742117608437,2.100314932394997,2.747782457838856,2.667439465838307,2.587870835440285,3.077981605806706,3.137237620540034,2.508388929848505,3.0993905342038683,2.7133074282854714
Czech,3.137055174631404,3.063449558558067,2.7396325710359433,3.1761174830599885,2.5453647637630046,2.8858581121046853,3.305442474739399,2.7152646293067844,0,3.1771453007219543,3.1641054343204087,3.180621558659369,3.143120422857205,3.0903202078757586,3.3195059142017134,3.2309955510679114,3.363201163688359,3.315321647520141,3.0489071971339547,3.2243076778092736,2.872319767176809,3.0067150298504384,2.552005849182722,2.788479854904521,3.2939543142055188,2.8161359857434323,3.260945375415665,3.0700581203619044,2.947109147614374,2.6593940664514037,3.139665461666542,3.099319048435824,2.7474150324194353,2.682026377067651,2.7598780618340277,2.519208725022624,2.826472509861072,3.051878982685301,3.156168727401038,2.625109032119824,3.0792598584704858,2.74751306202238
Danish,3.1248000837287906,3.028766368807926,2.6938220416700815,3.4298121102284207,2.7936434841034603,3.3281075817119152,3.576015283023552,3.1732353052926228,3.1771453007219543,0,3.023348906995527,3.097770596597532,3.309111626293905,3.204622812294851,3.102268032460602,3.3689998735743747,3.4869010636926827,3.3747006970074853,2.802654695917635,3.413205830456662,2.7598152751213685,3.103601612080756,2.5555925250587688,3.1202267526584584,3.4811726803813507,2.7470756833436365,3.0791994932275464,3.2565236773057933,2.8802799220687634,2.954249561072524,3.211581092251326,3.1923703757257074,3.0629511818205684,3.1358628815901515,2.717373468353476,3.3192589109621387,3.3470342950456202,3.1704191220821065,2.91021457580685,2.970434519615695,3.19393784729584,2.6344912295222676
