,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3.258857946304987,2.8784665249056394,3.6844250195315937,3.0004199859255665,3.466267940121661,3.700388991863399,3.358521826491023,3.280766466761214,3.207084570165641,2.4410657798806223,3.0624601208896776,3.5051338562745227,3.411982043137316,3.091069380269464,3.5696381771102628,3.7942957062652294,3.7401832452357637,3.0646757043192436,3.5233968208561723,3.0279953644041333,3.16531884171103,2.7620991428102655,3.3686797040319183,3.7382285788196947,2.957214621931489,3.328042643830307,3.409157790024048,3.0763652401938137,3.165011249885689,3.3053829225282643,3.4712146614393804,3.2408807944114506,3.3404803442105346,2.938409573601037,3.4277213438250467,3.526993682784964,3.342287731717892,3.184298445506121,3.2147234677027074,3.48000626809254,2.765543255317633
Albanian,3.258857946304987,0,2.8623259749398766,3.4446401707975443,3.009653772699495,3.3246268207774428,3.4576910146662203,3.249540614899329,3.3011905073769485,3.3305833805216274,3.2475144879433757,3.435482416981845,3.185806655268449,3.1457028664828295,3.351183753739681,3.386916075779349,3.6629449698769356,3.554029093858959,3.2492548715161047,3.1955550314542296,2.8991205179341546,3.211676326389521,2.7828169185913234,3.231258155663861,3.4830659092017116,2.8988861357377074,3.5257947725345504,3.186113974663487,3.040654190483886,3.1690446683711917,3.11097690793893,3.3063980947688947,3.1942206103889035,3.294221361941348,2.7344811639643565,3.349766293599717,3.3702425170606434,3.1690513664276505,3.465899597834908,3.1590624717144915,3.293213706329801,2.7848932637729886
Armenian,2.8784665249056394,2.8623259749398766,0,3.0769404412033166,2.9644198305280685,2.970548126586948,3.089909318239692,2.931254364272967,2.9912397065655423,2.963853880526594,2.9738774387918814,3.1114257151153666,2.9517309491449426,2.8692523409926753,2.981381547881854,2.985915375847985,3.25115672481983,3.215291628732354,2.8790081585377196,2.848860613877551,2.9218009681623163,3.0253171921426074,2.784192387839914,2.9854453490164117,3.0823424681430027,2.879136077386877,3.006507242854956,2.8750821168248852,2.816716428141476,3.053135037694045,2.9254739804006205,3.0248339992576763,2.968515472079817,2.987514791789393,2.7377200733864,2.9365335247505167,3.1007319467275725,2.985050792068081,3.0109291958445397,2.9839260599513455,3.0316724014953236,2.7897773436128004
Bengali,3.6844250195315937,3.4446401707975443,3.0769404412033166,0,3.195051150342164,3.4936352256915977,3.744559546689446,3.467433376980906,3.4272815485159254,3.7442838141248442,3.559208828695367,3.6417174432581056,3.596854168238301,3.5267308374576585,3.58150033244317,3.6302431722520265,3.2041727064824497,3.061209869882147,3.5513676211755545,3.667763009955023,3.109269199058744,3.409783454657965,2.8680124009809824,3.3956692170208997,3.2311112887974187,2.6270519141476756,3.836791624258631,3.525026965881483,3.2680001082048187,3.2400495523488306,3.4650541428055477,3.5897521253741402,3.4223427968801956,3.470655903779366,3.0454730233186935,3.519843772368425,3.5711393238555242,3.4236396899633927,3.6370313867760404,3.3388460386281142,3.0641064118721495,3.0132620004350525
Bosnian,3.0004199859255665,3.009653772699495,2.9644198305280685,3.195051150342164,0,2.493372451305503,3.2538105275090348,1.8819469666904654,2.5472119469194574,3.10452731612967,3.1102943609927847,3.3334939902841088,3.1247865589756003,3.003589971440618,3.142347261300931,3.194797303893957,3.347903445554368,3.3648639283947896,3.0049497053229532,3.120102254467984,2.8949001562545904,2.9110355490703386,2.5947648954908957,2.224183879028252,3.2690928859530466,2.9877508540025945,3.1728996214705503,3.051834356639703,2.933680141679532,2.5297613282241747,3.080805631008631,3.092070672382692,2.385399959546749,1.6762678110530636,2.846024556464348,2.4090655238438776,2.5552012718810775,3.0407872700394387,3.1687075758656933,2.35122244398057,3.1898311789631686,2.964261379363595
Bulgarian,3.466267940121661,3.3246268207774428,2.970548126586948,3.4936352256915977,2.493372451305503,0,3.5432892526904287,2.641127420496463,2.952006479951902,3.603136996425504,3.4489386170899428,3.5586412597972035,3.5155432353145684,3.352778718914028,3.543087206546899,3.479196717243326,3.6431526893107686,3.5861679367702286,3.3825364611582716,3.534360394342544,2.967176251559715,3.2364172523894035,2.645340426508116,2.5316546015142762,3.628163744130002,3.0492411391074206,3.7211606052428534,3.476644491640223,3.1847104391331222,2.787887731289984,3.3654802284124075,3.412322084169373,2.8444188163505935,2.7079742347248676,2.997938690551182,2.935683460475177,3.034532016935457,3.250369311343249,3.5093649355732106,2.842477918116534,3.388232053006186,2.864675072251816
Catalan,3.700388991863399,3.4576910146662203,3.089909318239692,3.744559546689446,3.2538105275090348,3.5432892526904287,0,3.4943171166402074,3.4939196649686193,3.7785820123593394,3.5561013430307806,3.571874387915556,3.3295569865719763,2.9428004774841314,3.6273535888132318,3.649365076417474,3.907701989374003,3.810150809201112,3.4999693660821602,3.7412808747354585,2.6843577267486456,3.478681671606937,2.8730834830761074,3.491221092006477,3.829326331989975,3.211013537026633,3.8299072250227817,3.7000589386177056,3.296753992644942,3.282778246679328,2.9417048655131772,3.323572136669851,3.4657673028781057,3.538355637829076,3.1583723856596717,3.5936156828310852,3.7207265775174845,2.823042969855627,3.6266992203939528,3.4093220802131516,3.6563592822141633,3.0161469583455065
Croatian,3.358521826491023,3.249540614899329,2.931254364272967,3.467433376980906,1.8819469666904654,2.641127420496463,3.4943171166402074,0,2.7207973446787515,3.4354140861981675,3.3634650375925914,3.527762168593229,3.415740694027362,3.2840755991518935,3.434144039663459,3.4303709518336154,3.5926193242393842,3.5940957531534186,3.295146679101765,3.408634347307916,2.9357503703864967,3.1398929395740085,2.5340307727437987,2.5363986625359725,3.529380339903017,3.0218614103413772,3.5671340838561174,3.3391781852291715,3.07435598910496,2.657323371549121,3.367268617656806,3.2957948529125187,2.6900475582402237,2.0635526063320047,2.9432857815093416,2.6823427491630722,2.669744694037078,3.221868716357933,3.421399923966992,2.590844859418986,3.4095106931291603,2.8728974757623713
Czech,3.280766466761214,3.3011905073769485,2.9912397065655423,3.4272815485159254,2.5472119469194574,2.952006479951902,3.4939196649686193,2.7207973446787515,0,3.354408963097131,3.3358974643443835,3.363525490737904,3.362898977260646,3.285749696061417,3.512511111686462,3.4909981244669925,3.580232611407187,3.5587928178292443,3.28926929714219,3.3937947408727895,3.0699336081290713,3.0818440362606707,2.6856850326925596,2.893562398965782,3.5012719913288173,3.014267015207542,3.5091082539306484,3.298959917355205,3.117253203118681,2.657431907036922,3.3567915995843585,3.3266420595834694,2.787110319753527,2.716753996316172,2.9261119095086565,2.4278109058679473,2.938871382856215,3.215118986034675,3.40858963526079,2.6656893823264665,3.3200008416555358,2.8608413414043734
Danish,3.207084570165641,3.3305833805216274,2.963853880526594,3.7442838141248442,3.10452731612967,3.603136996425504,3.7785820123593394,3.4354140861981675,3.354408963097131,0,3.193467289178429,3.1303912109454735,3.5304569644394563,3.441722667984843,3.152786168155877,3.643722255187713,3.8209412487855174,3.746780474926073,2.952165184937215,3.461317076586516,3.0466817715924415,3.360966198598432,2.8594407523167016,3.4702952256265736,3.804657462464436,2.9791831387313676,3.273693905271769,3.497885973344696,3.1192469202556263,3.2020708520482657,3.320241612351021,3.5537989524540534,3.3640699733633572,3.487593252633539,2.957710990181618,3.524794260392849,3.6183103508453525,3.3262209885407867,3.0803209262428806,3.3074861271720426,3.4980230624531745,2.749545144194921
