,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3.3361283443028276,2.9522437746779375,3.7057259476463864,3.0618916642575904,3.476876508808306,3.6868979846541774,3.3903387442353132,3.3435082684748814,3.2370459350306873,2.514970323230561,3.118694504968291,3.529068782167928,3.442180412955895,3.1017707907952157,3.6123656219769327,3.7909684135700052,3.7727640860032396,3.0553061647729494,3.6096039610893484,3.052748209745348,3.316055477815662,2.7539558079386754,3.375544261078588,3.766104989895619,2.9823350394102808,3.3317050252111517,3.4946855701247523,3.1208407768406565,3.2189430849359755,3.3737854095817994,3.4537907804920525,3.289780869283303,3.3904224462536234,2.9834030351779908,3.458799090351161,3.5254468445057516,3.3519826909085864,3.169052374193343,3.233000262540836,3.5488877235396905,2.7786287961383658
Albanian,3.3361283443028276,0,2.9399085958672413,3.462761941423665,3.095014820021472,3.372266244784415,3.4692854909564046,3.303752286998941,3.3644175117841715,3.3578363745560007,3.3094816325975476,3.4831537670716517,3.2274638341597073,3.192713553884913,3.3820913006758953,3.4519176291885105,3.648916907344713,3.5837037069318254,3.28526677718955,3.275460480835143,2.9543204730849464,3.3646037639750563,2.79585383599034,3.2901205839347467,3.509355435334564,2.928239834511222,3.574746000469504,3.253558655510756,3.0698440819557073,3.2251364455114797,3.183541473636493,3.32935542704677,3.2505221906249306,3.3593439756013233,2.7870905310159793,3.3828070575083626,3.3738366603027976,3.2017971049342004,3.460931623385001,3.1755416263376097,3.347502871259703,2.811715579982787
Armenian,2.9522437746779375,2.9399085958672413,0,3.164348056591268,3.0512507351304703,3.0830363298376446,3.1834124647227844,3.0496549566440443,3.104453610820382,3.0532286869237315,3.0731800571700516,3.206819046410384,3.048328887061133,2.966610385555559,3.0717086138097733,3.048167823199555,3.3069636067350006,3.2964249588236734,2.9258940101070134,2.9394764789584875,2.997798014358572,3.159338602934895,2.8508166190398234,3.059936543991318,3.149640191814492,2.9692214989006316,3.0892133208698147,2.9681148705755245,2.8841713784703877,3.1851761613095246,3.0457472182503724,3.088304068150047,3.040933678486741,3.083730464353539,2.827223516132166,3.0273194113385875,3.1532039123035718,3.0784974006409205,3.0807497500577257,3.0458996500859263,3.152674002705847,2.8970268359922238
Bengali,3.7057259476463864,3.462761941423665,3.164348056591268,0,3.1965655425693287,3.450298690962192,3.6911869354985463,3.4371181070794923,3.3931496451768233,3.7010250215842855,3.5322877354453803,3.6305787491891865,3.581137328049763,3.537394905686045,3.529454661159784,3.644864561960738,3.119530237364498,3.0233871551618314,3.545654651520793,3.7104594664109314,3.0488925787047694,3.497920602621683,2.8332694907198523,3.35429671722265,3.188630765612299,2.604178140984925,3.833764304984822,3.516238280729749,3.261122025449979,3.222988700869475,3.4747537326233084,3.5504120370777885,3.4255681190127794,3.442170094729713,3.0376958692705323,3.5146200850078517,3.5599396049991068,3.3794458440038464,3.598740919652896,3.3088495676283864,3.06266703676621,2.9739994291298557
Bosnian,3.0618916642575904,3.095014820021472,3.0512507351304703,3.1965655425693287,0,2.5445421512235225,3.25852890144499,1.9683062232004598,2.593092779619756,3.1363119392155365,3.153171562262653,3.3371936501140627,3.1512194937401814,3.0677873675987835,3.1984260837194016,3.241555175557478,3.335263232527313,3.3757347454014437,3.0681047311689986,3.2080541043399817,2.9197763722810985,3.0165459493278646,2.616167631293525,2.2346093493163135,3.2651487006574387,2.997838841977994,3.2075744004860582,3.1047032997120354,2.9844252956517874,2.5832252975274854,3.1388189483843885,3.1089740912427315,2.4088335081877985,1.7074684962276612,2.893062605873093,2.4579493978823517,2.5845555300381724,3.0882609920988022,3.1897582157039435,2.3748220453652857,3.2292949394517674,2.97581133309808
Bulgarian,3.476876508808306,3.372266244784415,3.0830363298376446,3.450298690962192,2.5445421512235225,0,3.5004419817870196,2.6500349553734477,2.9453175767465414,3.533560648051195,3.430005018710573,3.5152267860949404,3.5073227579254156,3.3649157883044065,3.517310445494857,3.525709021800691,3.556722171556295,3.5336369661237153,3.4069035730072095,3.560946602092416,2.9639519956407576,3.364958117042318,2.658911077242011,2.5312864178672254,3.5502926379489583,3.032117568020101,3.718754264735846,3.475938473488818,3.189226839248109,2.84395516678795,3.397980675872409,3.393452099429227,2.8969513203976143,2.7294246389069903,3.0277678976566538,2.9661275770090865,3.0245062024347136,3.244024762922236,3.466217029691843,2.832716963320425,3.385707957269132,2.817170566928963
Catalan,3.6868979846541774,3.4692854909564046,3.1834124647227844,3.6911869354985463,3.25852890144499,3.5004419817870196,0,3.4562120974578905,3.486137289132994,3.6926125253502096,3.530337914427918,3.5407485533398297,3.2768718339188774,2.9202242004009764,3.595869480030202,3.6508955150555282,3.8440929922665266,3.7851444846267244,3.494028126834987,3.713005525925123,2.681982390120978,3.5409222162607072,2.8303943650774976,3.4330699126329423,3.7749650772435657,3.174943084792673,3.8090883490068443,3.6786923101154345,3.2743931804899735,3.291864793062623,2.9433020339399256,3.3078551344040497,3.4521266678965383,3.5087950835557287,3.133345855252384,3.562434729887386,3.685851271076699,2.763737629843368,3.5641221201647992,3.363446867217439,3.628975450862743,2.961452466373568
Croatian,3.3903387442353132,3.303752286998941,3.0496549566440443,3.4371181070794923,1.9683062232004598,2.6500349553734477,3.4562120974578905,0,2.732601616776716,3.412583631143683,3.3523900627206897,3.4860694781284653,3.416377334019857,3.3042341444262844,3.427284080137077,3.4541946977014897,3.545278941568193,3.5594384758188515,3.31381420951881,3.4527950744372493,2.9333638789520173,3.2467032390448383,2.5714014831871017,2.5388748741039557,3.4913785832242463,3.0401564794189992,3.573654307961219,3.3655521791594536,3.0988161355397916,2.6689386076747543,3.3922109418214146,3.2742347604307853,2.73872064752555,2.124258575492706,2.9880525095531114,2.6897119616363367,2.7002495031944975,3.237192260554116,3.3811478893278544,2.610392749657958,3.4158990934722273,2.85706016553721
Czech,3.3435082684748814,3.3644175117841715,3.104453610820382,3.3931496451768233,2.593092779619756,2.9453175767465414,3.486137289132994,2.732601616776716,0,3.346611522223953,3.3436236077653683,3.348791885309166,3.3998662472673855,3.3398658591430337,3.4964285824957884,3.510632802927498,3.511592102157394,3.525609352140556,3.322913784295255,3.4930680708839827,3.0694488779467513,3.202449496064061,2.6937145782805354,2.8784059842229923,3.465534893973811,2.994515103574088,3.519530039135167,3.3560193515416077,3.1643552726339133,2.6662630006480423,3.3967129002106407,3.300652340480633,2.817087347490957,2.718662118767007,2.9987281082048147,2.4626412978660683,2.910786292923815,3.2273145708588338,3.3840004053292407,2.656817467383879,3.3229992953457206,2.8548739175559628
Danish,3.2370459350306873,3.3578363745560007,3.0532286869237315,3.7010250215842855,3.1363119392155365,3.533560648051195,3.6926125253502096,3.412583631143683,3.346611522223953,0,3.2100191563334803,3.1089295690983687,3.528366348466769,3.423458078672705,3.097875567507504,3.6323441474699334,3.729986173827721,3.704575188921732,2.953010002053519,3.466258722491325,3.005768598497351,3.5241914689458236,2.8390929119554524,3.4735811316739182,3.7290570051808154,2.9767442785617093,3.2729758081015157,3.531408175442975,3.1172792778912743,3.22285251259017,3.3482884461486395,3.4659194340326422,3.4019709418157165,3.504095532554651,2.9702828775246597,3.4957993640571385,3.6035059756874066,3.2687265863648167,3.047773386221661,3.2877801435867444,3.515196480860268,2.6958132089065634
