,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.47236173057289305,0.44634828622147854,0.5593636731316417,0.4498785605719695,0.5039924511992275,0.5285093237921289,0.4828450064553283,0.4791492986332145,0.44031007591315113,0.3889636793865255,0.41431086018725694,0.5212178608853107,0.4909396055405729,0.46215732826654343,0.5760131162384271,0.5179973371786406,0.5028700186291837,0.43348664317509567,0.5535865004089526,0.4148409449774324,0.6078917625425831,0.4551905204564946,0.4770361886440937,0.5077912817005409,0.40489027255294374,0.4296716765299008,0.5128458965977302,0.4689193050652681,0.5162500427169098,0.515350297083011,0.4898648770751592,0.49991166927981096,0.4775132833709946,0.4132887526403199,0.519490691926255,0.5125111582283444,0.4603516399613928,0.41221072193249153,0.4705405662595797,0.49335222994602496,0.3919316350320335
Albanian,0.47236173057289305,0,0.42093174846759285,0.4992071355911344,0.4497631606254625,0.47675941884240397,0.5017764768118366,0.46065434332668115,0.4717701468209442,0.515054534752366,0.5049967904335965,0.5111474092615386,0.48946788714579914,0.4512457830939219,0.5262431381703828,0.5236448894651353,0.4783972905097403,0.45677821300974064,0.4859264357967578,0.4796277473707439,0.40417176785738945,0.5985583788390175,0.4581684196913675,0.4670814289772757,0.46195582193046997,0.3862141467054493,0.5000101963315047,0.4650425788513898,0.44579621097283756,0.5131193830916471,0.4916305287179352,0.4644581534162159,0.4724890307028314,0.46767865959215965,0.36834579396408046,0.496147067094174,0.4909306001181157,0.42808785635436647,0.47660451342529836,0.443620243927405,0.4391460912654015,0.37810830166992293
Armenian,0.44634828622147854,0.42093174846759285,0,0.4932747016610581,0.4639496059111093,0.45781179522190274,0.48521854081043764,0.4486632802618004,0.4466507166079603,0.4747622197405478,0.47106099198080453,0.48125964505916025,0.4712303839845211,0.44924605631960884,0.47344349039347483,0.4868291028476401,0.4696393788560158,0.468199910477638,0.4456766147793117,0.4538778018756928,0.4424177504742706,0.5506764991465466,0.4554043433325701,0.4499394270365366,0.4576168982162479,0.42719027967510914,0.4589137372851244,0.44619471018931584,0.43981330021478027,0.5178418477104475,0.48199073345911975,0.4592177619465501,0.45998772718457265,0.4590622962986072,0.41226730638524095,0.4665158181437054,0.4735434973613629,0.4499384202059961,0.45723412699499005,0.45222390520640526,0.44880233336910036,0.4207265009881397
Bengali,0.5593636731316417,0.4992071355911344,0.4932747016610581,0,0.5064949078976453,0.5515935565274694,0.5868889004175266,0.5303929380476038,0.527867618664607,0.5945580958131479,0.5803414848291472,0.5776235896588592,0.5654774440898058,0.5449603578159647,0.595338302466475,0.5931304564770966,0.46393478745861366,0.44543209483725754,0.5577980980419334,0.5787594354238058,0.46825107943448224,0.6435644733572529,0.5020820179014112,0.5296836732230981,0.484423394194046,0.3764105846917124,0.5853007094094539,0.5401067201848151,0.5186048500833503,0.5542182714753502,0.5813299114807097,0.5460577115630932,0.545689949526454,0.5430883830689347,0.4489735037741949,0.5634067388038841,0.5662921978555405,0.5132179465881931,0.5376121821705921,0.5203203548903049,0.46022135289030075,0.4544747468843886
Bosnian,0.4498785605719695,0.4497631606254625,0.4639496059111093,0.5064949078976453,0,0.36653831490556543,0.5035443556813519,0.2942155394239698,0.37293731314773454,0.4811867209560273,0.4844351987164051,0.4906601488170596,0.4780665801489899,0.47323512017481545,0.4971132362617741,0.5241738018081058,0.4978958000979554,0.4835862866074532,0.46985956874883794,0.5014430257759809,0.44182695854852244,0.5520388626224941,0.444518305194828,0.3368628146054061,0.48238083735920817,0.4248850955745484,0.46002605715116424,0.47135761066821164,0.4545014766407167,0.40359790070050633,0.49731844563343924,0.4663745955930644,0.37824055217678954,0.27289153564531354,0.4327715011815481,0.36427180696099276,0.3727935073855441,0.4562023517474065,0.4667852824750013,0.37640501284209266,0.459398974158046,0.4389939288440867
Bulgarian,0.5039924511992275,0.47675941884240397,0.45781179522190274,0.5515935565274694,0.36653831490556543,0,0.5451030926281064,0.3887758217083437,0.4138472515448172,0.5521946365570166,0.5310934560653037,0.5420773643701504,0.5338014869418347,0.5038887914567253,0.5544362882997474,0.5715107154104325,0.5289485721051506,0.5007647764616613,0.5074195270547257,0.5609855704169465,0.4309672848679099,0.6086352322101576,0.451313937675785,0.36056240473036427,0.5073675239404059,0.4339600662751065,0.5365386802439596,0.5317874348241419,0.48756688693932876,0.4573530652918119,0.5384118121815998,0.5079705354603247,0.4312072684064417,0.39087847505008644,0.43406690435951406,0.43803217609917494,0.4348552597718969,0.4658603876147557,0.5053993084334378,0.40353158290000635,0.4906864335930905,0.4168585116665355
Catalan,0.5285093237921289,0.5017764768118366,0.48521854081043764,0.5868889004175266,0.5035443556813519,0.5451030926281064,0,0.5206244912540846,0.5272632365272965,0.5610672265115314,0.557896659671669,0.5423617185739015,0.5071619427903197,0.42295146208239853,0.5714108258050391,0.576209642882965,0.5413405406731914,0.5317044765101415,0.5254872904146644,0.5749066293289754,0.3786149308247727,0.6394306377508919,0.4754220458809243,0.5220498232451983,0.5427683484685342,0.45793366938308927,0.5499407718043162,0.561795213698909,0.5125303229426864,0.5625764641489309,0.47767764288162995,0.4790274075603878,0.5382618800769944,0.5321547464975404,0.4553547539773357,0.5692249828599355,0.555433398607275,0.3973451596034357,0.5197056842467372,0.5091638205961084,0.5259718480361291,0.4313996875702194
Croatian,0.4828450064553283,0.46065434332668115,0.4486632802618004,0.5303929380476038,0.2942155394239698,0.3887758217083437,0.5206244912540846,0,0.37701005432224405,0.5120834930320591,0.5122335178511137,0.518271915199341,0.5183477190187928,0.4913569452439475,0.5280311115118148,0.549981317250691,0.5041313012263033,0.4850728458866651,0.4910705258188824,0.5218207066102296,0.4284837553529368,0.5960767395000501,0.4477427116098958,0.35976296977543926,0.4925814073958526,0.4108921502026042,0.4991836232343595,0.4851978071005838,0.4639989795952312,0.4348516263033546,0.5340759439832308,0.48958139808789575,0.42081949211043523,0.3131528833118112,0.41486544741263126,0.3964278994833549,0.38947150893329635,0.4558203352889987,0.48032401852891726,0.38816199036475346,0.4663799185642809,0.4115986043753102
Czech,0.4791492986332145,0.4717701468209442,0.4466507166079603,0.527867618664607,0.37293731314773454,0.4138472515448172,0.5272632365272965,0.37701005432224405,0,0.5044296163592641,0.5043928715938718,0.5036975071015521,0.5151498557598541,0.49173203157549483,0.5345510660988402,0.5603119107433383,0.5006533075057454,0.483618217530297,0.4940238578885832,0.5267894161912015,0.432449241604153,0.5764888212378259,0.45714071501538567,0.40148696088264246,0.487179457194866,0.4067812847706547,0.4969812393014724,0.49259986509410597,0.4726514724926661,0.4207356979826013,0.5186873095640977,0.49621415266919444,0.4204722889281587,0.3797530508121282,0.4211641030493348,0.35987166272807336,0.4013659668095073,0.45866639808033444,0.48013237167041456,0.3796830662174125,0.4658236790408885,0.41144415706285664
Danish,0.44031007591315113,0.515054534752366,0.4747622197405478,0.5945580958131479,0.4811867209560273,0.5521946365570166,0.5610672265115314,0.5120834930320591,0.5044296163592641,0,0.4900660332139347,0.4427797179873609,0.5545730820557643,0.5156998301855417,0.48654280183804244,0.6146833463639847,0.5364145973798061,0.5239193600695586,0.4470796536671676,0.5703291136450541,0.4251017396114824,0.6520665934885206,0.48510908123956,0.521949416196085,0.5392825799727895,0.42484077131836445,0.40871287876703183,0.5545499888405269,0.4854000743123773,0.540342904816953,0.5494268322434528,0.5258948041111543,0.5468783759035082,0.5241859778814998,0.4413465929765016,0.5551080852328797,0.5441944134565534,0.4796101136141907,0.39330740009301346,0.5026866027045188,0.5169504887067659,0.4001846529072692
