,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3.4075279503068274,2.9950490006330157,3.8111338955376355,3.117248301085987,3.58063066200987,3.7925937648710804,3.478148125992118,3.3959378806995413,3.300216763400296,2.50479170328674,3.1736201233744237,3.646763564502858,3.532170506956459,3.2136600250116834,3.6837611239336123,3.8888749960991897,3.875674892236298,3.1604663907782347,3.6554357515464457,3.177306234685879,3.3264575965448926,2.8676681971355578,3.477468555545379,3.850075466052593,3.0522356606657746,3.4177509509210697,3.5404450874327527,3.200063476348879,3.2687739204412836,3.436334160263329,3.5890477159435803,3.361203631214806,3.458358550715917,3.0594788098565604,3.5336520556514,3.61164074432076,3.454334709349022,3.2579221039901167,3.315625984787745,3.600917695766695,2.8755370134245677
Albanian,3.4075279503068274,0,2.987416995947688,3.559540784545251,3.132428800519817,3.4491914776324277,3.556184901674772,3.368503477329012,3.4387790923157535,3.4700094943531457,3.3794915151836373,3.5765074184857304,3.3177683597950574,3.277169955373209,3.498392774492319,3.4901480177678907,3.747875554138688,3.6705270084203026,3.387669942562542,3.334811174798988,3.033217396945482,3.391832289952064,2.8830868926629236,3.3552868082390366,3.5924654609647777,3.001192056046404,3.6749862325756704,3.3205617669832677,3.1680296068615608,3.2798149110323656,3.2430860994328636,3.4259949421970015,3.322095558074424,3.4157031146875125,2.8553784229225303,3.4754505019896267,3.4708108114619654,3.2827685532278887,3.5629386280033075,3.255244363202258,3.4145445899846525,2.893782601552048
Armenian,2.9950490006330157,2.987416995947688,0,3.210915746708592,3.0955704825772377,3.110225993586539,3.2069578247818846,3.0654119832404865,3.132058224319646,3.088541172154089,3.101903601553652,3.2432100919122435,3.084768726788027,2.99124018367885,3.1236822696901205,3.097592493535018,3.358546070789264,3.3496009786475,2.997101122333993,2.9650492283256913,3.078398344423354,3.1967725607568327,2.9130978355435007,3.1137111252557927,3.1984683907994533,3.0088682614528466,3.1374467287871037,2.9870589030028705,2.9340932522422523,3.2050948880257524,3.0619146447772483,3.1550411902708766,3.104805998994491,3.11899562908244,2.8560491567692208,3.0696335929741334,3.2180426325215956,3.1137569198689246,3.1168931473674557,3.108385827419468,3.1662173665239806,2.9164248596359266
Bengali,3.8111338955376355,3.559540784545251,3.210915746708592,0,3.30229327907904,3.5777644814523515,3.8122148374478697,3.5455133731477018,3.5191007262987597,3.848333603765632,3.6584542538045297,3.7574056508388542,3.704167658717172,3.6261034243007026,3.7052838189472976,3.7101720646148926,3.2206786749209257,3.114126223939344,3.6816503999938393,3.78770771077515,3.1978682881670997,3.5750934408429975,2.9743452688767644,3.4927269437630026,3.274210671471176,2.6512911617598345,3.967777572876691,3.6046073653769373,3.37485145278339,3.3309405630509787,3.578673775439244,3.694910273870283,3.5449195726311062,3.570707841830746,3.1164778716942343,3.623973832562198,3.6615758172120816,3.4930542403880978,3.715102280638351,3.429775228963408,3.124332426947197,3.0956746873818344
Bosnian,3.117248301085987,3.132428800519817,3.0955704825772377,3.30229327907904,0,2.574071362016986,3.343154177325783,1.9440506933345383,2.631889774931827,3.221211531502665,3.2350653950967407,3.45705086725984,3.2444048490893937,3.11331730151324,3.299298263545113,3.302253796217363,3.441024918273738,3.4849852178010603,3.128058653926437,3.240205061148689,3.046398956043929,3.060232911958326,2.6916816334944555,2.2689314707019084,3.370411111249422,3.1012538944117987,3.291746477879952,3.161018871417125,3.0537643465116546,2.6171099089733794,3.195869358614799,3.2153240135029564,2.461290546252316,1.6801403043186356,2.954452534946048,2.4974338967217142,2.6333239953593868,3.1547431806929227,3.267511741308535,2.4110467648395586,3.306564580470824,3.0814397806983873
Bulgarian,3.58063066200987,3.4491914776324277,3.110225993586539,3.5777644814523515,2.574071362016986,0,3.604718619241356,2.6633601189651004,3.018392138603405,3.693860588317295,3.5450558073084992,3.6458335422094024,3.6164002434593376,3.449257995474745,3.668059607722912,3.5608079722410473,3.6992647975833126,3.673677530195023,3.517757145471287,3.6400974086961315,3.051460573959123,3.4060649546250605,2.7407803895627123,2.580579298556239,3.6957655420066255,3.1173007368054044,3.843248316404676,3.5701623487892222,3.2935473451985433,2.8672276658509115,3.4731078418048793,3.5017478528506936,2.9447848870595172,2.7726588569685053,3.0832590742285673,3.018180989940369,3.087736634747855,3.3196069820617,3.578263454072045,2.909080108975713,3.4790911851208004,2.9300739039690424
Catalan,3.7925937648710804,3.556184901674772,3.2069578247818846,3.8122148374478697,3.343154177325783,3.604718619241356,0,3.5438900446438675,3.573824396367708,3.8564549926974596,3.6340081616540076,3.666735699279719,3.3815732173322584,2.9610146173370886,3.7445800455531906,3.7061695312872023,3.9445731225592544,3.886128102165835,3.6110165296928276,3.8127162028790265,2.7533306445426238,3.6131791578321737,2.949751171911036,3.5597456609319216,3.87542537597985,3.257656993193275,3.9340122899503087,3.7681794865283718,3.3902681172768734,3.3603151087853567,2.986701366051316,3.3843520512064376,3.5601681522283455,3.6176035580805546,3.2262047055058387,3.6645734790744244,3.779300428803878,2.8257355632733145,3.685012222682799,3.4800669027166258,3.7245448813245474,3.080128596836748
Croatian,3.478148125992118,3.368503477329012,3.0654119832404865,3.5455133731477018,1.9440506933345383,2.6633601189651004,3.5438900446438675,0,2.783544010393254,3.5336693943821063,3.451445587496409,3.617288965480729,3.515419790188033,3.3758048356166017,3.5525295553199823,3.4930082975979455,3.649005410623519,3.6785857295423656,3.410901154324004,3.5090957088726933,3.013324354541836,3.2943751456960295,2.622860305796039,2.5962313200806246,3.600213490387545,3.091838137937517,3.686969834965841,3.4298357515289672,3.1768530634106913,2.7124717501196067,3.463105862983622,3.37522620976246,2.7944268774913543,2.1002413036746588,3.02376688577874,2.7607358851036015,2.717237730601016,3.289041918453166,3.4905900418636944,2.6563038466658098,3.4874748271200673,2.947739399531469
Czech,3.3959378806995413,3.4387790923157535,3.132058224319646,3.5191007262987597,2.631889774931827,3.018392138603405,3.573824396367708,2.783544010393254,0,3.466908181939499,3.447810418344647,3.46807964237496,3.4837405574498113,3.3923488991115835,3.664159739399544,3.589703873387604,3.6470619905161676,3.664310407301461,3.41994716572691,3.500170078641012,3.197546909662444,3.239624605110716,2.796410575117018,2.968146467800583,3.5893059737428543,3.08938086604131,3.628509021354364,3.417522151648045,3.2625217250537344,2.7126197037621123,3.477274147223152,3.436329845135033,2.851059303018363,2.785693632686839,3.0414588020443674,2.455674632999676,2.9923079253203793,3.307870763335718,3.494690043818279,2.727529351021412,3.416619686682642,2.95937646008203
Danish,3.300216763400296,3.4700094943531457,3.088541172154089,3.848333603765632,3.221211531502665,3.693860588317295,3.8564549926974596,3.5336693943821063,3.466908181939499,0,3.281949865747739,3.2050291084619826,3.655374088078729,3.54551673140228,3.222097997734839,3.7248707560387415,3.8942336701652374,3.8448527188634625,3.043819127806434,3.5613357293798207,3.153761782490238,3.5392374706948804,2.9605597379690827,3.5955295386412103,3.8902716401117514,3.0549451319137475,3.326049795957505,3.6161945828185753,3.2252717730729614,3.3013427853800983,3.440672194895848,3.65275636358726,3.5024248791869272,3.603326116448163,3.0631471967514927,3.6287843219028506,3.7095557771777825,3.4117255117372944,3.103759419855434,3.4168835334424354,3.6024515858644124,2.831668884653362
