,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.21091987836786485,0.18114240556917427,0.2616000782097492,0.192881611512401,0.22299222303851352,0.2551889605821958,0.20604199679141788,0.20210667178627564,0.20568144219707946,0.15742945457506835,0.19330349937574964,0.2214229512385424,0.22066407055007814,0.2032296270859671,0.21052449264250628,0.2613822556987027,0.2523411034357417,0.19584364528200388,0.22794366374681782,0.18654551299244698,0.21125223815393487,0.19871263128163968,0.2161446118764303,0.2515854020682751,0.18152771327742367,0.2225214385530408,0.21288843646226013,0.19405589785997504,0.19904497689087366,0.2078040642953527,0.21332067335150603,0.20574262896398637,0.21543653124152093,0.1847534387951254,0.21401219647114014,0.21739945760239868,0.20221090192777494,0.21037933473308335,0.20348209619674307,0.22158076646401934,0.16751976234849655
Albanian,0.21091987836786485,0,0.17652977319216448,0.2344184920353037,0.18948714719758583,0.20477301312219498,0.22538183661521377,0.1899628309967327,0.1965759807496815,0.2028884613491419,0.19745135251525636,0.20774368664056883,0.18995071335462538,0.1938955326814933,0.21073677976891267,0.18867782417482937,0.2436978823616072,0.2333836329779271,0.20279466303685928,0.1959514571341739,0.17022301201561624,0.21168389417289726,0.19819607827711064,0.20168686223955382,0.22414460490925175,0.17024243702280026,0.22988159690963983,0.18991403196406703,0.18738748069756891,0.1933553256825381,0.18403415084128175,0.1944724754605451,0.1977141791933612,0.20616654396123477,0.1621250397974645,0.20027412686306756,0.20090288469128798,0.17975863825746907,0.21873868251917092,0.19111788412229078,0.19931823869267162,0.16341765314090578
Armenian,0.18114240556917427,0.17652977319216448,0,0.20640041929238392,0.1835097180964362,0.1821959831451176,0.20095364906222463,0.1749583389966314,0.18016243807904617,0.17856231024357427,0.1812145478429428,0.18924631905573036,0.17910340127041507,0.1765793950798352,0.18558534267877255,0.17013622894313452,0.21359692716910378,0.20756027050443546,0.17612557918034835,0.17539515919378237,0.17355511991065262,0.19557412918765096,0.1958136491899258,0.1850797208148354,0.1965394016994697,0.1713270161889947,0.1913781547344765,0.1728509352100941,0.17309318086609868,0.18598687119577875,0.17816992725616146,0.17996754047653943,0.18167599733230586,0.18515771739262296,0.16577927071410523,0.17515447845547844,0.18594966405561897,0.1755472404498835,0.19047707499323951,0.18065651335916236,0.186576305694549,0.16582374997817415
Bengali,0.2616000782097492,0.2344184920353037,0.20640041929238392,0,0.21589382075671756,0.23746194438643764,0.26380256449053946,0.22425618320335758,0.23025035023065982,0.2500790593584161,0.24381480739552946,0.24522487531021445,0.24350589100551068,0.2412228816328741,0.2472542495269101,0.2294649195234671,0.2331700155664825,0.22432598421465258,0.24414697613802075,0.2509682364727172,0.20464176239266535,0.2414231635821886,0.218426762012294,0.2301375896939174,0.2294750589708764,0.17382010626113087,0.27314101868474855,0.23668563812537122,0.22249001960742287,0.21887723521700755,0.2337331731219958,0.23538691116689592,0.2301059325890696,0.235532937587023,0.2042297057505644,0.23236933999256507,0.23430565380347185,0.2244020786855999,0.24872491324484225,0.21965802425962025,0.208470012187682,0.1998055751806374
Bosnian,0.192881611512401,0.18948714719758583,0.1835097180964362,0.21589382075671756,0,0.15540259295767508,0.21632120145333308,0.11895142456758512,0.1513524570553859,0.1919112580482511,0.19161588129063026,0.20568037754102922,0.19103699028867063,0.19073235607071856,0.1972335773884768,0.18421520921663742,0.2200046372580695,0.22161927572209872,0.18788733415372064,0.19478265410007234,0.1757695659026195,0.18304084055137373,0.1742854057606436,0.13646962187592726,0.21118846130375796,0.1805286819574396,0.20714336235835767,0.18803954625846223,0.17862597028210023,0.1500238258916862,0.18883044907419697,0.18546926066110758,0.14290173411393298,0.10107220454033539,0.174610769176094,0.1454983531856808,0.15400034217964076,0.18291697117299913,0.20312211087073148,0.13658482070585923,0.19899317042223072,0.17644075735358591
Bulgarian,0.22299222303851352,0.20477301312219498,0.1821959831451176,0.23746194438643764,0.15540259295767508,0,0.2356678595822213,0.15221642154500592,0.1788223282671355,0.21957660503761123,0.21083553209699973,0.21829899254313176,0.211567916716717,0.21075183944313616,0.22086767734939788,0.19767997634699247,0.24211861684223454,0.23788594966035517,0.2119677643383634,0.21663362860377358,0.17420661461036693,0.20831952270084747,0.18713916104769937,0.15882118742663948,0.23471249754782528,0.17948038110406983,0.24426042305612092,0.21090763583371822,0.19462461579665163,0.1676888109606531,0.20402116953906627,0.20311181001813822,0.17180424120201504,0.16787697949273733,0.1800782167380202,0.17604253630779879,0.18160416030397916,0.18974713785270308,0.22472313905309826,0.16979733565131497,0.20717108839680942,0.16927519608929745
Catalan,0.2551889605821958,0.22538183661521377,0.20095364906222463,0.26380256449053946,0.21632120145333308,0.2356678595822213,0,0.22310392542778984,0.22785361274103602,0.24793585238373453,0.2351737108679914,0.23541004921599382,0.21485646174595208,0.19672341011903097,0.24234227208327372,0.22398390206262286,0.2756414005144115,0.26808821387874293,0.23483298561437083,0.2472850762611577,0.1701458631187507,0.23895404443985427,0.2076156645242632,0.23253799246941034,0.2610844914480667,0.20343666782558464,0.2597294855746153,0.24179871351884466,0.21718824695534797,0.21126698334145372,0.1931379944179437,0.21080946743543913,0.2256291838306177,0.23685894200794883,0.20600523592813558,0.23199540254424458,0.23961629346457272,0.180681798986215,0.2452438450248268,0.21909878318673692,0.24312097039480443,0.1936311043271834
Croatian,0.20604199679141788,0.1899628309967327,0.1749583389966314,0.22425618320335758,0.11895142456758512,0.15221642154500592,0.22310392542778984,0,0.15346947258481014,0.19783675583741972,0.194322420908274,0.20625107741987794,0.1927075673444466,0.19483088349439598,0.2053850442966426,0.18224847259684315,0.23080810031363722,0.23003784617638293,0.19799891213803872,0.19821996431955066,0.16477322029274655,0.19398647826571053,0.17627115802706367,0.15276534563718655,0.21805376025153747,0.16779610253134977,0.22398659346926716,0.1914198487677206,0.1792019375217576,0.15149861350383,0.19099123781185134,0.18648200398631715,0.1581368199593954,0.12621118885657873,0.16480076217554784,0.15126379194786668,0.1506232544163024,0.1775195513536411,0.20709778537951298,0.14630613377713175,0.1982307554490173,0.15988169016587941
Czech,0.20210667178627564,0.1965759807496815,0.18016243807904617,0.23025035023065982,0.1513524570553859,0.1788223282671355,0.22785361274103602,0.15346947258481014,0,0.19912199431342573,0.1985977391577948,0.2015295399311428,0.19332206072561187,0.19902456041185052,0.2158317690984405,0.19141837691757393,0.23110311939362915,0.2290151952386266,0.19924338600308947,0.2028630160244878,0.17862614941171454,0.18902831685935184,0.18295309833072043,0.1754398518586405,0.22143548415792297,0.17379937354096256,0.22421812968822186,0.193537331921364,0.18630043660575812,0.15560460494779252,0.19625969062589216,0.19455394009769592,0.1645616872380528,0.16272710583183866,0.16986378170219563,0.140604195650306,0.17052750883857273,0.18212529461255922,0.21278804206960109,0.15360135131259253,0.1988539496451431,0.16287150039043444
Danish,0.20568144219707946,0.2028884613491419,0.17856231024357427,0.2500790593584161,0.1919112580482511,0.21957660503761123,0.24793585238373453,0.19783675583741972,0.19912199431342573,0,0.19490258150387996,0.18514050357883519,0.20822757413752904,0.21042594573113466,0.19526197515149285,0.19888367118141592,0.2555810889410297,0.24249920754591245,0.18001129404148264,0.20953436851584603,0.17973394083326005,0.21763302271336835,0.20118605987403365,0.2153874548534399,0.24586848597483188,0.17287222275961953,0.2110008458920456,0.20820056427650607,0.18832697258256118,0.19331663902507248,0.19485177552967722,0.2082300416202362,0.2048184453749946,0.21504070533950645,0.17455007749851784,0.20690935134143412,0.21425339668793053,0.18595719410439246,0.19507966220631726,0.19686267144973554,0.21051607896627442,0.15907108287564445
