,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3.100547411318056,2.734018038791442,3.5507933001918848,2.8694512094071642,3.328144571694409,3.529719206659764,3.1967753385493167,3.122038295482149,2.9804819062355734,2.268776374088198,2.8298030703599792,3.3841320784930313,3.2235961471663828,2.9874207999011952,3.411209958145666,3.5832462947416523,3.579910680986239,2.8987699446568542,3.3557763873615682,2.960423388027391,3.1034495771775186,2.727736520126291,3.221815256367992,3.5318392804473473,2.811695054509101,3.1102137222006436,3.228272924428488,2.95359461018703,3.0372589496276814,3.1612871629199515,3.3516720825197437,3.107184404008955,3.1946885312575173,2.7959881590443807,3.2644571782449416,3.3280033729604863,3.200127715370579,2.9481983025779233,3.065187383792346,3.3164075579138856,2.666632629559524
Albanian,3.100547411318056,0,2.7148714771332707,3.266358604722021,2.861962811453584,3.1611112984825747,3.265600146610058,3.054417333612783,3.155857728776613,3.182348755163094,3.112821757047517,3.2325254395325724,3.0392515401766347,2.946817070426885,3.2663449319432836,3.1736076233447736,3.405818705187492,3.33842293419543,3.0997190537064756,3.008074254902624,2.7883467781832447,3.177834939450633,2.720876267343547,3.0741251998123986,3.2429888505885303,2.731583252768919,3.3717436269915804,2.984312125521325,2.881617015167279,3.039558885960599,2.962349012904723,3.1455282249695893,3.0483996142699477,3.127070224287131,2.5680048426035547,3.2017877995547024,3.1869594678145265,2.9924058728835337,3.264412761305911,2.978659752951841,3.103242831319716,2.6504312183905503
Armenian,2.734018038791442,2.7148714771332707,0,2.968422934455182,2.8471469579459114,2.8674749903065235,2.9622303063598836,2.806557443786572,2.8805097259319266,2.8329363234948226,2.8551330560095605,2.956249135816184,2.8470375221125295,2.7240254842731506,2.8980659318076056,2.86207085324051,3.0698230610385373,3.070046451797955,2.7530993435090734,2.7262829360020935,2.8586268199678293,3.004866593294399,2.7356973326856466,2.864947966558398,2.9262487771187513,2.760232878583397,2.884481801074891,2.7095510833150565,2.6856564128375817,2.9772587980915257,2.832439795263703,2.9198123964246827,2.877971398721276,2.877823814520276,2.600607475647803,2.830944481205506,2.9709137575915285,2.8726537777875873,2.8466818676201644,2.8686930125205756,2.896153583973774,2.68348026752006
Bengali,3.5507933001918848,3.266358604722021,2.968422934455182,0,3.093358694403166,3.3652272558643723,3.583816159068594,3.2973827585250803,3.318945764612552,3.6246512884246735,3.4618554337699137,3.5056864781765413,3.479517113880542,3.355047342223124,3.5418682477086487,3.444821161362382,2.9616451230246574,2.8594111314470365,3.4514399567838283,3.5267294628504473,3.0069246643771663,3.418085575530378,2.8712497138695947,3.273651606958964,2.9993717472870274,2.4338210052486966,3.7356359117347226,3.337561058510758,3.1500809566076438,3.1563563680760325,3.345354918347084,3.4870388288851646,3.3226247988064164,3.3533132859119084,2.873157301012279,3.405213924740772,3.4196770660401383,3.2529579360171796,3.491841910041979,3.213235531549743,2.888495663499942,2.9173929663062124
Bosnian,2.8694512094071642,2.861962811453584,2.8471469579459114,3.093358694403166,0,2.3640775328917507,3.1267130906300404,1.7530734191204742,2.41532320672327,3.0083596521951064,3.0257018657958166,3.2081289980871226,3.037418436207163,2.8730772042831707,3.1172649118373714,3.0794065456583515,3.186734628604626,3.249186320883714,2.8901301968555386,3.0095704907891165,2.872162375466794,2.8771863519056837,2.5198338074764903,2.0757635637627323,3.1305240784453767,2.897968240397219,3.0641235050864672,2.9161219862267043,2.80397932362808,2.4055839421714906,2.9814914474246286,2.998655847574175,2.270988942474476,1.4910633453359536,2.736450499146266,2.2891777222581524,2.4128436532997983,2.942570429552448,3.025753241957614,2.1935231401725455,3.079002352802176,2.890932040592936
Bulgarian,3.328144571694409,3.1611112984825747,2.8674749903065235,3.3652272558643723,2.3640775328917507,0,3.362295114313945,2.4106014286024537,2.785896176955484,3.4876341239295563,3.336201200053515,3.410035568232526,3.386325677285159,3.1860703266424504,3.4891514036051627,3.3129458129049167,3.4329526498831364,3.428390849164231,3.286233085093586,3.3834386678303603,2.854572307605285,3.2375188699166944,2.6237561510109693,2.349878400242873,3.426441785014624,2.9053707854514452,3.612982321110626,3.3121838026031907,3.0560094598530205,2.6543294759784772,3.228946686545429,3.2829999530977405,2.705746275367149,2.5426022302027755,2.840634081488652,2.7813924259960134,2.8344454366283243,3.077158565639054,3.355033280808968,2.669329351312117,3.233420357918725,2.7524879928870267
Catalan,3.529719206659764,3.265600146610058,2.9622303063598836,3.583816159068594,3.1267130906300404,3.362295114313945,0,3.266202579279015,3.3479952356480536,3.6370722294466358,3.4118631658565075,3.405036743146764,3.132429293613748,2.685652280636973,3.54696536250549,3.439852772506979,3.6512038067692187,3.605691219323945,3.3720280105452174,3.5660109127102335,2.528972382545196,3.4543916603998452,2.8255556325403224,3.3406275054734396,3.5817013384456824,3.04049853558909,3.6890635552221798,3.4944421697158674,3.1569876030745374,3.1493501026421535,2.7496331487856676,3.137694706109678,3.331948353778378,3.3856638380060007,2.9944841298528457,3.449169974580224,3.50506717656286,2.580073721819346,3.4524677951169074,3.2502481408759887,3.4760456334513963,2.8871452708929843
Croatian,3.1967753385493167,3.054417333612783,2.806557443786572,3.2973827585250803,1.7530734191204742,2.4106014286024537,3.266202579279015,0,2.52595368360847,3.284694197799224,3.2138210702718775,3.34372146298368,3.267242644249627,3.0763312947155494,3.346823340837277,3.217436417976537,3.348930916954201,3.398455428778256,3.159718876977849,3.2342582135127844,2.7935518964479633,3.090831991311359,2.4630971607967567,2.3727593557633133,3.3079671679353155,2.8365847917734217,3.425319751135065,3.136419456166537,2.9046885326615337,2.492647772802391,3.184668931321559,3.1252638308970417,2.5503637264883747,1.8657410009690985,2.742673995852539,2.521370309675052,2.447029263377484,3.011551726291586,3.2413415489891904,2.393167479422303,3.2052874299757907,2.7376081177289935
Czech,3.122038295482149,3.155857728776613,2.8805097259319266,3.318945764612552,2.41532320672327,2.785896176955484,3.3479952356480536,2.52595368360847,0,3.2535355484611044,3.241783149288808,3.2293827229827055,3.268155393030338,3.139570557612827,3.493930872267171,3.358904398398653,3.3958433833260826,3.430135941031591,3.1787008447920186,3.2365112225490296,3.012898655209024,3.042041953259533,2.661262933560729,2.7435465007670192,3.336925459663989,2.890862952664337,3.402686251781463,3.1653592119802467,3.0409377559051674,2.5134656221601888,3.2419841057846748,3.249522875312133,2.605786472549139,2.570384951727923,2.7916676506830025,2.2225882768189287,2.759384079816549,3.084321490973355,3.2772176758392115,2.509856920063198,3.186216080101004,2.7796206327532764
Danish,2.9804819062355734,3.182348755163094,2.8329363234948226,3.6246512884246735,3.0083596521951064,3.4876341239295563,3.6370722294466358,3.284694197799224,3.2535355484611044,0,3.0403838076978884,2.882271764849141,3.420380974638411,3.2609165658466677,3.0245643684276335,3.496013589502074,3.6317444046828316,3.5726662264956888,2.783558799328652,3.2888940529554853,2.9764693216741835,3.3404405810510496,2.830608297555843,3.3647589341920607,3.6160218508880173,2.8328111125508886,2.9939297035760317,3.3242960595020064,2.984911484280731,3.1154447650176236,3.1971409167014824,3.4636635232451303,3.2774273449156417,3.367750407879701,2.8091358539232747,3.4196622242238495,3.442812720543026,3.1978893371944226,2.8075259559694494,3.2022750597699132,3.3338996538402124,2.6553361371107242
