,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.27035970287698047,0.2323728535460503,0.28364084199383505,0.22961940957105018,0.2749142366154902,0.2868336904260392,0.2647317668803355,0.2608634048157115,0.2531817354283676,0.19503262209344263,0.2390787895987486,0.2880975678704976,0.27615920662431165,0.2485151837263029,0.29252971339661105,0.286608731281835,0.28580252444863663,0.24017214100362025,0.29117670658483846,0.25087288605966357,0.24473977912226033,0.2037956073965715,0.2561473702661133,0.28623976831575504,0.24318622800582343,0.25232426903259714,0.27650060248244535,0.24685326830010912,0.24368041870948928,0.27192880374370637,0.27747165229910903,0.2515354731053871,0.252300915166282,0.23977620480939804,0.2731769413132138,0.2687746072723701,0.2753808645777929,0.2449267430523526,0.24682901793858317,0.27625784355775446,0.23647284103268182
Albanian,0.27035970287698047,0,0.23403108257523011,0.2662203019014208,0.23294757711533606,0.26240895490754934,0.2686183656038344,0.25591181570383287,0.26304535927548195,0.2795847516020863,0.265811677849546,0.27872081373422336,0.26213363944944584,0.259541268122904,0.27797938537879335,0.2792706225769468,0.2714661675308206,0.2662690468300263,0.265098769588457,0.26832073889481284,0.24194684733505203,0.25356482826385995,0.20738600839606802,0.24918699189347468,0.2658526805477937,0.23800306200183585,0.281854899007387,0.2623351987612878,0.2456714523760847,0.24282822529603076,0.2583463860885333,0.26572342181825237,0.24911261841686383,0.2503324635483865,0.22765304732213879,0.2672658511202612,0.2623594448818436,0.26392864965613455,0.27479222654921925,0.24431621350715801,0.2619072730679121,0.2377348557792062
Armenian,0.2323728535460503,0.23403108257523011,0,0.24377354511009458,0.23033946001130962,0.23631257197516367,0.23998060162852,0.23204781696574797,0.23580633745658153,0.23914732105687933,0.24138485835973142,0.2483960734487921,0.23938810449554002,0.23251733549551812,0.23708403457861774,0.23791472054815344,0.247204239219184,0.2458151511421187,0.23136769715993713,0.22921947296006498,0.23705275486419816,0.24130868668993305,0.21113199449295464,0.2341502389930563,0.2403403766848145,0.23457384345417454,0.24076713241211692,0.2327925510996806,0.22582543990195092,0.2390161355718909,0.23851939143477863,0.23790146654368927,0.2344344554514026,0.23526476822933218,0.2237766919202133,0.23432080331631377,0.23985452067564522,0.23921929418327986,0.23822256087940483,0.23414044273297072,0.24378655647459732,0.22917453053040399
Bengali,0.28364084199383505,0.2662203019014208,0.24377354511009458,0,0.23757453116757793,0.2629039552391937,0.27921708500991554,0.26251900317634386,0.2628264954608063,0.2911638298894987,0.27751086531530994,0.28457666935171394,0.27675897724499365,0.27113888654340873,0.28265119058956895,0.28065283376458056,0.22729432426701085,0.2209579643284556,0.27539072855944385,0.28489651999933296,0.24457789116277184,0.257829664424013,0.2079089500437036,0.2519793805944303,0.23413291923156454,0.1989243082281557,0.29210670166545527,0.2682961459545339,0.251191806045773,0.2408814787973901,0.26893890513414864,0.27450783857233035,0.25449643194095506,0.25498473985916725,0.23027640694422918,0.2703906377130361,0.26487580547181144,0.2658437312490926,0.278127612624284,0.2476231829568242,0.23298317739853538,0.24111890967173716
Bosnian,0.22961940957105018,0.23294757711533606,0.23033946001130962,0.23757453116757793,0,0.18479033373874884,0.23753647404806894,0.14639610481871126,0.19908094427758563,0.2383391009534526,0.2433379753119911,0.2545278541067875,0.23746925031617092,0.22722537062261863,0.2463977451828146,0.24349042072645957,0.24308907921566628,0.2447259401166256,0.23041685500964082,0.24046239378507805,0.22741405906960324,0.22591034753446526,0.194854437828496,0.16255283383555777,0.2404734720059518,0.23149790062476597,0.23708313429971772,0.23405452314392627,0.22841396025028093,0.1920105664116368,0.23847281116100258,0.23363470101027958,0.18353271222556256,0.1256876876752237,0.2191765861104008,0.18870177188674875,0.18784404454371098,0.2332375634078519,0.2363906492198293,0.18056094855809365,0.24161376117724065,0.23666500897092704
Bulgarian,0.2749142366154902,0.26240895490754934,0.23631257197516367,0.2629039552391937,0.18479033373874884,0,0.26025113164869756,0.19398216733578091,0.22730697701451774,0.28209686880790635,0.27454310314400115,0.2771410296844784,0.2710169186264065,0.25917196897368194,0.2801002623786986,0.26758687094367956,0.26799023159003593,0.2646005193604028,0.2688844937454463,0.2772389646472858,0.23100709414803836,0.2516785347050879,0.19539165115544105,0.18866073630858138,0.270214310088769,0.23743439849635223,0.2844498408179162,0.26867963500208886,0.24975338867744787,0.20867091192401763,0.2633889385904631,0.2609197570456328,0.21570190761525235,0.20174516082044364,0.23207633620225318,0.22632596210576583,0.22007776072597787,0.24731799093150375,0.2671292335480164,0.2112354584586924,0.2638761042005739,0.2285374398829236
Catalan,0.2868336904260392,0.2686183656038344,0.23998060162852,0.27921708500991554,0.23753647404806894,0.26025113164869756,0,0.2519223919648127,0.2651925239791842,0.29366089364440834,0.2770838959232703,0.27572434620030134,0.2516040656788314,0.22323808557516278,0.28046698699514017,0.275362920374029,0.2817648090933176,0.27600353126796895,0.27247573632882727,0.2860493975250072,0.2007479708968066,0.2649266742726244,0.20804758880178434,0.2569867159576485,0.2818495870033226,0.24474699768868183,0.30107139957968904,0.28497466654015374,0.25718456069319096,0.24320288029366832,0.22330429671320437,0.2471636802075255,0.2569089099223501,0.258144998115955,0.24076338707663647,0.2718985985104132,0.2683927276086262,0.20531300227171162,0.27850883855645386,0.2509328626514044,0.28132490641130903,0.2315123338219857
Croatian,0.2647317668803355,0.25591181570383287,0.23204781696574797,0.26251900317634386,0.14639610481871126,0.19398216733578091,0.2519223919648127,0,0.212568610298562,0.2684580883255261,0.2641121934600134,0.27287781429221963,0.26218138377910205,0.2536294931425294,0.2698590305855402,0.26138088808809434,0.2645906921717932,0.2640640366606003,0.2590239075718499,0.2657923686059603,0.22592911752351483,0.24933450402149437,0.19307914252647446,0.19126430837827446,0.2643821471784395,0.23740594727559397,0.2757717790949061,0.2596254037637349,0.2439873933358748,0.2002931016452114,0.26093577265716744,0.2474379080888789,0.20783521427561907,0.15952764820453239,0.230407379440543,0.20890545918106332,0.2003072047373563,0.24592032671399192,0.2620090778704415,0.19913367701748325,0.2659040653533006,0.22876034445084675
Czech,0.2608634048157115,0.26304535927548195,0.23580633745658153,0.2628264954608063,0.19908094427758563,0.22730697701451774,0.2651925239791842,0.212568610298562,0,0.2684841591742858,0.26428420096749333,0.2657396414666913,0.26886521723001133,0.26437244456812437,0.283358337055572,0.2809945314544389,0.27101692612806566,0.274644699237336,0.2626299225775199,0.2681440175098149,0.2512911893834869,0.2447003875774261,0.20314607520480568,0.22113596003094546,0.26824113716181247,0.24049330347596656,0.2717954314807591,0.2648691332413215,0.25198594310463734,0.20422590619283862,0.2662336953748039,0.2644004452124933,0.21685641649126988,0.2102906965769004,0.23294673491041668,0.18968804480641396,0.22395033707199824,0.25719169689768306,0.2641783727619631,0.20886465264375068,0.261876382492082,0.23801087643860916
Danish,0.2531817354283676,0.2795847516020863,0.23914732105687933,0.2911638298894987,0.2383391009534526,0.28209686880790635,0.29366089364440834,0.2684580883255261,0.2684841591742858,0,0.25653252196976895,0.24403248849914735,0.2901008297672991,0.2861073457222234,0.24710137878702776,0.29407662631340303,0.2891223008501168,0.2878722227674501,0.2321110870984133,0.28295927775239277,0.24675213584968547,0.26387946031716714,0.21283239420482594,0.2688668555466135,0.2947810857569566,0.2438943856869248,0.2509946511685581,0.2880429050593147,0.25249117905158336,0.24634548943583828,0.27586670064419366,0.28061915886941136,0.2624187181433886,0.2669813523656531,0.24438731034898079,0.2809125212499554,0.27645058153664287,0.27387273839693715,0.23393300221859795,0.2562982639987195,0.28212008164963315,0.2304471662031122
