,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.009433956333761553,0.008002244794071862,0.009628743188101257,0.008547475339917465,0.00959599976365254,0.010017988129089711,0.009383763409391822,0.009097555634054288,0.01042675000418904,0.009773224412191733,0.009592291987447038,0.00996185030437463,0.009915568515265394,0.009834595775340552,0.009763620460541526,0.010123826223076931,0.009846375255654455,0.009538682507242392,0.010299641301462268,0.008296663393824294,0.00899668492063237,0.007040802368661278,0.009264256522739883,0.010166933513099411,0.008703331035036737,0.010317686156392569,0.010063971762983676,0.008668432970214352,0.008609106565464772,0.00947501778333689,0.009487614511257814,0.009070748992628644,0.009202603925226753,0.008520089386631128,0.009745719212647412,0.010122195879408723,0.009201908398263944,0.009751101871007013,0.00889408158198383,0.009336691889088977,0.007895216402516019
Albanian,0.009433956333761553,0,0.00785906212964965,0.008952513509512695,0.00828194316547608,0.008891291461896343,0.009284274309799395,0.008748317227619765,0.008591172747421237,0.00935342008849383,0.009090572607406226,0.009084549582575352,0.009102902289038874,0.008971074607381401,0.009202819231739792,0.0092574088123534,0.009614659885077375,0.00943639549139147,0.009080090794094919,0.009203405987827429,0.008036701008556685,0.008694899134650201,0.0069831270663725555,0.008718847806799804,0.0094588781774726,0.008499681161846058,0.009300966816074039,0.009333668294619624,0.008308836384349705,0.008389649282921274,0.008735556654404151,0.008951357188134825,0.008641733261099542,0.008633311635217886,0.00798558001962214,0.00913992169690229,0.009434289763691579,0.008579131722544264,0.00904195065634792,0.00851557602675963,0.008662959581689863,0.0077313728770157355
Armenian,0.008002244794071862,0.00785906212964965,0,0.007891638928122792,0.008112259109183076,0.007949467573276893,0.008000252621293426,0.007981566781450476,0.007788765359798857,0.008020693781934379,0.008058701239488571,0.008183859259451818,0.007854705255258197,0.007812844352050218,0.008074713099411795,0.007977502022806046,0.008330250098027783,0.008194611228837252,0.008036315177664764,0.007844808133274456,0.0077460770688206415,0.008241102248096514,0.007134199480015395,0.007961992531386792,0.008036993849819455,0.00787771144139841,0.007997014224504733,0.008027266203716327,0.007804568433019415,0.00802196431206876,0.007901573679367762,0.007998824431350658,0.007947680519347501,0.007970833958237306,0.007579311233932683,0.008011237330752841,0.008334668159422352,0.007715504296772361,0.00798339463504037,0.00794742753340239,0.007809596645742886,0.007684892021773948
Bengali,0.009628743188101257,0.008952513509512695,0.007891638928122792,0,0.008259636115408753,0.008979143308880074,0.009431824703291519,0.008838146940390567,0.008507480085933822,0.009582643683557567,0.009220719164326695,0.009255267948507988,0.009196782944496745,0.009247768317370402,0.0092016686076281,0.009248409569363182,0.009773874407198227,0.009429508786841864,0.009191647314389775,0.009425645934427613,0.008010308403894512,0.008665724772226172,0.006915926993882513,0.008773185956576442,0.009633408678181028,0.008401631059524819,0.00954962454220324,0.009577770815825613,0.008396315636632594,0.008318077603504876,0.008890800494044285,0.009007515800569573,0.008639406869923155,0.00875056373710171,0.008218059011414243,0.009099068750468163,0.00962225843674639,0.008711013674994288,0.00917122673212085,0.00846086771046262,0.00890103778840088,0.0076783201500449485
Bosnian,0.008547475339917465,0.00828194316547608,0.008112259109183076,0.008259636115408753,0,0.00821102377388444,0.008442682769076563,0.008246551244797163,0.008042426754659757,0.008411128122261042,0.008492298945310525,0.008412282356768153,0.008275579841177293,0.008254642023514842,0.00854768756026818,0.008398787257214189,0.00881836800920202,0.008753150229330466,0.008557721433733484,0.008318828304780297,0.007995351684351002,0.008477857151420978,0.007212786712545404,0.008148486472815263,0.008587539775799164,0.008233062502985326,0.00836464294100978,0.00853098084695852,0.008144562848415117,0.008262362617852143,0.008281977359904798,0.008377126038108298,0.008158698524305947,0.00809580904557136,0.008008910084284176,0.008326730573581059,0.008677573548184313,0.008117845806036835,0.008393624081326635,0.00806746160845858,0.00814467014943064,0.007852199254574416
Bulgarian,0.00959599976365254,0.008891291461896343,0.007949467573276893,0.008979143308880074,0.00821102377388444,0,0.009312615833520445,0.008785739419354016,0.008581919432849942,0.009496357414003433,0.009240822066056401,0.00888491830848892,0.009134768445723408,0.009212599812885702,0.009333565244655131,0.009166050368060587,0.009691004758632334,0.009490015007501821,0.009217599897294551,0.00936625718306215,0.007957820509818069,0.008632696392626966,0.006917568867079031,0.008955234354932158,0.009621122710151754,0.00841286317736763,0.009427614978974838,0.009471700979032206,0.008449210567145062,0.008352117948206767,0.008960943781476566,0.008946214588301197,0.008719757088006774,0.008836868506821456,0.008172813937473048,0.009232755471529153,0.009531170092669466,0.008677897038953785,0.009035543449090853,0.008531285675613193,0.008756724026962657,0.0076035462327101655
Catalan,0.010017988129089711,0.009284274309799395,0.008000252621293426,0.009431824703291519,0.008442682769076563,0.009312615833520445,0,0.009115207066536579,0.008795439569852449,0.010233106690201907,0.009520620119922744,0.00943788299356289,0.00974631775054892,0.009843789073880638,0.009515977081659101,0.00953595149413869,0.009923260149921257,0.009720479320780942,0.009399878550113781,0.009944183166498023,0.00813870426036067,0.00889029423077417,0.0070077247391080785,0.009056439988990535,0.009978378651576043,0.008647378852046002,0.010240752479561192,0.009974092503502644,0.008583200810633655,0.008482964016799214,0.009268891194595362,0.009451734751327979,0.008859366790649205,0.009034076365446024,0.008446695429392624,0.009516663814718652,0.010094481559295126,0.009127159691399272,0.009472250847432088,0.008768569303446418,0.009201231801367978,0.00784330198319318
Croatian,0.009383763409391822,0.008748317227619765,0.007981566781450476,0.008838146940390567,0.008246551244797163,0.008785739419354016,0.009115207066536579,0,0.008489992678709465,0.009232376543102681,0.009059291869818333,0.008848754732717646,0.008968665373390462,0.008963336513237078,0.00917274223737322,0.009037793916658392,0.009512281563624962,0.009436338736897917,0.009091281569933395,0.009121849855341162,0.007962267976025495,0.008686267521754575,0.006925189977530136,0.00873590520168599,0.009348640062137249,0.008367742713679127,0.00919440501926284,0.009309562018337127,0.008400100025153795,0.008359516928585286,0.008850218453442183,0.008814769309117492,0.008667988032080007,0.008846520061793291,0.008151194052958733,0.009076197311948352,0.009445616314779698,0.008532322792249362,0.00891454837395754,0.008446642859536252,0.00869009590671714,0.007659228544761844
Czech,0.009097555634054288,0.008591172747421237,0.007788765359798857,0.008507480085933822,0.008042426754659757,0.008581919432849942,0.008795439569852449,0.008489992678709465,0,0.009024162507552471,0.008810931846837582,0.008583455659245587,0.008777117907559091,0.00873679711078827,0.00901504038737293,0.00883591577901544,0.009235788579368085,0.009137660848863555,0.008860575867240055,0.008857643133200022,0.00792432541029767,0.008483026230704445,0.006928282492375799,0.008537478290389781,0.009045590530173779,0.008168695131525102,0.00887902531229981,0.009026394523291795,0.00823353792445311,0.008336275810259575,0.008605263461795997,0.008617356021502627,0.00846081041147936,0.00842510074540897,0.007855649518608029,0.009076497277786836,0.009012061206846212,0.008313961638485811,0.008608292027051531,0.008240529787491754,0.008341008848742908,0.007610325699957959
Danish,0.01042675000418904,0.00935342008849383,0.008020693781934379,0.009582643683557567,0.008411128122261042,0.009496357414003433,0.010233106690201907,0.009232376543102681,0.009024162507552471,0,0.009741224625166857,0.009428690409622853,0.010047996495216108,0.009985883497637026,0.00983886670931472,0.009786565701120544,0.010240634933339729,0.009954710100511221,0.009647449575392836,0.010341332515919385,0.008176698384066015,0.00887275443192874,0.00701625312308587,0.009194482814427482,0.010312180760350328,0.008658471351649214,0.010718313563229616,0.010332434993900751,0.008663393733559465,0.008566353969821755,0.009417556694271436,0.00948847793902071,0.009027603940925851,0.009129182037797213,0.008474245368588311,0.009765020109297022,0.01024437151316036,0.009134971091596306,0.00969818881622082,0.008833511917935754,0.009284416761824437,0.007772199870640626
