,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3.2714370871297582,2.9157256513663707,3.6786652306942247,3.0607055763067836,3.504126972073177,3.6842850840806696,3.3763243064641224,3.3274374978439836,3.252377091751636,2.5954490511502595,3.0900286895776787,3.521739018816161,3.427088426051014,3.167131154495803,3.5784822669168457,3.7117294202405477,3.68921007419677,3.129084252367977,3.542253624144142,3.0881927697681353,3.2436311719064084,2.768556614582752,3.3914022197669147,3.6850842371819765,2.9939660413083975,3.3680945372749225,3.4049049482210756,3.097367405816155,3.1838611251040794,3.349554083043634,3.4964439741138054,3.2789661007854263,3.392035322228726,2.9901357096181447,3.457753338348022,3.481130796031977,3.375800745062136,3.217224144862613,3.258532186559363,3.493512489818004,2.8211009476086013
Albanian,3.2714370871297582,0,2.88231159987945,3.4032512951614686,3.0383078246056083,3.3468468616435096,3.424646964191771,3.235067964145124,3.3074690752622087,3.2809297265691946,3.2538972071476318,3.346755275887436,3.2002196392495694,3.1129637850778433,3.333835169477162,3.3574849282054675,3.5234762217805566,3.460409138374565,3.242489821181322,3.1922995789549575,2.9231852623119448,3.26607773707499,2.7625280417569615,3.2483912842269707,3.3842774605264663,2.9091355554156904,3.4965222587281173,3.149340140943266,3.0196620713008286,3.1481576875713095,3.1246074866064033,3.2914854847798876,3.2051442156339913,3.303375425543489,2.7609634081385743,3.3447675505903205,3.3066035217797274,3.164052664843282,3.439490862470625,3.1513788870467274,3.284133449094306,2.804019366999531
Armenian,2.9157256513663707,2.88231159987945,0,3.0989018925344816,3.024137393860881,3.035354096771447,3.096576944705484,2.9984597374865025,3.0542941964162043,2.9591072657390116,3.0140435728661674,3.085961147739512,2.986556242163104,2.894720182558234,3.024502111744429,3.0319591199348817,3.1848484421429926,3.1829819103334147,2.926645311274877,2.8938397565492218,2.9818377084457186,3.1126444533740596,2.829167618099294,3.032167470355368,3.055582502886914,2.928340716218474,3.023582301009964,2.9022409446115276,2.858893392027501,3.0932057798828207,2.9840353194160145,3.069379148492199,3.027800003598614,3.049408328268055,2.791366714997092,2.9817647714353446,3.0888683176949603,3.0266692003631723,3.0287741454324077,3.036772645572953,3.072123877143258,2.8709315148353296
Bengali,3.6786652306942247,3.4032512951614686,3.0989018925344816,0,3.215083218091522,3.5108075791466975,3.702538575072158,3.451380976946616,3.437234087083983,3.684759865096499,3.5688988108003854,3.6072529191440315,3.5872135060879766,3.5067454286718345,3.564887500820014,3.5954761116486664,3.1920225132180122,3.100529033092124,3.5556408914336455,3.6483220968777563,3.1179263476320824,3.4404504570423615,2.8713541413953423,3.4141398348317042,3.2412058903749386,2.718399073847436,3.8208871426053377,3.4924878866820523,3.2678266826672147,3.2380113334782443,3.480018923352401,3.5898099155844365,3.4354436529819927,3.490352884226738,3.066751607366977,3.532742199034659,3.5260400884304732,3.421229618001418,3.635423672579351,3.3550120788895335,3.1449908746411874,3.041100066860855
Bosnian,3.0607055763067836,3.0383078246056083,3.024137393860881,3.215083218091522,0,2.650320807509196,3.2710146708210446,2.1031428718785854,2.658395397935116,3.119113362225406,3.1488476117745337,3.2918516711577333,3.1614757613212277,3.047401955526661,3.1930338980938235,3.2229577166450327,3.2831774617504745,3.340793455355424,3.06589239598621,3.155683138870572,2.9818919013680283,2.9920902359426176,2.6174995927526736,2.380752372395414,3.235135071432253,3.0494548887427437,3.1964951615496244,3.084650171843941,2.9610937734558425,2.6157085743535338,3.1417562350291566,3.141237786054868,2.5098438875718565,1.9069013480157264,2.909624230385416,2.542491524601646,2.6481294329843075,3.1087639759513377,3.2018092834035095,2.4667233017744157,3.227080056424577,3.026602310670228
Bulgarian,3.504126972073177,3.3468468616435096,3.035354096771447,3.5108075791466975,2.650320807509196,0,3.5414536892898605,2.7869735804734668,3.0429406396001912,3.5775952519642247,3.471357920897382,3.507431552723443,3.5329570725984,3.3702628074691785,3.5567725737175153,3.5030078561528453,3.561926520387627,3.5557245113732656,3.440881283518632,3.53874768146093,3.0365688754224145,3.320220495537084,2.6938345502694614,2.69869161640285,3.5707663167231765,3.097954055462363,3.724686860373569,3.470091532967915,3.197747823026282,2.8672897144977183,3.4125845351697253,3.4470230078108566,2.9536579358412562,2.8651609347982516,3.0546316108279243,3.056802721666176,3.0830754854376448,3.3033789087474954,3.5288698341013376,2.9432064459585066,3.4287271484191617,2.916342167479795
Catalan,3.6842850840806696,3.424646964191771,3.096576944705484,3.702538575072158,3.2710146708210446,3.5414536892898605,0,3.4663307231483964,3.5069112690510127,3.714534262165905,3.5540086865859637,3.513303785649068,3.3371477970527086,3.0127375508070275,3.594625659431397,3.6225324590434838,3.7800740296493602,3.7248310580531476,3.505613644097322,3.7027065802788313,2.75967302040323,3.500977915778479,2.8623314089880396,3.4799636956946083,3.745214154733247,3.210074139971538,3.8030346799182544,3.65397698519134,3.2716232417236197,3.260548477324732,3.0260686542991935,3.371236958094739,3.4627446469426597,3.5447275711457293,3.152308648009813,3.5904349027020634,3.6430814154214097,2.9206674833538524,3.599013491835312,3.4042761899666223,3.626853639172136,3.0291108795874857
Croatian,3.3763243064641224,3.235067964145124,2.9984597374865025,3.451380976946616,2.1031428718785854,2.7869735804734668,3.4663307231483964,0,2.8063025850868866,3.3975246686586797,3.3635936764833696,3.4441528442648206,3.414369212041451,3.278720595957121,3.437427920045682,3.4189624677751773,3.4900267242065137,3.536980143216102,3.3245094766353653,3.3964290973370668,2.9880667462474557,3.1846346738960793,2.5647014069399288,2.6703491044962955,3.4614189060671636,3.0492115144674186,3.5480563701953223,3.326996244933136,3.071387433596242,2.72361446146721,3.378324437432126,3.3070606959026683,2.7979116504533748,2.280689775665904,2.9739743506966807,2.800329217857109,2.750999747458646,3.2480755072644674,3.4264367253092813,2.6837436574130265,3.4097838991146046,2.9166634807371024
Czech,3.3274374978439836,3.3074690752622087,3.0542941964162043,3.437234087083983,2.658395397935116,3.0429406396001912,3.5069112690510127,2.8063025850868866,0,3.3612250949300644,3.3688338233864457,3.3267244998718954,3.3992644541840673,3.3280399576513977,3.5400939604020247,3.507107662469305,3.497570320008293,3.5294215534970323,3.348895907535826,3.4149819581074006,3.14087074633414,3.1242328935780503,2.7059528923230385,2.9775437121426376,3.464258247897275,3.0608601134508264,3.5148241165758836,3.330054836123057,3.169196548893361,2.744921743018343,3.4145581780835603,3.379584102648733,2.87509970659837,2.824427943746441,2.991997593013085,2.610411149288799,2.962678675694082,3.2660309839996633,3.4339451251932527,2.775662933016804,3.3578108715132897,2.9304009998570892
Danish,3.252377091751636,3.2809297265691946,2.9591072657390116,3.684759865096499,3.119113362225406,3.5775952519642247,3.714534262165905,3.3975246686586797,3.3612250949300644,0,3.2358290981615556,3.1090299100554355,3.5247360731473147,3.4057913129234154,3.2000636918372143,3.5986005124697886,3.6807862709368337,3.63522731486255,3.0189427355487894,3.4427913452781542,3.059145501339005,3.385487200167952,2.822177698130176,3.4666810271667456,3.6864924906070087,2.9762137027257176,3.3260366502223078,3.4511383057693394,3.0870152741278885,3.1792786301853804,3.3301951390072766,3.526326377539277,3.3650028891839066,3.4935006317634345,2.9590953429037596,3.504387170531608,3.532941222430273,3.319045255915243,3.1149663660278377,3.2941809281198164,3.467615407864621,2.772689041700998
