,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.4698220490592049,0.3895361802477363,0.47782248736098276,0.40997516038349874,0.47358103485809283,0.4792347697838745,0.4647024288634071,0.463206849277362,0.4866206307638335,0.3749953598154281,0.44235544204183347,0.4880749213565849,0.48415725898048123,0.4512262614750066,0.48351451886226776,0.4757451658485965,0.47123535203997347,0.4381984856849409,0.5031416042274122,0.41856969744471056,0.42517539476955785,0.3439555591017646,0.4539429046206427,0.4877713646180759,0.43711881565537075,0.47893842190006863,0.4802109237254041,0.4248973876363818,0.41291205435184225,0.4720765736942187,0.46419322196752283,0.4402361903647426,0.4511189946603349,0.4408040096461772,0.47553067738659166,0.47005426187829724,0.468248644179006,0.44662090369648944,0.43859362050909395,0.4741674691534638,0.3950973783827857
Albanian,0.4698220490592049,0,0.3972450188715256,0.46586754286637644,0.42153912478694766,0.46666887361369164,0.4687629245274776,0.45917179169448474,0.4645003449295958,0.4808495025434892,0.45936115611275813,0.46532780587351547,0.4724737331931333,0.4640306353945676,0.46501420614424355,0.475403939881858,0.47024998412881075,0.4643181539861018,0.4550805527960294,0.4765986146400032,0.4195271250523419,0.4378410184065219,0.3515298227784359,0.4505953159646348,0.4729922693702139,0.44179032930033413,0.47968512086474524,0.46764263592996913,0.4294376638517044,0.4194179771425635,0.4618098395093641,0.461507260237943,0.44741311820321866,0.45306874025840616,0.4297159571797394,0.4723815912520688,0.4647053176667488,0.4628296262980129,0.4620343614123228,0.4467546956591254,0.46494048775298646,0.40056469547950885
Armenian,0.3895361802477363,0.3972450188715256,0,0.403247074599558,0.39901566271589617,0.40399377907474326,0.3959804562956889,0.4045713008970773,0.4039979350574358,0.3999164177291117,0.39583854544281327,0.4063513350496158,0.3974731858102951,0.3929011123183146,0.40096302787449534,0.4027046396005453,0.40444478935976047,0.40391374060235413,0.3906232608165333,0.3949977936591112,0.4009330442546062,0.40118408615570134,0.35385930466460974,0.3999029110369661,0.39826502367073713,0.4081827385230943,0.3953673932645337,0.39469879205814185,0.3892781433575418,0.3954007867865534,0.40281184500216916,0.40577896107111733,0.3987778905763265,0.4020239124670446,0.39436219452930255,0.40371384068253513,0.4051311012704512,0.4030907829769862,0.3926244981582284,0.4016811321175155,0.4050655322492321,0.3932976495036678
Bengali,0.47782248736098276,0.46586754286637644,0.403247074599558,0,0.4185404511434594,0.4649926754880214,0.4689300430730525,0.4616444431217574,0.4487501752368895,0.4852259896946143,0.46302293729609934,0.4688600874044662,0.4733234598695538,0.4718320582220527,0.4628702513517059,0.4695427603501951,0.44213336911933726,0.43124362613553463,0.4595575906675013,0.4828618565717707,0.4130665260649691,0.4348046967022213,0.35033455499084587,0.4510995844882848,0.4504558434971239,0.4027028213191462,0.4874809980455914,0.4728143562476551,0.4290578470602547,0.4109339329247348,0.45951308289144777,0.45979189075523136,0.44271441120647076,0.45291061400463073,0.436253104003641,0.4665468811727305,0.46849010420365506,0.45893779617463965,0.4632285946990724,0.4382713517070558,0.43276368673176524,0.39664821890500906
Bosnian,0.40997516038349874,0.42153912478694766,0.39901566271589617,0.4185404511434594,0,0.3807693720941115,0.41135308779685914,0.33581873844819726,0.38638852914092353,0.4145550783967627,0.4157603716262623,0.4225646756073633,0.41372573931847684,0.4117632754369428,0.4202534389803829,0.42367389332986616,0.4203493059250667,0.42146373104962714,0.41174640915069877,0.41876612495739207,0.40138533538951937,0.4041997672899234,0.34986218418969106,0.34459966410515397,0.41702995764518297,0.4196978681191761,0.4156405175507787,0.4165043996366436,0.4094225083772047,0.3738578384191763,0.41323023902235345,0.41873249606025154,0.361436377507784,0.29418029477234287,0.4163369159934702,0.3747229128570941,0.3798491151365717,0.4148765436259578,0.4130210673160882,0.3656007205642859,0.41983215823378456,0.39822154728066483
Bulgarian,0.47358103485809283,0.46666887361369164,0.40399377907474326,0.4649926754880214,0.3807693720941115,0,0.4587360602851114,0.4005445372111066,0.4251199088998564,0.4814881688941435,0.46440400032744245,0.4576246593496963,0.46974711052423523,0.4676088300435463,0.4683705812368453,0.4683545267400095,0.4657724969746523,0.464033645325345,0.45785885100293533,0.4821679980951576,0.4085567734634137,0.4297286149905845,0.3433292244360224,0.3933285372539647,0.474437205860254,0.442130269801501,0.47857483276162743,0.4703223573964403,0.4321369746097414,0.38899106261509775,0.46229016912494764,0.45919156741556927,0.41566834143573234,0.40986765807983394,0.4399855217126137,0.4375496139408669,0.4323127566501246,0.45507425783530264,0.45680383625494925,0.4170072566813398,0.46363120338231234,0.3945409308970199
Catalan,0.4792347697838745,0.4687629245274776,0.3959804562956889,0.4689300430730525,0.41135308779685914,0.4587360602851114,0,0.45103941977749495,0.44975178666083565,0.49127370753363303,0.45933910385976123,0.4558779353812569,0.46247306357249357,0.4464684701259402,0.4603264799029146,0.46746474423070095,0.4614867702328826,0.4570095256218853,0.4488316740633595,0.48750545207880824,0.38321226975396366,0.42718671364585153,0.3444321038620206,0.4437212320208657,0.47317350808687875,0.43929970300834126,0.49004087134110214,0.48125586786343927,0.43155566777223536,0.40883441822573086,0.4289235113736218,0.44412687097645026,0.43604567933876714,0.4471751530182155,0.44064644578310264,0.4673433493765118,0.4659237426223995,0.4204708037565728,0.4556519702431467,0.4349249093665269,0.46640370557290833,0.39589013769328385
Croatian,0.4647024288634071,0.45917179169448474,0.4045713008970773,0.4616444431217574,0.33581873844819726,0.4005445372111066,0.45103941977749495,0,0.4164804520589208,0.46706047555533237,0.45744008278071663,0.4536899387302865,0.45966735764210737,0.46113922612995983,0.4623736321164876,0.4646021272464678,0.4607574922807618,0.4618577914663764,0.45274890326966233,0.4701531504188796,0.41242794828569135,0.4320613311060434,0.3428383532229871,0.38938810531706064,0.460718116533468,0.43745953806188104,0.46929438569868714,0.4606308734512841,0.4320789694108941,0.3873970018787794,0.4591105025926146,0.4509664457102925,0.4084055116009717,0.35618168748073953,0.43876273369310825,0.41659963198070243,0.4033280718277141,0.44969076755620485,0.45259380115250364,0.40003244840410407,0.4610294377024647,0.39986464637607855
Czech,0.463206849277362,0.4645003449295958,0.4039979350574358,0.4487501752368895,0.38638852914092353,0.4251199088998564,0.44975178666083565,0.4164804520589208,0,0.4618500244048668,0.45578624955319696,0.44431361446618933,0.4609830356589602,0.4633412069863861,0.46658372623500727,0.4648811079510703,0.4594869270375892,0.4600204568338239,0.4513917723876067,0.46902073515384446,0.4176437751182877,0.4269771016762975,0.3547282770940875,0.4191053878325247,0.46243054949005247,0.4326338194074318,0.4630156179175485,0.45825566600366374,0.43250949562984203,0.39066384607416355,0.4584778187946231,0.451003130702032,0.4112238970701977,0.40867736747612077,0.4325966091910465,0.4055043868210273,0.42159668992059807,0.4508907603736856,0.4452364341801626,0.40825937013726993,0.45134509727129324,0.399313912458746
Danish,0.4866206307638335,0.4808495025434892,0.3999164177291117,0.4852259896946143,0.4145550783967627,0.4814881688941435,0.49127370753363303,0.46706047555533237,0.4618500244048668,0,0.4556676677522849,0.449304678309405,0.4977172044185696,0.501129165624507,0.45965936790981876,0.4872617847082728,0.4814725483420744,0.47218414029937716,0.44840427547947903,0.5157916553817891,0.4108704919640584,0.4351336068921169,0.34844973938549667,0.4579854759003628,0.49744205398458075,0.4355336344229226,0.48488235346135977,0.4982472972226141,0.4352756701969458,0.4130976001479821,0.47705922819673297,0.4698442230443836,0.4487053662727188,0.4603344611288521,0.4448994490190345,0.4845151841324213,0.48061817988980626,0.4715455162866825,0.44512629235051376,0.44483624363692476,0.47443212024400605,0.3909483472891985
Dutch,0.3749953598154281,0.45936115611275813,0.39583854544281327,0.46302293729609934,0.4157603716262623,0.46440400032744245,0.45933910385976123,0.45744008278071663,0.45578624955319696,0.4556676677522849,0,0.4331913563361912,0.4702790617381163,0.4701447250766255,0.4320024272277692,0.46692099099728485,0.46176897124891186,0.46084998396071397,0.43708702177050845,0.47770485306745847,0.41627549861090773,0.427066709975424,0.34930363198912023,0.447089648848383,0.4718496366828462,0.44144991201473316,0.4553123360472089,0.47027932856488186,0.42996462659480095,0.4157287685360482,0.4606615682156143,0.4563089775941565,0.43876755913154614,0.44767079394925635,0.4410617805648346,0.4642012556414225,0.4532796288193552,0.45694646179839177,0.43260455411265314,0.43854439576219173,0.46238225851103704,0.40109385449587304
