,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.45228515333475267,0.3748806535732217,0.4629937194531201,0.3973869925366749,0.45964039316742744,0.466871875806254,0.44358320844257604,0.4465344072624483,0.4614236335457078,0.3539332099546453,0.43109215817412483,0.4688364145113229,0.46767044024721066,0.43389538889373397,0.4701096533569479,0.46447460216922204,0.4546633248716305,0.42114603514559673,0.49162705629352216,0.40427332928136533,0.4114697117197526,0.32438009424760805,0.4390870126653091,0.4735616479049576,0.4182522707212365,0.4495794158662097,0.4618326890213434,0.41241820693253733,0.40003718329968274,0.454179907904227,0.44314747341571176,0.42689761224074857,0.4377210539714254,0.4292269543621762,0.45784972804889434,0.44870586347868396,0.45469489430947874,0.4251076123334613,0.42255769753331995,0.45589919447359184,0.3843563075169111
Albanian,0.45228515333475267,0,0.381993726331335,0.4549693939078091,0.4039233259278171,0.4562035599940985,0.4590984818876898,0.44504200624857615,0.4541392890110626,0.463847399091032,0.4484191021493357,0.45964922294136007,0.4592676725543737,0.45118240989002184,0.45345049839848645,0.46531444899242747,0.4619080749229915,0.4520004697002182,0.4401227919732651,0.4678227079989246,0.41107974433666317,0.4189483511183699,0.33302499783492434,0.43454654668906756,0.4629238092362051,0.42708121779072133,0.465196772475082,0.45408555237196196,0.414538353326946,0.40463390266089844,0.4474919287045401,0.44461485547827767,0.4254460728432969,0.43557315776837735,0.4174862634512426,0.45658582469045694,0.451346418600075,0.45601177005039917,0.45068131425838537,0.42867935076224056,0.44997998043732385,0.3942324218316295
Armenian,0.3748806535732217,0.381993726331335,0,0.38957447971716164,0.38663358381510227,0.39400601028993737,0.3858248156039148,0.38947122836060044,0.3896895249207412,0.3842730264014769,0.38683675757129987,0.394131123788575,0.3849556274734954,0.3835673711658726,0.38844631767155496,0.39381277947231075,0.3932885022359571,0.3924346873977482,0.37808979968740003,0.385101389574801,0.3899565909513249,0.38198199715350756,0.3351804102878321,0.38781960069761856,0.3875776955792275,0.3921175876999803,0.38240556342713794,0.38245780426498743,0.3758281076246363,0.3813902670123489,0.3890340571013309,0.3872466163419146,0.3850129061687937,0.3903051087158038,0.3864308455484439,0.389182649150915,0.39017314659943736,0.3952438104113931,0.3805425119907694,0.39040880112545445,0.3879893381833767,0.3850037669713892
Bengali,0.4629937194531201,0.4549693939078091,0.38957447971716164,0,0.41066095824777155,0.45382951305997,0.45660880991808206,0.450271407679323,0.4367538425293799,0.47268025843176836,0.4474520507153362,0.4507171358245441,0.4588613126371907,0.4649030689296967,0.4481634225295578,0.455170969828611,0.4246010581669041,0.4138998975075226,0.4456544355248273,0.47005190376353256,0.40295150032993693,0.4199762637699687,0.3336050941703845,0.44253049773957437,0.43116912959203973,0.3918737837105386,0.4755623091106446,0.46222229939122067,0.41714966239446616,0.39910898887915536,0.44365555371747445,0.4453203024978789,0.4323722905434663,0.4441649182310939,0.4287368098077972,0.455249735973221,0.45447925972174064,0.4421979930811261,0.45136153561627385,0.4292514174415056,0.4199808940995695,0.3879083054455007
Bosnian,0.3973869925366749,0.4039233259278171,0.38663358381510227,0.41066095824777155,0,0.3673888739222962,0.40419958013058466,0.3125480871799274,0.3677161097646115,0.401944843499344,0.4050876361103793,0.416001311156366,0.40276695552320824,0.40033928052481144,0.41055475058840246,0.4123747113757319,0.4112094049535204,0.41139001115124946,0.4044568885084899,0.40793485171689126,0.3943519503108884,0.3841561928879945,0.3359993135180126,0.32355754999101144,0.40792574180866986,0.40766594566840647,0.3955565350299052,0.4041923252370327,0.398149781285598,0.36438332179896177,0.40247955811421626,0.40330824523651215,0.344565830591714,0.2767607897563375,0.40576339195683464,0.3551286521596387,0.35740837597717623,0.40366161225292824,0.40333902944228156,0.3504263014870788,0.40591061276256435,0.3926257370512936
Bulgarian,0.45964039316742744,0.4562035599940985,0.39400601028993737,0.45382951305997,0.3673888739222962,0,0.44345646651100784,0.3849691333397301,0.40037149988735465,0.4687388207858845,0.44813616795399697,0.43888285490792905,0.4592163594110035,0.4529065536994463,0.4563877476115285,0.4511806034075784,0.4489799697306017,0.4468839223285635,0.44720031324236703,0.46798639383897295,0.3972515087458644,0.4163417880461953,0.33355033704028947,0.37552374684402273,0.45600003086725444,0.43463384001036803,0.4672659587791506,0.4595715168498323,0.4204375062023759,0.37826025280368347,0.44350394871360843,0.44411295752890934,0.40188954996478854,0.3896488904172946,0.4347998488472794,0.41203426415162964,0.4100684734429257,0.4411067545602274,0.44852306764998273,0.40056818434922514,0.44961883831725363,0.3845542498203263
Catalan,0.466871875806254,0.4590984818876898,0.3858248156039148,0.45660880991808206,0.40419958013058466,0.44345646651100784,0,0.4376494993198624,0.4336448069436087,0.47746328555800593,0.44425077144555836,0.438552082519242,0.4489632678902249,0.4275046853322503,0.44811842883965414,0.4512629499309698,0.44943221608191286,0.44160377756865726,0.4399415296583207,0.47297805608894217,0.35774306274915946,0.4170174797429192,0.33076251154361924,0.43279804159323987,0.45600950750167274,0.42944067822686927,0.47991882665609314,0.4703885115973598,0.42008948379259936,0.3981456536825462,0.39662715325885994,0.43102561636263204,0.42528349185390374,0.4358948665852003,0.4299448339629936,0.4551190227417544,0.45250046956478523,0.3919466027805022,0.4478923162458248,0.42487507627666654,0.4489867401451045,0.38081523218584334
Croatian,0.44358320844257604,0.44504200624857615,0.38947122836060044,0.450271407679323,0.3125480871799274,0.3849691333397301,0.4376494993198624,0,0.39461179136570973,0.45008936125612936,0.4425213136554272,0.4378389760745005,0.4497854476049532,0.4441683951004194,0.4499212825234969,0.45163083607269916,0.44472729533905997,0.4462025653402774,0.43690485491495556,0.4564487501835604,0.402537665513375,0.41647053802103656,0.33077254249969323,0.3639639367741147,0.44776822307236236,0.4279267265467977,0.4503799949580536,0.4466655391703796,0.4166580494732293,0.37774668033360576,0.4433402293075069,0.4332469581330583,0.384269155526644,0.33128600017204973,0.42932193392664364,0.3893652003010203,0.38336400413965965,0.43847173749721585,0.44067687166862657,0.3819006621153283,0.4447457005436277,0.3896678434241956
Czech,0.4465344072624483,0.4541392890110626,0.3896895249207412,0.4367538425293799,0.3677161097646115,0.40037149988735465,0.4336448069436087,0.39461179136570973,0,0.443929256412895,0.4377250360807426,0.42698337250696883,0.4495359189352079,0.4469709615777617,0.44960201396381194,0.44701435224489633,0.44521207649304073,0.4448406396080511,0.4371797310373445,0.4537626267124765,0.4042360954605017,0.4078573188813311,0.3391768095371883,0.39942940892759166,0.4465071284853222,0.42414755791965153,0.44493988800246975,0.4474633273085436,0.4165418116580449,0.37471164807981977,0.4395356807364605,0.432034870953896,0.3950752297221601,0.38809660525641715,0.42556782028361506,0.38111490578470153,0.39281897368052604,0.43657977091305905,0.43574510499313085,0.38929299771208786,0.43807648944619426,0.3861018173577113
Danish,0.4614236335457078,0.463847399091032,0.3842730264014769,0.47268025843176836,0.401944843499344,0.4687388207858845,0.47746328555800593,0.45008936125612936,0.443929256412895,0,0.44360247859248186,0.44354208761042285,0.4848808851979197,0.4810364064713735,0.45013160502910454,0.47194310120004324,0.4686853878928804,0.462778781844432,0.42782342464259937,0.49344552122499863,0.3967257987712634,0.4218446144195213,0.33262590854633317,0.443124133866422,0.4829354543554361,0.4271316922208769,0.4728584179970795,0.48728136313931336,0.42134112976824495,0.40183086864153983,0.4564684614676191,0.4547461190615728,0.4344358622257483,0.4470356204965809,0.42999917641234636,0.4687642305657431,0.4613782651956249,0.4545465018183675,0.432337361226933,0.42866665050516417,0.463929878505546,0.3804763788865052
