,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.4689356884467872,0.39567499257156385,0.48688779524421194,0.41321520366303416,0.4807190261570764,0.48928524749764146,0.46880982461761544,0.4633486837321526,0.4935058510372361,0.4166223129511162,0.45359540152932426,0.4938408891210074,0.4954845148610908,0.46294433276886754,0.48812289922249485,0.48549334644343295,0.47844065789244156,0.4457770603434661,0.511032095953547,0.4243144774190264,0.42652207781654644,0.34669920333328835,0.4596032216813795,0.4993300250806242,0.43811790983307125,0.4844038378304015,0.48837683215217187,0.42767992964840496,0.41693154034946933,0.47407475101035024,0.4702023648571812,0.4449358677908197,0.4569344515915754,0.4442244549472948,0.4817336096761824,0.477688554811518,0.4777745558530699,0.46113280605248747,0.440388902457431,0.4800609765342767,0.39966139352184
Albanian,0.4689356884467872,0,0.3975583327830422,0.47184688314837026,0.42074872600758473,0.4694342492714272,0.47298289862809156,0.4596081584793792,0.4653039235584439,0.48739881122681283,0.4619107831919545,0.46938600649314577,0.4744666635980794,0.47489054299734834,0.4697802150431405,0.47885613038554387,0.47620247195113896,0.4691139169869082,0.4553758304370242,0.48059508003214885,0.42259468161092345,0.4348213790259232,0.35414614971590275,0.45362062492327754,0.48061898903227634,0.44514552530500867,0.48505694004457317,0.47115895866265844,0.42893085209071463,0.4203036303247769,0.46054116627847275,0.4671067456347404,0.44700481149675103,0.4554274932073356,0.43443357614034556,0.47728330089878485,0.46819728955324175,0.46944386227352025,0.47288702571631175,0.4487200154770453,0.4692805673495072,0.4054097415479739
Armenian,0.39567499257156385,0.3975583327830422,0,0.4131940889417909,0.40319968766213415,0.40802968928417177,0.4068347061894533,0.41001708448581636,0.40830806736638164,0.4055116090525314,0.40651123285805907,0.4148429728566388,0.40385104234055463,0.40509798749519327,0.40606730896914084,0.4104923762528241,0.4168701857840841,0.41306321887585834,0.3952852396042481,0.39989320824980656,0.40639396431366,0.4033035389119646,0.35903278977051034,0.4060610248625784,0.41113749111719916,0.41393751941301715,0.4013688776929703,0.40073428283981644,0.39081309786963925,0.40310305631050186,0.408158677559155,0.4120972521132862,0.4033666799651219,0.40778395442876486,0.40062932979296256,0.40935407080923375,0.4133059328275078,0.41667753402421986,0.4051359413100501,0.40883068466060896,0.4122001240550637,0.39853692152934544
Bengali,0.48688779524421194,0.47184688314837026,0.4131940889417909,0,0.42213960001463324,0.4673844287510125,0.4760675110987605,0.4631759184566003,0.45121153884760495,0.48955337317426084,0.46672326993142405,0.47411526515162195,0.47539252674163757,0.48046557100147086,0.4626767467240877,0.4731727393167151,0.4501061414415371,0.43959455409539905,0.46586316393873145,0.49064198227445177,0.41614152150726297,0.43247943767346386,0.35347299526134374,0.45462589826404864,0.46090169281143206,0.4139606753895157,0.493509765153485,0.4781328972211829,0.43197801754118587,0.41091479118818025,0.46609557972971316,0.4636557373926926,0.44513211973763966,0.45743562853288267,0.43958173726290717,0.47018826436370736,0.46799123136289383,0.46729885873182203,0.4716874555410154,0.440066277067973,0.4498289313126012,0.40323989791926984
Bosnian,0.41321520366303416,0.42074872600758473,0.40319968766213415,0.42213960001463324,0,0.3965251513916055,0.41912060467272627,0.3682243206239453,0.39897703608253504,0.42234479456167073,0.42140509638080925,0.4290681579635294,0.41649473015409966,0.41995483094572345,0.4215979908979601,0.4274743697532068,0.4302893902664829,0.42850472263206296,0.4172059948834894,0.4243164326634589,0.4060843059059063,0.40282929000757883,0.3523203255634846,0.3683380227835615,0.4272195438186421,0.4231954300281157,0.4215606630941776,0.41871861314752673,0.40815730912868464,0.38248900632887856,0.41957969838974907,0.42168477189219744,0.37710658200988073,0.3366060424612266,0.41953724804601195,0.39374375797144373,0.4000800628347833,0.42577203295450583,0.42394957428821745,0.38118170979965726,0.4255887374894532,0.4039619704197467
Bulgarian,0.4807190261570764,0.4694342492714272,0.40802968928417177,0.4673844287510125,0.3965251513916055,0,0.4663356553771991,0.422301988564874,0.43609314590280285,0.4860653036599582,0.46878158180694546,0.4608929754666349,0.4778293765793169,0.474800737963917,0.470565377389709,0.47322923193973687,0.46866497862131723,0.4641801646226143,0.4618389790402351,0.4878845524534454,0.4142203271807933,0.4307422793279058,0.34542777661540963,0.41809248683907135,0.4751257049812677,0.4446873930463953,0.4858231704284155,0.47396208095674913,0.43207838720032316,0.40134818946669715,0.46895924105376724,0.4630793374703002,0.42885972524162963,0.4311259289260701,0.4440633188672865,0.4502087107483351,0.443690535566154,0.46178672251626607,0.46391249992172967,0.42783014953096116,0.46857556626897257,0.3993782645301593
Catalan,0.48928524749764146,0.47298289862809156,0.4068347061894533,0.4760675110987605,0.41912060467272627,0.4663356553771991,0,0.4540571192312734,0.45212119086952723,0.49781208120029097,0.4628257327352816,0.4620604940718753,0.47422190889998517,0.46455262856021173,0.46425670810156666,0.47359447170182717,0.47214024117827535,0.4655375270715471,0.46087934292259053,0.4947024253112713,0.3987028519692706,0.43150949626386015,0.3476758863241658,0.45019271206459827,0.482352503538685,0.44565887957797445,0.5003110462906487,0.4858551186237313,0.43299224329533764,0.4099480083373198,0.4402635699542102,0.4521716108351217,0.44117940583876125,0.4536246986187763,0.4442309643705649,0.47241459943844516,0.47144443564543603,0.44050195729733266,0.47016971101321,0.4399350077044852,0.47258821962267766,0.40093176839695144
Croatian,0.46880982461761544,0.4596081584793792,0.41001708448581636,0.4631759184566003,0.3682243206239453,0.422301988564874,0.4540571192312734,0,0.4309742399227631,0.47141668766097744,0.45678812593394347,0.4575796024762563,0.46541224621748245,0.4642996305289784,0.4623032927860089,0.46350425652596233,0.4644805339391317,0.4651038759314084,0.4527649772273419,0.47302745119206824,0.4164070897349965,0.43005983899807443,0.34592991061742584,0.40995918093677014,0.4669345322458431,0.44368599880116744,0.4722660377637031,0.4621601127342256,0.4289818333347613,0.3932699697005955,0.4623943963802998,0.45076109757631627,0.4189758887035805,0.39542085994262377,0.44167682482790155,0.4298427320599237,0.4216781527285445,0.4542484108710414,0.4588266292988534,0.41273433271405724,0.4627662268223086,0.404834626952874
Czech,0.4633486837321526,0.4653039235584439,0.40830806736638164,0.45121153884760495,0.39897703608253504,0.43609314590280285,0.45212119086952723,0.4309742399227631,0,0.46402865666775955,0.4530824977777785,0.4460324479686158,0.4647886080216182,0.46323531983690636,0.4646581745233093,0.4644998818650447,0.4608035958596435,0.46166498567806497,0.45233904163266686,0.4697096606694413,0.422027423942708,0.42560270545831486,0.3552861122159689,0.42917958466738043,0.46426618130558306,0.4324209517849471,0.46611593199953016,0.46148150467365695,0.42801057275174315,0.3972943309592863,0.4614977339203174,0.4504097574099299,0.4181045586495832,0.4225099065809847,0.4341666089839993,0.426106270354864,0.4274627706219772,0.452111506289923,0.45039731754518203,0.4146922331764486,0.45564803215418465,0.4037428821683095
Danish,0.4935058510372361,0.48739881122681283,0.4055116090525314,0.48955337317426084,0.42234479456167073,0.4860653036599582,0.49781208120029097,0.47141668766097744,0.46402865666775955,0,0.46276303319364653,0.45171500357507116,0.5068635845667162,0.5035043390814956,0.4613356049915503,0.48881944145788814,0.4835457034789749,0.47841086798102095,0.4528713446214964,0.5152068622797454,0.41542281313210283,0.4366162697722702,0.34763030806816675,0.46792556062326657,0.49890269042436813,0.44233290756646115,0.5053951789732469,0.50185400957699,0.43415321248012534,0.4150103140048432,0.47794833800722,0.47351998710802545,0.45768620238050367,0.4696825818590486,0.45070923431883214,0.48913762308210645,0.48581135297144423,0.4762243557411599,0.4579201360024151,0.45446383181739547,0.48162020381044895,0.3939692520095355
