,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.472547126631761,0.396384683818588,0.48785480850807733,0.4157107392213153,0.4820848937014502,0.4907198731104586,0.4719214924863381,0.46396082941187916,0.4950086201891323,0.39849266830554436,0.45514514300099346,0.4967847596196844,0.4969115572178771,0.4627263590430986,0.48996820149695897,0.48597385244457203,0.47827016531995054,0.4453909436588027,0.5129077812133909,0.42498476459441226,0.43064165140267013,0.34701532284578623,0.46092930706013696,0.5004314901180089,0.4394613834160518,0.48825474205778563,0.4920669675197098,0.42979051710488164,0.4182943591018544,0.4781621947651369,0.4717602824051423,0.4466323467827175,0.4603788904312404,0.44458029376928904,0.4818668196848488,0.4778724473939374,0.47773234896364813,0.4626684673130582,0.4451232780213946,0.4796313026479871,0.3979351836684378
Albanian,0.472547126631761,0,0.4011056115665592,0.4758574277354776,0.4205449096355421,0.47186807599863245,0.47339753989062205,0.4624415662630448,0.4676703796752114,0.48697796733326526,0.4628209546020037,0.47285260509928606,0.47309647720854286,0.4726177351820636,0.47166438515067816,0.4814930972683057,0.4780586673964215,0.47043967509141926,0.46060414999765553,0.4844386852359054,0.4216229117165422,0.43536049017807005,0.3537852470069925,0.45362422726943974,0.4819956599250304,0.4473308073829466,0.4876924437298614,0.4757898927200968,0.4333162839768614,0.422412582112611,0.46254224612757433,0.4676887319345415,0.45069429648202725,0.45627881068706944,0.4348252698997001,0.4778518389827413,0.46770070662577135,0.4663976922916283,0.4745521058194068,0.45066337251643157,0.4723706604906683,0.40627302426975187
Armenian,0.396384683818588,0.4011056115665592,0,0.41228168993642494,0.4049990789969599,0.4095202900234585,0.4060822955486444,0.41083691624201735,0.40810942971215025,0.404508786115377,0.40576290642492646,0.41340593884789634,0.40375022402003125,0.40329290455347594,0.4059131818594033,0.4118191165799159,0.4155842172703954,0.4114110632206205,0.3969678251249445,0.4004647489235793,0.40585232565952983,0.40467236385308275,0.3602186924366625,0.4065863283000959,0.4111374849775562,0.4134863377570811,0.40197494915454884,0.4013055277127158,0.39085244166269845,0.4017480020708422,0.4088377220371628,0.41163006532024393,0.4041658041904005,0.40811600097015405,0.40136349165459223,0.4087177241774817,0.41333240839849356,0.4130834677853181,0.40450315371181056,0.40931815015962836,0.40996244789696246,0.3958160855859992
Bengali,0.48785480850807733,0.4758574277354776,0.41228168993642494,0,0.42699398124084403,0.47111376264605953,0.4777059815700495,0.4697961300509838,0.4565088418185292,0.4963152319508557,0.46911388351772615,0.4760346098436903,0.4800760942928981,0.4818266739535244,0.46637141630752166,0.47567277272839076,0.4478437561433782,0.43420105812493737,0.46899282736346476,0.49159183658222483,0.42000371429620525,0.43456611607653123,0.3538964846350871,0.4613813362770266,0.4605250955615372,0.4051685073255502,0.49451109969647933,0.4802283773295949,0.43408105442775763,0.41472187443839736,0.46619472904981024,0.4694180709195736,0.4514401192220953,0.4622089915274247,0.44118077220767893,0.4736449401259896,0.47322104776150176,0.46771354525331477,0.4740803630854422,0.44724554327630167,0.44093158024995055,0.40376586667280295
Bosnian,0.4157107392213153,0.4205449096355421,0.4049990789969599,0.42699398124084403,0,0.38884424096471887,0.4216887130193453,0.3543312016798987,0.39596028022007346,0.42465043886310394,0.4238348214869242,0.4331840413124356,0.4171360293762184,0.41781064668841505,0.4239309112681636,0.43081375170205966,0.4325012071302986,0.4315967325656116,0.41812115628429275,0.42655689364038346,0.40651417748295754,0.4021115885946689,0.3516310695697567,0.35262735958556857,0.4290881810047376,0.42705525509241404,0.4217448927985341,0.4220861222141045,0.41297884374956034,0.38212297490059227,0.4189068017958545,0.42541302319044566,0.36957959468626994,0.3100953794602425,0.4199363522272522,0.3880193418244698,0.3913636027516891,0.42341850281282156,0.42381834584609984,0.3732408467858297,0.4287656824647609,0.4058594172749212
Bulgarian,0.4820848937014502,0.47186807599863245,0.4095202900234585,0.47111376264605953,0.38884424096471887,0,0.46864670246464907,0.416558452433809,0.4330285522779484,0.4912911465419368,0.4721617761133558,0.4646944213884886,0.47862997606389057,0.47580999890155,0.47417559560945716,0.47823413474256055,0.4720140430553717,0.46889106554834104,0.4652268947123861,0.4889539797007579,0.41774261440038746,0.43152941257811545,0.3469479690488815,0.41112217139580226,0.4802463460494632,0.4464284822083385,0.48671295514258534,0.4769295286105961,0.4361943077952975,0.401696383805223,0.4690713863165623,0.46847815084274697,0.4260053734908107,0.4246989193014736,0.4458980574279256,0.446290369447478,0.4426942643463468,0.46455278681208884,0.46611924832451396,0.4289796384345665,0.4701689941542653,0.4015806439175305
Catalan,0.4907198731104586,0.47339753989062205,0.4060822955486444,0.4777059815700495,0.4216887130193453,0.46864670246464907,0,0.4593955651894919,0.4551141123377486,0.5035121023649435,0.46898559491693975,0.46506107250795614,0.47397265202669797,0.4602144712896717,0.4686900071495897,0.47647577738402835,0.4757353029620352,0.46480908847763,0.4615072718735854,0.4961314379825241,0.39488444121572536,0.4328560250354949,0.349907245363339,0.45367334063304743,0.48600858623877247,0.4458675835169304,0.49899910060365454,0.4880695457008547,0.4349769062850219,0.41337452343090164,0.43547604324825223,0.45609609121851963,0.44550011019103863,0.4581770257615421,0.4441012976868372,0.47339974030108883,0.4743025741898136,0.43313669576507424,0.47040638381930333,0.4470421562550387,0.4707797404802542,0.40326000523674443
Croatian,0.4719214924863381,0.4624415662630448,0.41083691624201735,0.4697961300509838,0.3543312016798987,0.416558452433809,0.4593955651894919,0,0.4284609398402524,0.4778127120767042,0.4607987085309792,0.4595211310977911,0.4668439662143305,0.4672957666265283,0.46501383686046893,0.4691988439840999,0.4665834951101734,0.4699972984828457,0.4596518806513575,0.47645860957805136,0.41758955555474403,0.4308101159772451,0.34568225388755214,0.40668063801209603,0.4674414881385159,0.4459310298805349,0.4753541030781332,0.46700594134430146,0.436349371231929,0.39481433904696756,0.46447641325956485,0.4559724200616123,0.4191294145504706,0.3813447776018178,0.44450038905543576,0.42587800478513815,0.41388369437650147,0.45640058050743554,0.46258981533761356,0.41123187161697594,0.46732026374841923,0.4068354639471306
Czech,0.46396082941187916,0.4676703796752114,0.40810942971215025,0.4565088418185292,0.39596028022007346,0.4330285522779484,0.4551141123377486,0.4284609398402524,0,0.4694068104334508,0.4595507296686435,0.4497944321089604,0.4675823028213636,0.46429976734670075,0.468857408285743,0.47086613131356114,0.4658526948045468,0.4673547651043346,0.4538421601425276,0.47256030499341617,0.42424237252964786,0.4261679078267242,0.35629532547415815,0.42853573972115877,0.4698671093556033,0.43646210713227845,0.466524492566219,0.4659154846022897,0.43470239910892533,0.397097258603304,0.46280468175171646,0.4522092582536529,0.4153292014199738,0.42084324166683684,0.4345360901233817,0.4146797923172778,0.4267612347612991,0.4554123211426236,0.4523369963210505,0.4158348785796944,0.46082553515696534,0.4060805586740603
Danish,0.4950086201891323,0.48697796733326526,0.404508786115377,0.4963152319508557,0.42465043886310394,0.4912911465419368,0.5035121023649435,0.4778127120767042,0.4694068104334508,0,0.46629618414289353,0.45552443482567584,0.5089477582777168,0.5075763362256658,0.4623880502804828,0.49272217389917256,0.4900762762708306,0.4840427210463359,0.4530827664534915,0.5161867173210811,0.4181876930085871,0.4384113944251798,0.3493801353469623,0.4719260066199193,0.5048278840447543,0.44358802198808556,0.5017883183404254,0.5067901508211391,0.43751136797909945,0.4198494513907031,0.4798999314655126,0.47722482584833953,0.4595701662323501,0.47225595217580596,0.45224027454338417,0.4919558578571563,0.49012798176913636,0.48049490269303213,0.46091415473478115,0.4566588469606337,0.4851608032786363,0.39563523118482624
