,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.4710942423615889,0.39179496162975536,0.4837269003320922,0.41295757358726043,0.47615399930676217,0.4872492919818478,0.4672737469428452,0.4619560097803626,0.48746495531527484,0.3797171652791722,0.4442695175436896,0.4914653534316212,0.4953090393115813,0.45236519843244405,0.48532947781645797,0.48200999665658534,0.47675462740999497,0.4399111059090089,0.508414096599686,0.421281067443388,0.4194482119713856,0.34019882831697523,0.45897355049450206,0.4964869946096483,0.43780753309075,0.48488225650452904,0.48729107287281825,0.4277916886533398,0.41290478306522016,0.4719569152382083,0.4683624381965609,0.4451646757283922,0.4574144344273218,0.44318629016566546,0.47692563969894725,0.4748103463656645,0.4751677289999232,0.4547728875634895,0.4428102808377194,0.4764693691926856,0.3952499210279108
Albanian,0.4710942423615889,0,0.39793717997727857,0.4724201023986713,0.4152926076468959,0.4651678182128298,0.46998109838116986,0.45658054069953075,0.46466332814949074,0.4851579557632302,0.4597527472618659,0.46800265729173485,0.4684887051555958,0.4710198411928519,0.4636244204671643,0.47421465511824756,0.4789279571064524,0.4709839242693333,0.4571442768363742,0.4817328942590703,0.41493793282161234,0.42705774279544023,0.34815550181159505,0.44810577386381795,0.48191082391239815,0.4437511086002026,0.48784325375650384,0.47699413463673296,0.43115348880838006,0.4184014211879022,0.4549124046460227,0.4646716359799756,0.44411100640348194,0.4503550830238396,0.43238733612387553,0.47433404045519656,0.4657569543311645,0.46141225715102846,0.46952273406947,0.44491274218769916,0.46834136734649623,0.40093238629996897
Armenian,0.39179496162975536,0.39793717997727857,0,0.4089314691341407,0.4021950874815786,0.4045418711432085,0.40202087048476404,0.4049930482969857,0.40367225474288876,0.4010220591286956,0.39992869067728193,0.40710593383399907,0.3987786208415321,0.39998369849251847,0.40127240757275057,0.40592218637482325,0.4135492659029487,0.411574069145259,0.39309862342562074,0.396873146562127,0.4000931163781805,0.3958540669315556,0.35225211938575257,0.4032451758844623,0.4090828099688617,0.41258010844235543,0.4010155143326463,0.40096605402597246,0.38940005900207275,0.39697829886930447,0.4009362057582022,0.4063676366544163,0.4017062470790802,0.4061801454153532,0.39819984100746464,0.40460974597546046,0.4110263263850703,0.40726592761731384,0.4006683091019559,0.40654097358047037,0.4085546222263476,0.3927518965342086
Bengali,0.4837269003320922,0.4724201023986713,0.4089314691341407,0,0.4241317472496948,0.4674529581817961,0.47463054954928796,0.46604789385868306,0.4541930956594097,0.491968265796015,0.46625729727646237,0.4734027217615854,0.47557113683571006,0.47980709814488365,0.46423268244213167,0.4690463742513496,0.44258997578558784,0.4279934591039437,0.4641642942466594,0.48949079792890376,0.41699773798972856,0.42853054630381193,0.3479913730520794,0.45918094228199285,0.4556127977327038,0.39997406374895805,0.49342075771945454,0.4772041246031576,0.43162755756679083,0.41103337707313126,0.45984976103700886,0.4646877947501659,0.44945262108726863,0.46112414129712365,0.4375010711068381,0.4705308443094488,0.4697093807255525,0.46395908918138445,0.47124046918750584,0.4462345392059986,0.4334981340572102,0.4010263499268202
Bosnian,0.41295757358726043,0.4152926076468959,0.4021950874815786,0.4241317472496948,0,0.3775123798754034,0.4162785818057443,0.33609515405216345,0.3875643074483246,0.42110932403119655,0.41874702812120557,0.42790515873665697,0.41366077553870845,0.41638991804880815,0.41850930134279557,0.42360765781729,0.42939989066071327,0.4297201109357314,0.4142803403238664,0.4225692443098326,0.4014629018880453,0.3952391469726828,0.3449833127407166,0.34450320730931455,0.42631794527317224,0.4266375713111309,0.42125286693828906,0.422061972052039,0.41046436051302,0.3750981245251365,0.413457146996829,0.42207478131182874,0.36198888766545556,0.2972910484805209,0.4165009137520401,0.3776978796541971,0.3856365734060863,0.4170079837459288,0.4189586176197826,0.3658517067192353,0.426274723070492,0.4019900210492667
Bulgarian,0.47615399930676217,0.4651678182128298,0.4045418711432085,0.4674529581817961,0.3775123798754034,0,0.4630822054502109,0.400354451335644,0.4261619781043171,0.48701976721313844,0.4646551505955004,0.45656276197988516,0.4715681990798848,0.4729801145492011,0.46196329508225903,0.4659955754329304,0.4730751087002795,0.46877778011659765,0.4579054041861798,0.4865390147908918,0.40122453699455085,0.4164447535138768,0.33600270164411994,0.4010422174409197,0.48195248617487757,0.4416661010861827,0.4850720144237987,0.4784030828901104,0.4341558462999762,0.38770237128891677,0.4592975582352701,0.458593131915571,0.41857365123153994,0.41378030658659526,0.4402105194720629,0.4357044172758352,0.4362538230135907,0.4541517242890304,0.4597277397138841,0.41975492231458733,0.4680554014134764,0.39341512411235435
Catalan,0.4872492919818478,0.46998109838116986,0.40202087048476404,0.47463054954928796,0.4162785818057443,0.4630822054502109,0,0.4535752894637886,0.45179811343615284,0.4989578370880611,0.4656243065518465,0.4612107053457868,0.4695414705112277,0.4532862888704876,0.46528436187320665,0.47057973702466216,0.4744515342496653,0.4660897907751316,0.4562345525000762,0.49675978604402843,0.3858479693875204,0.4230959827251065,0.3423132092382502,0.4503406373503433,0.4862228309230973,0.4446932791675211,0.4978756281030545,0.4879384419706562,0.43424211965899684,0.40928620235685625,0.4290588662755247,0.44879516545882875,0.44183765545652476,0.4533090585442123,0.44294093355561737,0.4689725317594237,0.4720830657986958,0.42586544233592794,0.46734628696475794,0.4427586987067027,0.47044739558869025,0.3992966168530646
Croatian,0.4672737469428452,0.45658054069953075,0.4049930482969857,0.46604789385868306,0.33609515405216345,0.400354451335644,0.4535752894637886,0,0.4212378279743543,0.47489972661593377,0.45499487219760565,0.45425285806754234,0.46288464216427455,0.46403815100472606,0.4586840753945634,0.46090502961304036,0.4658829666885497,0.470562099951448,0.4538607459344634,0.47554662968118616,0.40489890736221523,0.41791735579825723,0.33500533811568933,0.3954230957277178,0.46765679982924446,0.44299736992588995,0.4770514894734896,0.4681082716886705,0.43507625560086677,0.3844927234800846,0.45779660829816654,0.4494592389890505,0.4094934695551297,0.3640211547080688,0.44019980900500744,0.4171611421310194,0.4065908290885697,0.4481294377283541,0.4574333878672739,0.4040991619181474,0.46716409809014126,0.4021536357617365
Czech,0.4619560097803626,0.46466332814949074,0.40367225474288876,0.4541930956594097,0.3875643074483246,0.4261619781043171,0.45179811343615284,0.4212378279743543,0,0.46661873901762685,0.4548778522352181,0.4464589243282231,0.4632750355300945,0.46368716097770174,0.4646710134721305,0.4655873618404341,0.46413981153665496,0.4669195823073402,0.4513599152644026,0.4715621114239879,0.41690270177024724,0.41506767918024334,0.34862127938597853,0.4232709771706648,0.4687712451235355,0.4337050576576881,0.46732813711590265,0.4661871086816662,0.43367217563829463,0.3850203026707993,0.45514477510743934,0.44911864070981966,0.40941685678974077,0.4148387452268802,0.43268184785752517,0.4019420255018962,0.42370516019647864,0.4500767383862389,0.4496892846830468,0.41049077770635073,0.4591300069932142,0.40004229347659254
Danish,0.48746495531527484,0.4851579557632302,0.4010220591286956,0.491968265796015,0.42110932403119655,0.48701976721313844,0.4989578370880611,0.47489972661593377,0.46661873901762685,0,0.4611424978622479,0.45186321926117473,0.5030581327533525,0.5038777948491134,0.4581190472918856,0.4891048087633644,0.48615954018813284,0.4790330948267069,0.44825253004525206,0.5118832329954222,0.4164198456068974,0.43120668250588323,0.34420460200814884,0.4686124376218705,0.5034442575426906,0.4384971926210459,0.4900384204595142,0.50262382749704,0.4350978168506803,0.41568761502501045,0.4770809756192795,0.4767892419345829,0.4557384158212561,0.4691712625050704,0.45137904153136427,0.4882631222328257,0.4868195258432625,0.4760721166527076,0.45226495711364406,0.45321340706415925,0.4798356378175174,0.3929737533546636
