,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.47633372929861667,0.3907722882308736,0.4849678840282494,0.4148329459237182,0.4852830226931241,0.4899957574080727,0.47879774051110807,0.46782801734513363,0.4932985527863271,0.40300851751854505,0.45006480662801684,0.4984753745296326,0.49562569252851413,0.4630028875011329,0.4904861731138781,0.4822358227276991,0.47750771112623736,0.441646565818203,0.5071826692100526,0.42497407783023744,0.42689986710839967,0.3444052445672815,0.4623959703119267,0.49846077317205595,0.44045209126833906,0.4889748150599495,0.4885101148078571,0.4292781686484353,0.4165209981080297,0.48072302033670505,0.46922756593813103,0.4474755375140704,0.4610776426549594,0.4476336255690478,0.47979021718292963,0.4729701590673896,0.480035155784265,0.46783797583092107,0.4465123044429297,0.4826971866450581,0.3980024500073698
Albanian,0.47633372929861667,0,0.40158074023507356,0.4744928453366906,0.4232230295864548,0.4737542615238461,0.4757010605280984,0.46525600260355454,0.4696475972536925,0.4884921642436899,0.46507003870256425,0.47209585060001774,0.47592056413337197,0.4760001452232516,0.46968488360133887,0.48012934460674994,0.4798679147924539,0.47382653372330424,0.46067322167895053,0.4831404066603341,0.4207289315292334,0.436845564513096,0.3544880585811623,0.45548898872790367,0.483075951303492,0.44712254283634556,0.48952553897539813,0.47877525728959625,0.43378683958002173,0.4247482895709547,0.4648738153802048,0.4693411986630757,0.45204990834340436,0.4568338006325714,0.4367701005618616,0.4818613775042207,0.46765833065401313,0.46885710594367963,0.47658987214356463,0.4508504361205989,0.4739864579413331,0.4061487884089112
Armenian,0.3907722882308736,0.40158074023507356,0,0.40853570992220817,0.4033778859494521,0.4111816935436434,0.40336256900441136,0.4139229189105767,0.4098891761462142,0.40343640329177705,0.40255203813805324,0.4089882732889394,0.4038842541287541,0.3994937447470085,0.4033712964419405,0.4083441540715296,0.4126145066186525,0.41007721356024535,0.3913505831258193,0.3940538221816672,0.4049415714278468,0.4052681196902375,0.3573544196184373,0.4051640129457335,0.40720446553706535,0.41370325715145395,0.39830111000089036,0.39865949531854755,0.3892198036594644,0.4029526981717076,0.4097753608674871,0.40792317827552876,0.4037421295715291,0.40689153657482163,0.40370251133223367,0.4066977606966176,0.4088721779157071,0.4134291389322145,0.40475495535343525,0.40927856178282573,0.4116493746941529,0.39881366319748157
Bengali,0.4849678840282494,0.4744928453366906,0.40853570992220817,0,0.42368899178182245,0.47208855674391126,0.4768800104130054,0.46968985056649104,0.45655987856278063,0.4915178021275011,0.4692172734476613,0.47620009520824313,0.47926128689164593,0.4811175551191214,0.4657559257503711,0.47220803663287936,0.45048033937919285,0.4363995501348023,0.4665550983132753,0.4876211992601867,0.4216840188138098,0.4333581883088912,0.35016219524984826,0.4592427765079051,0.46187655116536536,0.40427429802643206,0.4895581493903391,0.4767312314072813,0.4326688242498828,0.41223525516122095,0.46939166219721984,0.4643909101768928,0.4511801694569925,0.46153543255312174,0.4395941121213313,0.4705344704677476,0.4669036173924928,0.46881000124861866,0.47341933056437047,0.4466115092218674,0.43847025837161824,0.40428460722187815
Bosnian,0.4148329459237182,0.4232230295864548,0.4033778859494521,0.42368899178182245,0,0.3947571126624855,0.42032454062981384,0.3724203055755252,0.3980597517589739,0.4225324085959996,0.4238669578845826,0.42961848487841375,0.4183958242151701,0.4195677137029105,0.4213270411679405,0.4268892158843948,0.42791147115550643,0.42901486156341395,0.41674032162604263,0.4205115339953824,0.4109949233357835,0.4026579642158201,0.34907172497482203,0.36174909580566816,0.4256053118181068,0.42820254166052885,0.41967790950308187,0.422467296413018,0.41092409077533615,0.3846262494379971,0.4229950449820672,0.42434707288437507,0.3704868907123722,0.32292498964081867,0.42266297469548497,0.3881718333830074,0.3937083108640089,0.424578040398625,0.42395704408903806,0.3735340611173007,0.42898607504873687,0.4062606983844745
Bulgarian,0.4852830226931241,0.4737542615238461,0.4111816935436434,0.47208855674391126,0.3947571126624855,0,0.46907412112487906,0.4172798632786909,0.4355609274175104,0.49084558187936467,0.4709107602191188,0.4636353188873067,0.4745838854060086,0.48155347264071185,0.4676554942124487,0.4664029345029843,0.47830609350795217,0.4720740620747654,0.46617346338118437,0.49089993482117544,0.4045135963437635,0.42424708492883295,0.3417156134690731,0.42094897408991755,0.4877229585373169,0.4456982163884238,0.4883281761210382,0.4835627194041658,0.4361465047098778,0.3950661335926194,0.46588785694515866,0.463211627671206,0.429505993344791,0.4310377417190089,0.44753090439479754,0.4512102532207189,0.44736980770138435,0.45769230881661127,0.46843987338155396,0.4271281760502692,0.4731125531742678,0.39923161771065635
Catalan,0.4899957574080727,0.4757010605280984,0.40336256900441136,0.4768800104130054,0.42032454062981384,0.46907412112487906,0,0.4611490031462383,0.4541452524883533,0.5024198647000702,0.4702235380057546,0.4664801927282756,0.4741918248552368,0.4672346339739503,0.4687702374974527,0.47318706781352016,0.4740236021403172,0.4678716051973577,0.4601446930492682,0.4962757255160875,0.397215730131884,0.4283302692727458,0.34473436562771087,0.4541304137223195,0.4869518888330797,0.4440800393231825,0.49823513961093663,0.4871171772610809,0.4325188274977659,0.409638662904159,0.44337759544737554,0.4573581124714364,0.44524237420521956,0.4575934128065264,0.4460295695292727,0.4714775722055792,0.473785680930291,0.44083274857946936,0.472634895705435,0.4445222526693474,0.4745326510043447,0.40342671853612444
Croatian,0.47879774051110807,0.46525600260355454,0.4139229189105767,0.46968985056649104,0.3724203055755252,0.4172798632786909,0.4611490031462383,0,0.43078900673266257,0.48056697268030707,0.4621794543902276,0.4587706340246164,0.46601864550047983,0.47226992429651676,0.46282306982338817,0.46251799690798395,0.47133758115208013,0.4757572182458447,0.4633477253164904,0.48048993279169283,0.4099672738581187,0.4255713222377574,0.3428547636124936,0.42005887981079276,0.47205964641428827,0.4483498162737161,0.4809610119467528,0.47528261642690384,0.43809984547233993,0.39250391331236945,0.4646718980033479,0.4540514321488385,0.42433249384166144,0.3992749525011949,0.44706299706464525,0.43523175079278265,0.4246824254580919,0.4529970094352176,0.46591119839466727,0.4169360142178968,0.47309650684228377,0.40811670794454424
Czech,0.46782801734513363,0.4696475972536925,0.4098891761462142,0.45655987856278063,0.3980597517589739,0.4355609274175104,0.4541452524883533,0.43078900673266257,0,0.4684704558306921,0.4588753796375766,0.4488044853983464,0.46313744469400886,0.46944513515857733,0.4695128082081421,0.4659562657947991,0.4643571452352156,0.4676432046969446,0.457827359926668,0.4728636691991135,0.42055991826219735,0.42021579253467206,0.35174085948559,0.4314160612733487,0.4691013570945866,0.43831458221267827,0.4682354236445745,0.4701521807515609,0.43734757710312616,0.3913852053574391,0.45847880637858224,0.4546597377838384,0.4157075397619762,0.42573033553482775,0.43924135153546456,0.41732102711984387,0.4300307108005146,0.4515927040277389,0.4557375605180989,0.4159290316103506,0.4627713481476773,0.4047006959290207
Danish,0.4932985527863271,0.4884921642436899,0.40343640329177705,0.4915178021275011,0.4225324085959996,0.49084558187936467,0.5024198647000702,0.48056697268030707,0.4684704558306921,0,0.4692265818495115,0.4564476050393738,0.5058657073942746,0.5063310508061498,0.46489170898387394,0.4897972736899488,0.4859624577558026,0.4778012149860273,0.4565558523679304,0.5127996313123724,0.42218100500971756,0.4380565154985707,0.3489192285238136,0.4705306018097815,0.5025559531167625,0.440110191101022,0.4967424119343524,0.5040848617745817,0.4356918127660299,0.41533718540420983,0.4822299515419737,0.48069463053843114,0.4571204865301418,0.47010935662643133,0.4561350120953909,0.48900777485708374,0.48603553969971264,0.47940596933543816,0.4643441102330688,0.4544716121786409,0.48158849837742407,0.3960130735313809
