,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.4606268051368628,0.3851603880258536,0.4748211149810539,0.4061735248890393,0.46765717773957166,0.47288090918061365,0.45724414533437463,0.4526281344678915,0.47569962494875523,0.3718515329842935,0.4388809880550941,0.4815327924614451,0.4820650120277966,0.44646630576253415,0.47317411915842966,0.47126135051212553,0.46169611064302996,0.4338536896429506,0.4969986113559581,0.412870897160017,0.4162246460114382,0.335900401312311,0.44918205174905346,0.4813828947779763,0.4297609535466462,0.4747328757885192,0.4756957096838436,0.41995701498709365,0.40554664178449734,0.4636144330786726,0.4541030030955092,0.4381384065816701,0.4473771306489385,0.43501651316700407,0.46704776520692787,0.461773367053091,0.4627795209636918,0.44754356168910486,0.4334770897305153,0.46757438321978395,0.39102960991049096
Albanian,0.4606268051368628,0,0.3923914951770505,0.46175621700068975,0.4065415666569241,0.453643071430568,0.4568616825718435,0.4461905507490886,0.45249872475617486,0.47213945242616984,0.45180165482794515,0.458032088244247,0.46133124965658645,0.4563773147057015,0.4568170315090048,0.4662563121538877,0.46359975975964846,0.4543881106717174,0.4488248843479644,0.46970263453614486,0.40684085462436287,0.4199958605471632,0.3427446066044128,0.43748430265965577,0.46476605199075116,0.43403473301252404,0.47492137146852087,0.4628436626202273,0.4209898327736247,0.40542311529408037,0.4485494384628072,0.4488400544211144,0.4337555081086924,0.4379417173670536,0.4223715202920682,0.46094786533959753,0.45298155538538365,0.4511929528705277,0.4576552776115567,0.43298651923912684,0.4570237658712254,0.395310323202499
Armenian,0.3851603880258536,0.3923914951770505,0,0.39782249415616283,0.3949321979207094,0.39899910498801583,0.390982608745118,0.3974108409910401,0.39642565601764174,0.39099110604927295,0.3919154150042229,0.3997333306539287,0.3919395233014376,0.39292934332848634,0.393448773614424,0.3944409865823466,0.40113973425621613,0.3960670372392397,0.38798170559965806,0.38685299024911834,0.3908774062797081,0.3912169504788743,0.3476979458565427,0.39594875740969554,0.39545871152116047,0.4036921272521145,0.39746647396611234,0.3933251949653001,0.3843857461379035,0.3873194762707376,0.3950843136451075,0.3946790566098385,0.3940233604340649,0.39873156345736677,0.3923691805458455,0.3963979221046937,0.40183315095986577,0.3969581252458347,0.392276394179815,0.39952117524336345,0.3994899946290174,0.38721954426312927
Bengali,0.4748211149810539,0.46175621700068975,0.39782249415616283,0,0.4154723345894002,0.4612592514903603,0.4597808144036088,0.4587103513376777,0.4469506763486443,0.481022714993227,0.45448126965166646,0.46333403185496347,0.46659032322031596,0.47201281644589765,0.4543668796747225,0.4578949619574077,0.43234591536558203,0.4182379405908147,0.4544866240199856,0.47977087186760636,0.40731091355828275,0.4228986445356043,0.34279708130389025,0.44710635083207234,0.4405078498999699,0.3986572861846258,0.488581958146578,0.4716324711327881,0.4231842913839543,0.40465549418724855,0.4529205624447937,0.4518316876094716,0.43832608864678985,0.4495619427945837,0.42965647284260267,0.4639784614940786,0.4601451643121937,0.4515703995127152,0.4616162934399553,0.4345805304321655,0.4289549545894478,0.39593955772421213
Bosnian,0.4061735248890393,0.4065415666569241,0.3949321979207094,0.4154723345894002,0,0.37009901943054163,0.40626570086146657,0.33165643729698613,0.3801248481165603,0.40776217484998867,0.41251209590376353,0.41957230040727,0.4075270429570927,0.40516917996318247,0.41553889358393975,0.41514643856476385,0.41606390975148644,0.41475409834137006,0.40899160643573246,0.41284902309386046,0.3943542059847992,0.3953322037028599,0.34611283024599726,0.34035696587355013,0.41210814893912384,0.41636253336518453,0.41135103441968246,0.4113988174226152,0.40280016341568786,0.37173395272481086,0.40863605579936974,0.40857889094902516,0.3616763558973834,0.29957985099261797,0.4085197211363118,0.37401401203037954,0.37378368936739226,0.40756754465014744,0.41009964155289064,0.3631030401447623,0.41540534639168264,0.3972685746241937
Bulgarian,0.46765717773957166,0.453643071430568,0.39899910498801583,0.4612592514903603,0.37009901943054163,0,0.4540830531016064,0.3947157490834046,0.4185573773535013,0.47492395531691767,0.4614350873047168,0.4546086121473756,0.4664972124112643,0.46194686689774483,0.464266136696412,0.46079620167009827,0.4611231255298182,0.45608576571979664,0.45529714702336094,0.47766194288383984,0.4042267144437212,0.418158200963392,0.3362797877710836,0.39223081966038137,0.4676883245963586,0.4351562205714025,0.47689928889465827,0.46601784900680626,0.42630469443656577,0.3852918282671028,0.45648993443955854,0.45072025970628354,0.4116259950904554,0.4044205213593081,0.43286803583904016,0.4295897268498851,0.4207929883162281,0.446346858647874,0.45778241182496876,0.4090445496208767,0.45953731161428446,0.3934141605092923
Catalan,0.47288090918061365,0.4568616825718435,0.390982608745118,0.4597808144036088,0.40626570086146657,0.4540830531016064,0,0.44732894233546894,0.4427948201015394,0.48714394579837517,0.4531305409936948,0.4516434730818031,0.4608488820769263,0.43933616333585745,0.456686255369929,0.4561451508021192,0.4575458437676401,0.4472709743414762,0.4448444118176843,0.4832343897713388,0.3747131501033197,0.41655852040702857,0.3369758947933399,0.4386238435193193,0.4657666409645324,0.42970631919268926,0.4950551298840184,0.4771579177321801,0.42574194549580396,0.4020540613430456,0.4191280458914931,0.4338241202202846,0.4297242971215623,0.44289849967717826,0.42943337455224784,0.4616175325142723,0.45917356706026435,0.4109223478244934,0.45719406542943686,0.43118542874836285,0.45788521106017555,0.39091017231630804
Croatian,0.45724414533437463,0.4461905507490886,0.3974108409910401,0.4587103513376777,0.33165643729698613,0.3947157490834046,0.44732894233546894,0,0.4119834995018379,0.4614014775554716,0.4511386589039621,0.4486082048482314,0.4587736453042689,0.45362757660735004,0.45699651289046717,0.45753429316266403,0.4539309601852273,0.4565011826619502,0.4500336698267148,0.46460380689966474,0.4047917362754821,0.41749180908618383,0.3388196803033032,0.38787335889713687,0.4564179241230977,0.4340983437284486,0.4660984455581024,0.4555390372616366,0.42530784064084365,0.3829738964695323,0.45492619398410433,0.439972788414189,0.40358075725796394,0.3591828749597104,0.4358810084436131,0.41169958356795755,0.3981395512524665,0.4438052390189239,0.45198615149512233,0.3968838166515808,0.4585799206345065,0.39835356825333873
Czech,0.4526281344678915,0.45249872475617486,0.39642565601764174,0.4469506763486443,0.3801248481165603,0.4185573773535013,0.4427948201015394,0.4119834995018379,0,0.4530471827162432,0.44894059295672245,0.43965428709673327,0.4572370768835587,0.451926613434421,0.458447128091638,0.4547644166486032,0.4565495247760352,0.45421670493230676,0.44491242516932517,0.460006419898284,0.413928963882931,0.4142058463387646,0.34545810420950557,0.41531779202291963,0.45747168698844726,0.42840014672316273,0.4545805724262323,0.45528824266328155,0.4253447117653678,0.38452766158992924,0.4505651221683005,0.4380906100039827,0.40464387456428774,0.40589694277451377,0.42465513324957094,0.39432640679792386,0.4108049240791553,0.4406677887513781,0.4432545852450092,0.401772825842403,0.45076372734379677,0.39868667086978654
Danish,0.47569962494875523,0.47213945242616984,0.39099110604927295,0.481022714993227,0.40776217484998867,0.47492395531691767,0.48714394579837517,0.4614014775554716,0.4530471827162432,0,0.4510175546975224,0.4466906685777522,0.4942912459039428,0.4929394217885444,0.4525968104664645,0.4746092664935592,0.47542426567049195,0.467415574843873,0.43727937434415615,0.5027653552474802,0.4024987251360282,0.4229980028064715,0.33740236045245847,0.4529724756678169,0.49163187175954715,0.4305541454118956,0.49049714368785163,0.49242504055233854,0.42590386413421566,0.4038010464616859,0.4658188829892945,0.4635644030491001,0.442363589459322,0.4556479556292027,0.43821284499417856,0.4777770694365139,0.47156232468932674,0.46326729695536545,0.44638986381505713,0.4364080822212148,0.47070721126212933,0.38469794702780874
