,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.3806571992684829,0.31119255007196406,0.3881601017688284,0.3249264576469063,0.3825872811241756,0.39132503006455843,0.3697797756568597,0.368260888501219,0.4052181568089241,0.32287091257779327,0.36390551084435074,0.3938067353363458,0.39545498090628856,0.3719400810750154,0.38107008319897767,0.38847640638830067,0.37982243740619687,0.35543119866901385,0.4095260098831782,0.32767816624314794,0.33597946234453696,0.27066024177225645,0.3650659303971084,0.39891295221592377,0.3563279919375096,0.39519123395262074,0.39268393821012704,0.3448069867759647,0.3275798613497772,0.37863630906233275,0.3703732432748948,0.3530949791175986,0.362141125229754,0.35589206661938105,0.3775354297691746,0.3752305409341821,0.37706609483989517,0.37021032247129265,0.3484108563574995,0.38521478690987326,0.3116368922015943
Albanian,0.3806571992684829,0,0.31616738481321677,0.37681347543665805,0.32845306997662393,0.37339835889564343,0.38189724850603485,0.3657704376462952,0.3661458360160496,0.3936171672213984,0.3699069951424425,0.3754055160828086,0.3798356149610661,0.3806366740887656,0.3747936507080227,0.3741909401290774,0.38658166741965944,0.37516588288335245,0.3628651181425714,0.391266137213274,0.32631927837037467,0.3402911321520681,0.27505661520044156,0.35693072908507184,0.3891266372546313,0.3596250881285377,0.38855990860189726,0.38541473794457487,0.34527226140704964,0.32817154741142657,0.36821615232916627,0.3665282684066411,0.3511770894716849,0.35748240957106564,0.3501443507038406,0.37789559343416756,0.3712586340981203,0.37125786608020606,0.3731045281512209,0.3493052855127505,0.37889168552447505,0.31883505586043304
Armenian,0.31119255007196406,0.31616738481321677,0,0.3218524603699397,0.3100434951630706,0.31948695595022514,0.31723080800573084,0.3188658459259232,0.31441271231612766,0.3205844284436999,0.3159234181310244,0.3223523390204818,0.3181453739352099,0.31098423695559557,0.3127164139827793,0.3137461005408345,0.3248230493641724,0.3240780113076191,0.31223666734699396,0.31317338498606745,0.3055948653330017,0.31226554991232264,0.27535892346594854,0.3155175840935152,0.3215159935040234,0.3266699646446529,0.3152878101101022,0.3200631819925202,0.3087533160360993,0.31048070197601146,0.31720885178590896,0.31384197446829226,0.31128954308101214,0.31506914447354734,0.31388649952819747,0.313474908082489,0.32263351021608666,0.31902676427100796,0.3161370209290973,0.3152736899294991,0.32447190471680387,0.3081470256710018
Bengali,0.3881601017688284,0.37681347543665805,0.3218524603699397,0,0.32936804560964733,0.37643436469400765,0.37801820392372465,0.36872160502344986,0.35520480881118727,0.3940914436340549,0.3694386228471019,0.3772365715202501,0.3800828025031524,0.3837172596367726,0.36713864547535857,0.37169897263452745,0.3575493243175613,0.345851441754802,0.370496688547463,0.3878633084942959,0.32361221488933006,0.3379809733221446,0.2714233021147448,0.3590775583403043,0.36545263584921495,0.3343612421346478,0.38601988371649953,0.3847350704459438,0.34571037913602537,0.32008220210541666,0.36570806264677747,0.36354460764109625,0.3517231158483773,0.36086745847747287,0.3521108337871165,0.36553685450762874,0.36975639017190004,0.3702965080859688,0.3693203975395776,0.34671249438651597,0.3523855640623464,0.3172192254266602
Bosnian,0.3249264576469063,0.32845306997662393,0.3100434951630706,0.32936804560964733,0,0.30667448708530226,0.3269798902705144,0.2895088795266116,0.30481932818394974,0.3345819595116642,0.3284108172893837,0.33816793624019414,0.32596924512365083,0.32435990721519437,0.3309388970598062,0.3202098522309326,0.3313689719758561,0.32991074231425993,0.31963479239413584,0.32975704484617085,0.30711569271909517,0.310961992984834,0.2675457595484672,0.2864448530280015,0.33187061586343886,0.3398407805356853,0.32786209094856117,0.3315696157408458,0.3202781376147067,0.2957316684316072,0.3226794287401948,0.32110137423431073,0.2894482890394174,0.2630782421594434,0.32584092175936247,0.2975474936210334,0.31391652011718196,0.32870736941830897,0.32281831919010434,0.2955749962401311,0.3307493216876928,0.31250534829172644
Bulgarian,0.3825872811241756,0.37339835889564343,0.31948695595022514,0.37643436469400765,0.30667448708530226,0,0.37130154441686475,0.3257752137028583,0.34105851578156926,0.39194943952061334,0.37105728214178657,0.36773671231276966,0.3785228608008636,0.37578775535226155,0.37147969578376966,0.3669190206867739,0.3756448231080296,0.37149471663091466,0.3635385438691409,0.3864005435436229,0.3179908178464013,0.33676600155462416,0.2696734274083341,0.3311846749492156,0.38593083747711776,0.358491905959428,0.38905776476572496,0.3797407420515644,0.3461189698961053,0.3138437712627667,0.3671269744935276,0.3628642594892263,0.3319175550801311,0.33459496085449314,0.3512523056514279,0.35290508938706455,0.35004250565643485,0.36141285964031944,0.36478661780454613,0.3318723303542091,0.37488989943824097,0.30675312881477973
Catalan,0.39132503006455843,0.38189724850603485,0.31723080800573084,0.37801820392372465,0.3269798902705144,0.37130154441686475,0,0.3570319621958179,0.35768543258902247,0.4039018998621032,0.3727196096394386,0.3718821294259513,0.3751562301246029,0.3719145556732572,0.37172826799681247,0.3749550819544805,0.37678005334782466,0.36894663814025713,0.36361001014558847,0.3982903021346446,0.30070675631191657,0.3390858412820209,0.2707725835306862,0.35431244583828625,0.38592091602380696,0.3604710186677261,0.4015573771854446,0.3947708751902949,0.3479834129306191,0.3239139710664017,0.3490977562844582,0.35822795837840693,0.3455086547315307,0.35867784872058395,0.3512112669226261,0.37074674669937946,0.37352016418194184,0.35009164080434185,0.3686622029093716,0.3453595471803499,0.3767663764508589,0.3084010444802335
Croatian,0.3697797756568597,0.3657704376462952,0.3188658459259232,0.36872160502344986,0.2895088795266116,0.3257752137028583,0.3570319621958179,0,0.3318250179550392,0.3765785194084843,0.36447296040907573,0.3645313141311205,0.36742335180800506,0.361920501924041,0.3681303430429874,0.361218970447829,0.37043927800579546,0.36844683280929313,0.35276526900393484,0.37183999556608444,0.31824873417036276,0.3346854922168814,0.2686389944610243,0.32220374572554844,0.3724963828018562,0.36006174018437825,0.37242868690776104,0.3699797757307557,0.34145248969738723,0.3102863337736408,0.3603356080835371,0.3517684318436035,0.3252226851442928,0.31009933538326206,0.34769232352090956,0.3354418518027048,0.33188931593466703,0.35755923358985425,0.35573618485759456,0.31963763344386575,0.36792982305528604,0.30973644755156354
Czech,0.368260888501219,0.3661458360160496,0.31441271231612766,0.35520480881118727,0.30481932818394974,0.34105851578156926,0.35768543258902247,0.3318250179550392,0,0.37388334439631005,0.36280501273173443,0.3568666941401823,0.3671856661010409,0.36598794316436284,0.371742282600575,0.3530218776061088,0.3619627693035548,0.36213867278485057,0.3535278237958408,0.37445420850657957,0.3228461575729525,0.3266672528221209,0.27350760568284554,0.3371712019868638,0.36705382655112545,0.35192474104050975,0.3714950634443676,0.36925348812259823,0.3415038604015638,0.31514124331293913,0.36072538520742276,0.3502791932722758,0.3256440554719293,0.32958460816066304,0.34269674907105296,0.3311067811418607,0.338298146242596,0.3577328824858514,0.3539885257542589,0.3233245984640083,0.3575320719382241,0.3112138384863013
Danish,0.4052181568089241,0.3936171672213984,0.3205844284436999,0.3940914436340549,0.3345819595116642,0.39194943952061334,0.4039018998621032,0.3765785194084843,0.37388334439631005,0,0.37291769847386974,0.3679179213140481,0.41481736369085037,0.40950839778064674,0.36826987093230623,0.38959606653105344,0.38927796900547484,0.3831256474192346,0.3644859496617972,0.4168338710150467,0.32431757141292505,0.34625319507903474,0.27316209152563603,0.3750065282706667,0.4034437782260279,0.35705039899392127,0.4138728132196659,0.4078504181446176,0.35055285662468627,0.3305725455732781,0.3816033302373161,0.3802648095791834,0.3646225030733322,0.3757758476372224,0.3571626075266413,0.3910300226855649,0.39359509490574246,0.3821675682908113,0.37570175532855066,0.35989527901250273,0.38627383224223105,0.307162333559467
