,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3.7910853707585557,3.2339144893584932,4.182342551541422,3.463888646492407,3.9677518948526616,4.319126465820998,3.8549549301650767,3.9353582792703445,3.8765353802035074,2.8836694453216363,3.5282210168753902,4.104326664590798,3.8890940901019584,3.5960534565835798,4.21309673479146,4.309279979052881,4.284184019162945,3.449604535979839,4.204135291061439,3.5139517205406925,3.7627504729812102,3.075757149671332,3.7941865156048977,4.303183278919058,3.4366992561583865,3.863027640089253,3.8670677729381637,3.476158171413051,3.617794838477624,3.863097479646467,3.999948951659044,3.6913370685515794,3.7904252580764446,3.3985522929480307,4.036267843032822,4.099283109855642,3.906736189815107,3.6260465931697445,3.6812320695148717,3.97385051888207,3.215623468040025
Albanian,3.7910853707585557,0,3.3201789451687835,3.9538937898450723,3.59605294725795,3.98565360763769,4.103259529872066,3.8887165001951955,4.040734147746125,4.189625691227302,3.9078175152934835,4.136285919812206,3.967399254273775,3.6720265471082842,4.049107552842872,4.134156224405021,4.17307742705624,4.229335275499049,3.803316657907647,3.9331151545336493,3.61430130662718,3.849285981031767,3.0919123593220563,3.7717945912253876,4.038578529179762,3.456229019319181,4.205149008797648,3.7107294020482846,3.488103373542255,3.702615784021921,3.77353197674036,4.012021902112707,3.7569277368286027,3.8467137914239267,3.111012389188305,4.0138139186607305,4.084914649918702,3.8732050364969024,3.9804455568380703,3.7384637475729763,3.8359980132144846,3.423300236679833
Armenian,3.2339144893584932,3.3201789451687835,0,3.4480930258033275,3.3491628258679405,3.3814192703104586,3.4938924937261366,3.292004225970163,3.50734899832866,3.4559074697545666,3.4216960248085857,3.5078542702769915,3.37606056472532,3.255145969454329,3.4100516193189225,3.3247654935422344,3.661270381768481,3.6116191411740997,3.168784042255818,3.3095052057073486,3.2804493898469027,3.4918401770917957,3.0765757669823337,3.353304336671087,3.4944582771152333,3.276168557061881,3.386155474900747,3.2001802810741578,3.1822288908116283,3.4340229521077617,3.33933466596567,3.3923654561930254,3.3399043705990916,3.3753637319453027,3.0659992461336922,3.3807203997235336,3.5412909340549725,3.395087248120212,3.3756480383758616,3.3482081462956725,3.398722309390505,3.1216332089101435
Bengali,4.182342551541422,3.9538937898450723,3.4480930258033275,0,3.6170230622854116,3.9957607261174926,4.252016176756643,3.9419248765562376,3.9936005395774283,4.377575369939197,4.096485635201529,4.104373028413705,4.175763356248964,4.036888174830724,4.115206197894196,4.1381878818956706,3.628877274850136,3.5195132377803073,4.029575039164509,4.255676942560244,3.5977579929345804,3.919373022146048,3.1724611348554945,3.8222686418872565,3.6937476454624827,2.989301898057185,4.390049411381163,4.04468066692539,3.713900431634876,3.6409416100405574,3.9288772257243076,4.064436664374898,3.8787113282574266,3.899811265341072,3.496857980078852,4.0336524428370755,4.121816988383976,3.921217438931093,4.097170336718032,3.7682544557617543,3.4401278347973516,3.469590678799416
Bosnian,3.463888646492407,3.59605294725795,3.3491628258679405,3.6170230622854116,0,2.861726047071708,3.761748638317467,2.2077919691754193,2.991921312900591,3.6116126449627797,3.573098107267063,3.760568811299842,3.5582817026198246,3.5005549893521044,3.5717743872428,3.652380887455351,3.8489674810023446,3.843047796185478,3.4724629588302127,3.6773214847515048,3.3259584145289045,3.3538390855616385,2.880857798343248,2.5264872084961043,3.7776834104158326,3.3588755376665933,3.6137478227695343,3.538114674061811,3.4546961817623765,2.821707676362147,3.4957670175306674,3.543828139244797,2.6951567582166533,1.9230640290378664,3.3904142353130404,2.7567375396497535,2.8956113483802257,3.528721509875548,3.624961634853706,2.705635200624735,3.592607879054831,3.362011803368325
Bulgarian,3.9677518948526616,3.98565360763769,3.3814192703104586,3.9957607261174926,2.861726047071708,0,4.0851128473262746,2.9672198501494216,3.4154104753732244,4.211401251800755,3.8996887566165386,3.997511076234579,4.028224775147396,3.878221705337296,4.030946044964787,3.99533290206634,4.227671212883642,4.172886307747762,3.8206300783635645,4.134432018984464,3.3557817331425897,3.775183092068784,2.9727086186648495,2.819326695788915,4.221243791400702,3.6207532129773297,4.236700768576208,3.996203161080197,3.6953506882549974,3.12440824374537,3.8138374767237915,3.9111343299164356,3.16144744461591,3.02102782393051,3.564366610959391,3.3885727279325937,3.453954261658576,3.752182589612912,4.017791747865702,3.18073986788631,3.8830654667772455,3.2394714680287793
Catalan,4.319126465820998,4.103259529872066,3.4938924937261366,4.252016176756643,3.761748638317467,4.0851128473262746,0,3.950494104568826,4.097115789397828,4.455140906604188,4.091884574269149,4.055060845412628,3.91173526661372,3.458175223139064,4.190878824383423,4.1804448790310955,4.453454807718398,4.393018612831534,4.016240030144689,4.340782442000329,3.0828410544410625,4.1739676453192365,3.2446967057799756,3.9444607307910156,4.387784561657542,3.7528163143403064,4.425391458618657,4.2880455037183784,3.800933871878278,3.741562056161797,3.3632087480644413,3.748315796704121,3.9541291040922193,4.0303322520753815,3.6958199514948378,4.147585582310958,4.284080818615338,3.203708027805147,4.133467294811078,3.8297803361185165,4.190049133624231,3.4354903464882933
Croatian,3.8549549301650767,3.8887165001951955,3.292004225970163,3.9419248765562376,2.2077919691754193,2.9672198501494216,3.950494104568826,0,3.1587880353164324,3.996321134686363,3.8466075572689533,3.9664992594928585,3.9091809359214706,3.770826619605034,3.92212846651159,3.887723275845727,4.135354072649483,4.138113199991957,3.7395646102628506,3.9862659607365685,3.345377775423439,3.777412632991435,2.8523602054911863,2.812157033727737,4.05788946924448,3.519835925233737,4.085631873004692,3.810178399991894,3.5870628760113203,3.0084838908657017,3.7941471233040995,3.7882989845785278,3.039383774022073,2.312391831386829,3.4452526885982206,3.053738148364561,2.9638712095924236,3.6420047747233117,3.8957474975227235,2.917940250836082,3.8731986360116624,3.230981195081834
Czech,3.9353582792703445,4.040734147746125,3.50734899832866,3.9936005395774283,2.991921312900591,3.4154104753732244,4.097115789397828,3.1587880353164324,0,3.9992275191580196,3.866835891153696,3.9546211561181446,3.9904820378428707,3.9796711824395303,4.073105715741921,4.091731576296752,4.2805756599664875,4.292069615398661,3.854351546975238,4.082853724776184,3.603468964735019,3.718588334251472,3.087524478484392,3.3394911063619332,4.234694508032443,3.6038736714521957,4.108540639389039,3.9220145608244334,3.6888053284767013,3.043532145663433,3.845748601194191,3.984006637598859,3.198871935588049,3.1494811667621043,3.6406732393130308,2.7897704807139676,3.3846053056642917,3.7821802360436165,3.9977199332300235,3.0705777887949264,3.8827698983923953,3.338311706780672
Danish,3.8765353802035074,4.189625691227302,3.4559074697545666,4.377575369939197,3.6116126449627797,4.211401251800755,4.455140906604188,3.996321134686363,3.9992275191580196,0,3.7275143865015496,3.6703321095838524,4.215448398286594,4.176993094225747,3.680928060092652,4.239908388898278,4.464279301111119,4.358306205052556,3.447713658175002,4.319335015904889,3.517803215522099,3.9949410520795876,3.228119187001438,4.00527463524271,4.517727104835655,3.5619145380196824,3.7675747926617515,4.201219451528199,3.730624320851513,3.6626532377584553,3.937537583036098,4.1219073447886245,3.9004525838603383,4.037666682033214,3.658812418370935,4.135504175875906,4.2128975280622925,3.952825101698312,3.5588753295217037,3.8229919407161517,4.103088944175204,3.2033950043038195
Dutch,2.8836694453216363,3.9078175152934835,3.4216960248085857,4.096485635201529,3.573098107267063,3.8996887566165386,4.091884574269149,3.8466075572689533,3.866835891153696,3.7275143865015496,0,3.439869258714193,4.006940370987999,3.9224294844786347,3.328996075942521,4.034605044151682,4.218956327028919,4.237771158714258,3.554826788576135,4.020838657728362,3.537517236489198,3.7980090040737013,3.1675662324284026,3.7717548181130245,4.202447606010864,3.583028052059097,3.692253904616776,3.9571507193745052,3.6002888988256587,3.689273703187334,3.7434943918052856,3.9937687066290306,3.7806050945321066,3.822129522495229,3.6166793565524236,3.9568631399771954,3.9469618913674154,3.7916738578722393,3.5671746942086324,3.749267213985548,3.902341958381862,3.27739534235059
