,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,58.20292481028243,58.961366549209195,71.92752913374179,64.83096665278816,77.559859822902,83.71337121689797,80.37244843432048,85.65202617303467,79.31250082316187,60.039656731626856,79.83774884707695,78.99916012819448,62.722208599235046,67.8003017510158,92.73705984091369,77.83614953633598,87.30304868162044,55.954801916487995,74.63858698231078,73.57433618030313,74.73974517267513,47.65243818164162,67.11896148617362,75.71185494400484,61.2085041379923,69.13459730636603,67.63283596070444,57.862281043009304,78.82440351021603,74.94899786360175,77.95236369806543,68.01111873564956,68.06326810770634,55.11117050691368,81.85733122809788,87.5713137764072,87.2190285224218,65.51923463483162,67.65156580376508,73.00468721826422,67.07563693454293
Albanian,58.20292481028243,0,58.99685854067415,67.52318546421833,65.88810956074457,78.34703426129732,83.64400267197783,80.99572124797193,87.58853544014205,84.28219191070818,77.63009470696086,92.64827293498963,77.26321804522611,59.2353154554877,76.000637065784,90.61713712311143,76.09452611378099,87.0758817811858,61.6045053997066,68.93267537199306,77.51138299792258,73.87989865032598,48.51117240389254,66.68199606993441,73.01844309537968,58.9872697426685,76.27615990235645,62.746168904136795,56.457287788875206,79.89033265300873,73.35670857684387,79.10627646790704,67.09392505600051,68.43512663568609,47.40884601141647,80.45054151151022,89.53208361971845,86.79930379964115,72.11038986419427,67.52829211718955,70.48451005749513,70.12966067197546
Armenian,58.961366549209195,58.99685854067415,0,63.991332483920125,65.18394913637236,69.89360386113016,71.1634438864997,70.62381327452024,76.74905808037673,73.42961679647634,71.28718858390727,76.09301603360203,68.57099385735458,60.82138257766196,68.28066023339625,75.07710109114097,68.72950474661913,74.27798889976421,59.20537302661115,65.42104684803057,71.095187456357,69.90446851525098,51.544338623363004,63.25402746700068,66.58551063868802,60.7197591525073,66.71104864175825,60.08037882420399,57.901621796498624,74.55961541011912,68.36880921053064,69.77032946612063,64.47377602937678,64.03073094132485,56.9350367333601,71.1135271211774,76.58145740128964,76.30383335550566,64.95436144783497,64.39081202831862,64.84894183370773,65.81253351286625
Bengali,71.92752913374179,67.52318546421833,63.991332483920125,0,72.17440915848383,79.82126103376089,83.35365916075418,84.38753788563831,86.23366805740419,92.6944492042935,79.90627514725509,87.31136230418905,81.34082286702555,73.13502095894982,79.22456936749226,88.00372221740042,67.64471374764109,74.156237151375,70.69898125792182,77.75480484939385,75.55150043536817,80.08933708814683,50.86501018369569,72.47309071134781,68.23918958716428,57.00886306107208,83.53754450080037,74.17104775644997,64.58481299414609,78.30891437308303,74.91546083481784,82.20068651381291,74.75808545356593,74.26326138763402,62.13137310799007,83.75729011257164,93.42609192049866,82.17158686473418,76.95175185694312,72.61330569557673,65.61830636968648,69.1140269682662
Bosnian,64.83096665278816,65.88810956074457,65.18394913637236,72.17440915848383,0,62.754506872301995,79.6932085487884,52.96455501129978,71.84640752520272,79.22100104813379,76.0443355787706,84.96790326110843,74.59631721521708,67.64484409542246,76.01826205083727,83.51215349059322,78.11674366660537,83.19635926961976,67.32188626275436,74.1642602125317,75.85527572843668,70.9138480904021,54.36452511721105,49.74732606045301,75.32692944856981,67.35959555164237,71.2376809226194,68.61406396462733,65.39156573519708,67.54435696128279,75.25354297187094,77.61919350836256,55.045810938687964,40.49475418832906,64.25904209900052,61.424528298764365,65.43987215925654,82.10239248181924,72.68753582803024,56.14289506700919,71.90220829820306,73.82340836302537
Bulgarian,77.559859822902,78.34703426129732,69.89360386113016,79.82126103376089,62.754506872301995,0,84.30094643929391,66.01638920582671,76.53893994964203,93.44165527931251,84.43884220844933,87.02698000220506,85.45252555683788,75.50525331731833,84.88264869495713,89.58894117771527,84.1155293423052,88.72060495101633,75.0887842341891,86.37290974984028,73.34761457859291,83.76521338172793,55.6155752707476,57.63265723953169,83.19169596066746,75.6599729849217,87.02277257558039,80.1644180438099,72.26050855376553,74.17163695774491,82.31758054008066,84.8444597024266,65.77545895219276,62.13518264651291,71.62674927746035,75.15416536383273,77.28608285719837,86.5941322014864,81.492838958311,66.00261048143838,79.55267257164738,68.55509274277148
Catalan,83.71337121689797,83.64400267197783,71.1634438864997,83.35365916075418,79.6932085487884,84.30094643929391,0,88.04392477997389,92.28961945561323,100.89984052057028,87.1716875271153,88.3571980631257,84.40048927204936,73.02988707404174,85.32157192566441,92.41534412819415,83.85997878164142,88.75029240275462,78.2220694977904,89.63121310062006,62.828610451159356,90.92293470903608,56.96900505472999,79.44595669165516,84.84970212884974,77.76367081121403,92.6081667599462,88.4711997290314,73.8216353924274,84.79295341629283,68.8405455965474,82.82343447657591,81.50684225476938,81.65688167878373,75.00590781486935,92.94287663079801,99.05897308290723,69.56518130665141,84.70518866254548,79.3358252843682,83.75773306656087,70.12714768775945
Croatian,80.37244843432048,80.99572124797193,70.62381327452024,84.38753788563831,52.96455501129978,66.01638920582671,88.04392477997389,0,73.28103352961853,93.21572344015854,86.69222611760817,91.76345489828869,88.72127377384363,80.88453888277115,86.93843605024364,93.97456672648978,87.31181534142651,92.30750790274743,77.94053271552305,88.70625523312604,78.01018958903045,88.86691538204,56.19297885686719,60.06448136120594,86.37319403856377,76.74624093527832,88.50768147588435,82.04428664102821,74.38493762087109,74.19131739098681,85.35920761098608,88.07564265028432,67.91025169018597,51.82455776935249,75.14030299864721,69.39796886966508,70.68419735169726,89.3371129470705,84.70782409915968,65.44257317893378,83.47121859634797,72.92155302684519
Czech,85.65202617303467,87.58853544014205,76.74905808037673,86.23366805740419,71.84640752520272,76.53893994964203,92.28961945561323,73.28103352961853,0,93.08095152395911,87.36891949591092,95.35668917439207,93.03448787442454,87.30050778637907,90.35745630050975,97.34481229969631,91.7129796948277,96.44815366759374,83.80667526153175,91.48843215490288,83.53236068601652,90.36307266994103,62.897884858863726,73.3574358716211,90.7382880521345,80.41277716619138,90.98910291629994,86.60576389383549,78.62897716080622,74.30541792812608,87.51298418621928,93.53840241483748,74.09342323145249,71.84659811164134,80.93353229871177,65.690550231298,78.40081328163328,91.72290220382514,88.67146115112989,69.13825029088939,86.64262374855932,77.05032844350576
Danish,79.31250082316187,84.28219191070818,73.42961679647634,92.6944492042935,79.22100104813379,93.44165527931251,100.89984052057028,93.21572344015854,93.08095152395911,0,83.64198933249747,95.53111457820921,96.3267540313727,87.39116508594051,82.91926869999571,104.93625885084043,95.96546047919794,101.2370725089168,70.02834164351911,97.04201412813134,80.32169426265459,90.7837005433285,59.59535763458218,84.58702519095249,98.3065412577023,77.61699272806001,81.82937576964287,91.37514656919564,74.55455292112133,86.57157823121003,91.0109309043616,95.39002578288571,84.783431070196,86.26349690095569,75.21825306318347,96.98628350943373,99.8908048476581,98.9972412357613,77.72441838426758,81.80864952864357,91.63417742509215,73.77033619421894
