,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.4901143976521172,0.46288455406015466,0.5883343434334901,0.4694950337314008,0.5270554879389445,0.5664932251422157,0.5103496720324934,0.5107267087807622,0.4897420458928078,0.41557111087993803,0.44161118597934734,0.5569110170130553,0.5123883527693066,0.488949232698292,0.6096596755329771,0.5485921505462155,0.5407659207941425,0.45133123135746417,0.5826699309037527,0.44244725068575025,0.6315913702988512,0.46882203243715936,0.49790283131300533,0.5406964065733688,0.4333238544902048,0.4614816401920814,0.5352128037118038,0.4854962180709369,0.5362782046804163,0.5412520125043393,0.5228094083864983,0.5194096850472909,0.4986746955183833,0.43502424310422383,0.5481415883494185,0.5490230355509715,0.48994736129306055,0.43885845148126446,0.4928551859713188,0.5188065046139713,0.41563089111180296
Albanian,0.4901143976521172,0,0.43454588951207235,0.5266370728677204,0.4671456935036857,0.5036570040676647,0.5367583813950405,0.49136036951036005,0.504302875175989,0.5610950559141361,0.532466697963172,0.54414128309813,0.5235660208050141,0.4744931528258966,0.5551027459613682,0.5598764683564051,0.5108144777480919,0.4981362198216014,0.5050084251629231,0.50632531914209,0.4365952127252428,0.6204167294560856,0.47074285282566714,0.49190199966391174,0.49757558684075964,0.41377327709888406,0.5296382997199608,0.4867098676159434,0.46379782039078693,0.535211138671311,0.5157046216786192,0.5014485458603093,0.4965899668658228,0.489974285663999,0.3863719470207842,0.5231478635653369,0.525330102576016,0.4595353441070075,0.5017863459994594,0.46867575920831506,0.4641560978511158,0.40695667814668895
Armenian,0.46288455406015466,0.43454588951207235,0,0.5152023002304584,0.48070213866878286,0.4766361046752227,0.5082609888778719,0.4702085874101192,0.4742895689963453,0.5082416121815118,0.49415470476599516,0.5049545361985641,0.49499224825863375,0.4654151562346738,0.49479342795007863,0.5083580969941413,0.494822627366219,0.4958463423645738,0.4589814400598437,0.4734261285699692,0.4630088693593665,0.5744932117650104,0.4699298952153744,0.4712082223272673,0.48371706858636626,0.4519616926550926,0.48237051322482266,0.4614897240111768,0.45458451374898573,0.5372300799666654,0.5007454338265884,0.48467672022721736,0.48011597927224814,0.47854923538471944,0.4258985696876218,0.4908672621202261,0.5008371457712247,0.47178401469155384,0.47582380844958183,0.47298662525666285,0.469407392122557,0.4405333261462688
Bengali,0.5883343434334901,0.5266370728677204,0.5152023002304584,0,0.5245705404302137,0.5773962825710462,0.6151518229447004,0.5561780276877649,0.5570352612394364,0.626731895763075,0.6060930107977721,0.6017488943287984,0.595832399029214,0.5723737936827619,0.6200361928927539,0.6225253963672457,0.48670327089307214,0.47598649343380905,0.5797639293228186,0.6068176055941358,0.49300323697980425,0.6710967678661063,0.5186033173255883,0.5523490162802567,0.5117033277120707,0.40005122389585734,0.6149917273478407,0.5662814452886656,0.5403093771779918,0.5742197382372526,0.6035386927162959,0.573073175221643,0.569160802519019,0.5648603794802499,0.477408626625023,0.5870426786599039,0.5955831363294709,0.5404283417000023,0.5589407645527306,0.5414582972076464,0.482286140852504,0.47444252816842547
Bosnian,0.4694950337314008,0.4671456935036857,0.48070213866878286,0.5245705404302137,0,0.3865057105204265,0.5288970096120189,0.3164046907942313,0.3990200429039288,0.5064475885572688,0.5058778137522792,0.5081126614578185,0.5001167783427737,0.49387601558708755,0.5149613473091529,0.5484086213722635,0.5173991545681921,0.5058337417949467,0.48629686829533986,0.5229748170412781,0.4637156504403592,0.5707263030793672,0.4571473542423339,0.3561302193795382,0.5046556978850617,0.4388406189917191,0.4789244231097685,0.4921078991948081,0.4743556443517241,0.4172311875713431,0.514833355550747,0.48757126553620167,0.3981223736042205,0.28885409093113734,0.45328115163890476,0.3818642143441508,0.3951412319441852,0.4787823441331661,0.4843411007670798,0.3963918066943651,0.47484900576720984,0.457792253932427
Bulgarian,0.5270554879389445,0.5036570040676647,0.4766361046752227,0.5773962825710462,0.3865057105204265,0,0.5678949585232929,0.40547893562959664,0.44302804852596506,0.5819165407929732,0.5526442152480309,0.55545403305769,0.5594883932816095,0.521142259134451,0.575310394770817,0.5931258973177042,0.5487321592461204,0.5260882843773391,0.5250190967899447,0.5858030360898691,0.4486842645730017,0.632823060075822,0.46514806203074194,0.3747991482938049,0.5294961456520811,0.4624107147182029,0.5598109621811879,0.5496380218376483,0.5063066525440085,0.47389098233904425,0.5598463348724132,0.5291342376879324,0.444866458533139,0.4079709431490686,0.45937065120220494,0.4621727218374907,0.462029719377274,0.48580254374589044,0.5240511759469941,0.4175163734350557,0.5089464669936126,0.4299530330807975
Catalan,0.5664932251422157,0.5367583813950405,0.5082609888778719,0.6151518229447004,0.5288970096120189,0.5678949585232929,0,0.542403894609345,0.5583930292822878,0.5948843390832518,0.5821328296876462,0.5646898221316341,0.537003205081662,0.45359092441084103,0.5971812993757902,0.601383527695602,0.5651511837759836,0.5625110304809531,0.5519499548823696,0.6041273221189302,0.4006623506727963,0.6723182705998272,0.49392225715141563,0.5451757359596834,0.5680691359798076,0.4906772028013907,0.5793930557995012,0.5896438326585823,0.5384855363073473,0.5826476683842772,0.49879508079243917,0.5027932416313903,0.5624789346235097,0.5569752562426253,0.4886359841643652,0.593913127399059,0.5828507896294746,0.41611481999063915,0.5419656698923602,0.5300738869293159,0.5506281311682161,0.4508609965194353
Croatian,0.5103496720324934,0.49136036951036005,0.4702085874101192,0.5561780276877649,0.3164046907942313,0.40547893562959664,0.542403894609345,0,0.40401866493540806,0.5379385997481232,0.5346806177236126,0.5368126770563783,0.5433186569900949,0.5142279745867347,0.5503184695469935,0.567640747386637,0.5235412518584269,0.5089014219194342,0.5122431230831581,0.5471454665588522,0.44546608709240443,0.6277763690730451,0.4643056821216576,0.3772631237282648,0.5150192664381149,0.4375071239241194,0.5256219326015363,0.5049891281638164,0.4883318523155492,0.45285222528298125,0.5553984881009436,0.5121595180492156,0.4413939820621452,0.3302979688094506,0.44155276656323034,0.4157480896585337,0.4089556477186057,0.4732597281199179,0.4994292415811668,0.4048912926067273,0.4855763351840828,0.42636632310334216
Czech,0.5107267087807622,0.504302875175989,0.4742895689963453,0.5570352612394364,0.3990200429039288,0.44302804852596506,0.5583930292822878,0.40401866493540806,0,0.5373080681908349,0.529293801243716,0.5313037801268012,0.5480521203214178,0.5232347017129141,0.563970076825516,0.5899929480972832,0.5302777709754529,0.52027449598204,0.5235541006984145,0.5553264294278736,0.4603172810837682,0.6081351269884525,0.4767525000814892,0.42697951562124864,0.5184777521756079,0.43467952364100654,0.5289887032555723,0.5186292304187397,0.5005660250747052,0.44540851741679355,0.5444990015895012,0.5325945313013496,0.44478699568844565,0.4030283901726857,0.4545090721753699,0.3827637303211076,0.4281850246093566,0.4858371142966746,0.5060808284183401,0.40236736938649703,0.492347830857508,0.4331938461457365
Danish,0.4897420458928078,0.5610950559141361,0.5082416121815118,0.626731895763075,0.5064475885572688,0.5819165407929732,0.5948843390832518,0.5379385997481232,0.5373080681908349,0,0.5150279719130452,0.4636426109798804,0.5891122153472284,0.5566099705693063,0.5103854945401465,0.6403291803188607,0.5623253406447352,0.5503174475552115,0.4780025679424289,0.6123918599299102,0.4465282081460836,0.6870593315949698,0.5073516089253448,0.549043144234267,0.568410831086308,0.4506376602880833,0.4395387165823203,0.588801254206574,0.5203783406247179,0.561019434118588,0.5771282921487428,0.5517429376616451,0.5751656349755069,0.5529545665170441,0.48683525962699936,0.5804525745932956,0.5698271978095878,0.5095816226187218,0.41754995261337113,0.527890158084141,0.5438476830691195,0.42160595477449553
