,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.24060843834243395,0.19814434433395386,0.29182695218557664,0.2162842501013047,0.25110106660528997,0.2909421122968284,0.23281375031189167,0.23598079408179026,0.2407534286112239,0.1818919837868453,0.21571221584078273,0.2532392275686634,0.24981810764089252,0.2314835884690858,0.24364588916642219,0.2910569713265025,0.28165007808563475,0.21765140309278702,0.2651224950713227,0.2074682793536171,0.2417247295354198,0.2178321147314231,0.24114078024456384,0.28343634530681877,0.2065080713212153,0.2525920211598313,0.23825039915735574,0.2163684950336569,0.22285311281839473,0.23743353210037715,0.24033291047417474,0.22940734607495433,0.24065364615402246,0.21324927152808343,0.24660397106583357,0.24847238657949486,0.23119613373773415,0.2373000080638051,0.22891616547592994,0.2505271286969809,0.18826852649765805
Albanian,0.24060843834243395,0,0.19924461148749187,0.26234683235024214,0.2212123494234414,0.2377279618913399,0.2614804442209599,0.2209022499719373,0.23383155265430522,0.24710014070413758,0.23130230486467307,0.2408590239663473,0.22893669674775316,0.2225173395595767,0.2495229227960281,0.22595490133340662,0.27299452962598364,0.26778897393777396,0.23339484969141944,0.23566071389361923,0.2005147570660097,0.24658921438669482,0.2180642342360042,0.23196521073465864,0.2540326742883216,0.1995889027515742,0.2678215180901572,0.21855945550182004,0.2119948760097617,0.22125778837032983,0.21841427060504381,0.2290251054039585,0.22743397244525473,0.23555484946064975,0.18373061286169615,0.2360943990299802,0.23836964285877324,0.21307621549365674,0.24861261135945284,0.22142423676782802,0.22744358738507078,0.1925877996311529
Armenian,0.19814434433395386,0.19924461148749187,0,0.2274010313072094,0.2024455621578969,0.2035125789534146,0.2241012141356823,0.1946916931271933,0.20714121084720258,0.20349601106322746,0.20430870480107335,0.20998415639907464,0.19987635140552626,0.1974487640313476,0.20765111911886772,0.1885967790400707,0.23786467892442908,0.23004113865618764,0.19130065466986665,0.19884251867589864,0.1899449882224328,0.2192275656711931,0.21421483078497214,0.20660917080759938,0.21967197313163125,0.1913120637061321,0.21053227489118598,0.19110387378257726,0.19287267901993274,0.207069048910141,0.19996990707167817,0.19884906025618979,0.20125440894549843,0.2068478800771105,0.18530285971935814,0.1991911404408384,0.2092302104712651,0.19696045827469408,0.21170814242248095,0.2012269153870414,0.2073061295114394,0.18331342271750278
Bengali,0.29182695218557664,0.26234683235024214,0.2274010313072094,0,0.23958641022505095,0.26266036020019307,0.2902844541360231,0.24762779096971219,0.2597939957589334,0.2814201416542515,0.2723700290069116,0.2682643514042048,0.27279460740462996,0.2678810645713321,0.27782542898179363,0.25551533778776997,0.2575191354657596,0.249537139766001,0.2701253096070181,0.28301919781211293,0.22712431876704964,0.27029235526909445,0.23755112442125237,0.2525132437184151,0.2540664311394365,0.19486541215764538,0.3047349438159758,0.2643412249094977,0.24719477436214618,0.24063429654563379,0.258744800796242,0.25879687210662955,0.2538168215967116,0.2582391923748428,0.23147833916168062,0.25881828764791115,0.2624612223446953,0.2490724513034481,0.27395321574151155,0.2413892114249162,0.2296664534495838,0.22096808780057794
Bosnian,0.2162842501013047,0.2212123494234414,0.2024455621578969,0.23958641022505095,0,0.17555147896369697,0.24505591213401734,0.13797397196405017,0.17503097889060473,0.21750169936175803,0.2173461480555892,0.22653522209770927,0.21239093233837272,0.21895082873818975,0.22055825313161928,0.2083866756969877,0.2483042083005366,0.24699397869942435,0.21200453320056964,0.2254214942184535,0.19579301043903324,0.20472155430325065,0.1920350338202772,0.1564529544436184,0.239377402791162,0.19737358984208403,0.22866427418414625,0.21455606924612625,0.20724873898697974,0.16624129571790527,0.21252011200488624,0.2078083892015681,0.15982935302208676,0.1168716795666663,0.20543195357595329,0.1648225059585039,0.17268619303296212,0.20982723724625466,0.22928516746228367,0.15722785494638722,0.2215929571282815,0.19615443277013678
Bulgarian,0.25110106660528997,0.2377279618913399,0.2035125789534146,0.26266036020019307,0.17555147896369697,0,0.26312892694295587,0.16769366370076416,0.2025526165974044,0.2489770735834009,0.233757498969784,0.2394644510749156,0.23732820215026726,0.23721603177576317,0.24689006837929195,0.22360564232919292,0.2707600958419368,0.26605719424025226,0.23478317776666358,0.24697141329948227,0.19144394579007137,0.23597977560264852,0.20503227906361043,0.1721616870342039,0.26328330288763235,0.207327570605743,0.27356088103211174,0.23680742126669552,0.220479515256724,0.18436816430215822,0.22737159453369074,0.22733848477913915,0.18749637323624394,0.18335228650814833,0.20953701746640999,0.1991488436771638,0.2040036291147041,0.21335602850089994,0.25128580842259024,0.18516755414895555,0.23085126785833898,0.1857038985468002
Catalan,0.2909421122968284,0.2614804442209599,0.2241012141356823,0.2902844541360231,0.24505591213401734,0.26312892694295587,0,0.24821839357764267,0.2600708317673185,0.28287087977819503,0.2629677445806332,0.2600912999486048,0.2463127535108713,0.22430394266194317,0.27356459418321016,0.2537203324563211,0.30480786684830624,0.29976083511099544,0.2625615036925313,0.2800406137495495,0.18966849272931133,0.27327642866099516,0.22833366439180616,0.25685336518447366,0.2897435258693814,0.2335243065545644,0.29320589765980526,0.2745066132652247,0.24475700028514627,0.2354928442669912,0.21546132555389383,0.23359446084243946,0.251171924863548,0.2639275912271814,0.23883925577564047,0.2608341617749427,0.2706864904121885,0.2008102084213147,0.27412015443011656,0.2417837391949011,0.2708560052018816,0.21486482607272264
Croatian,0.23281375031189167,0.2209022499719373,0.1946916931271933,0.24762779096971219,0.13797397196405017,0.16769366370076416,0.24821839357764267,0,0.175183144866023,0.22323789294025714,0.2189394053023322,0.2276560803745428,0.215348335920204,0.21810475122068054,0.2326107734553136,0.20433175214097185,0.25918003056523936,0.2573777812334549,0.22077612523214166,0.226674565104665,0.18317688429180706,0.22529880567600438,0.19579479064966593,0.16756689087088397,0.24422863060896513,0.19199931350816257,0.2516104085610166,0.21380299919506143,0.20497467679130477,0.17092038673774423,0.2140025906399623,0.20961682270692517,0.1756231763120311,0.13933533063435,0.1903509127581808,0.17022473648365596,0.1665799193577124,0.1978616819558263,0.23118544879425645,0.16169220919168373,0.21984937183068268,0.17599255521443397
Czech,0.23598079408179026,0.23383155265430522,0.20714121084720258,0.2597939957589334,0.17503097889060473,0.2025526165974044,0.2600708317673185,0.175183144866023,0,0.23119370737573944,0.22573060527399244,0.22970032705525406,0.2244078071035454,0.2337260198603925,0.24684175649064144,0.22244109781493374,0.2671413472324993,0.2656389811192233,0.22832863679292514,0.23842895161959912,0.2031286102033875,0.22078459516250934,0.20565049580559588,0.19865085618917025,0.2573895150773947,0.20363065966384647,0.2566765635021047,0.22440672860947738,0.21521151282475764,0.17761941984757648,0.22303792864049796,0.2265715116887373,0.18439545007545927,0.18400793635055984,0.20717704563519854,0.1603705794580208,0.19414817245759322,0.2106041259760808,0.24274353042253277,0.1737100776411409,0.22749773697261816,0.18614851323629045
Danish,0.2407534286112239,0.24710014070413758,0.20349601106322746,0.2814201416542515,0.21750169936175803,0.2489770735834009,0.28287087977819503,0.22323789294025714,0.23119370737573944,0,0.22095495698463055,0.20739599713989657,0.2400809349795177,0.2464961074888063,0.22351875579663225,0.22665451215863433,0.2894900995837339,0.27213376614955714,0.20469227909255922,0.25083538661553545,0.19899071676652166,0.2505845842377019,0.22313358103557723,0.2417209999803678,0.2803773435667017,0.199860345973998,0.23710667378730893,0.24262057162730685,0.2199044070509557,0.21701077987945097,0.2245488094806304,0.2336712022496572,0.23024708692203438,0.24201007753241338,0.21256166717674246,0.23607288559599426,0.24314943657682708,0.21397661079399716,0.2191741667551281,0.22092865258560399,0.23964619340534882,0.1785493416557346
