,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.31334252469810137,0.2572320857822922,0.3193173343951072,0.261445771205557,0.3081848305564237,0.32027654691471996,0.298330033360574,0.2991040861395224,0.2916514133973057,0.2172791940283147,0.27205251263477115,0.32424124982366576,0.3094362605864137,0.2790576566682999,0.3272511111834246,0.32385376104837277,0.3195452759714999,0.26505954513186764,0.3344434341746798,0.2756812300338653,0.28296603843154344,0.22789716116283207,0.286693166264142,0.32297841497063345,0.27874556313808646,0.2827554205629814,0.3136209888628944,0.2770607731442452,0.27604892468982795,0.3040951484127685,0.30675879414528867,0.28276382807453937,0.283043669655254,0.283047012104389,0.3103127266279546,0.30637147838542583,0.3062075197745377,0.2738720364544207,0.278459278259998,0.31214999584083264,0.26241510611689667
Albanian,0.31334252469810137,0,0.2606218066611333,0.29947262923794027,0.2700216091111557,0.3026960451591372,0.31133229449762617,0.29216291515752457,0.3067419897564241,0.33086792914692525,0.31077762337836956,0.3260050606025691,0.3060377803691179,0.2930474687571489,0.3219328602102525,0.3184270374636232,0.30923451266875646,0.30249139576139195,0.3044453855889514,0.31995066313164294,0.2766851452831302,0.2947524664748345,0.23070401845773555,0.283973192571097,0.3026136077387966,0.2664206553454438,0.32637145634465103,0.2988505814278573,0.28035121891345716,0.2826249254477473,0.29909176972093277,0.2991596726011183,0.2849293451492574,0.28319351796662456,0.2506850317326313,0.30892379708863094,0.3083438946087169,0.30144794020714377,0.30927862599840783,0.27862550499262395,0.29440078555505067,0.270156108136125
Armenian,0.2572320857822922,0.2606218066611333,0,0.2649736865534146,0.2560240013582887,0.2616850655553747,0.26201918914211264,0.2557691264888394,0.26420861419733616,0.2694578251164105,0.2662640320890981,0.2754513764556492,0.2641459533143587,0.25522105537565004,0.2632021049777317,0.2594663178685852,0.2711903597445705,0.2702178438383926,0.25175770374873224,0.25757678616567775,0.2567845512160535,0.26539317803240026,0.22814230311071035,0.2566248541954189,0.26408796461247847,0.2589045719864427,0.2648424710707359,0.2559523651781452,0.2464283023004059,0.2641325411058154,0.2622670002239649,0.25902631574453133,0.2579275768402716,0.2585555288815202,0.251303034631167,0.2624780626066123,0.268466861755111,0.26200605144801853,0.2604809222367085,0.25742043745548454,0.2644662397841905,0.2496510658271595
Bengali,0.3193173343951072,0.29947262923794027,0.2649736865534146,0,0.2684942392668646,0.296161165592593,0.3101341207972855,0.29519413315799203,0.2979667949595689,0.3360561817534078,0.3113637750158591,0.3183468474104395,0.31272991873987843,0.30337981485632537,0.31787040997399924,0.3081958750942126,0.252879909187776,0.24435619678075077,0.3072277010353812,0.3238314974623225,0.2697343193686846,0.2912976484318975,0.2264630633545678,0.28272613591670637,0.2614599442035688,0.2243681842790097,0.33051684663054676,0.3025450906411933,0.2804474484216853,0.2714882739184243,0.29911900670681024,0.30145583235809625,0.2860273808578317,0.28565959405089264,0.26380922676087565,0.306255438246208,0.30791331690857154,0.29166648469414685,0.30772789619483737,0.278842793515507,0.25750869931295595,0.2660591438776021
Bosnian,0.261445771205557,0.2700216091111557,0.2560240013582887,0.2684942392668646,0,0.2084364058481713,0.26960457974963314,0.16580052788814376,0.22597628555997237,0.2761516537486482,0.27246753136464696,0.2861266426935792,0.27004513351438447,0.2594496918393454,0.27758162046606183,0.2738594419064307,0.2784746132862518,0.277739763290148,0.2599407523874214,0.2779174185538196,0.2535190769958428,0.253741427312962,0.21428028894342394,0.1800479500613386,0.2729662393333174,0.2648469967877931,0.26780940042755835,0.2691897263733107,0.25970209475528866,0.21390458402664417,0.26747035043792194,0.26279894313915114,0.20246465111809603,0.14060704338215038,0.261760428307305,0.21156848677222662,0.21164869065178638,0.2615021608029336,0.26693192384477354,0.20247921346707817,0.2698875311142666,0.26319684517321973
Bulgarian,0.3081848305564237,0.3026960451591372,0.2616850655553747,0.296161165592593,0.2084364058481713,0,0.29501123855997985,0.21338563794393764,0.24945208434472402,0.32249255691395345,0.3038778445609098,0.3079830556373408,0.30462113509554695,0.2938948567434136,0.3147422317200523,0.29961962013265625,0.30860907145789973,0.3014796281905859,0.2981265964287451,0.31981023809896053,0.25251458211272726,0.2840106790172387,0.21659677678371902,0.2072946815307103,0.3070323224122212,0.27617011185245127,0.319193948661229,0.3068101708017568,0.28078706102025897,0.2339084687760346,0.29375017669771625,0.2915177446222485,0.237513180244128,0.22263970226220256,0.27777178149306375,0.25350566194792884,0.24824052170610816,0.2784928606415203,0.3001527271015176,0.2336984194372347,0.2960950473742065,0.2500344908606903
Catalan,0.32027654691471996,0.31133229449762617,0.26201918914211264,0.3101341207972855,0.26960457974963314,0.29501123855997985,0,0.28658320809740656,0.3024100899547586,0.33712708908882694,0.3090221938100947,0.3061228025083677,0.28676425470175254,0.25560825058045017,0.3158746713182164,0.3062218357417969,0.31266261006520324,0.30865988285309826,0.3032674508109638,0.32324101809720124,0.22359114671084232,0.3027347933920185,0.23049637275814908,0.28846715977120385,0.3141273508300065,0.281034141087726,0.3369254261805079,0.32318818705815167,0.28670763224120555,0.2736046957571608,0.2504122316973919,0.27353068946150005,0.2895514781318829,0.2904561982744899,0.28339189036271334,0.30780452981700485,0.30736314157520517,0.22761690955139685,0.3074367804377362,0.2816514448033811,0.31254337554614187,0.256348211879667
Croatian,0.298330033360574,0.29216291515752457,0.2557691264888394,0.29519413315799203,0.16580052788814376,0.21338563794393764,0.28658320809740656,0,0.2372655760404328,0.3062939504609118,0.2975294594681994,0.3060722835170519,0.2962536771265788,0.28308816820192445,0.3064597524700575,0.29361190361871947,0.30328474483922746,0.29992410301846073,0.2883252080623247,0.30797450518435054,0.2501052275239292,0.2814719046047845,0.21320925644124802,0.20762921212556124,0.2987740719122515,0.2720280173906803,0.30946072120385887,0.29280867180356157,0.2737793058094372,0.2261699879809556,0.2950345421810692,0.27618834850631224,0.22770336089010437,0.1739013076428817,0.2681780104136866,0.23273215054537308,0.2213265390731695,0.27665995189398757,0.2922377521705685,0.2199849177799362,0.2966834106528871,0.25210745979424415
Czech,0.2991040861395224,0.3067419897564241,0.26420861419733616,0.2979667949595689,0.22597628555997237,0.24945208434472402,0.3024100899547586,0.2372655760404328,0,0.3071065494942078,0.2975873082399859,0.30090984064667226,0.3072664678820535,0.30112242641251186,0.31878576079087256,0.31444408592681194,0.3129053631018119,0.3136771415639232,0.29534617820209996,0.3139479684179031,0.27667618209840833,0.2773091050741128,0.2259094398175434,0.24678814472625277,0.30860187492366786,0.2800436429621315,0.3073666434214839,0.30466882638624404,0.28461624987389617,0.22902764508252982,0.29904872131213867,0.29773187166209925,0.2392769720430899,0.2354018058243733,0.27956547570279894,0.2114443956715601,0.2539024270727541,0.29108001399530664,0.29860524618128614,0.23200582379851828,0.2969609237936867,0.2633207495040948
Danish,0.2916514133973057,0.33086792914692525,0.2694578251164105,0.3360561817534078,0.2761516537486482,0.32249255691395345,0.33712708908882694,0.3062939504609118,0.3071065494942078,0,0.2933525259335595,0.28391992802968813,0.3350991211371245,0.32782335118660993,0.28632323174261454,0.33399552914551317,0.3373861501189546,0.33195591598518787,0.2621621527357855,0.3417865835191673,0.2750824139600094,0.30259661864550136,0.23637054188237036,0.30689875094000685,0.3420340984660395,0.2863737029603349,0.2823676421806211,0.3391019061785054,0.2896443375842123,0.28299668894948943,0.3188105325559091,0.3167307463300974,0.2996458528602966,0.30535107966592745,0.29315843370179606,0.32285271348818095,0.3212229421698773,0.3151129811625173,0.26358568195037224,0.2933532053766052,0.32635701863659333,0.2595065556485932
Dutch,0.2172791940283147,0.31077762337836956,0.2662640320890981,0.3113637750158591,0.27246753136464696,0.3038778445609098,0.3090221938100947,0.2975294594681994,0.2975873082399859,0.2933525259335595,0,0.266612542965096,0.31588053355331713,0.31017308665470256,0.2566077204531083,0.3154269443795467,0.31232853202917804,0.3126153180415353,0.2759131461832448,0.31983670375171064,0.2761017799355041,0.2905260706970589,0.23302545106642605,0.2906183899965048,0.31225203281408576,0.28802635613051786,0.2835976456867603,0.31577209601235123,0.28226102005424514,0.27922791416689136,0.2996579847992558,0.3089362847815444,0.2915484276949883,0.2915370560379456,0.29164756947704895,0.3125424641234691,0.3040918572813053,0.29907124919023415,0.2725902145215365,0.2894605724214955,0.3067714005184959,0.26428004927611426
English,0.27205251263477115,0.3260050606025691,0.2754513764556492,0.3183468474104395,0.2861266426935792,0.3079830556373408,0.3061228025083677,0.3060722835170519,0.30090984064667226,0.28391992802968813,0.266612542965096,0,0.3174107153980758,0.3152271089649088,0.28015268120051495,0.3283985280336693,0.3187937801047777,0.3195286227019539,0.28788430125294817,0.3100296601553426,0.27558375647311206,0.3083261068000578,0.23973883432880613,0.306196898612329,0.3198655708593168,0.29226176933341946,0.2922716579629357,0.3247445334148018,0.2893556318187832,0.2828986843202834,0.3009619644630439,0.3132481045424102,0.3041187205596301,0.3051683824247636,0.30704313892718305,0.31312070115185,0.31493553302613664,0.30491902521261854,0.28281838626381234,0.29979947963611336,0.31444659383123386,0.26064612046916513
French,0.32424124982366576,0.3060377803691179,0.2641459533143587,0.31272991873987843,0.27004513351438447,0.30462113509554695,0.28676425470175254,0.2962536771265788,0.3072664678820535,0.3350991211371245,0.31588053355331713,0.3174107153980758,0,0.29079802458445964,0.32402848843540816,0.3163230635738757,0.32443290609445635,0.3221952168748043,0.30721197667513117,0.3335063830809524,0.2418264075365311,0.29645178407563644,0.23192221294340062,0.29380791476037404,0.3218226995346195,0.27992542730280573,0.3366592779149198,0.32022819434229083,0.28740616012147874,0.27838876430382953,0.283795044680078,0.2827928437955053,0.29291341498930584,0.29524720407331323,0.2830438819051738,0.3200192596428074,0.30857400404704954,0.27721477253967103,0.31402757366375667,0.2821639498779777,0.3120703198716898,0.2594268891666751
Galician,0.3094362605864137,0.2930474687571489,0.25522105537565004,0.30337981485632537,0.2594496918393454,0.2938948567434136,0.25560825058045017,0.28308816820192445,0.30112242641251186,0.32782335118660993,0.31017308665470256,0.3152271089649088,0.29079802458445964,0,0.32053432041958924,0.3112735059996104,0.3129947219418055,0.3102834872409241,0.29115672527961295,0.3250171903647372,0.22592981768842346,0.28980677114915937,0.2257444851710656,0.2768569440362011,0.3123706457025204,0.26677422855420985,0.32378528625429776,0.31362524963794547,0.2774808868596209,0.2759673946849467,0.23026181268425963,0.271502465738198,0.2806223603549695,0.27854536103485517,0.26161830362551813,0.3073827160283879,0.301016503467799,0.20440417652467543,0.3002753329282489,0.2731896215214689,0.304785029996548,0.255543236855271
German,0.2790576566682999,0.3219328602102525,0.2632021049777317,0.31787040997399924,0.27758162046606183,0.3147422317200523,0.3158746713182164,0.3064597524700575,0.31878576079087256,0.28632323174261454,0.2566077204531083,0.28015268120051495,0.32402848843540816,0.32053432041958924,0,0.31227177419906216,0.32202180977995615,0.3198192521115598,0.2846510688197633,0.3249606307357083,0.2716757903740835,0.30454349752708576,0.237058619434951,0.30601792716821397,0.3245659091238346,0.2911671801056778,0.30431194506777015,0.3247424005335565,0.28980539196110705,0.2881026301916264,0.317727259995596,0.30787931193601764,0.3046692271750586,0.3036126825926007,0.302101255052534,0.3249245678762942,0.3105535574037654,0.3036853762929977,0.2758514642341331,0.2955742413908129,0.31571141454440615,0.2631741583414671
