,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.05938169381621961,0.05096677790839191,0.06539482603618813,0.05440075853966187,0.0637574905605887,0.06697526343778265,0.061922143881141464,0.06213785197121581,0.06378542159923974,0.04760458583078007,0.057798987801057605,0.06484688943778673,0.06175683916443215,0.058983904329810266,0.06504547561424462,0.06662900500645244,0.06529447593555164,0.05556554430583687,0.06741507698324345,0.05611415354173791,0.05794015012230099,0.04709472004678388,0.06006962475980739,0.06725913846067831,0.0561546998552681,0.06141693663904789,0.06177575505641137,0.055635978513028934,0.057259891316739045,0.06196118516454403,0.06165108186988125,0.0588466619061155,0.05963465044087466,0.05484189776380108,0.0639266311234583,0.06371609461384263,0.06351535317786758,0.05800000386063275,0.05796069193555303,0.06293727208101099,0.05275522261756355
Albanian,0.05938169381621961,0,0.050428419097461985,0.061956180532358664,0.05527543993488853,0.06305363455729278,0.06457754221417339,0.061078242224443476,0.06223940545685224,0.06309539027230353,0.05984723004183522,0.06375991019855853,0.06152132506588787,0.057180538548422796,0.06144783438462881,0.06207492642969599,0.06419199543100816,0.06312588578901045,0.05797914709522824,0.06191537171468209,0.05647146421938574,0.058641254694403365,0.047325791519473255,0.059146640649807576,0.06326627935763758,0.05397594344460271,0.06355400637142494,0.05772859947872282,0.054790500727053555,0.056669075027035894,0.059327300627541615,0.0598342149625859,0.05889137684895569,0.0597088015670861,0.04943930493006583,0.06201426525280398,0.062464889748950474,0.06217273517203367,0.060764478893443934,0.05817392408092649,0.0599434144183707,0.0535790895671994
Armenian,0.05096677790839191,0.050428419097461985,0,0.05342163514996872,0.052236307166746224,0.05358079824735983,0.05423520529273567,0.05295367297799287,0.0538478570108569,0.05420795826951232,0.05343742953461826,0.054894033064134554,0.05251997551355059,0.05039662596845052,0.054112989316639167,0.05280727425567728,0.05559117275962639,0.054834625512875546,0.050106433128932676,0.05305184968185018,0.053293343614396554,0.0539521105835021,0.04777812702506656,0.0521801770975624,0.05343235012676962,0.05130563755986284,0.05191858791981259,0.04991087200553042,0.05050738688556223,0.05375780435681844,0.053206258376854915,0.05264732849262491,0.052700129503424724,0.052603369025826394,0.048475685288237404,0.05324541981019457,0.054563944661606044,0.05472987720673802,0.051771349543639406,0.05233555427188962,0.05241444776474047,0.05113941458364687
Bengali,0.06539482603618813,0.061956180532358664,0.05342163514996872,0,0.05714971236548292,0.06372791630958763,0.06574476358430892,0.06305962183005205,0.061680940909036246,0.06900919961862778,0.0641464442375337,0.06440316435101844,0.06479796206840911,0.06288080811801264,0.06450380836637845,0.06357648395042129,0.0593623101820553,0.05739618307414393,0.061924369326608,0.06696925922794537,0.056704592079944785,0.06133959010636746,0.048975969960387396,0.061140793562681824,0.05964549687052022,0.05058545388659565,0.06733264135667033,0.06364192126683316,0.05831114881657439,0.05758481542163599,0.06221420213859986,0.06173049203862996,0.06054080144311695,0.061252224281155655,0.056511182862663795,0.063713250804984,0.06549594064520402,0.06220110775685845,0.06367168968191879,0.059001280960019616,0.05583694641073412,0.05418609330725134
Bosnian,0.05440075853966187,0.05527543993488853,0.052236307166746224,0.05714971236548292,0,0.04827691278285535,0.05841616794008781,0.04010562630863737,0.05000129122745067,0.05669287021535264,0.056298810406472576,0.058408867547265,0.05552637723206191,0.05403736397044566,0.0576876816641346,0.05693138343833771,0.05914207834612287,0.0578891395034924,0.05429124628144702,0.05772332929241955,0.05354985122486166,0.05469538223301036,0.04665351488128127,0.04223272279118465,0.057841298559612765,0.05420352968700219,0.056154044053681094,0.05470978363147329,0.05487139574847148,0.04750252724732678,0.05563062377417356,0.05528802996257359,0.04536933491433244,0.03364055985056125,0.05343568374725843,0.047427840178577554,0.04817197891095906,0.056438124420595676,0.05609976430874995,0.04543906696588547,0.05568887627613262,0.053769555651940394
Bulgarian,0.0637574905605887,0.06305363455729278,0.05358079824735983,0.06372791630958763,0.04827691278285535,0,0.06457522036782543,0.04961496007836523,0.05569955359199938,0.06682141079872983,0.06333358380708383,0.06270005173576522,0.0636408287856377,0.06155210352279523,0.0650971870430869,0.062247691894620885,0.06514170694176687,0.06416642748694061,0.060986834834301645,0.06640923266726648,0.05419351766655318,0.06032655954692817,0.04782784372756485,0.04764804893149645,0.06538563077948326,0.05861082344097627,0.06586990476201783,0.0628205116613039,0.05928019187133799,0.052168976338959165,0.0622058859065647,0.06134584236949351,0.05281509184749042,0.05046786881783284,0.057712262376035044,0.056521665710009474,0.055412704010399154,0.06157204583218931,0.06269147703238853,0.05272250182245839,0.061601434717636606,0.052420960295291384
Catalan,0.06697526343778265,0.06457754221417339,0.05423520529273567,0.06574476358430892,0.05841616794008781,0.06457522036782543,0,0.06343433533700417,0.06405803468369622,0.0708412061698706,0.0649270082562909,0.06380219360941439,0.06238900510625302,0.05715122155004855,0.06588180548941892,0.06484240871178035,0.06723677188917587,0.06567063113313068,0.06259774161502647,0.06913923511466459,0.05001841820468602,0.062396081672370846,0.04945349160584159,0.06214789296702693,0.06742749961336235,0.060403151361513176,0.06736088530779509,0.06731579372897027,0.059800898972478575,0.05952388633825983,0.05590003163538327,0.059256718138371564,0.06222785340273816,0.06294493169607242,0.05980723577496229,0.06640948792358034,0.06661746490278338,0.054143919077304474,0.06462378449676787,0.0608079740079261,0.06407720288986553,0.05461429757060927
Croatian,0.061922143881141464,0.061078242224443476,0.05295367297799287,0.06305962183005205,0.04010562630863737,0.04961496007836523,0.06343433533700417,0,0.05279128122525948,0.06408062776057691,0.06196429739421101,0.06219885010429723,0.06161910458190598,0.060363956347006156,0.063672093711309,0.06222597543345249,0.06493704805885415,0.06407670471982764,0.059702472942258625,0.06484494601173257,0.05454339279479488,0.061033299219906884,0.047359477367872306,0.04776573926565418,0.06366755832717935,0.05748126710958832,0.06425516659926087,0.06055482959485044,0.057817717378442796,0.05124673603288789,0.061753420753758635,0.05966112333814016,0.051715362202690594,0.040616901075919656,0.05646482108255152,0.05178677460147137,0.04985392813139102,0.06072290396533525,0.06160539227430108,0.04946362769573996,0.06095760259187273,0.05292986255044636
Czech,0.06213785197121581,0.06223940545685224,0.0538478570108569,0.061680940909036246,0.05000129122745067,0.05569955359199938,0.06405803468369622,0.05279128122525948,0,0.06350565986699247,0.06151058440226936,0.061515506889413346,0.06247157900569999,0.061544553355433136,0.06501026022144414,0.06290343557196676,0.06505252488711187,0.06419821657473374,0.06024258352565584,0.06498515599770133,0.0565881313582913,0.05937466627425465,0.049705264041943045,0.05447480730520993,0.06423607270824959,0.057093239388125286,0.06416606566086569,0.06086201857909162,0.058174325764846616,0.051405212314271136,0.06162161809420294,0.06079531970449672,0.053638268083680246,0.05206372035328492,0.05689422486961517,0.04894110276097171,0.05513318952597883,0.06099035956201001,0.06189373943432989,0.051723049235300946,0.06043543709787052,0.05336112929090476
Danish,0.06378542159923974,0.06309539027230353,0.05420795826951232,0.06900919961862778,0.05669287021535264,0.06682141079872983,0.0708412061698706,0.06408062776057691,0.06350565986699247,0,0.06065212162196496,0.06246515609343016,0.0672295244217283,0.06585412690388175,0.06204420283156935,0.06727306992263606,0.06959392591881844,0.06712637982698966,0.056911134402384246,0.07109657935353443,0.05561876396649055,0.06210755917568813,0.05010163737511602,0.06277022967216589,0.07045116128299467,0.05751880833121011,0.061894367173741784,0.06630270501149294,0.05904065615406918,0.058520998140560596,0.06515288517155977,0.06416474081072106,0.06125331068386024,0.06333653991993073,0.05665523169794291,0.06716649953212839,0.06700269984784554,0.06561080412591659,0.058407248318749536,0.060102507462575686,0.06536314801421791,0.052790968379880364
