,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.26201676751352343,0.2081049535838865,0.26395995478644635,0.22976482749044302,0.2605494345236779,0.2650262656740389,0.2508318226664334,0.2570978155440359,0.24737495309726665,0.17913840238814568,0.2306077745146803,0.2648260335910965,0.255404240444308,0.2314721075322646,0.27511118771007,0.26791784199571045,0.26035942171589244,0.22021351916645826,0.28134519409582026,0.22795066582811088,0.25174442965577304,0.18438357521566937,0.24689349958428708,0.27009816772865813,0.23150561789595542,0.23998446525101313,0.25903819071076095,0.23485351639231866,0.23907632909531443,0.25699434914202657,0.2520629014967728,0.24397501037442093,0.24367632574518558,0.23655612410240584,0.2678612586019048,0.2608130318973293,0.26692240619182916,0.22564786584651605,0.24195287723093656,0.2579113229273781,0.21150493203264548
Albanian,0.26201676751352343,0,0.2132831063907715,0.26204759839443065,0.24064530953147842,0.2746708420436865,0.2773542346449219,0.26307646921291067,0.27523272877690447,0.27645639348053047,0.27015520658828107,0.28064383446902225,0.2674230670040221,0.2552665104584307,0.2738981617071011,0.2771541708032638,0.2741939113192677,0.2654388673151068,0.2529097345122697,0.2802282785084392,0.24576974611923713,0.26108799027838964,0.19220759157927947,0.25480788134800697,0.27232061858943735,0.23411980011666847,0.28025507061405264,0.25314336558935724,0.24260491084939298,0.24935521589769613,0.26618778113412983,0.25635250613479693,0.24901775332019582,0.25420866094991496,0.2159281847429091,0.27419673765138414,0.27624424107973333,0.28098912414941696,0.2612904056326872,0.2503470144908029,0.26051767609671306,0.22713240401238438
Armenian,0.2081049535838865,0.2132831063907715,0,0.21890891436318555,0.21744669801281535,0.22637630669351588,0.22399340297579243,0.21698433125564112,0.2250322021924146,0.22540193308830192,0.2227602821053363,0.2262944203525464,0.2206104666964949,0.21255840521427843,0.2231064127679189,0.22450951034816702,0.22619224559960874,0.22389265861260146,0.20857517937426232,0.22176278291770235,0.22098577615490977,0.22242536404638533,0.18453450684225653,0.21640359491853378,0.22234665470050335,0.2120448739684695,0.21786391033164126,0.2080067086084598,0.2076278406163194,0.2239269474063014,0.22214089375955542,0.2189065740004401,0.21670585435134854,0.21633916215041463,0.20757832293890754,0.22329478218688376,0.2268214048271423,0.23498063088993404,0.21542453785347518,0.2181998015863089,0.21784638732939973,0.20909458539938755
Bengali,0.26395995478644635,0.26204759839443065,0.21890891436318555,0,0.2430200870558694,0.26021282555263187,0.26149458806137343,0.2613292277559464,0.25684619652963725,0.28606558215213584,0.25850302450294926,0.25794762643031627,0.2629389669821373,0.2622917856849958,0.2657753789470008,0.26215755170775773,0.22625450301215969,0.21862747323107717,0.25586310668005563,0.27228905276362003,0.23281001598264026,0.2559974661918269,0.1881526227271695,0.2534671439804859,0.2320714819942077,0.20349728112669324,0.2786512480451727,0.261071552681957,0.24068196096869723,0.238715543163074,0.252958135633504,0.2568013370590887,0.25326544512757315,0.2542561448466405,0.23607240165674326,0.26861913686698774,0.2743648532877288,0.2548913192436002,0.2605419519342747,0.2486002368479411,0.22222266408150526,0.2195178316480406
Bosnian,0.22976482749044302,0.24064530953147842,0.21744669801281535,0.2430200870558694,0,0.19979039441139795,0.2444383221082432,0.15324414509273723,0.20321574736210896,0.24115922689367308,0.2364226177337528,0.2502751177896989,0.23699720840268962,0.23449316913302762,0.24501998460875693,0.24517742954797947,0.2514490675237402,0.24615916922692094,0.23381719951559396,0.24656127070520806,0.23072122686005667,0.2245952428264537,0.1908661033265666,0.1677687453085377,0.2466611395471944,0.23189351056036225,0.23529720889069167,0.2349986367221444,0.23365187415428512,0.19863041091472364,0.23762842535539658,0.24011906185856238,0.18326398904965824,0.13116751933989318,0.23392654532420834,0.18986890764108533,0.19075236875204665,0.24612332764007694,0.24005079051443176,0.188413343164335,0.23820701587213372,0.22795723307763643
Bulgarian,0.2605494345236779,0.2746708420436865,0.22637630669351588,0.26021282555263187,0.19979039441139795,0,0.2526150695466972,0.19627561057887627,0.21391095652284847,0.2749993978388837,0.2531530872348856,0.25263596725364756,0.2622069246817739,0.2528586207417098,0.26774296318713886,0.25791713490069845,0.2641330346044219,0.25786233889792903,0.2520708964436895,0.27283568836245076,0.22041720351228258,0.25737097523312563,0.19219291203503475,0.18696632135458452,0.2639335338226284,0.2516900223984424,0.27309284133970746,0.2637915225122104,0.24778206597596306,0.21668929571466283,0.2521784138120531,0.2572521300868661,0.21536397196218077,0.19987981975197644,0.2500172742415383,0.22584715145716794,0.22256316483898633,0.2529750246617518,0.2616202478753779,0.21530022338470786,0.2554016890942387,0.20852681709548287
Catalan,0.2650262656740389,0.2773542346449219,0.22399340297579243,0.26149458806137343,0.2444383221082432,0.2526150695466972,0,0.2538012763471951,0.25809214155762644,0.28551556877925355,0.2556069403301222,0.24464527531080213,0.2491947976008734,0.2195722522263071,0.2636768869499818,0.26077921595962517,0.2563244312990706,0.25112918302318293,0.25290568059864865,0.2715075457418559,0.18636117456642382,0.2669352853362335,0.19336217622287286,0.24964510028903944,0.2593730321148843,0.2501387913438923,0.27606401299088684,0.27524680706947735,0.24631414783727934,0.2457250605346824,0.20803527991051132,0.23970330617458732,0.2523335277083851,0.2526733317040119,0.24974638739034627,0.2730264970737138,0.2717882034402417,0.20195394762745528,0.2596962674459458,0.24737991164818796,0.256566296811613,0.2093906751351785
Croatian,0.2508318226664334,0.26307646921291067,0.21698433125564112,0.2613292277559464,0.15324414509273723,0.19627561057887627,0.2538012763471951,0,0.20586520764182192,0.2640024944915323,0.25372673521140543,0.2526388216220398,0.2580688632475243,0.24889404802503795,0.26582183058131786,0.26336572462657926,0.2636345415107803,0.25935458232106867,0.24640556451588105,0.26821879828823936,0.22547068188459823,0.2547093736652775,0.18611621515137997,0.18461104908752252,0.26119265250439005,0.2444352672424463,0.2642819850395294,0.25206675831750347,0.24026033310427158,0.21251318971474362,0.2562615912905885,0.2515189942388443,0.20356318673528212,0.15327711387204085,0.24253238324803392,0.20770170148874517,0.19747889858985654,0.2576980386955891,0.2557916575792444,0.20160007589987322,0.254717492944205,0.2142425239156827
Czech,0.2570978155440359,0.27523272877690447,0.2250322021924146,0.25684619652963725,0.20321574736210896,0.21391095652284847,0.25809214155762644,0.20586520764182192,0,0.2601469919606731,0.25319090078543205,0.25034284417068603,0.262353923866786,0.257511618244581,0.2676302651851614,0.2657896643224845,0.26664863145273054,0.2630002421013133,0.2513212219720925,0.2701944231666451,0.2304893380635046,0.24684544549503656,0.19938601111652293,0.21509469289858857,0.2648153942064932,0.2468184752400064,0.2640124382282399,0.2556265835811304,0.243628834190188,0.20897593669176154,0.25645368710254735,0.25476048250425787,0.20890069113205068,0.20637492732136253,0.2489622792751744,0.1956418710521417,0.2156338645304978,0.2590141594648229,0.25977180959043833,0.2049553154210934,0.25328935283760096,0.216123185861249
Danish,0.24737495309726665,0.27645639348053047,0.22540193308830192,0.28606558215213584,0.24115922689367308,0.2749993978388837,0.28551556877925355,0.2640024944915323,0.2601469919606731,0,0.24612361347326703,0.2564338329391516,0.27959879327231296,0.27328515696483663,0.2547143270803186,0.28720524834142314,0.28568314374210624,0.2778861704046651,0.2255643288771939,0.2912858621409801,0.23074464986204343,0.2634052989096428,0.19953969776680924,0.2609277101923372,0.2909920826521247,0.24639675218568746,0.24710649791366682,0.2798366286988656,0.2481453886762319,0.24805688198514408,0.2724585685574514,0.2701663814820782,0.25517386900656575,0.2635739884164291,0.24523011524554753,0.2835391243044976,0.274588735299964,0.2783548183482096,0.23151462731568964,0.25095526980076505,0.2766540781994075,0.21440299970937324
Dutch,0.17913840238814568,0.27015520658828107,0.2227602821053363,0.25850302450294926,0.2364226177337528,0.2531530872348856,0.2556069403301222,0.25372673521140543,0.25319090078543205,0.24612361347326703,0,0.22874985697674943,0.25867460867656245,0.2571124825547717,0.2185787038877811,0.2640045777410908,0.2616271047522822,0.2581200403453677,0.22891631657217876,0.2669835275826285,0.2261473243206885,0.2537110912834792,0.1941842629473081,0.24718119117313658,0.26453595548802494,0.24652213535135786,0.23588310271996657,0.2663888568519657,0.24164684738655434,0.24026479808297385,0.24923148370418127,0.25548686485067323,0.24725513515816744,0.2470594595492937,0.24825411335483694,0.2644737849626703,0.25674720170512266,0.25349729885609773,0.23325787705509735,0.24835515018680496,0.2555798781866916,0.21628465612542058
English,0.2306077745146803,0.28064383446902225,0.2262944203525464,0.25794762643031627,0.2502751177896989,0.25263596725364756,0.24464527531080213,0.2526388216220398,0.25034284417068603,0.2564338329391516,0.22874985697674943,0,0.2575308251337637,0.25952932357974506,0.2407771473290436,0.26816037589185954,0.2538988805588032,0.25304342556070497,0.24525365126480964,0.25478046704421153,0.22442470606145842,0.2661098505517116,0.19884100092664142,0.2489372377924704,0.2540438172515131,0.24713315548260908,0.24653497284739473,0.2647593249179247,0.24351066783308842,0.24586541299187165,0.24628049425645193,0.25783892156172933,0.25433310535857295,0.24955644132758217,0.2557485055076982,0.2668226347837984,0.26269599218364786,0.2557752871291203,0.2502681351992001,0.251408945159533,0.25286771173732264,0.21176834307066916
