,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.18225482140040905,0.15808601625346697,0.20425737519448883,0.16998918919860836,0.19158634284051462,0.20096733955172688,0.18734721684658376,0.17991789550500803,0.18706263612353558,0.1415941959610983,0.1722091064171422,0.19998615554507215,0.19054256416993323,0.17519254621067404,0.19846268929292527,0.20729926290101625,0.20898029547425712,0.16779168985359574,0.20535255085924006,0.17074484510474017,0.1791481134114884,0.1510705754240807,0.18517127065624883,0.2093564107504099,0.17176238695894838,0.18593611499447488,0.19032386669398088,0.1666840066388994,0.17101775633953883,0.1840759012832226,0.19108626546646923,0.17859162114214533,0.18476105704680962,0.17094700291146628,0.18960564495674095,0.1920485198844653,0.18427948736602862,0.17488574898648987,0.1791424116360616,0.19536741512684125,0.15660317268931404
Albanian,0.18225482140040905,0,0.15801434272073842,0.18590631920720593,0.1723339427295991,0.18266350844238913,0.18647473321550237,0.17635871166408762,0.17985554731357317,0.19358875432386716,0.18187974767998438,0.1927417006537163,0.18043531004003713,0.17311533951642114,0.1898509311034522,0.183435298908637,0.19439916981166372,0.19369379791388658,0.18082595023531628,0.18533040585521168,0.16183857864398082,0.18165969357186892,0.15166120701798447,0.1791522083376103,0.18868027018576194,0.1614077774125897,0.19702871649258294,0.17444204650673034,0.1631741841237458,0.17025708782510052,0.17398767120610212,0.18056583699646248,0.17684523971064783,0.18079241261149506,0.14857303098807625,0.1843307996799309,0.1856118473889472,0.17305743857774097,0.1859286807782218,0.17487656437969765,0.17969235881663823,0.15738842939118702
Armenian,0.15808601625346697,0.15801434272073842,0,0.16915538279465425,0.16500198545023342,0.16371137112945888,0.1675142041403703,0.16256942971076677,0.16581067901700555,0.1700572229849488,0.16581301508192764,0.17336799369942188,0.16694713252740773,0.16009669694295112,0.16505874871117812,0.1617259683853954,0.1767882072147853,0.1779572089101649,0.1561873815396927,0.16333054101066863,0.16288028678704392,0.1662372995877236,0.15047843858013615,0.1650851980977383,0.17041961921771553,0.16521380557760013,0.16484140160740826,0.15918956296633133,0.15226794618124181,0.16566781114763923,0.16469564054350827,0.16575364187204134,0.16386900228514875,0.16457901939847144,0.1552547755084964,0.1631990576594883,0.17008369435747606,0.1657274668759174,0.16490614237596424,0.1656952320348527,0.16900338034035434,0.15833647077322932
Bengali,0.20425737519448883,0.18590631920720593,0.16915538279465425,0,0.17478270628620143,0.18616491733324556,0.19836199907207672,0.1842200387960842,0.18274937302851577,0.20649585844384924,0.19517524173052347,0.19796604783329969,0.19751931988069824,0.19225034615498496,0.1964200995859976,0.1912685408931988,0.16896869458548944,0.1666219189442474,0.193788826908105,0.20597477235615624,0.16838543742603612,0.18536806673694473,0.15455778377059398,0.18067791028697755,0.17343211238035744,0.1435303423256031,0.20777784748875083,0.19091179947951303,0.17489447539829106,0.17080036002123017,0.18911848199173348,0.1905375360179369,0.18315181915551787,0.18559483040193686,0.16919527077921462,0.18785324189007774,0.1926893236118308,0.18439955702198726,0.19192323959820698,0.17825318107601462,0.16226603321158503,0.16606447608564998
Bosnian,0.16998918919860836,0.1723339427295991,0.16500198545023342,0.17478270628620143,0,0.14032353368486766,0.17777972507251805,0.11463245750383318,0.13912694863805933,0.17738597155313246,0.17369281030426162,0.18537287971965408,0.17490721267658227,0.17308046169453328,0.1749417654687786,0.17506946939501794,0.18239783715522057,0.18640507199710277,0.16817993702725725,0.18336672907965976,0.1626383287253176,0.15431881183992208,0.13463506950187873,0.12552958496234376,0.1810276683123257,0.16688847505139723,0.17336714703243586,0.1759495751276036,0.162975438022661,0.13289088376840752,0.1709146215518034,0.16785458420358315,0.12923135819936102,0.09517582192727306,0.17031102053102118,0.13156411730213757,0.1388218412310003,0.17205060414011644,0.17382347917516874,0.12956629708256742,0.1757966776791694,0.1662397159274494
Bulgarian,0.19158634284051462,0.18266350844238913,0.16371137112945888,0.18616491733324556,0.14032353368486766,0,0.18741791251404383,0.13705649729900093,0.1537512531287164,0.1974457921521262,0.18341162242463468,0.1910023640590392,0.18781707953005858,0.18197195847394543,0.18913024234879183,0.1819513585005771,0.19266340288278028,0.19398925923922325,0.1821357425042212,0.1962109792970709,0.1570998224377473,0.17384656661093645,0.14130360362605696,0.13377210115758859,0.19361091212985687,0.17235745493504714,0.20087729486870287,0.18831650064395394,0.16885246361683995,0.14339493829677116,0.17978633987554593,0.1809369680181472,0.1490799917475629,0.14427872169579953,0.17013876583077744,0.15661420601988488,0.16125874446957128,0.17213345106353994,0.18577810659916785,0.14868575116809069,0.18138475605827287,0.15508529456956496
Catalan,0.20096733955172688,0.18647473321550237,0.1675142041403703,0.19836199907207672,0.17777972507251805,0.18741791251404383,0,0.18315273259658496,0.18421600153690826,0.2062163629184775,0.19050410861904807,0.19305375349135562,0.17766571797598948,0.15897943629017294,0.19328159213764232,0.18935019994829688,0.20249529641326328,0.2019426567255232,0.18720252210269042,0.20224492913206912,0.14394638347805033,0.18645073787624813,0.14933783332014217,0.18459354666762043,0.20016124983774838,0.17881531037603182,0.20194868303274507,0.19864359125059275,0.17428410744909523,0.1688008729554413,0.15845678113129016,0.1726627388871801,0.1821317747302878,0.1875930575649008,0.17481836213378155,0.18953131498011183,0.19604738356633727,0.14842402394751306,0.19029232944795085,0.17782299835640789,0.19526327650092942,0.1630490968779895
Croatian,0.18734721684658376,0.17635871166408762,0.16256942971076677,0.1842200387960842,0.11463245750383318,0.13705649729900093,0.18315273259658496,0,0.14377089306334193,0.18968639645660063,0.18116597218413721,0.19118690091665683,0.18359422634309808,0.1770841342090818,0.18771023351169552,0.1794216530212723,0.18907986824724166,0.1929963973204736,0.17970201529263252,0.19202361995536502,0.15578074239878675,0.17011101109855536,0.1363737347048342,0.13641978252259543,0.18655876158074403,0.16924281396572194,0.1940628131402454,0.18138960787144456,0.1631436691706864,0.1358174874094913,0.18000645790270084,0.1736514755652148,0.1445524677442518,0.11439007018656902,0.16337134623775615,0.1437373616675565,0.1414354457481147,0.17117569073140873,0.18072815187008717,0.1373978777920054,0.18128019653671057,0.15615857585760368
Czech,0.17991789550500803,0.17985554731357317,0.16581067901700555,0.18274937302851577,0.13912694863805933,0.1537512531287164,0.18421600153690826,0.14377089306334193,0,0.18391485917489875,0.1782274457612605,0.18290375843386286,0.17982386304128717,0.17927737162102153,0.18903448131129347,0.18322715107852422,0.1898034443591081,0.19291616200304312,0.17699509170287034,0.1905804820009342,0.16412715727490193,0.16384805886074075,0.1413770553380395,0.15279953558232776,0.18898121067529658,0.1674811743920626,0.18788809641608817,0.18135411805518084,0.166188981065425,0.13448422550442574,0.1778278192358856,0.17693905015801378,0.143875122622924,0.14243276909149952,0.16853457908659455,0.1260768893631795,0.1550142368409979,0.17207999665078683,0.1791969684193002,0.13876940452666453,0.17755944977062338,0.15604601971153953
Danish,0.18706263612353558,0.19358875432386716,0.1700572229849488,0.20649585844384924,0.17738597155313246,0.1974457921521262,0.2062163629184775,0.18968639645660063,0.18391485917489875,0,0.17783403957909064,0.17125340116706916,0.19993726410082802,0.19730896481026292,0.17443533474630196,0.1999878707065009,0.2062635733497295,0.20391955209873983,0.16662041481352113,0.20744928402263027,0.17014289784320843,0.18774247810898495,0.1553804509135405,0.19317755742880083,0.20944479864028293,0.17439312462001208,0.178378258865976,0.20242942459989532,0.1728823811133388,0.17197412460724285,0.18604833405340432,0.1949255710561476,0.18714211852377108,0.19301238601309217,0.18059906369693438,0.19376551839329537,0.19819193408266908,0.18512037670745007,0.16721706219664242,0.18358572248021748,0.19336934704481312,0.1564839960782651
Dutch,0.1415941959610983,0.18187974767998438,0.16581301508192764,0.19517524173052347,0.17369281030426162,0.18341162242463468,0.19050410861904807,0.18116597218413721,0.1782274457612605,0.17783403957909064,0,0.1628347080889777,0.19006727030449164,0.18597938874341216,0.1575523416479182,0.18465310953718367,0.19522861219870416,0.19653564274189833,0.17107937272097667,0.19424858994042046,0.16584701196296328,0.17842442372782377,0.1512975449525963,0.17964050685183772,0.19496342992607293,0.17394259453182406,0.17794323225878525,0.1878786984182467,0.16763318510085937,0.17204532470783765,0.17873519793114676,0.18563089396955917,0.1786544236188965,0.1824731744474058,0.175895357911591,0.18561339261847828,0.18418770513739538,0.17686112442483756,0.16804421836622127,0.17803449814526548,0.1872148682530423,0.1580667835199884
