,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.11278504658992901,0.08826643794457432,0.12044437413939998,0.09643360364031307,0.11369902376402588,0.11792398666252846,0.10686636418378197,0.10885843692738312,0.1027308153269284,0.07637854114171,0.09212920902712962,0.11445174005488473,0.11046101036004179,0.10136672234858682,0.11290053556967403,0.11981481196445112,0.11541631594734193,0.09672216199493887,0.11782791802728966,0.09593662371649583,0.10917341822801842,0.09018033792447458,0.10772432329019271,0.11907408958265021,0.0960386399873324,0.10691139791712231,0.10913293476675259,0.10103103427618637,0.10245457508994543,0.10697162818313612,0.11030482996079248,0.10380631500169868,0.10629590174203112,0.09951055511617343,0.11244507819036845,0.11142986213723718,0.10611688540296413,0.09919183787937527,0.10236079222513063,0.11265301633380025,0.08682814052670433
Albanian,0.11278504658992901,0,0.09017710056625763,0.11135709296862238,0.09919318243722733,0.11073351535955245,0.11362871034150829,0.10233979601867828,0.11055557906115074,0.11134134773798138,0.11033677864183124,0.1113324407190901,0.10569210507236697,0.1018444646763602,0.11559013105561469,0.10663766293038099,0.1152270419110042,0.10998552258167903,0.10837836616604482,0.11096398687349472,0.09451528421588672,0.11374339899103901,0.09063395832827932,0.10516037787460004,0.11056117947596554,0.09184543771261391,0.11857212213330096,0.10176977254987296,0.10065479767363883,0.1048518179512238,0.1042524465695306,0.10496501894034846,0.10401932461063604,0.10539336238691682,0.08547068180145533,0.110941968607803,0.11067612517769752,0.10288071975026734,0.11051631004871992,0.10110081124187967,0.10465348450407812,0.0899188775050444
Armenian,0.08826643794457432,0.09017710056625763,0,0.09419634749865945,0.09020484435168451,0.09232846053371212,0.09364097426509772,0.08803069517276996,0.09362503798365705,0.0902275706652989,0.09081145312600651,0.09156437485372343,0.08991052545516195,0.08687676743275577,0.0924197896057077,0.08712637688525085,0.09689129058792113,0.09460307647042972,0.08633669312507962,0.08847874606158736,0.08753657981867541,0.09720447384875609,0.08622173495553652,0.09055439483979115,0.09282950110863401,0.0869943399817664,0.09235373749292068,0.08493121384208319,0.0859511651516741,0.09489691692708997,0.08931134975516694,0.09006791245314877,0.09056697912515134,0.09094747985615378,0.08394769440389283,0.09101747562232343,0.09419273840872294,0.08987061538937617,0.08977684379917877,0.08998083136100996,0.09116820957294496,0.08256549598468091
Bengali,0.12044437413939998,0.11135709296862238,0.09419634749865945,0,0.10173389825234945,0.11307015539244009,0.11736024837110014,0.10743189258907843,0.11146191068033358,0.12085957387934786,0.11538724591257311,0.11309857071837139,0.11491609901282544,0.11151878053107618,0.11950526219497135,0.10909009564885182,0.09668839533201426,0.09118759820806792,0.1148318101213987,0.11894641051430739,0.0967826926411021,0.11596136081404201,0.09287912630537833,0.10768416959070033,0.09849806069205665,0.0792901127962142,0.12632630414310958,0.10986780290231742,0.10557734735518697,0.10428916150012651,0.1102712631461938,0.11118612714265104,0.10864889265871722,0.10929405546648852,0.09614143205230308,0.11334031889630909,0.11352648295355475,0.10536327719389942,0.1144939942016132,0.10446945791251423,0.09423930390013695,0.09429606640670599
Bosnian,0.09643360364031307,0.09919318243722733,0.09020484435168451,0.10173389825234945,0,0.07716221762625582,0.10235379396447322,0.05679755142136776,0.07938048660136446,0.09868245323858621,0.09840421709000378,0.10098443568339975,0.09763183437164394,0.09551075990253252,0.10184931870959164,0.09719728333199613,0.10488814691807564,0.10300766539334838,0.09534070845041348,0.10095164057709403,0.09055387312679584,0.09520359551547788,0.08057083300076866,0.06660783989269592,0.10280519022964829,0.0941335722482418,0.10147498052740007,0.09648937094735684,0.09417080061249312,0.07666384566154416,0.09594819007823778,0.09622108265349852,0.07209132829786045,0.047828040901587085,0.0937092233289105,0.07454579138772817,0.07693952368753507,0.09522601822237595,0.09917510898785505,0.070792746754696,0.0995141740817427,0.09035369625840582
Bulgarian,0.11369902376402588,0.11073351535955245,0.09232846053371212,0.11307015539244009,0.07716221762625582,0,0.11265221371553966,0.07655840045529526,0.09057539135473874,0.11442760760962498,0.10977949941927014,0.10879853792849213,0.11025327216309419,0.10756845359479465,0.1166952661016334,0.10591890394030753,0.11625333831036182,0.1117366364542981,0.10859851002822155,0.11538608931202626,0.08976272646577348,0.10985751428728603,0.0857653056672248,0.07611491422410391,0.11513647575807899,0.09822066182842609,0.12082717412665893,0.11013976287917056,0.10345240717420068,0.08672793842771474,0.1062778239341143,0.10662524264282278,0.08679963072690143,0.08207281497044616,0.09861851203291234,0.09203367093816046,0.09220751303029405,0.10117251254591525,0.1117911343569915,0.08523633019158167,0.1071252099119368,0.08648891412798762
Catalan,0.11792398666252846,0.11362871034150829,0.09364097426509772,0.11736024837110014,0.10235379396447322,0.11265221371553966,0,0.10620772353067194,0.11267218119756936,0.12054403527429973,0.11176912033423207,0.10804732178700156,0.10431566082015648,0.09038731512506315,0.1176230815457909,0.10895921857515915,0.11842729973807678,0.11507943509608168,0.11076249625891545,0.11811207605561376,0.08041622695498063,0.11744763057967053,0.09173506981144385,0.10924659797425437,0.11695664189303429,0.10026704996825667,0.12330575705625205,0.11515193395598779,0.10531810287044072,0.10374715214781093,0.09040934680939039,0.09977644610494564,0.10829252454870525,0.1106749917299532,0.10230356615288937,0.11468061523291263,0.1150114795057533,0.08341669305112384,0.11341201584729525,0.10448029132977155,0.11372045157632277,0.09147804642743275
Croatian,0.10686636418378197,0.10233979601867828,0.08803069517276996,0.10743189258907843,0.05679755142136776,0.07655840045529526,0.10620772353067194,0,0.08173112146881185,0.10446842421174343,0.10467571374760619,0.10425460571492844,0.10323863642410878,0.0992104155263949,0.11050331963446039,0.10006468862357203,0.11015657861286418,0.1072642372181588,0.10262549233383285,0.10810946410264027,0.08651185447868301,0.10495712935168049,0.07976194112021794,0.07490614840367121,0.10737224243205294,0.09169270584940756,0.11230543284791082,0.1006039485941248,0.09610410812557407,0.08118357677681275,0.1027498515879174,0.09890008105669082,0.08089778177667009,0.0590060269439208,0.09007251466305848,0.0814604173347919,0.07692128897065956,0.09607857206351719,0.10437336554858617,0.07535987589659672,0.10242266957143352,0.08386162655228632
Czech,0.10885843692738312,0.11055557906115074,0.09362503798365705,0.11146191068033358,0.07938048660136446,0.09057539135473874,0.11267218119756936,0.08173112146881185,0,0.10789821502545616,0.10818104937932847,0.10488065941908256,0.10769037630380392,0.10685558112412259,0.11736592414169573,0.10795780667024944,0.11550724491104854,0.11259112105266529,0.1064483860547214,0.11203854732726962,0.09597196042349883,0.10336549683979662,0.08783200195552582,0.09011769218702709,0.11334817685121737,0.09788688276338642,0.11462496856716792,0.106424250741786,0.10304550821200886,0.08204127230146166,0.10700317375489252,0.10627240531277174,0.08372443338963213,0.08394320905621679,0.09745189457944384,0.07336240607411616,0.09064338081538188,0.10216541184828007,0.10941905435447204,0.08122958659546335,0.10557539404928183,0.08891592948560008
Danish,0.1027308153269284,0.11134134773798138,0.0902275706652989,0.12085957387934786,0.09868245323858621,0.11442760760962498,0.12054403527429973,0.10446842421174343,0.10789821502545616,0,0.10043128922756175,0.09311632945537313,0.11194920321167832,0.11006218612146483,0.10223142960193485,0.11085214495354989,0.12081957525272685,0.11449403390432589,0.09193578901813093,0.11495336636118303,0.09275112208575331,0.11300367792236607,0.09151237552716106,0.10981120811298908,0.12072951234904632,0.09392542726318892,0.09914922467055459,0.11055580889820903,0.10083000472444958,0.10246884073485549,0.10726883013338892,0.11047366496904236,0.10642596397577692,0.1096654055925886,0.09641419084619535,0.11315493013512158,0.11162417223909117,0.10542216665253921,0.09151135526485471,0.10315121310584958,0.10996545465125611,0.0835200959529367
