,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.008459405398038855,0.00716840806317051,0.008633211013812658,0.0076605735873096015,0.008602671881108508,0.008983246334889783,0.00841368677697543,0.00815582708545805,0.009351908181295955,0.00876509987720207,0.008599200217831716,0.008936344405645067,0.008897538381804126,0.008820009815440013,0.008754752188493366,0.009076176669575874,0.00882990840291189,0.008554003314994583,0.009242065636842014,0.007434853825329042,0.008062930857004276,0.006305885132979315,0.008305362247895094,0.009115571249466171,0.007800669966228206,0.009254501009477376,0.009024811674587211,0.007768377274326624,0.007714686447928662,0.008500210485983751,0.008506498033035865,0.008131370548158183,0.008254308958482308,0.007638718018852127,0.008741120432914059,0.009076069522551473,0.008250757290855925,0.008742372115871856,0.007971955452264116,0.008374588614020684,0.007074203922724813
Albanian,0.008459405398038855,0,0.007040643249720229,0.008026361634408695,0.0074213695730949054,0.007970124738105277,0.008323952981320683,0.007841792359851399,0.0077039835308410345,0.008389981264208347,0.008149483760918225,0.008139912004577057,0.008167487820604358,0.008048608615059821,0.00825047177577967,0.008298254638540397,0.008618386537288254,0.008458473147825041,0.008140245526691035,0.008255734241836227,0.007200796331836865,0.00779393975022332,0.00625410739149585,0.007818312892359519,0.00848097470585925,0.0076171003441235525,0.008340285793489718,0.008368826036750602,0.0074471179961569925,0.007518178592958821,0.007838243109755252,0.008024569252167112,0.007747761388365892,0.007743606264668136,0.007160312768187828,0.00819803157318249,0.008460564316760835,0.007697253718206292,0.0081085861419122,0.007634127599449322,0.0077708545352405374,0.00692668575886756
Armenian,0.00716840806317051,0.007040643249720229,0,0.007069003677145454,0.0072649268780389615,0.007119875550779966,0.0071663246544976435,0.00714911247203901,0.006975838916883414,0.007185814618372737,0.007218543342013463,0.007331286068891479,0.00703706270308326,0.006998505061690376,0.007232783740338636,0.007145640781140152,0.00746091396739172,0.007340241233768676,0.007199129072551737,0.007026218182618129,0.006936968472082053,0.00738124104090961,0.006388165842575776,0.0071334418324363325,0.007199772851937612,0.007056924631356871,0.007163549943241369,0.007192388584306534,0.0069897869993092165,0.007183987456803252,0.0070817557253667765,0.007164811111150531,0.007120416989781797,0.0071435245194247385,0.006792062697433264,0.0071792095469464514,0.007467146586025451,0.006913635312077811,0.007153114304852538,0.007118252335294383,0.006998935299907131,0.006881888102934875
Bengali,0.008633211013812658,0.008026361634408695,0.007069003677145454,0,0.007397610358231311,0.008047247467377056,0.008454348185308748,0.007921708614320936,0.007624961519640107,0.00859093149809459,0.008265925653588328,0.008294154329978777,0.008246159245374425,0.008289909429854369,0.008246499094108083,0.008288641859736306,0.008759626359804464,0.008450990875318658,0.008239294344958702,0.008452685644186853,0.007175488880491274,0.007766886656920577,0.006192567370575528,0.007862051088324178,0.008634613187677956,0.007529051175057946,0.008559456606597174,0.008586230980964539,0.007522669782261181,0.007451599851635202,0.007972451081758761,0.008071704610453046,0.0077418515129041915,0.007846287998789147,0.007369849860988167,0.008156847051006454,0.008625449723194107,0.007808630061352391,0.008220931445337558,0.007582115806844881,0.007981374469280504,0.006877918672815627
Bosnian,0.0076605735873096015,0.0074213695730949054,0.0072649268780389615,0.007397610358231311,0,0.007355022262561023,0.007561217589521128,0.007387785712428032,0.007204886423349217,0.007533452930309255,0.0076076735527440854,0.007535841543924713,0.0074137798250110696,0.007393634914478573,0.007657071418846849,0.007521170653167383,0.007899141891902392,0.007839409512459228,0.007664595569735091,0.007448944483531646,0.0071586892580807505,0.007593530395931834,0.006455646690454769,0.007297768999416969,0.007693847041913178,0.007373056488119491,0.0074940749762798,0.007642852003832791,0.007294080536021479,0.007400134016825668,0.007419327725772947,0.007502593559972248,0.007307477046317964,0.007254803086739427,0.007180268982980168,0.007461924873386107,0.0077753886709914935,0.007270802126218311,0.007519570134911415,0.007225754040229659,0.0072964892245469684,0.007029950825953701
Bulgarian,0.008602671881108508,0.007970124738105277,0.007119875550779966,0.008047247467377056,0.007355022262561023,0,0.008346170258639773,0.007875494050599603,0.007692730322603915,0.00851361772456274,0.008282147790351023,0.007961424374967824,0.008191495486421774,0.0082595949906889,0.008364994921985716,0.008214709647705275,0.008685785929786055,0.008503616277731827,0.008260947285089736,0.008399062622119577,0.007129583608107993,0.007733403197428173,0.006193689547770809,0.00802623315251726,0.008624853267476432,0.007537281257271684,0.008450822133532612,0.0084897085828155,0.007569403589464795,0.007481479840414578,0.008034853235356456,0.00801826182545748,0.007813486954804499,0.007922958877517674,0.007330024788322529,0.008278564072555818,0.008545024742150083,0.007779020761722366,0.00809897112844639,0.007645131052181789,0.007851632267972659,0.006810215237828342
Catalan,0.008983246334889783,0.008323952981320683,0.0071663246544976435,0.008454348185308748,0.007561217589521128,0.008346170258639773,0,0.00816849698294238,0.007882545945618664,0.00917508361904576,0.008533554840801512,0.008457026882164032,0.008740895572759717,0.008827277382369308,0.00852734303125733,0.008546708924794184,0.008892811184359257,0.008711788637054739,0.008424231742935133,0.008918381737940812,0.007290190510473765,0.007964139204847329,0.006273469009221117,0.00811612849135571,0.008943827820347118,0.0077476950154054276,0.009180094603555863,0.008941272140382628,0.00769039319929005,0.007598996850103823,0.008309541890180926,0.008471350953531208,0.007938852714869132,0.008097014198793048,0.00757306897716065,0.00853186821756012,0.009050734769279627,0.00818104812096979,0.008489895337750995,0.007855669553503206,0.008247170724900664,0.007022730488196525
Croatian,0.00841368677697543,0.007841792359851399,0.00714911247203901,0.007921708614320936,0.007387785712428032,0.007875494050599603,0.00816849698294238,0,0.0076107142973991975,0.008276564885158105,0.008119963454562458,0.007928336434475521,0.008042202530526244,0.008034879753091148,0.00822112544430545,0.008099790991051977,0.008523187635533731,0.008455754914357442,0.008147032237597189,0.008179038062235234,0.007132793235799287,0.007783116016213357,0.00620093984780679,0.007829108847166252,0.00837856578821346,0.007495659130889797,0.008240814106812468,0.008344822028034366,0.007525123090898996,0.0074894490247373125,0.007935600450202428,0.007899678553744094,0.007769193561378701,0.0079327229002967,0.007307708911637475,0.00813972411466396,0.008467633732873367,0.007647866044096065,0.007990607775889712,0.007567714009630949,0.007790982906651648,0.006859886744675932
Czech,0.00815582708545805,0.0077039835308410345,0.006975838916883414,0.007624961519640107,0.007204886423349217,0.007692730322603915,0.007882545945618664,0.0076107142973991975,0,0.00808917668111064,0.00789803566289839,0.007688801307854262,0.007869618387382182,0.007834634532559323,0.008082844015012886,0.007917246302936599,0.008274925439782397,0.00818890326712546,0.007940064389616586,0.007942311723326462,0.007098886128378954,0.007599826298961648,0.006202814090903396,0.007651737241149289,0.008110112244645702,0.007318462961057378,0.007957240826101946,0.00809096121147106,0.007376907316736157,0.007468315414350578,0.007716011158333286,0.007721789660714678,0.0075823141291439956,0.007554893498321494,0.0070437341990855435,0.008141258768640148,0.008079103542162507,0.007453415410312454,0.0077161825537888215,0.007384701534388117,0.007480276349142163,0.006815373671160554
Danish,0.009351908181295955,0.008389981264208347,0.007185814618372737,0.00859093149809459,0.007533452930309255,0.00851361772456274,0.00917508361904576,0.008276564885158105,0.00808917668111064,0,0.008731786048234026,0.008449386175740918,0.009013802315321926,0.008957836065493791,0.008822136662912271,0.008772495358290304,0.009178297976137057,0.008922255614293825,0.008648323224566745,0.009279035956844352,0.007325728851596134,0.0079525311641425,0.0062824537942756595,0.008241188932084146,0.009242974548079859,0.007758471263368583,0.009614075108450987,0.009267987408027702,0.007763713818213115,0.0076744718245195555,0.008447805104248885,0.008506374574047777,0.008091360214045789,0.008185335596445686,0.0076009233031511265,0.008757267288120825,0.009187286404685368,0.0081915445587672,0.008695231942062405,0.007917930447840761,0.008325945605778935,0.0069602162547226995
