,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3.1939414057525126,2.8439151762886272,3.6890486368228235,2.9802274002570344,3.5502587618587618,3.850755582906137,3.4513041052567557,3.5184324214931046,3.5795303931893385,2.7271669732131136,3.3301627419200712,3.5921388269094154,3.3651747264366905,3.2894767969602983,3.6728072444394853,3.8328091748743427,3.85242938775856,3.024832455809762,3.683278092474995,3.160133055655165,3.2394958801613076,2.6669425828575726,3.3117092245602278,3.8050062277200096,3.0650102184815373,3.4175543710250302,3.3758997279760146,3.019039281169306,3.2272979120515,3.4321279495761647,3.478324725871835,3.254781453004599,3.299858077494618,2.9577131569127553,3.545865376919066,3.5922229125009295,3.536057956904806,3.2415771285346335,3.18872448941089,3.502391527919943,2.990121107770758
Albanian,3.1939414057525126,0,2.8259547778233296,3.457054361457871,3.040683605007855,3.485265173012978,3.6997905702379343,3.4023516821272155,3.5343753441871884,3.527063822630254,3.38368844217609,3.680707129191266,3.3811489021097993,3.0702094622347462,3.4458582361833896,3.5134973116142283,3.7019750891873118,3.777902341628019,3.1431234173368328,3.348775776183225,3.182505410328099,3.281780854016737,2.712759633424755,3.250874250865749,3.5804030583094177,2.933899941024876,3.52904865488981,3.121133336544564,2.9651329184746906,3.2247890106012194,3.2778737636341937,3.380363479200147,3.2453748324155,3.310328475473378,2.6209821552324226,3.4429138606945426,3.5414991397622178,3.4515135561810895,3.394641556196519,3.190029916087162,3.3077430703537773,3.0505461562159857
Armenian,2.8439151762886272,2.8259547778233296,0,2.9932034077801823,2.905367549827393,2.9787905218920265,3.068660639516511,2.944980537126947,3.024634063855184,3.0380435368812577,3.0016922285883023,3.1029105334628246,2.9257643425986704,2.820673618373776,3.0247742657809895,2.9551346831549887,3.1486133157002625,3.1522553880703357,2.761055913701993,2.954202180220847,2.976536203710814,3.0156398580312302,2.67147016997813,2.896513759473679,3.010412657214787,2.829300760236061,2.9051482099038437,2.756791897232662,2.786785079287788,3.014536372053279,2.967569492113865,2.9539209150944075,2.928147891892986,2.920061757736059,2.6796971806867638,2.959319347259177,3.067730207863065,3.0475662116597744,2.892277769262769,2.8974559795029267,2.9214818711781607,2.8614782540923076
Bengali,3.6890486368228235,3.457054361457871,2.9932034077801823,0,3.1970629562092663,3.5792124609259024,3.765965645018344,3.5375521783482484,3.5144806739935035,3.9124514856360912,3.6395845649071763,3.677943713628949,3.656427537538091,3.5237159942842147,3.651715169812239,3.582344252133756,3.387307436507676,3.3634153877707287,3.4585956923482732,3.7716104462195306,3.1926615917478127,3.4567829646540016,2.7672540374331733,3.422088417013728,3.375209840757916,2.811637326159486,3.8080196702063964,3.561081725854683,3.237161017678965,3.2636285510256964,3.490229436100034,3.507587771597807,3.398392714638291,3.4398401287691134,3.1546506539633614,3.583638915231775,3.7188658458330437,3.4788396444835357,3.5860732956241033,3.289047004135695,3.132025454871341,3.061780202333452
Bosnian,2.9802274002570344,3.040683605007855,2.905367549827393,3.1970629562092663,0,2.684230321575673,3.321290337092084,2.2510225531188954,2.8213030711736513,3.1505012987241594,3.146981894924282,3.3018830032500355,3.0797205217797416,2.99484507883682,3.21283855485739,3.1964750684343053,3.357324270020447,3.3607701560619496,2.9838809882323263,3.1841862595802355,2.9973468899127558,3.0503974831909018,2.621404669417539,2.3257444870556467,3.250717490344788,2.9688927554238798,3.121428217955989,3.006504763292614,2.989502552037561,2.6625551676532555,3.092307384535022,3.09922848549319,2.509067650223435,1.8583216717315016,2.9146583494950136,2.621853215754042,2.7083909153099324,3.1355684910252473,3.1264906192265722,2.4904533257777657,3.0977489961908136,3.0144388760240153
Bulgarian,3.5502587618587618,3.485265173012978,2.9787905218920265,3.5792124609259024,2.684230321575673,0,3.6606719737962954,2.7555988563367166,3.1555247148617362,3.749936447343596,3.5685285429177913,3.554323027600664,3.5575601440169264,3.4299992629833422,3.651757212317122,3.492983986705781,3.7224872879248716,3.7394810136553134,3.3769990816838376,3.7191742306490196,3.027094811615896,3.3727448104670916,2.677439662015805,2.6411819798362424,3.695945928533938,3.233074754785614,3.7005591586918696,3.487526908334396,3.257545614687363,2.9285968880019855,3.473360728162785,3.458638750855236,2.9233840438012106,2.8018336853523933,3.1868636817350966,3.148077719995354,3.1071561082285335,3.428575567821681,3.5064997495256844,2.908300777422829,3.416458794472525,2.936490184711852
Catalan,3.850755582906137,3.6997905702379343,3.068660639516511,3.765965645018344,3.321290337092084,3.6606719737962954,0,3.6183197555047917,3.670936890277683,4.086842766137024,3.7042539290947887,3.658027137947139,3.5854564281519137,3.302592801540458,3.75661698930006,3.6818863726254114,3.855459579951171,3.837016327704837,3.5508775264086037,3.9773632604410114,2.805188751845521,3.555671064906291,2.7974158348490406,3.535523505304539,3.8596049890755415,3.402407012172157,3.8794140549921847,3.8624130382312476,3.3676237891603287,3.374254311630687,3.195991049941938,3.3959160218400415,3.530188854053745,3.5920224672936714,3.414579768082287,3.782783803133572,3.825650341704185,3.064707543433806,3.7060389709415955,3.443540444325522,3.6484969443274333,3.106184083428995
Croatian,3.4513041052567557,3.4023516821272155,2.944980537126947,3.5375521783482484,2.2510225531188954,2.7555988563367166,3.6183197555047917,0,2.9629785555488275,3.598055939210395,3.4710689316809007,3.5200647346162857,3.4470447601408956,3.3707299845646843,3.5577527929384405,3.478254703106752,3.6754369595439775,3.716331030394034,3.310750152780598,3.6048785794760208,3.0486685407947003,3.416341946245993,2.6528614068856866,2.6463989327440753,3.5823940433163286,3.162273432955656,3.6136337469531146,3.3556613376282534,3.17253758137782,2.868686884275939,3.425698303897105,3.365754855203326,2.8788785592537858,2.26582471543866,3.1205250662519357,2.87126800748733,2.791720893372506,3.3609973135021907,3.452121808997957,2.7289035760217333,3.3913629157974965,2.9566310174311865
Czech,3.5184324214931046,3.5343753441871884,3.024634063855184,3.5144806739935035,2.8213030711736513,3.1555247148617362,3.670936890277683,2.9629785555488275,0,3.5786348366325016,3.477249214112069,3.506051824354574,3.529239772408213,3.5091338703424952,3.6451995239409793,3.5357448416297363,3.703087959085267,3.6997880424394363,3.3889417008557197,3.675582086319834,3.1831958266908913,3.3329366547102652,2.7886932792986743,3.0605431693074556,3.649373807297311,3.1776656647565202,3.638512261772727,3.427783717281254,3.2498742828256937,2.897364972079453,3.468536869756128,3.4511265071775346,3.0344850358443822,2.927712592365327,3.2061667293691105,2.7398286145183124,3.110034762550002,3.420989743585936,3.51607400336533,2.885563464014779,3.412266777474214,3.0073708746705723
Danish,3.5795303931893385,3.527063822630254,3.0380435368812577,3.9124514856360912,3.1505012987241594,3.749936447343596,4.086842766137024,3.598055939210395,3.5786348366325016,0,3.417857939187545,3.57993370701045,3.7844289218226237,3.690074082889071,3.467503626201548,3.7910820730250436,3.9858508601427767,3.93016035548967,3.145415993226612,3.9811674968605373,3.125833712691777,3.506233434858124,2.8138298346616284,3.5136628472838236,4.014404818885131,3.1939023159128723,3.4915898776231504,3.707983708827222,3.255080104026499,3.2792145594539472,3.638973607025487,3.645407720521039,3.4291323540586713,3.5432755370614464,3.1503017218737703,3.7475632748591656,3.7873633885639157,3.6703671774930777,3.2845623951845715,3.3456705902255575,3.6694821400401127,2.9777865480384755
