,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3.8640954355393364,3.3452499525035884,4.276821879313082,3.6253508750962697,4.008645283329618,4.351837080015207,3.996860597308769,4.100552321239089,4.260603807630483,3.4822934158296666,3.6616477207955076,4.256639997389573,4.005576757436161,3.787416711452177,4.343555116945702,4.342584973975965,4.411559233995206,3.5309575545029825,4.3984640195667275,3.6034596114831765,4.161179126797759,3.1505155889477043,3.906804099689804,4.427544817094528,3.6478432994240597,3.9072338005319374,4.064497814390023,3.5681298803361443,3.8038851033525605,4.127941270141848,4.05570049425414,3.7997595425662998,3.9360623181997245,3.5982900568711846,4.231109598555874,4.296206345495329,3.975778044512997,3.6817291425981313,3.7934089695457094,4.200826268733867,3.3416004625247586
Albanian,3.8640954355393364,0,3.364775953651927,4.0529771592662085,3.8342425813695837,3.999813610020007,4.145123980593361,4.029718940628041,4.188146084731176,4.566604328897953,4.191599803394439,4.211298432785847,4.147140062057921,3.759815681827072,4.2286527669915905,4.303416562669612,4.207902985823179,4.290375561224204,3.9069058576547664,4.024076445938755,3.7244772916798183,4.287343392599822,3.213231356987716,3.9359435286057867,4.110366697573703,3.752209377179985,4.3401456223536234,3.806091101897031,3.4977820578690686,3.921956231039097,4.072140901643048,4.173557983503985,3.8860592187152063,3.9961942611077483,3.2106177693932656,4.239977136665243,4.32426991054437,3.9510062719894887,4.02184671164797,3.8487922911731585,4.019234146990615,3.543004553515576
Armenian,3.3452499525035884,3.364775953651927,0,3.7016958558174458,3.4368911638340767,3.5831770512510746,3.777112824115181,3.5805583689049163,3.7710244405232993,3.883704617235829,3.821528288716096,3.7891918586314812,3.6097452168405,3.5110732082554037,3.64476875931959,3.527760098625277,3.8820536783736923,3.812933393673088,3.352221012418043,3.536217135550187,3.4886425609330174,3.785316863385781,3.2642786967220463,3.6412974112723275,3.7338796002052717,3.509423336007447,3.5897186113322066,3.406065118710206,3.3255538899978676,3.775799161672062,3.7647316047567787,3.648194485721122,3.5484148622584577,3.614490410754168,3.2883019933438904,3.6847351490292524,3.7951796966278533,3.675386960328201,3.6068004116137242,3.59660206875198,3.703698979444583,3.4654839117793395
Bengali,4.276821879313082,4.0529771592662085,3.7016958558174458,0,3.7283545316454942,3.7296815573885618,4.005822222275784,3.793167268656324,3.877252732982958,4.274302429930548,4.047211997170094,3.894591272802466,4.064789813445784,3.965753702107357,3.90650224816663,4.099288617156229,3.43911198753166,3.4585633438635264,3.9193145028825316,4.21288125289352,3.3987618733615355,4.054457248246065,3.1060417486108443,3.596572080194217,3.5627819011183206,3.320076557880283,4.415404727083241,3.983203997218666,3.6453045078587585,3.5471537976981016,3.9381444892317132,3.8655249038220383,3.750155122895138,3.7742525279732977,3.6209005656273696,3.953926288449673,4.143276124691602,3.746403072733745,3.8966821666506304,3.6050829366311716,3.410084032140013,3.2711864001075104
Bosnian,3.6253508750962697,3.8342425813695837,3.4368911638340767,3.7283545316454942,0,3.201760538943413,3.9212468296297054,2.7540112162228914,3.320754235892494,3.7820037295046474,3.9101479316778294,3.809130973124546,3.632353712708979,3.8101521398451723,3.721906838347031,3.779352344689574,3.9852956915170323,3.833402360610882,3.6738491095818397,4.040601836148037,3.381262444816356,3.639641880917321,3.1162390103279063,2.9957067760981864,3.944683191951379,3.3054329310504063,3.663620590476715,3.8022396333304687,3.686694812177421,3.096891584186005,3.77564566979318,3.573961283014175,2.9790686745316983,2.4318006404805,3.7147810915028767,3.043864227379676,3.1775250867650815,3.746327772066223,3.7631263783179496,3.056987876233159,3.724070131547446,3.460934184579333
Bulgarian,4.008645283329618,3.999813610020007,3.5831770512510746,3.7296815573885618,3.201760538943413,0,3.778674487874595,2.9266949853576905,3.371994229272069,4.040686448144704,3.8126448367481878,3.6545115116282463,3.934149655153185,3.7017861129284477,3.807087102627729,3.961510319495391,3.84674516702961,3.9039409638596356,3.6971065031597528,4.025164411353141,3.2402909869095304,4.055902201951058,2.959354247972699,2.7199076750230713,3.824648864480649,3.790592193416963,4.270504931015764,3.858490230144963,3.5621686396652157,3.1641255984747607,3.8043386559804153,3.798873891104669,3.143203291589634,3.034213591770947,3.660057423670091,3.416987898946119,3.544014334587159,3.5180000974116155,3.7358049875151726,3.0319851868032757,3.6586347262384584,3.0151783944236747
Catalan,4.351837080015207,4.145123980593361,3.777112824115181,4.005822222275784,3.9212468296297054,3.778674487874595,0,3.7278547623568645,3.9802971720694784,4.213389922364354,3.960954168156743,3.8027608951213066,3.7500804811055346,3.4355065489105785,3.9573370549231814,4.090758331453307,4.085421005375445,4.160434491555267,3.8854045162608433,4.1850349887948335,3.042324770224047,4.321661314417481,3.133347643360246,3.6691254522054417,4.036258292066406,3.9642656201259485,4.373663489077255,4.222425246270971,3.7304512620544914,3.6429999858490616,3.394742178040902,3.6633320868822814,3.8130545463539836,3.8741372627999713,3.8134145637679673,4.0082712414799095,4.1767056913309535,3.032052907482405,3.880474656260352,3.64881001137107,3.993307962137605,3.2309198991365777
Croatian,3.996860597308769,4.029718940628041,3.5805583689049163,3.793167268656324,2.7540112162228914,2.9266949853576905,3.7278547623568645,0,3.229228226743458,3.9119272381433907,3.8174040645252747,3.788102484723795,3.8327217502004927,3.765127026585483,3.779001293514213,3.8398159583657647,3.898265264331119,3.933596552203814,3.7134497758650036,4.020764144138029,3.266378255402508,4.032319397195433,2.9430205931169833,2.8614136950371356,3.833335495636831,3.8207496517440966,4.126865873369619,3.8778491213946897,3.5484727383948407,3.0103662822161756,3.78781020783707,3.685128719379227,3.1239881643670246,2.593724673151781,3.6843897859671717,3.1121415650624513,3.12985718389878,3.553358970419849,3.7130191457759913,2.943709295650692,3.743827070280025,3.1350141527845197
Czech,4.100552321239089,4.188146084731176,3.7710244405232993,3.877252732982958,3.320754235892494,3.371994229272069,3.9802971720694784,3.229228226743458,0,3.9213564248643373,3.8133919786075086,3.7638813417973096,3.979435699441526,4.000900436720812,3.885628045206975,4.083558816316693,4.088374824469122,4.119177546365716,3.841810774406384,4.2322713540769445,3.4874909169359154,4.028392059757153,3.137918079994033,3.275748467764634,4.071530266303862,3.744671793388784,4.246709857859802,3.9853761670547176,3.725286444583187,3.1723937237489084,3.8496718630952604,3.895533318943487,3.276746856388141,3.186652758516371,3.8918983185968425,3.0209335288144543,3.430990329943029,3.7198041695944752,3.8046608797030257,3.0864807457650842,3.8275109940632075,3.2653871443611346
Danish,4.260603807630483,4.566604328897953,3.883704617235829,4.274302429930548,3.7820037295046474,4.040686448144704,4.213389922364354,3.9119272381433907,3.9213564248643373,0,3.728654897289381,3.461083176124549,4.173465844107118,4.3186989788806995,3.5182608496165146,4.19760158311328,4.248239734839856,4.2057746276178385,3.625135545851493,4.4904062164474805,3.3336608927167832,4.313032796875578,3.2504493156949206,3.9327722688034648,4.363403427099407,3.7794589785359722,3.9683799218494338,4.48911272623412,3.8636127422190247,3.6004193024787114,3.9002085894282033,3.9252626267192485,3.915961087574189,4.06572124490115,4.143783598905036,4.0123152742987545,4.174923703160245,3.8131569909589804,3.5458000424422704,3.7332625693603054,4.127138307329401,3.05575474000335
