,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,4.077326766301231,3.385596682294229,4.395126064098371,3.640460404841397,4.234464797144871,4.502862081796219,4.178786767047104,4.200999101896827,4.158928042073141,3.059363619737403,3.733776590648764,4.378458786983706,4.120972193724906,3.823105476065536,4.468009873637571,4.493718910854226,4.526750435626086,3.6130631694246254,4.433169375767578,3.7272414469268824,3.9974637652503104,3.243076023528938,4.005828185397606,4.52118263065968,3.6538318134087726,4.082198789977935,4.08649922584635,3.6726621953388956,3.8195990400864095,4.106547350634124,4.224919411697537,3.888838380367556,4.002176823836312,3.676064144140089,4.2621174177444106,4.287355321091757,4.136788935504437,3.7972434725957314,3.8976393890927157,4.231718198163517,3.4278103538895874
Albanian,4.077326766301231,0,3.5142097401414647,4.1534570656375935,3.8121743519207127,4.214996618241016,4.343688167731782,4.132272050201464,4.298094927422454,4.487106667739287,4.159725100753633,4.404234119363022,4.181768441138913,3.880142180393914,4.3086006647587265,4.335072265620661,4.393097227481256,4.464233547602879,4.0515015347249905,4.212769646116504,3.7937191213121286,4.1344562973186765,3.272250830941396,3.9955175718953826,4.259129650448485,3.668987718768985,4.451833259661481,3.933045528599966,3.6906185207280093,3.9134346264461963,4.000890978087241,4.205429173759884,3.9726196484527856,4.048543029781991,3.289557413934605,4.25508846672988,4.307435614733228,4.064262511062708,4.168700640626867,3.9353452376670273,4.040535847147338,3.652153169045717
Armenian,3.385596682294229,3.5142097401414647,0,3.630264964198775,3.51911074407145,3.598895517650567,3.6775045224175105,3.5610399757961266,3.7504443437378905,3.68798551332695,3.6059243491624096,3.7219288129779398,3.5580567638630463,3.4259027647285847,3.5973427247877066,3.508843982123079,3.8476095327704214,3.8331831767434235,3.3198855590698013,3.485038526230949,3.4811830250598192,3.6881245171858383,3.2521610007959647,3.546112155055569,3.6927299942091114,3.48566268809043,3.5661257774603867,3.369653047833216,3.3399789526431,3.6494100677171497,3.543273213322892,3.571501399614323,3.528379363253351,3.5628986918063275,3.2739799107842567,3.5828735244363696,3.7201840132970028,3.58672975839801,3.541889377106551,3.547789754806745,3.598902571265131,3.3454915926720536
Bengali,4.395126064098371,4.1534570656375935,3.630264964198775,0,3.7900109144618424,4.159485614764137,4.370708974862428,4.144767128119925,4.18640394571014,4.576993165782454,4.267302567205453,4.2961966893164565,4.355616607544177,4.19516230194127,4.326985366010994,4.28264911546302,3.695726636274789,3.629738028690763,4.219444865291307,4.4570013667694655,3.7259534556262044,4.15040249616511,3.319720128621429,3.975998664236167,3.784192267820053,3.085079609729755,4.617016977096744,4.1701834763525465,3.8824717234650636,3.801158446190273,4.1252782362993115,4.211984704547087,4.047778317431895,4.057425533843045,3.6638805531928726,4.196616207797697,4.28656812886089,4.059015630816528,4.222831632304031,3.9167277616952347,3.556470802769038,3.6083186854012697
Bosnian,3.640460404841397,3.8121743519207127,3.51911074407145,3.7900109144618424,0,3.021205348507823,3.920210606775895,2.419591341491374,3.1775321120367814,3.8244848583342037,3.767115340919826,3.945799761327456,3.7397385153878213,3.6925617559694768,3.795762508231017,3.830781080777123,4.020510395784701,4.027731910618524,3.6490912160261844,3.9002940475639054,3.5113390947409235,3.5512525943893496,3.0256642074385005,2.639353308017078,3.9548407658977918,3.534669217259863,3.793376829557698,3.725462691260905,3.633060186528167,2.9612513014802824,3.6850443940068596,3.7123071152076577,2.818541470985732,1.9898114193956713,3.6107926591809716,2.9059745286665692,3.0401060167956744,3.7206185683141637,3.7807114187227095,2.830607885605625,3.770328356478217,3.545671522957133
Bulgarian,4.234464797144871,4.214996618241016,3.598895517650567,4.159485614764137,3.021205348507823,0,4.214486500581906,3.018149695692983,3.5329903786114913,4.361333679065408,4.0868887537692276,4.145031684912521,4.2074706432007245,4.06984721376893,4.268476490010032,4.141100658202248,4.3759124065900314,4.34423081640062,4.040263549135973,4.359149705952219,3.4743704273708667,4.061163978376218,3.138401258716106,2.916775167871391,4.368636407002883,3.7911665401141037,4.472025825349427,4.178934081667288,3.8850701021116127,3.2707131422558997,4.0025276669566585,4.074274821457835,3.3238531642926548,3.1446623044577766,3.767870335520591,3.5315692477716856,3.5983648718396366,3.886894102581062,4.141061292793787,3.2808361572163403,4.0383280331270965,3.3374411955884464
Catalan,4.502862081796219,4.343688167731782,3.6775045224175105,4.370708974862428,3.920210606775895,4.214486500581906,0,4.121844249864018,4.277140264462079,4.633594928890134,4.227081974059529,4.208934585058973,4.035700054525735,3.5748272107117716,4.374677405053565,4.325837942750026,4.532473874219714,4.530226595388697,4.18566041505717,4.481200224227941,3.202598327367169,4.363437520383238,3.3498546020162276,4.070332951265533,4.477128869778803,3.9096932036234313,4.610457955477757,4.440844411454631,3.9682235119020954,3.8737010832339425,3.4837144496596055,3.8665937171853715,4.099199628102138,4.1738980792301215,3.9212230728882864,4.282461918735564,4.413381158372082,3.2770428260206925,4.248132740428924,3.971617079418793,4.322143702333901,3.556664605482832
Croatian,4.178786767047104,4.132272050201464,3.5610399757961266,4.144767128119925,2.419591341491374,3.018149695692983,4.121844249864018,0,3.284579983507919,4.1728611013386425,4.06797994743469,4.161927781380273,4.086969907387194,3.987007888832335,4.202360035682604,4.046348403377589,4.349947382878697,4.358516454215307,3.991150839033133,4.256468937443273,3.4845345887389887,4.087369196255943,3.0522397454546772,2.9762760469376595,4.256663863573965,3.7499964582411893,4.3058406103167375,4.045923835256006,3.7980172527376546,3.1716885044153686,4.0039212524287695,3.9580655918907373,3.2591773168889393,2.47084574347944,3.6660556877315935,3.225128927015051,3.143532370858244,3.8108529041436503,4.0474203602396255,3.056582258383217,4.046268323637414,3.378119819948553
Czech,4.200999101896827,4.298094927422454,3.7504443437378905,4.18640394571014,3.1775321120367814,3.5329903786114913,4.277140264462079,3.284579983507919,0,4.189420639880554,4.078147991146311,4.137285151708359,4.186521283783916,4.194310567902466,4.356857244600614,4.287976633137561,4.467402781026435,4.508983087133174,4.096648243996881,4.339164385545278,3.7802285018452766,4.012148876303366,3.2959096759658824,3.489556240081446,4.4374854899028,3.8034649783205245,4.331333665832479,4.155918852610147,3.929900288308792,3.2024772786878994,4.061896099386654,4.177976373031519,3.3373441284506256,3.297922551276756,3.896681914829861,2.9002042212597128,3.5506566061832,3.9747809767642304,4.135122926662955,3.1985926544120216,4.073747616736937,3.5021371503235694
Danish,4.158928042073141,4.487106667739287,3.68798551332695,4.576993165782454,3.8244848583342037,4.361333679065408,4.633594928890134,4.1728611013386425,4.189420639880554,0,3.914525004282891,3.8037721062167407,4.423857181200702,4.420997418373624,3.87994931881713,4.42369086745117,4.667865818440052,4.56958887668002,3.6641344403236826,4.5842206699539885,3.6602628238175443,4.297973381846018,3.405238727789851,4.226826217951271,4.7306280253260695,3.7368863120656077,3.940870044238518,4.45620050945414,3.9516186369115416,3.855128031366788,4.173969440654137,4.300062634801878,4.137077847424623,4.249570851226397,3.9380831799043894,4.320314281434582,4.3957221661752435,4.169369280077303,3.6479720449784288,4.019094378257108,4.314037393223112,3.329535960670164
