,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3.7180206522125068,3.056581484565198,4.054609791482657,3.261042227805573,3.8980880422556226,4.108165047504404,3.8090896494929805,3.8172275874290973,3.685732932820459,2.6800694248390897,3.2370225786989613,4.024879922837832,3.710679580514834,3.4828180783819063,4.105246076166803,4.0845645485273465,4.111578730555173,3.2643239372262696,3.981857763150498,3.4350719669303102,3.637624395308863,3.0129900343744636,3.648108298450567,4.06451189509175,3.3120211730969737,3.6233109208218397,3.7078630598723747,3.3560462348660782,3.4973115233905627,3.712599322113441,3.895697474476295,3.5350248296169062,3.636145490016129,3.3492329320668555,3.85861144161795,3.894254861986104,3.7677114459938426,3.3999526933991904,3.5281488704922777,3.84439091074902,3.1177816404057745
Albanian,3.7180206522125068,0,3.171094377105175,3.7467674135413076,3.3863663610395767,3.8125042835024177,3.9553391046152955,3.6823386696284053,3.8719757324126567,3.9815507605322544,3.7716704313971565,3.96412599647926,3.750121828749117,3.425115101817562,3.9455228285379795,3.920416938986901,3.9652724065851923,4.014258551975602,3.656976959560755,3.7702879526844573,3.4353616844117125,3.7860967757838004,3.0237629448294228,3.5812224693362666,3.8066002870602733,3.196222766441295,3.965194733131684,3.501719875735667,3.3365250409347915,3.5852941310448387,3.5762497003544005,3.778994664352318,3.581117593499281,3.6214361385235225,2.885809552701717,3.815155986888917,3.8758148908641146,3.643324947999976,3.750258722672238,3.506329412960694,3.5790263220226235,3.279341191046423
Armenian,3.056581484565198,3.171094377105175,0,3.2783488123795816,3.1334771989518027,3.2420232113023477,3.299408892147949,3.180998844708109,3.3569247067028622,3.2401486299992013,3.19444410957144,3.282932478704391,3.204772128265269,3.0452795976199885,3.2235013564971884,3.169782800587113,3.4100377227289616,3.431736975419201,2.9738491561844618,3.1174726054203292,3.148914225588711,3.3815691828033216,2.9749330935690854,3.1537176607294226,3.2777664757891243,3.0898237824780654,3.175268633980502,3.005519717234853,2.9964205670501745,3.30213052007045,3.167677682203345,3.2054335488356482,3.17539791067256,3.1855625149075513,2.954678091540106,3.189809498153973,3.336965429984332,3.216760560243292,3.1224916877401983,3.158669170988158,3.2110428535825815,2.9850554387390584
Bengali,4.054609791482657,3.7467674135413076,3.2783488123795816,0,3.4694663428455224,3.8837681863892035,4.060515568677332,3.8027318871824853,3.898371630619316,4.246650456482367,3.9549654576719515,3.9596321369414547,4.037940070215474,3.81427974707488,4.091128995722962,3.9268819996456727,3.3368139375472223,3.289963034734607,3.8949578386044785,4.07160846336387,3.46564570733154,3.9253803754842562,3.138106484497937,3.6785405917479443,3.4081262485103436,2.7521565570808546,4.279291779434114,3.7843927036528475,3.567492712679262,3.554884630270514,3.783887573590235,3.926662957508016,3.743715371672477,3.745272378104725,3.2985659131268963,3.8869955147973223,3.953291150673093,3.7072225713052904,3.9002988248756574,3.605732980337507,3.2484009607655002,3.348327425131774
Bosnian,3.261042227805573,3.3863663610395767,3.1334771989518027,3.4694663428455224,0,2.669232295251379,3.5627664269546115,2.097933238929306,2.8530672484327186,3.4957285262432407,3.404516608771295,3.546729321753158,3.4305186019379184,3.2787618967852366,3.5067547851677423,3.51998797947994,3.626115596549124,3.6810170634278747,3.2563499663832602,3.4773931245871648,3.2460747981869154,3.274476894780524,2.7424116397099705,2.2877025836219445,3.563514109105553,3.27031591590674,3.451230609344651,3.33366695327889,3.20574036604909,2.6481702146605257,3.346214985450081,3.4091578452984694,2.5100514803123968,1.669996874657694,3.215872635699185,2.60350504187566,2.7140714093579446,3.369439032806409,3.3959193060097435,2.467704746692877,3.4318618154890372,3.2228157319046273
Bulgarian,3.8980880422556226,3.8125042835024177,3.2420232113023477,3.8837681863892035,2.669232295251379,0,3.939305226386141,2.724832610963715,3.2412443504544157,4.0470869151378395,3.8028598471458492,3.8137192850993746,3.888283632875964,3.7250211929740287,4.036484634297383,3.8106543265685406,4.039494284392195,4.004031565698547,3.7412892980320445,4.011076631945661,3.206423093190536,3.7764994372946075,2.9332515285585266,2.6437029536075842,4.023223882917805,3.430645914466871,4.119163537813761,3.8249753690633557,3.5653941146825914,2.9963001342184374,3.7164875012734897,3.783315562666036,3.0097272018204118,2.850718879350026,3.4210444508930404,3.2100506982391614,3.2395218054555466,3.5832141975784504,3.8368759333767986,2.9716946238687276,3.724148949508329,3.07626491767825
Catalan,4.108165047504404,3.9553391046152955,3.299408892147949,4.060515568677332,3.5627664269546115,3.939305226386141,0,3.7795425090752466,3.977263064774701,4.296750789518719,3.901704482249671,3.851888686036126,3.7203634023163326,3.2162230244972556,4.107736915413964,3.9733390990836597,4.152135373039795,4.157162400885742,3.8579664031235787,4.129451206598923,2.9029628240787484,4.098469559980664,3.153004274584859,3.7974969545258803,4.1070636470891015,3.534467736616248,4.284321236913726,4.046883297728259,3.6338237269395277,3.5920871485651107,3.168038704632606,3.5641394616571818,3.800255127841868,3.863730799575504,3.584756483904651,3.987033966605602,4.049616884469578,2.9820364895587335,3.9297594618354,3.665885366918966,3.9932654220968775,3.2726828220576727
Croatian,3.8090896494929805,3.6823386696284053,3.180998844708109,3.8027318871824853,2.097933238929306,2.724832610963715,3.7795425090752466,0,2.939108555416395,3.7801138216517636,3.7215153248791135,3.793399145650518,3.7347706362856496,3.586763145863149,3.9193841842338504,3.661438917054926,3.956058398976464,3.9610209789574022,3.6392557170674302,3.8716737643897146,3.165795397408859,3.7916551970943413,2.81913048995425,2.6742727996712587,3.866147107181626,3.303739907586822,3.9337294286957665,3.624157553952751,3.4312344617610258,2.8810378542684263,3.652869443876389,3.617905519001663,2.9375168564470924,2.1554683008858473,3.242498897406369,2.8814401444646935,2.7658596378167513,3.4607132019721627,3.683061297898556,2.7027862384648254,3.669435178247274,3.0581825911194422
Czech,3.8172275874290973,3.8719757324126567,3.3569247067028622,3.898371630619316,2.8530672484327186,3.2412443504544157,3.977263064774701,2.939108555416395,0,3.868440128704745,3.773607954275817,3.817135699486903,3.862423294776242,3.819863793031609,4.137793727209613,3.9469558496186155,4.110607890807855,4.155888683697647,3.754727982762793,3.9265564356280356,3.5226688911867647,3.6903209951364153,3.0569405792105946,3.194091489279395,4.0525739449895966,3.4766064368978733,3.964386790298322,3.7825922701620827,3.616665505751788,2.9247446141535223,3.7572437061278348,3.9056645612084457,3.0252786224864683,3.006986317103573,3.4698226663710936,2.5563507022899867,3.228964842945915,3.6486831920133356,3.8267207364447744,2.9002914896680774,3.7481980572422366,3.242210827630367
Danish,3.685732932820459,3.9815507605322544,3.2401486299992013,4.246650456482367,3.4957285262432407,4.0470869151378395,4.296750789518719,3.7801138216517636,3.868440128704745,0,3.573839232104339,3.4058656083658607,4.062602238930625,3.9460953027644714,3.617275200582057,4.061915807422794,4.316079331178017,4.21975240309489,3.2527807398323074,4.123376122357208,3.3867328732190884,3.995456541322148,3.185249157283971,3.8814132922929208,4.345293237711214,3.370329279219767,3.4955571885510137,3.970158785762763,3.571268900678933,3.5962667358095057,3.8316411481845294,4.013278331947271,3.8093943586844414,3.894472229082823,3.4458240438872036,3.9764210372135125,3.998964414345446,3.832903401827532,3.226783482370625,3.682344919701171,3.9518328224608945,3.04681403156868
