,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.31440976069899157,0.25696408988779706,0.3191670776587196,0.2612227359390233,0.30845806217673066,0.32001247163240304,0.298973391045992,0.2989926892798125,0.2920982905762506,0.21720779408276308,0.272408035641689,0.32445030757357485,0.3097449190729105,0.27918121058362116,0.3273400532707548,0.3237451481279221,0.3192434421344988,0.26487467467810116,0.33469017883267377,0.2756153057121385,0.28281177347305714,0.22740279195906254,0.2866676270225301,0.3227958222529174,0.27882127071557844,0.2828572319247659,0.3136947244308521,0.277123909331363,0.27546547494243556,0.3046079364129028,0.3066932799290149,0.28268194735249436,0.2830534206937273,0.28338669778702863,0.30998983913797595,0.3061281391993336,0.3064114951025382,0.2736844416151005,0.2783418005309292,0.312117384758888,0.26251576056872883
Albanian,0.31440976069899157,0,0.2612681834528085,0.3002773754237884,0.2706574949100546,0.30406903694977777,0.3123740939723672,0.29354068691124935,0.30744920831934713,0.33309886609610956,0.311832263128721,0.32834368188474883,0.3066003157465163,0.2934948119156872,0.3226628561131816,0.31972978714224115,0.31033846410426286,0.3035596235212255,0.3055460554650362,0.32103946741531986,0.27788826143971124,0.29522690697593695,0.23111642060423856,0.2845332877961146,0.3033852620590772,0.2675329060437042,0.3264045699844307,0.29957265551231754,0.28081606510547485,0.28272696726086555,0.2993450487498334,0.3002826406042918,0.2858486892232811,0.28354929475287205,0.2508280067682708,0.3101621512074642,0.3093365311267643,0.301871313094871,0.3098472843971413,0.27925000281171775,0.29514010545758973,0.2722528677098824
Armenian,0.25696408988779706,0.2612681834528085,0,0.26480517083289057,0.2560841891934936,0.2620909390298694,0.2617845526778115,0.2563965808885012,0.26410306409310264,0.26938146159975623,0.2662617424949818,0.2759569909256113,0.2638305714626783,0.2553362625513206,0.26340005655253906,0.25947078377760086,0.2710090070361916,0.2698968664806049,0.2517033110592655,0.2574762748084181,0.2569652072443775,0.2653789741963421,0.228117010129259,0.2566170632645051,0.26378269027407014,0.25896219088166667,0.2646858686257612,0.2555989862522715,0.24646643167299573,0.2638686308887894,0.2627771820177543,0.25889446664625915,0.25782635975029317,0.2585592568666235,0.2515998472726763,0.2624592649852132,0.2683889452133153,0.26233494188725875,0.2604545153724725,0.2575164455408688,0.26428067923477677,0.2502439039888576
Bengali,0.3191670776587196,0.3002773754237884,0.26480517083289057,0,0.2682945700540079,0.29647752743434247,0.3099182267901846,0.2955838631114987,0.29768099584088903,0.33628969872492254,0.3112636710837379,0.31880881950943507,0.3127668897346026,0.3037407218615296,0.3181586737772678,0.3080760659346945,0.252623156980437,0.2439802597999371,0.3071036045682075,0.323811659238918,0.26982934484021465,0.2911559304969123,0.2260450014038647,0.2827850231331251,0.26129068073669715,0.22436747911761748,0.3304345922770429,0.30239099873310643,0.28036239371863364,0.2710461733908227,0.29964202215000074,0.3014055437752032,0.2860107824010117,0.28558834815278494,0.26412038869400545,0.30619380324072426,0.30775510429785896,0.29178441008175066,0.30763677011384927,0.27878580153122157,0.2573899536839943,0.26623308623290226
Bosnian,0.2612227359390233,0.2706574949100546,0.2560841891934936,0.2682945700540079,0,0.2088179487399844,0.26927973147043355,0.166790805004142,0.22583620999511042,0.27610923460008485,0.2724043178096353,0.28651635479383264,0.26973029455340103,0.25949613162536767,0.27805408114096963,0.2739501854485048,0.27828727416710514,0.2772468188662332,0.2599542394313843,0.27764898636473856,0.2538385621673255,0.2536500954043251,0.21419650924073325,0.17989656335607598,0.2725668111614556,0.26487224693560646,0.26775665626976114,0.26889336322098417,0.2598944725007159,0.21362743875145734,0.2679639707286854,0.2627848442505434,0.20218060581636854,0.14063435568491442,0.2621992650501585,0.2114346719219928,0.21157477126277494,0.2619440577291257,0.2668567263363853,0.20251539947421288,0.26956969145285004,0.2635803206449721
Bulgarian,0.30845806217673066,0.30406903694977777,0.2620909390298694,0.29647752743434247,0.2088179487399844,0,0.2950451449326438,0.2135131495233004,0.24932653801185287,0.3221718074432862,0.3041756606767777,0.3084709037437478,0.3044141072092213,0.29476401438762495,0.3158351994727478,0.29985364343732784,0.3091856055997129,0.30161391598002246,0.2985536730830723,0.32031010807655313,0.25278750560485624,0.2841847429342347,0.21678192551148445,0.20762603338657998,0.30733004464115754,0.2761746691893387,0.3196018070425781,0.306551132993498,0.2816044936755578,0.234275320578156,0.29517139357536004,0.29172146131314564,0.23770742529409677,0.22303093970652033,0.2784934671571207,0.2536697590144003,0.2480813685820974,0.27967460824726686,0.3002630705184114,0.23405642272169586,0.2962801039692589,0.2503228323962837
Catalan,0.32001247163240304,0.3123740939723672,0.2617845526778115,0.3099182267901846,0.26927973147043355,0.2950451449326438,0,0.2868526147442511,0.30183728324402587,0.3369144720336468,0.30880776788945324,0.3062027420620316,0.28669365505522426,0.2565520384081746,0.3161280357769168,0.30612205381500185,0.31217861341311504,0.308014074686384,0.3032781812802236,0.32302336050015573,0.22330265128189428,0.30253404992786076,0.23011041571216723,0.2883033230113798,0.3136220372849337,0.2808650701122573,0.33727929975647575,0.32297613967486577,0.2867883627103801,0.27288430214067283,0.2514394430510544,0.27326152697772627,0.28932098946787127,0.2902909307654359,0.2839075298544754,0.3073641893715758,0.3071086290220139,0.2284312771487744,0.30730113903265865,0.2815579018996361,0.31227731565085926,0.25622904025302856
Croatian,0.298973391045992,0.29354068691124935,0.2563965808885012,0.2955838631114987,0.166790805004142,0.2135131495233004,0.2868526147442511,0,0.23739350789395355,0.30644525167983955,0.29810574275483726,0.3070854536938245,0.29610958815144933,0.283840310797882,0.3076581593610364,0.29395918278105043,0.30402219530732416,0.3003362151288852,0.28897955099687606,0.3087973896988872,0.2505283641261987,0.2818477590376646,0.21353150237507038,0.20808487233992382,0.29920184019821844,0.27222886749869457,0.31004371058964253,0.29291827074232224,0.2747685941589059,0.2266014435441182,0.296255057793225,0.276514932871123,0.228204834818186,0.17480233448779672,0.2689273825982006,0.23336344548847435,0.22166196627858914,0.2778533065516137,0.2924815767053528,0.22049412573288188,0.2970609645086663,0.25276638632418086
Czech,0.2989926892798125,0.30744920831934713,0.26410306409310264,0.29768099584088903,0.22583620999511042,0.24932653801185287,0.30183728324402587,0.23739350789395355,0,0.3068009966013452,0.29751241521140354,0.301205492278519,0.3067833308426773,0.30108621705716976,0.31921318066789867,0.31439862677879055,0.3129454987496981,0.31341170123691087,0.29526150062114986,0.31402228147230804,0.2766720381540396,0.2771214540342536,0.22567158179262534,0.2466059851573886,0.308332472278992,0.27986178714884513,0.3072453403480135,0.3043328122093516,0.2848951909355038,0.22900639119168925,0.29939156905397474,0.29766813003862874,0.2390995352219234,0.23537332010660084,0.2795506198826242,0.21159438085128546,0.2534925948261038,0.29133993593461555,0.2981389201979288,0.23191980697309178,0.29652329561755875,0.26349070081954173
Danish,0.2920982905762506,0.33309886609610956,0.26938146159975623,0.33628969872492254,0.27610923460008485,0.3221718074432862,0.3369144720336468,0.30644525167983955,0.3068009966013452,0,0.2936103176828379,0.2840011083587995,0.3356965042657262,0.328971772769447,0.2871029492083676,0.33404520461273146,0.3379198387888144,0.33219479122230117,0.2622952506943759,0.3430115291177585,0.2747100610120485,0.30238215231281884,0.23579867632633034,0.30731602329969415,0.34258070273907426,0.2866619549865274,0.2838067923740598,0.33991306119881726,0.29028409776678465,0.28251818638530096,0.3202422478652663,0.31672795246754715,0.29979826742441756,0.30585272214086,0.2944337394281893,0.3225546817328055,0.32114589702754537,0.3162808207179952,0.26351410053605057,0.293453736512541,0.32694822692239617,0.2590897473884316
Dutch,0.21720779408276308,0.311832263128721,0.2662617424949818,0.3112636710837379,0.2724043178096353,0.3041756606767777,0.30880776788945324,0.29810574275483726,0.29751241521140354,0.2936103176828379,0,0.26707292762392404,0.3157967357787622,0.3104841568755946,0.2568796145919013,0.31554952806772346,0.31235637509268915,0.3124427741326656,0.27596843049171954,0.3200146216292303,0.276265931195657,0.29058482454622625,0.23281385966692633,0.290694608016863,0.31209205614272123,0.28812749318516545,0.28387766896044786,0.31573645300602565,0.28253807595291663,0.27903898977544883,0.3003684816499425,0.30893854087087985,0.2914804524743022,0.29162605070674374,0.29205848582708727,0.3124501980336789,0.3039375873957875,0.2994855560960579,0.2726292635618206,0.28946243890828144,0.30665779667999354,0.2646262664805501
English,0.272408035641689,0.32834368188474883,0.2759569909256113,0.31880881950943507,0.28651635479383264,0.3084709037437478,0.3062027420620316,0.3070854536938245,0.301205492278519,0.2840011083587995,0.26707292762392404,0,0.3181884700737273,0.3166997179078403,0.28135819767438336,0.3288981003169879,0.31932596999159596,0.3195372045978457,0.2884066574271388,0.3106430589906644,0.275910660664437,0.3088240632539626,0.23994747762476987,0.30666308331869585,0.32023254567617904,0.2927077178790267,0.29364885697863047,0.3252097394868246,0.2902950178268168,0.2831444384276395,0.30269122260595327,0.3135481114609386,0.30463621469332236,0.30589968799510703,0.30851207545706943,0.31326361097788546,0.3150707030515619,0.30648816104901366,0.2833617622061959,0.30036065473560913,0.3149656546175848,0.2608088935858133
French,0.32445030757357485,0.3066003157465163,0.2638305714626783,0.3127668897346026,0.26973029455340103,0.3044141072092213,0.28669365505522426,0.29610958815144933,0.3067833308426773,0.3356965042657262,0.3157967357787622,0.3181884700737273,0,0.2908399402225387,0.3241487582351098,0.3162308071942235,0.32443521863588526,0.3222554183221188,0.30727530695722094,0.33388228083223237,0.241456510654578,0.29608436025305757,0.23121071919015057,0.29362912984405826,0.3217771942312193,0.279823422064909,0.3365556552972077,0.320161468906861,0.2874720673533285,0.27766500294694474,0.28384309236296784,0.2825828491606175,0.2927359651930958,0.29503394414424655,0.2828089676727126,0.3198002471803058,0.3084583392495801,0.2771383962841997,0.3136050739085503,0.2818979904865347,0.3121651221582438,0.2597987412885226
Galician,0.3097449190729105,0.2934948119156872,0.2553362625513206,0.3037407218615296,0.25949613162536767,0.29476401438762495,0.2565520384081746,0.283840310797882,0.30108621705716976,0.328971772769447,0.3104841568755946,0.3166997179078403,0.2908399402225387,0,0.3207501828263498,0.3116482269183877,0.3130917536020956,0.3104620767447927,0.2915929829131551,0.3252600335599688,0.22663318971865684,0.2900823094423061,0.2255805044014618,0.2769387756218615,0.31248362580107797,0.26709875471327166,0.3237606645390802,0.3139059775061648,0.2775943085056806,0.2756123990168832,0.2303560076666074,0.2719267944592064,0.28072998297005525,0.27850520269601936,0.26167509131197036,0.3076609247919743,0.3015229794679754,0.20455856206917605,0.30044159461988523,0.27326837801029186,0.30499281230583364,0.2567739708135456
German,0.27918121058362116,0.3226628561131816,0.26340005655253906,0.3181586737772678,0.27805408114096963,0.3158351994727478,0.3161280357769168,0.3076581593610364,0.31921318066789867,0.2871029492083676,0.2568796145919013,0.28135819767438336,0.3241487582351098,0.3207501828263498,0,0.3127274873479566,0.32221239854314615,0.3196969807649428,0.2850534925506152,0.32507584764840086,0.2723880301260857,0.3051748295443217,0.23743276081476702,0.30636166324913355,0.32450979140317265,0.29140034574989737,0.30460561820549426,0.3246309945906607,0.2902186348454278,0.28866534839827895,0.31818654340104324,0.30827709806514064,0.30488823326217956,0.3039961035430899,0.3021279952530542,0.325619296758831,0.31125903724638543,0.3040257242632818,0.27634527224524463,0.2958222640068119,0.31560048269347324,0.26433853045089944
