,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,1.8267625106180352,1.7762659401755168,1.9963317061675139,1.7848951813429585,1.884262495973553,2.0087793051056675,1.8566283651893294,1.8624429875508668,1.7728707821580376,1.4570028689012915,1.6813673671827631,1.9288195135612207,1.8602055536314857,1.687549412454446,1.9690093935381363,2.0353834409047757,2.0424521292542077,1.678968729257024,1.9891312590374595,1.7551998733213683,1.9159209419449637,1.7474976147765915,1.8486632930829432,2.024953704100203,1.7056374871005264,1.8101831432673998,1.9291846427175843,1.7862951377915366,1.8906738085044406,1.8448437596437506,1.8916443608483193,1.8456920657375564,1.8712031628897978,1.6783818518759048,1.8938718845710316,1.9756897525400632,1.815321590914273,1.7018020219069188,1.8162984386782455,1.9352184023768906,1.6246583945080146
Albanian,1.8267625106180352,0,1.6512580423961156,1.818126398697973,1.6892101357245644,1.7712484950264014,1.8632401509189542,1.7420797600875835,1.7824866411844873,1.8323818610472637,1.7715661003379126,1.797683209701154,1.7555266296121832,1.7149919077898972,1.7923657851899073,1.8123548742942035,1.90617255830262,1.8811573364493013,1.7408056903026905,1.823070948124278,1.6294603019137521,1.8375027876975265,1.6834379913244584,1.7342309696183993,1.854697675391207,1.5715089322685363,1.9499128402901442,1.7596772800989482,1.6571995730131794,1.7965740913005155,1.699107280783107,1.7524187868960766,1.7173393252922393,1.7783838142787127,1.507062022515552,1.7829560781382425,1.834549422653864,1.6782180791793926,1.8043600142368792,1.6721395271968478,1.7640000656585084,1.55091012992532
Armenian,1.7762659401755168,1.6512580423961156,0,1.7988907298477128,1.613519726134949,1.7506794830160948,1.8810680300279143,1.7054408111961474,1.7424507750392846,1.8584579305317428,1.750675350263444,1.759809537147771,1.8340587278573623,1.7644289708537848,1.7425980252536446,1.7355427984371097,1.8571523765440185,1.8487955471198085,1.6411465100582638,1.8272974987201458,1.6104693861703854,1.6922119553672423,1.5589657195929005,1.6828445715107945,1.8382281979454327,1.6175717957080697,1.8725183085957382,1.7545464089283356,1.5789876867382437,1.738833550148535,1.7383097053350813,1.7347192189937766,1.6681208142149353,1.6972400946056694,1.5574494533510468,1.7460887505646936,1.8130838172065569,1.7230053040435194,1.7433618017659782,1.6443682062082159,1.7760239096953623,1.5375801565642182
Bengali,1.9963317061675139,1.818126398697973,1.7988907298477128,0,1.738807604151879,1.794061449159968,1.952686636487224,1.7902160861245633,1.8233404680676473,1.9694195849684555,1.8454237924387635,1.8337831314012845,1.9150398027684772,1.8829570499778379,1.8566435860681387,1.9038526362956327,1.6221046642016994,1.6022872232147252,1.8649555750594435,2.0240895135681014,1.654054203900895,1.9044920662664504,1.6992127520914897,1.7461773977234176,1.6775245649562462,1.4301863624765474,2.060996022162681,1.867748682791721,1.7618615804681754,1.7835587745806076,1.826946899309212,1.845942262686862,1.8129812984505906,1.7972639904198808,1.625308129584808,1.8601360833209248,1.9093697396499663,1.7497361926957236,1.8603431105307797,1.7561861688489382,1.6016485520241743,1.629189578034679
Bosnian,1.7848951813429585,1.6892101357245644,1.613519726134949,1.738807604151879,0,1.4171455806622864,1.8278833601606814,1.130678505358355,1.4413374484615478,1.830031454694263,1.7184412878189346,1.7451463081346628,1.79747804957034,1.7593583429900606,1.7397977206272444,1.780886213952062,1.7939936360962323,1.8027662729316838,1.6810776348981074,1.9205691153806241,1.524214969949075,1.610996432214614,1.4539944692261602,1.2428780783562035,1.8119525440368158,1.5678675274352543,1.8643077362505316,1.7830308209203691,1.5969241191532422,1.3908740309025953,1.715409819851483,1.672875700286882,1.3123544386485544,1.0029707384593542,1.5478481201747725,1.3926546240576514,1.4801454857327534,1.659477546886433,1.7232781815675196,1.2831922755013636,1.738830885950335,1.5279553288329586
Bulgarian,1.884262495973553,1.7712484950264014,1.7506794830160948,1.794061449159968,1.4171455806622864,0,1.869538332792776,1.4042704014960383,1.5598946828462805,1.8773269266430355,1.776321470513993,1.7911625671036222,1.8742840066425674,1.78674141486929,1.8143456214890545,1.8605684033440484,1.828904403790788,1.8167802770216568,1.7921273460900988,1.9417130813458572,1.6067118191094463,1.8372792343428515,1.6095790210490344,1.3352385959589557,1.8318129664488012,1.6195375753299863,2.006601866604563,1.8611173794706186,1.705168466082772,1.5818807745416161,1.7751849385253278,1.7716149245797075,1.540969815987509,1.438500487235451,1.611891719521096,1.5643206255834836,1.6546273889687904,1.6760511586943334,1.7961636012437603,1.4854834415823568,1.7576112643191804,1.529096906215869
Catalan,2.0087793051056675,1.8632401509189542,1.8810680300279143,1.952686636487224,1.8278833601606814,1.869538332792776,0,1.856017177400648,1.9145494040514601,1.9523657203997649,1.8736512566969827,1.8473294807660985,1.7618732090218578,1.5748005626783492,1.925956629307193,1.9477295097523488,2.0409564349029963,2.0292150568610063,1.8926336686545255,2.024836337642825,1.5255327692105136,1.9680791084173104,1.7388473750140845,1.8394232033405864,1.996248901926161,1.7510723011408975,2.034537177550939,1.978631727749583,1.8173830017261734,1.8825952956521927,1.5985108060992617,1.762843139895452,1.8823455907832207,1.8817222676865755,1.7294019645001852,1.9145206606182357,1.9932779978806736,1.4676079424265307,1.8759388709097429,1.8254218632302408,1.9200712213732163,1.6572202465678743
Croatian,1.8566283651893294,1.7420797600875835,1.7054408111961474,1.7902160861245633,1.130678505358355,1.4042704014960383,1.856017177400648,0,1.4537502766032802,1.8503770124556567,1.7429843450392297,1.7681711026982736,1.8386635076530524,1.7766208589591437,1.767669750097558,1.8160039601330569,1.8317045540044856,1.8199076240345846,1.7520178333368024,1.928486151057043,1.5616021303687935,1.746688353260775,1.5372235292002605,1.350934357459304,1.8356656775731912,1.6210411407095449,1.9535465269262644,1.8258460842084112,1.650191620527417,1.4567772832130168,1.7566486527112017,1.7119363464458361,1.4640612249545202,1.1563658097311322,1.5867582086468834,1.438721495022131,1.4966909848260805,1.6849739971369813,1.7553629038330003,1.3876676745582193,1.7676375212649418,1.5262157400344794
Czech,1.8624429875508668,1.7824866411844873,1.7424507750392846,1.8233404680676473,1.4413374484615478,1.5598946828462805,1.9145494040514601,1.4537502766032802,0,1.8390657829570007,1.7629977553693479,1.7586131949788346,1.8584736360567937,1.8192442856728455,1.8060984120003165,1.8712380664756287,1.8437171397613903,1.8352057352361666,1.7723920897011112,1.9759157036428696,1.6323402525803696,1.7358857767673173,1.5801810175470237,1.5196722103025022,1.8528096062633361,1.625446609694338,1.9613085735265576,1.838799659607198,1.6948453483491164,1.447537985119341,1.7822512796545606,1.749946069827447,1.520470809725798,1.4552099082503807,1.6342697099419556,1.322678293805051,1.6357195193048135,1.7024504419990627,1.8009843038870448,1.4267776054934458,1.769723955488621,1.5434541897304703
Danish,1.7728707821580376,1.8323818610472637,1.8584579305317428,1.9694195849684555,1.830031454694263,1.8773269266430355,1.9523657203997649,1.8503770124556567,1.8390657829570007,0,1.7407710846987827,1.644150025962863,1.8799203825493933,1.8195729494369952,1.6738826392614847,1.9761148767786654,1.9828477040841714,1.9866775402395047,1.6402813680604418,1.8752731976683654,1.7314532934298799,2.0546416343563654,1.819522062599154,1.8850886172993058,1.9556753322768152,1.707176185547321,1.713892968034933,1.9081736364219402,1.7783743015166071,1.8930315670511269,1.8214348985525848,1.865776043290903,1.888515224912148,1.9139932792659022,1.662515512742027,1.879529554756065,1.96817472009029,1.7424121806968307,1.6198817025244046,1.8150962641406023,1.8903893450177005,1.558684707113104
Dutch,1.4570028689012915,1.7715661003379126,1.750675350263444,1.8454237924387635,1.7184412878189346,1.776321470513993,1.8736512566969827,1.7429843450392297,1.7629977553693479,1.7407710846987827,0,1.5277817371049969,1.8710814004213479,1.7862265587206836,1.500638079406605,1.831646703016221,1.8449240644236362,1.8532006416429885,1.6558226520438655,1.9146592493005847,1.6463900227525252,1.8353704041216796,1.644704706584293,1.7406108160976514,1.8500603777114883,1.6374431376896956,1.791522637331468,1.8445371418034886,1.7000499673071936,1.7752052300881285,1.7537322223160898,1.7902235707967267,1.770086719721973,1.7846191590243563,1.6341430836446573,1.8264913344657172,1.8555324432159697,1.6946242599408519,1.6117050627401734,1.7232367771064803,1.7978842926827678,1.560444621103871
English,1.6813673671827631,1.797683209701154,1.759809537147771,1.8337831314012845,1.7451463081346628,1.7911625671036222,1.8473294807660985,1.7681711026982736,1.7586131949788346,1.644150025962863,1.5277817371049969,0,1.8289615413960383,1.7883960236650265,1.62530062540635,1.9005177184384316,1.8309786704471624,1.8852788648685617,1.6726927290346774,1.8588707536304068,1.630616032707142,1.8943280725615588,1.68799866951552,1.786510859575189,1.8600636279166376,1.6402302311588295,1.7493079417215471,1.8812768203102284,1.7177560176887468,1.801971415685534,1.7487412327653487,1.777181237751075,1.7995848577837905,1.800020915735908,1.6715090285477385,1.8250716849887278,1.9075339807338045,1.6902581867584061,1.614814546036086,1.7436955817418243,1.8090788836646918,1.5342565435863276
French,1.9288195135612207,1.7555266296121832,1.8340587278573623,1.9150398027684772,1.79747804957034,1.8742840066425674,1.7618732090218578,1.8386635076530524,1.8584736360567937,1.8799203825493933,1.8710814004213479,1.8289615413960383,0,1.6861790407393178,1.908141441342028,1.9065594939721344,1.9947847703816508,1.9670652702918006,1.8590725898395772,1.9023259753358168,1.5827955417683328,1.9497196810676185,1.7650957352906862,1.8199692082804075,1.9255218937572256,1.671954771907944,2.017799248919883,1.8669101746960675,1.774883984253303,1.8786765619067447,1.6847287896515366,1.796273951469553,1.8539839274094945,1.859281691280346,1.6533636917297947,1.885359649045159,1.9429557667795458,1.6070535155166616,1.8838487731677265,1.799660324536917,1.8505030358857288,1.5746825973905965
Galician,1.8602055536314857,1.7149919077898972,1.7644289708537848,1.8829570499778379,1.7593583429900606,1.78674141486929,1.5748005626783492,1.7766208589591437,1.8192442856728455,1.8195729494369952,1.7862265587206836,1.7883960236650265,1.6861790407393178,0,1.848164586059204,1.858764152757435,1.9786021609668327,1.965703182258974,1.7635044343488568,1.8779984462145407,1.4696783492417471,1.9173902440710697,1.7277663458761503,1.771527619414775,1.9225654425084022,1.6458492184379343,1.975445131038576,1.8645175867236488,1.7172778480955648,1.8455762127999848,1.3782392546115083,1.7002680960398815,1.8166276456132529,1.8218758094782954,1.6121874506006804,1.8305067115148215,1.923488688352077,1.2622892490334907,1.7883310283189884,1.7557392073138753,1.8552894303360863,1.5261496800826657
German,1.687549412454446,1.7923657851899073,1.7425980252536446,1.8566435860681387,1.7397977206272444,1.8143456214890545,1.925956629307193,1.767669750097558,1.8060984120003165,1.6738826392614847,1.500638079406605,1.62530062540635,1.908141441342028,1.848164586059204,0,1.8220343621505413,1.8889028427302832,1.883557216639072,1.652477956206261,1.893104886055794,1.6345987507829185,1.8788638941119886,1.6799481223598132,1.802017497066962,1.8954834986690274,1.6642486900887916,1.8634099768010288,1.8927825414922772,1.7125337554799431,1.8231187563749942,1.8555343019049149,1.7874886867420006,1.837345538591905,1.8198264695757742,1.688523927630625,1.8538904991504463,1.9034330167986893,1.7496879865782162,1.6309193097124406,1.7580567526819664,1.848710300991573,1.5879520877562232
Greek,1.9690093935381363,1.8123548742942035,1.7355427984371097,1.9038526362956327,1.780886213952062,1.8605684033440484,1.9477295097523488,1.8160039601330569,1.8712380664756287,1.9761148767786654,1.831646703016221,1.9005177184384316,1.9065594939721344,1.858764152757435,1.8220343621505413,0,1.9663943668344086,1.960135460464048,1.7828349145068485,2.0075611693487465,1.6778989208072743,1.8419261049977997,1.6340917233678964,1.8393076430649902,1.9651549320237265,1.6993418893666565,2.0801419434854624,1.9306678254895522,1.770270356534501,1.870810123327295,1.8376703783175223,1.8237611028413778,1.8459910152150556,1.8685204334047694,1.6973216055716505,1.9267372093043007,1.9689739476483714,1.760674595690588,1.894905784473148,1.77305316060252,1.888612146042852,1.6125330026424674
Gujarati,2.0353834409047757,1.90617255830262,1.8571523765440185,1.6221046642016994,1.7939936360962323,1.828904403790788,2.0409564349029963,1.8317045540044856,1.8437171397613903,1.9828477040841714,1.8449240644236362,1.8309786704471624,1.9947847703816508,1.9786021609668327,1.8889028427302832,1.9663943668344086,0,1.4691556901159095,1.9010688091704033,2.0682802083282916,1.7352840395682347,1.967545677492648,1.7304219360558515,1.8069622231897626,1.4515985792827677,1.4949912461444395,2.101817036887924,1.9215057695931004,1.7965351531770208,1.8264230801731356,1.929828599394173,1.9001619785615131,1.9010855964049787,1.873289693042492,1.71063057457789,1.9291066496137812,1.9909979886768994,1.8084672325117874,1.9105929635498637,1.82051189881713,1.619122132784138,1.666029304270894
Hindi,2.0424521292542077,1.8811573364493013,1.8487955471198085,1.6022872232147252,1.8027662729316838,1.8167802770216568,2.0292150568610063,1.8199076240345846,1.8352057352361666,1.9866775402395047,1.8532006416429885,1.8852788648685617,1.9670652702918006,1.965703182258974,1.883557216639072,1.960135460464048,1.4691556901159095,0,1.9349487883194039,2.044147355357016,1.7237804354941768,1.9677672375068695,1.73265377483111,1.8012721119707573,1.5711198380989921,1.4747974870255298,2.1086345603892687,1.8787311176292845,1.7658810968198684,1.8125672028265714,1.9049113771716888,1.8695598274670204,1.8884236004054393,1.8713296472291048,1.7084142840765608,1.9241476742625843,1.9861705168055603,1.8101402796947954,1.9119838748066031,1.79810688375672,1.4005963546187277,1.6736878619069997
