,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,1.8898985660132332,1.8182161227406426,2.097548749413592,1.849613200450301,1.9700148449555683,2.1043467469459647,1.9311543929855846,1.9273350742712296,1.8344644043149332,1.41143649578704,1.764538193196951,2.010127181125425,1.9401709476977045,1.746899651692848,2.0412927226860713,2.15292689194891,2.1515809117033236,1.7412873967907394,2.0593119772150565,1.8411302336465183,1.9716800249179869,1.8388419851135511,1.939748251633935,2.1301744668931333,1.7571029976527879,1.885234395512952,1.9794592687467922,1.8599300762235815,1.9576493539769646,1.909409055917303,1.9847292592012051,1.9209268101776675,1.9566828939599161,1.7398248707851705,1.9805575673207836,2.0495049425185305,1.9065809204462778,1.7806158245141641,1.8957082442388695,2.0184423348863145,1.711593605105444
Albanian,1.8898985660132332,0,1.7174213640408007,1.926273220527283,1.7672379163216418,1.8674660683850335,1.9637780788073924,1.8292254363439306,1.869909699724163,1.9310975785846782,1.8519550855420754,1.9213703032975984,1.8336584511788836,1.8022853056354178,1.8862115234160244,1.897765659827592,2.0295644667445414,1.995085884966973,1.8285146328955446,1.9096236311182428,1.7045660036411292,1.9050919567047693,1.7732938419478228,1.8274537693660766,1.9692804681008287,1.635850495328594,2.0358111121209275,1.8383383590980036,1.7528597864009017,1.8721366469709766,1.7774981275758979,1.8464879761251138,1.8139884311214194,1.8716727779291273,1.5762508996564386,1.8787627629244494,1.9168827979045069,1.7702392340559248,1.9143510838932851,1.7620911483275,1.8612214682655341,1.6429282808393935
Armenian,1.8182161227406426,1.7174213640408007,0,1.8640206870285605,1.6630713195016094,1.8126639090560746,1.9343493169836665,1.749445333456337,1.7989491679147103,1.9236872794480477,1.8062544539631313,1.8386812491357791,1.8829575021756242,1.8145373472152968,1.8127100402794445,1.7964493167123388,1.9404377985338608,1.9273627693782236,1.6987903228563823,1.8850922998770867,1.6658660312848201,1.7433948801023773,1.618572239189545,1.7478796969479489,1.9081681925591025,1.6609354635728604,1.9334289105995117,1.8032908042713576,1.636784126584377,1.7728394242783088,1.7803530263281686,1.7936836261873963,1.7304519922465398,1.7549316723140234,1.6007401434888557,1.8066708800529694,1.8734591408838666,1.7848701522803083,1.8063013899558131,1.710426096513421,1.8368831745795153,1.5840885883521616
Bengali,2.097548749413592,1.926273220527283,1.8640206870285605,0,1.8508046599346715,1.9262717462685768,2.090874553239831,1.9155668466689386,1.941243549923329,2.1249636562268535,1.9786682362875865,1.98911474365613,2.049407088968853,2.0033810865498762,1.9951742582831276,2.0300938353593776,1.7235777993152688,1.697164467481213,1.9806994483124178,2.1601311111553265,1.777788056696963,2.006819674114153,1.8189198695363404,1.882687568932124,1.7844133745041806,1.4722604554626226,2.183135211926114,1.977774542877121,1.875377670473531,1.8965100079884594,1.945999185297214,1.9937070195372086,1.9419857822436788,1.9310318950442922,1.7153124323585143,1.9976418229387818,2.0246867779686846,1.8804606061372662,1.9929350364738563,1.8865940541655664,1.6858084951185885,1.7581693128640146
Bosnian,1.849613200450301,1.7672379163216418,1.6630713195016094,1.8508046599346715,0,1.456937732289205,1.937567996242199,1.0968096158228677,1.4829336469165773,1.9320239833486494,1.8087171948072032,1.882013723078562,1.9020985959073695,1.83457637153823,1.8417343450664145,1.8702910104355117,1.9188430015758362,1.9282461365380015,1.7418485855937536,2.0080975399286625,1.6066905751900595,1.6599906386085939,1.5158822750377108,1.2522812507851302,1.9351326525526338,1.647070610460977,1.957408777507681,1.8541225950461406,1.67288816186621,1.4285453390027765,1.7990538013130755,1.763986468552899,1.341428005360743,0.952610928485935,1.6098019887080803,1.4285411803957297,1.5144976458284944,1.755310604222826,1.821908899342687,1.3045978539157417,1.8467751430022168,1.625915826971035
Bulgarian,1.9700148449555683,1.8674660683850335,1.8126639090560746,1.9262717462685768,1.456937732289205,0,1.9928989379506326,1.4419170100185128,1.6397825129032482,2.0140579957325726,1.8987728243398214,1.944064682803511,1.9964942574171616,1.8958377557877368,1.9481921082836682,1.9643515576051758,1.9777877466996776,1.9618127215027543,1.8932177301879347,2.0660438890257247,1.7070653653289385,1.9200332058216,1.699875413672568,1.3837990364033643,1.9849099837944224,1.705627224924982,2.1106401542818096,1.9680593756009968,1.8174139936745186,1.6509884169368545,1.8790758378677181,1.885182262341813,1.6150710503461685,1.4957500919554325,1.697426896934396,1.6409243674232887,1.7221009335002464,1.7972560407933005,1.9250102645563854,1.5733923320161314,1.8804615393228408,1.6513392643581035
Catalan,2.1043467469459647,1.9637780788073924,1.9343493169836665,2.090874553239831,1.937567996242199,1.9928989379506326,0,1.9764788565540743,2.031527354717021,2.106410009518507,2.0080005136768304,1.9936662538665701,1.8759980699370964,1.628696732676127,2.0613591683747576,2.0664373103814286,2.1968050667917165,2.1696834554523634,2.0091823364938284,2.162561887647684,1.6041322942987004,2.0759033765161385,1.8612608689649717,1.977627602984675,2.150278958971751,1.8423262799807512,2.144280979609346,2.090933363130675,1.9314148709870906,1.986705871818487,1.662376252515517,1.8700333098622115,2.0102917719315148,2.0175228220796226,1.8216124052239078,2.039083964650798,2.1154555178801986,1.543274287433945,2.003430491219455,1.95638021652679,2.0523252003657877,1.7917150171561094
Croatian,1.9311543929855846,1.8292254363439306,1.749445333456337,1.9155668466689386,1.0968096158228677,1.4419170100185128,1.9764788565540743,0,1.5126156941863094,1.9762007778340618,1.859487132012085,1.9171271710667577,1.9501466067965232,1.8754267248296492,1.8926251052262004,1.9206107629383113,1.9648747674381328,1.958833238264342,1.836110874705562,2.0332121108160974,1.65812584890155,1.813671629891347,1.6105605372495024,1.3939185224588357,1.9681295445370173,1.6913815186912515,2.0514906387507987,1.9123936171681255,1.7413278020816771,1.5150705953641304,1.861235538049508,1.8192852161690387,1.511824706482011,1.137630362890219,1.6582276294749012,1.4905510555215906,1.5290658426248185,1.7926220550888206,1.8743022077841744,1.4360162959584575,1.8825564689650935,1.639378031593691
Czech,1.9273350742712296,1.869909699724163,1.7989491679147103,1.941243549923329,1.4829336469165773,1.6397825129032482,2.031527354717021,1.5126156941863094,0,1.9614517781491891,1.8788919839163005,1.897723648187239,1.9603957373015397,1.9088261357989582,1.939669637978714,1.9752879518005586,1.983397596034609,1.9715970726163603,1.856931359569207,2.071074916905092,1.7401160708441394,1.813226595452626,1.6727711501046931,1.6074192614173561,1.9902679267969574,1.691838278149719,2.0530198412046237,1.9241501119037563,1.791898000034991,1.5061968930488032,1.8889708299032668,1.858779842705807,1.57834440512966,1.5225625921447579,1.704609783920173,1.3474372189123363,1.7057189942911601,1.811227022521708,1.9165882796871567,1.4907134777191522,1.880186847402629,1.6481372731608788
Danish,1.8344644043149332,1.9310975785846782,1.9236872794480477,2.1249636562268535,1.9320239833486494,2.0140579957325726,2.106410009518507,1.9762007778340618,1.9614517781491891,0,1.8472683434669723,1.7849664439565496,2.0066788586081334,1.9394414076626314,1.779034579841189,2.0969774852813363,2.15631704945075,2.154041161005045,1.7115402463526963,1.9926655310122836,1.8584109511257163,2.147649200456311,1.9416371896826596,2.027185578775953,2.1251048247128983,1.7883207031897443,1.7825916900417231,2.008702055532361,1.8910265316201076,2.0042599382343282,1.9308639361200794,2.006287520399971,2.0104884211222087,2.044754165606808,1.7616136957620105,2.0101751384079707,2.0859923560992457,1.8846211627483467,1.728383321150114,1.9491005498271512,2.025301798471425,1.6984293155224817
Dutch,1.41143649578704,1.8519550855420754,1.8062544539631313,1.9786682362875865,1.8087171948072032,1.8987728243398214,2.0080005136768304,1.859487132012085,1.8788919839163005,1.8472683434669723,0,1.6477441414622787,1.9896002179986283,1.9026441883789562,1.5977164062068114,1.94584339200299,2.0027994388495842,1.9934163974632717,1.7412712451930739,2.022462707334437,1.7671679869385049,1.9198716468331736,1.7666403359878464,1.8675024887262537,1.9969946719237661,1.7091918790326879,1.8663636475049972,1.930852693661096,1.7948743444500777,1.8902278616026122,1.860143540794318,1.9189929105901418,1.8922349891594827,1.905112342069466,1.7231167923132895,1.953950423836688,1.9680003644084552,1.8239108663821306,1.7135537223210682,1.8498507582743393,1.9168568442152287,1.6763660530535225
