,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.11951748344193727,0.11140618202256145,0.14823469481791796,0.11682342288199644,0.12648174019351327,0.1455579387480474,0.1174491222158747,0.11650727019576652,0.1167342571452527,0.08847048632499584,0.1098470476969309,0.1260395569130379,0.12434724216464337,0.1147640980565752,0.11889956827929737,0.14862367066064758,0.14369275943919335,0.11167667046965651,0.1298388056796489,0.11254329517521251,0.12542412128911645,0.13319824595053173,0.12447432278957966,0.14205405479523162,0.10691110133894582,0.12594333528046922,0.12050405472233004,0.11570311599945252,0.12093585537394534,0.11736669068440556,0.12251571039162248,0.12015072023851656,0.12469248817569448,0.10768612821175201,0.1225043588395125,0.12663592442003968,0.11498320046853218,0.11870411502599713,0.11953388685944105,0.12617003423595574,0.10323367727137639
Albanian,0.11951748344193727,0,0.10307107990031636,0.13018331133863473,0.1082187429061023,0.11331503895367757,0.12750937150341082,0.10517426176838257,0.10929290379151121,0.11661215557004986,0.11048994860249409,0.11465129374685658,0.10799419356680152,0.10954142953039114,0.11754391164938643,0.10381080189533728,0.13538633401503405,0.1297734004730348,0.11289546888256081,0.1144221245096165,0.09811764047539472,0.11977667248602072,0.12623241673144467,0.11192753602603908,0.12563794167651904,0.09501748125921725,0.1306085427257871,0.10747922570267958,0.10685076857443492,0.11209842560470581,0.10273329223325363,0.10786320356846239,0.11022812896958536,0.1148913068488792,0.09159376529446245,0.11144130132649681,0.11398716805149453,0.09946986773579371,0.12118418217011903,0.1060819761660376,0.11085819593553267,0.09553216299469139
Armenian,0.11140618202256145,0.10307107990031636,0,0.12115278079197518,0.09991883671680624,0.10720814673054119,0.12171539763176241,0.10046585813353104,0.10457616091931292,0.11250133145759689,0.1066290696809366,0.10848589158573962,0.11070279782328955,0.10791941879120026,0.1092914924537109,0.10044334202588705,0.12504893388093866,0.12127743784703966,0.10229116228713515,0.11238809213703783,0.0964945028392947,0.10791418467700598,0.1114388122082166,0.10563496322905487,0.11872523462496726,0.0959385153299611,0.11929555191188963,0.1051107430725482,0.09820256597167173,0.10347211690404459,0.10433852284183036,0.10447473961130718,0.1033340639022933,0.10535981914997843,0.09390116584421422,0.10471583195384973,0.11048063899737569,0.1017566224072238,0.11135381174843732,0.10144742313074803,0.10867275719774966,0.09073438907437126
Bengali,0.14823469481791796,0.13018331133863473,0.12115278079197518,0,0.12477948755612611,0.13231587462077185,0.1487716133280183,0.12461529931167746,0.1313094663662604,0.1436261813560589,0.13632274970046376,0.13406718452018,0.1401649789945496,0.1369136174375905,0.13967701923855544,0.12781498862865825,0.12858681429845797,0.1260089212182854,0.13576113543787038,0.1469499159059393,0.11845750389271031,0.13815181899478246,0.1400012331985613,0.12888430859045816,0.12813653675320127,0.09764874996662355,0.1551390827799052,0.13305919819112846,0.12737520306256686,0.12739690770393106,0.13049901055033275,0.13175690181057922,0.13001310274931127,0.1319588489122875,0.1148172604967029,0.13185172715741056,0.13284275753950292,0.12437304348566688,0.13750010843011362,0.12488354854931749,0.11468281702226024,0.11744192685940207
Bosnian,0.11682342288199644,0.1082187429061023,0.09991883671680624,0.12477948755612611,0,0.08914928129676528,0.12870978648486897,0.06633969159274057,0.08675758791914293,0.11832907358653647,0.1101715255138599,0.11616876690743953,0.1156702928053309,0.11411694009044249,0.11343538386782391,0.10655304365373452,0.12642160550356799,0.1265780263010729,0.10656708823545327,0.12208876162764473,0.09675207137595511,0.10082053973643515,0.10129767584514522,0.07653914242781132,0.1253823541899456,0.09918624561098423,0.12616850082315859,0.11245175917840437,0.10027976775374567,0.0829648005147233,0.10844505819237096,0.1053753775833649,0.07969588585333869,0.05643635844866987,0.09724155518769091,0.08468167030765307,0.09043142871374024,0.10428542953218033,0.11597482456907557,0.0750343682404771,0.11396927325704131,0.09642102779641921
Bulgarian,0.12648174019351327,0.11331503895367757,0.10720814673054119,0.13231587462077185,0.08914928129676528,0,0.13388528321982748,0.08277859762224106,0.09945008676770291,0.12495178241178112,0.11666824826119832,0.12081961486514511,0.12051604174974742,0.11862213999043822,0.12244956196913286,0.11005285155623672,0.13445359864621514,0.13176414754396168,0.11785410501800811,0.1256170782201147,0.10028622702920255,0.11894984662323556,0.1201986082629214,0.08694148946491186,0.1309055514935253,0.10089627823306778,0.13814076113246637,0.11920679384931157,0.11087130644903208,0.09727064853606916,0.11259820386679342,0.11283022378408522,0.09579791658856186,0.09213623164295574,0.1009138727757441,0.09751510642579257,0.10345490737558387,0.1051579160230146,0.12498499729141178,0.09442436152661833,0.11497367363848336,0.09933492400572361
Catalan,0.1455579387480474,0.12750937150341082,0.12171539763176241,0.1487716133280183,0.12870978648486897,0.13388528321982748,0,0.12703573929961315,0.13211541378833574,0.14175555145592328,0.13356731678528802,0.13262352157309715,0.12330335390262,0.10958002908328184,0.1391656591050912,0.12634250028154653,0.1574660153356784,0.15343725201704062,0.1347403632997921,0.14408163002823732,0.10128023946470703,0.13979762882321495,0.1368406336528199,0.1337781906769715,0.14863485205539026,0.11777158973657853,0.14605027066722082,0.1373788955934151,0.12768341250647597,0.12687563359086143,0.10837937994440808,0.11915966732780868,0.1311718606765146,0.1359464272786101,0.11919480450737917,0.13245683072433748,0.13729472266567075,0.10046231640261742,0.13771796034460257,0.1272188820557609,0.13705056531788876,0.11643712901221166
Croatian,0.1174491222158747,0.10517426176838257,0.10046585813353104,0.12461529931167746,0.06633969159274057,0.08277859762224106,0.12703573929961315,0,0.08501646719516287,0.11400893208189317,0.10790811783578531,0.11336830790003245,0.11013304177092337,0.1103479152779677,0.11342568496598483,0.10130353939088757,0.12767326262451992,0.12656944957659932,0.10956015204590384,0.11654928468944462,0.09324392977699998,0.10849120078215013,0.11066663531187605,0.0838766467852141,0.1225531180362071,0.09338768814181411,0.127797484612491,0.10866766443767072,0.10069932704787907,0.0858151189091199,0.10466830306639985,0.10352977931937701,0.08733008397715167,0.06753987067062445,0.09151531851307432,0.08389277938890627,0.08515491895238028,0.09818564140076011,0.11477049222757489,0.08058340483194013,0.1091342044472726,0.09187507007861156
Czech,0.11650727019576652,0.10929290379151121,0.10457616091931292,0.1313094663662604,0.08675758791914293,0.09945008676770291,0.13211541378833574,0.08501646719516287,0,0.11614966854362327,0.11154643496210631,0.11407789921795888,0.11127753564366026,0.11358178892126873,0.11970799993871371,0.10773075542243428,0.13046982604973925,0.12824132692028214,0.1113212788601506,0.12008611407879705,0.1014984072026288,0.10729731491528902,0.11404698658207543,0.09793845446083846,0.12681635591689425,0.09830060630626304,0.13008578442543325,0.11081232463535305,0.10557632291559654,0.08808550262212628,0.10900612940823663,0.10946432534244645,0.09240547075843132,0.09118681595148187,0.09657120381187788,0.07696808167174965,0.09965420916617956,0.10221686301842137,0.12058424433468451,0.0864733670330222,0.11241780088922364,0.09445946463862236
Danish,0.1167342571452527,0.11661215557004986,0.11250133145759689,0.1436261813560589,0.11832907358653647,0.12495178241178112,0.14175555145592328,0.11400893208189317,0.11614966854362327,0,0.11176572818392756,0.10623149987778337,0.11807835101452703,0.11917276010348286,0.1123901319175738,0.11447395253521958,0.14793565171527268,0.14118857197757856,0.10423958533052453,0.12044892723704073,0.11070108690006061,0.13234547388661683,0.1378854212921377,0.12552191932141446,0.13985615446927305,0.10368668999478302,0.11518454164241945,0.11835076721738368,0.11415377931463075,0.1196567091695965,0.11168997663456064,0.12051634884708472,0.12080807385431806,0.1253802062756708,0.10338844041329655,0.11852623103978874,0.12391967744175623,0.10692597031592574,0.1108817450273764,0.11661563240356647,0.12112324872112296,0.10016371891464028
