,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.266553402078172,0.24039960769750976,0.2701881284972367,0.24650719645330568,0.26794547993070317,0.2731637359992568,0.2638507845182085,0.2662891419414065,0.27529574752186786,0.2097711801097853,0.2504183180201498,0.2782632088649758,0.2729926154782647,0.2536894696479509,0.2732127863976073,0.2696643413476149,0.26890148164477046,0.24919572172556329,0.28697597476645453,0.25178029168996696,0.2518701211175807,0.22915647017007137,0.2602188780663617,0.27598231946142876,0.25766458986523194,0.2706149882514295,0.2719831442884292,0.2529010237530445,0.24960942127529534,0.26714009021770835,0.2664638091826548,0.25666228733876434,0.2591705465962279,0.25709800847240355,0.2721747829555627,0.27286586053945744,0.26628763225859414,0.25036004208008916,0.25657308945513174,0.2694740131527912,0.24380886846807953
Albanian,0.266553402078172,0,0.2320275989322271,0.2592959669371205,0.2401568409240346,0.2583114839624519,0.2655454955531486,0.25396620892892846,0.2579026812580534,0.2767920801098404,0.2569937569845255,0.25651509503795833,0.268506942932754,0.26196016558326174,0.25921038833043747,0.2614331757180048,0.2613423580305864,0.2583630679147068,0.25333139386551057,0.2777660940648134,0.2415239702321583,0.2471999244594214,0.22215730347871035,0.2503340793070461,0.2654189768730753,0.24696746987536802,0.273873031946084,0.2640056123160068,0.24458734568717602,0.24227225249071363,0.2576803092370541,0.2558818619499837,0.2497018047526975,0.25227165368009863,0.24250709007973134,0.26256108435673187,0.26428591676318014,0.25550339760889024,0.255237635956795,0.24750310929334016,0.2582482778832656,0.23416794287890752
Armenian,0.24039960769750976,0.2320275989322271,0,0.23803441446646928,0.217511854776523,0.23786123596284217,0.24137695940898377,0.23243506312168222,0.23446597575847705,0.2525200295316672,0.23234299616881623,0.2330145316816106,0.24586901624864008,0.240519879980339,0.23651791191020227,0.23713021968254674,0.23800262470056135,0.23682722447142515,0.2266516454840729,0.25313917446896783,0.22259113529227326,0.22148234853392865,0.20035772551798817,0.22895571786644459,0.24183235642486275,0.22798141338933925,0.24848993288066562,0.23972849997398252,0.22061846601075913,0.22030395301183187,0.235167793669621,0.23609880527182164,0.22720248104206808,0.22929647217314095,0.22297398241498476,0.24093371666777083,0.2413362641480408,0.23388541556496606,0.23030106798108524,0.22579864194905752,0.23655225400945917,0.21508928821685108
Bengali,0.2701881284972367,0.2592959669371205,0.23803441446646928,0,0.2419187550024473,0.25923847406259826,0.26536613490838923,0.25707684374213274,0.25677353024617255,0.2783243031154551,0.2592967090173791,0.256968987384994,0.2704054332049433,0.26651291091560475,0.2613663379488008,0.2617159195278888,0.24335957598363114,0.24097039731200026,0.256639824286789,0.28079334602958783,0.24065485272889528,0.24913419866916997,0.2240708591465647,0.2529331879495615,0.2510115915175153,0.22774576271423597,0.27741360332140685,0.26547876952404514,0.24679461345544912,0.24095929085620743,0.2574194879628927,0.25804543131921504,0.25118012159496234,0.2537587662394719,0.24656074000181652,0.2653783055797669,0.26643332719803786,0.2551614539538038,0.2566661380924224,0.24970439443319464,0.23782289452108243,0.2351580808911146
Bosnian,0.24650719645330568,0.2401568409240346,0.217511854776523,0.2419187550024473,0,0.2175230352934512,0.2443258876785574,0.18680046922960197,0.22079142962540912,0.25447149064670516,0.23820811493519667,0.2378046834469428,0.24966077906067805,0.24589745675157484,0.24186382029513978,0.24410830161138014,0.24224503856461369,0.24077606050236677,0.23353785165518634,0.2611352639024782,0.2207584242334762,0.22211334279981632,0.2025214170162707,0.19274747538176262,0.2468595985155155,0.2304294595031782,0.2537040117014312,0.24832313619507096,0.22909412454666192,0.20618977084898701,0.2361850344779202,0.2376168912150616,0.20112192244811244,0.1636423916445969,0.23116709108101977,0.2180597492957311,0.22216420211435756,0.23550923854764202,0.23568997143518128,0.20066237690497438,0.23979307137573472,0.21783580807837485
Bulgarian,0.26794547993070317,0.2583114839624519,0.23786123596284217,0.25923847406259826,0.2175230352934512,0,0.2608099309166776,0.21725737774224935,0.236140138490818,0.2738673103702887,0.2568518260714658,0.2530253116925281,0.26732800429733594,0.2634069227137082,0.2596357617361423,0.2607683337898359,0.2589964850039387,0.2576146107942724,0.2543127888275558,0.27946605163390265,0.23530902864118228,0.2447163741886398,0.21905985755462287,0.21379033846417145,0.26499124702502236,0.24926367939325617,0.2718346752694603,0.2663945715522605,0.2461463696070362,0.2249037921026628,0.2552543140367743,0.25465986405171814,0.23117514759251942,0.22376346344815687,0.2470772235418183,0.241734195725721,0.24548179393505043,0.25177520286623073,0.2533852786509435,0.23067092495540437,0.25718624193457845,0.23202588591705037
Catalan,0.2731637359992568,0.2655454955531486,0.24137695940898377,0.26536613490838923,0.2443258876785574,0.2608099309166776,0,0.2575746331546288,0.2614845173912323,0.2790148973288832,0.26100028054375796,0.2570502659376614,0.26394747878306696,0.24840209290976195,0.26353800711861713,0.2648340621282285,0.2631713301096227,0.26137437616722753,0.2579122413560025,0.28336728168381703,0.2289020137527575,0.2501967852765818,0.22599520080917482,0.2550084831184464,0.26908304941438277,0.25563044012444663,0.27535181452751867,0.27350507104046634,0.2548349322830733,0.2460194556089472,0.24156090560717877,0.24975623661409632,0.25395990260557255,0.25612892189572456,0.25645726041092376,0.26764247168684574,0.2669035799542916,0.23388507136150782,0.2563394408328991,0.25246983724427463,0.2636964431534402,0.24074056263206786
Croatian,0.2638507845182085,0.25396620892892846,0.23243506312168222,0.25707684374213274,0.18680046922960197,0.21725737774224935,0.2575746331546288,0,0.22995498774250828,0.2695257753903858,0.2534455966879334,0.24951595102638086,0.2626801475475816,0.26154822844836806,0.2554414318496444,0.25788837165449846,0.25570339021283855,0.253995675782921,0.2508373392305116,0.27587165049381396,0.23317754471837224,0.24092283847648369,0.21451645055443777,0.21284069755347224,0.25956149181752136,0.2438743780939243,0.26912229032093044,0.2613578192337761,0.24272061379847407,0.21923942873500096,0.25172437640307493,0.2503859161998689,0.2247762541240426,0.189914492369703,0.24357298995476734,0.23033377493123197,0.22790733681950598,0.24874054348741434,0.25043211683444594,0.21935240137957152,0.2537922415852987,0.23018315099495074
Czech,0.2662891419414065,0.2579026812580534,0.23446597575847705,0.25677353024617255,0.22079142962540912,0.236140138490818,0.2614845173912323,0.22995498774250828,0,0.26965503020721027,0.2559458233995598,0.25192471474434525,0.2655699584512036,0.2642671915073794,0.2583177304326287,0.2611659842936561,0.2592273165592246,0.25706020307636274,0.25220758837828894,0.277307371258457,0.23729023440684016,0.24159312494761906,0.22088228353765166,0.23343198743027396,0.26523631840569484,0.24496905336060934,0.26949570208736856,0.2623450759724811,0.24484127158315402,0.22015825738395156,0.255167056643409,0.2538416507377696,0.22971543074950007,0.22810672977611304,0.24622754233158328,0.22167857722649775,0.24615688563473748,0.2527500284092239,0.2520241885194958,0.22830384870082313,0.25525271262933996,0.23157554709132128
Danish,0.27529574752186786,0.2767920801098404,0.2525200295316672,0.2783243031154551,0.25447149064670516,0.2738673103702887,0.2790148973288832,0.2695257753903858,0.26965503020721027,0,0.2617961484548501,0.2580417179296645,0.28285383550143195,0.2835439692629782,0.2626406356143225,0.2803355866653033,0.27673239578922343,0.2731323677817915,0.2587647923483463,0.2960716498279442,0.2533080071381114,0.2640366462889556,0.23729669236055476,0.2666572040691881,0.2834154995907654,0.26140522500734714,0.26250290428286116,0.28306427349744195,0.26342353860869927,0.2555529165648141,0.27446520816399755,0.2708197982957117,0.2648945614521811,0.2675206247793836,0.2637307336312136,0.27852751226584144,0.2779292990958128,0.2712105666232827,0.25177064132185006,0.2625719444960852,0.27284034414622976,0.24699591187019584
