,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.267538945785068,0.244830348139498,0.27468535537061384,0.25071376855657734,0.2713257446416304,0.27905870017968115,0.2673354406608254,0.2678970759481346,0.28011041921948515,0.22368430895991656,0.25641270124048776,0.28268173649008693,0.28052587782283234,0.2603423166103513,0.2756673391257488,0.2737382469929591,0.2715693186114386,0.25571112139383606,0.28994106544408965,0.2549263141654234,0.2540750313444688,0.23038494333806356,0.2651552812702009,0.2815815823165956,0.2584400757654955,0.2781683443932398,0.27628145349251915,0.2559619689181853,0.2533175012420657,0.268808015561497,0.2695704941170261,0.2611556318172803,0.2642131412101113,0.2604169088132217,0.2770205694868225,0.2771761946501883,0.27084808939869237,0.2615685586413552,0.2603545906318965,0.2719287718907461,0.24544238718427963
Albanian,0.267538945785068,0,0.23458408634584785,0.26433938249793787,0.23961845554686675,0.2585782574826734,0.2674289612392016,0.2547074983762998,0.25886506680922733,0.2783185295852322,0.26016410956764824,0.2574946795853345,0.2693100802589175,0.2665291519812408,0.2618466029168495,0.2643981185782321,0.2667072369231738,0.262699200967433,0.25658687704256655,0.27989027611132894,0.24225385396995183,0.2446561364068051,0.22383505608247656,0.25144055872883947,0.27012020854411095,0.2480804065204776,0.2772860903836573,0.2679253404284162,0.24686081888940617,0.2434924644942719,0.25682825295214423,0.2589162421497153,0.24979164992123912,0.2526811709519542,0.24587245755699635,0.2655317278026446,0.2661890324066899,0.25626431741031475,0.2616865488611501,0.24904988736985473,0.2608341180005689,0.23567548010268483
Armenian,0.244830348139498,0.23458408634584785,0,0.24184333178920284,0.22208223612786024,0.240688898312565,0.24538345815551604,0.23551246685165902,0.23695676259332524,0.2535372137144979,0.237146280671667,0.23579172456428352,0.24884480833141348,0.24547656178049934,0.2400411911893653,0.24190258473569215,0.24392557094947762,0.2403324373799289,0.2318247846568468,0.25533905278880137,0.22544978655365128,0.22290793482164,0.20334279971032074,0.23326567721000296,0.24801423739208128,0.2300260891674957,0.2523184949468858,0.24402965359305417,0.2226625690315554,0.22302948902703024,0.23625020541065936,0.23852758492922177,0.23068484395763433,0.23372232085197742,0.22738929088452095,0.24437201476735845,0.24613279123030365,0.23772313294923858,0.23795024475279367,0.22981636491662083,0.23901102532919935,0.21719576612148345
Bengali,0.27468535537061384,0.26433938249793787,0.24184333178920284,0,0.24738456872266446,0.26435209097534446,0.27129497046766754,0.2626675278393325,0.26207321484090085,0.28348260770507144,0.2634857992524026,0.26143584459082786,0.27467038156248724,0.27293766568803773,0.26506454145995534,0.26463720753913506,0.2515155274733991,0.24690070112129683,0.2610576957084709,0.2857865892979349,0.24647696567819055,0.25040531372216074,0.22574072577591314,0.25978422099825677,0.26007088408488915,0.23473343005868336,0.2805589886931237,0.2717885588666053,0.2502587302167355,0.24524662164110816,0.26048842181965104,0.26339957102201916,0.25669884714588015,0.2608344346329125,0.2513710870066477,0.27172925114329016,0.2709031599431531,0.26075705948991784,0.26351344225278317,0.2562042029536998,0.2460478024959936,0.24140338143169396
Bosnian,0.25071376855657734,0.23961845554686675,0.22208223612786024,0.24738456872266446,0,0.2237278670795431,0.2509259361124744,0.19737464006563094,0.2262817625460558,0.2594153904568208,0.24261156181784968,0.2425542144041128,0.25229867254475435,0.2507554345194518,0.2437171861657805,0.24757448412610084,0.24887310183023004,0.24621825452647567,0.23906703081443836,0.26421650341167446,0.22439739577566759,0.22457553120875276,0.20487879882921126,0.20366204545619884,0.25312432313168837,0.23422779718385986,0.2568929753176155,0.25231351644717315,0.2321255026742269,0.21376012700839933,0.24011939947564132,0.24178612093796284,0.2111727850617906,0.1805129379667668,0.23367372958217122,0.22843326719298238,0.23068668364864345,0.24014203379218899,0.2431790751923452,0.20940530888281944,0.2455224462029315,0.22256639586213006
Bulgarian,0.2713257446416304,0.2585782574826734,0.240688898312565,0.26435209097534446,0.2237278670795431,0,0.2684668375561883,0.2298943021139371,0.24399861739752207,0.2789325515944206,0.26211759608488916,0.2579330793454893,0.273009260068856,0.2680727131560775,0.2634837307072046,0.2643617970288404,0.26449141297582324,0.2619042962072898,0.2585958807954248,0.2836272123380322,0.24025242958782408,0.24595594976342824,0.22163109502140826,0.22797991353540614,0.2703581668861512,0.25021768037098646,0.27668446992643225,0.27125519829731304,0.2489908251269924,0.23332765720509163,0.25853522550135194,0.25989211242886423,0.23951271235972035,0.2346859252986421,0.25027970807064176,0.25046855908622906,0.2527282772844542,0.2558946907701084,0.2610446941233851,0.23908311778859015,0.2621951881816297,0.23767975452748202
Catalan,0.27905870017968115,0.2674289612392016,0.24538345815551604,0.27129497046766754,0.2509259361124744,0.2684668375561883,0,0.2654068637649753,0.2663180542270017,0.285588743693953,0.2667725115638202,0.26424644477366016,0.2733117272002386,0.26025568331767523,0.2685388319622069,0.26845554435526053,0.2717452674591787,0.2670552998084943,0.2650125541900167,0.2901638150692703,0.23796592279577178,0.25214964758147135,0.22809798567356745,0.262929166842315,0.27755816877533573,0.259115708009072,0.2812666398434945,0.2787302147829435,0.2572215325045223,0.2498840254891226,0.24929597950755764,0.25805046259381376,0.2603628694712925,0.26386396309273163,0.2600610824921464,0.27389220435284156,0.27293742889368416,0.24718724381863685,0.26497237347246066,0.26018969839284833,0.2688716103563709,0.24646929243943505
Croatian,0.2673354406608254,0.2547074983762998,0.23551246685165902,0.2626675278393325,0.19737464006563094,0.2298943021139371,0.2654068637649753,0,0.23867633538309355,0.2753604939609141,0.25792053529377784,0.25407167828146954,0.26821585738962433,0.2660715599070062,0.2589427483919648,0.26195341637995134,0.26074837734269163,0.2600566355119848,0.25514185227280006,0.2790133018623821,0.2372617194801457,0.2414700785748578,0.21757458259337814,0.2255183229102312,0.2651212537165511,0.2468685642561199,0.27295310723076754,0.26624899840025584,0.24623315875864268,0.22590992999604462,0.2564904983129887,0.25572118835805735,0.2320798194417543,0.2055856627836147,0.24824988058885045,0.24042325733755046,0.23702899674309852,0.254460492513959,0.25853010794155895,0.2287747447348725,0.26031812580455954,0.23570829428173615
Czech,0.2678970759481346,0.25886506680922733,0.23695676259332524,0.26207321484090085,0.2262817625460558,0.24399861739752207,0.2663180542270017,0.23867633538309355,0,0.2737262600136189,0.25910093679058255,0.2553642622494682,0.26986666880495913,0.26525588062009386,0.2597459570471385,0.2645611414200029,0.26417023390922845,0.2618340888249977,0.25507159388178474,0.27969911818927184,0.2406691786209446,0.24177168119669262,0.22186960682553025,0.24212626730004042,0.2698941648082008,0.2463026240447942,0.2721157272956945,0.2680312766821498,0.2457876945333757,0.2251877090473344,0.2571596280557214,0.2559115378806336,0.2359943372723762,0.23785657697385906,0.24836274169233644,0.23029923160047322,0.2525584028727024,0.2551308125947237,0.25897317098819134,0.23455699774298977,0.26114727592891573,0.23541560626304042
Danish,0.28011041921948515,0.2783185295852322,0.2535372137144979,0.28348260770507144,0.2594153904568208,0.2789325515944206,0.285588743693953,0.2753604939609141,0.2737262600136189,0,0.2695289617552973,0.26559453661134913,0.28857871090266973,0.2866794954817263,0.26918200480491267,0.2826256975886026,0.281615049063747,0.2795936290982376,0.26449726676538904,0.2973959143960151,0.25794114701629406,0.2646563920441856,0.23706912861740587,0.27271262504781296,0.288163719754282,0.2653173726806213,0.2745369627188591,0.2873187636030199,0.26413837052162653,0.25947123528163973,0.27521961088871444,0.27685259758933783,0.26955267497225477,0.2737103948329642,0.2682290342815237,0.2834720230460665,0.2836549327478032,0.27511439364578183,0.2657366109469135,0.2674272496890042,0.2783687722539368,0.25115279474820423
Dutch,0.22368430895991656,0.26016410956764824,0.237146280671667,0.2634857992524026,0.24261156181784968,0.26211759608488916,0.2667725115638202,0.25792053529377784,0.25910093679058255,0.2695289617552973,0,0.24692426595656314,0.27278037717908193,0.27198637049265234,0.24334965077442633,0.2650523472607878,0.2621419271332097,0.25891264309383144,0.2499182739766357,0.28007681787417205,0.24411216866048832,0.24554666515568324,0.2221112862477352,0.25643066012349275,0.26903782672550736,0.25100249276371084,0.26507961268804847,0.26947982751000543,0.24710267516204634,0.24344049808541215,0.25943051676895823,0.258532065031538,0.2528293414533314,0.2564038385874412,0.25378937805029345,0.2680278136052263,0.26653353211961495,0.26064567390088683,0.2482803479113464,0.2524496247504407,0.26223227002929145,0.23815456521177575
