,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.26608675383302083,0.2442672537638129,0.2752979704348544,0.24844223661671705,0.27205997767511114,0.2788633496979949,0.2662615759531057,0.26645533968889434,0.279065206339763,0.23143867724492348,0.25679847292179514,0.28148532286862804,0.279221258649712,0.2599888872806463,0.2758295953145683,0.27510238809748605,0.27292914988670786,0.25342615140894387,0.29119691185769936,0.2551404763979254,0.25277251645013427,0.23081932471590444,0.263458739488608,0.282619468375597,0.2582842135239881,0.27360998422852356,0.27653832343426815,0.25449480719944245,0.2519028800032036,0.26819195811809937,0.2698501816405091,0.2593590282001761,0.26247795299146487,0.2592362609746845,0.275756446933473,0.2771534045947004,0.2714269200214343,0.258379212392657,0.2577622933874761,0.27288636083876167,0.24667741672331484
Albanian,0.26608675383302083,0,0.2321331288937776,0.2626186461578464,0.23968593934791732,0.25983885614029295,0.2677869999165967,0.25416204639035134,0.25829140948339935,0.2803484224443436,0.25841988014821693,0.25874495059746644,0.2697687176422481,0.2680112727919435,0.2617446747128459,0.26329585794475546,0.2646126168641708,0.2608890686949631,0.2534945843587054,0.2800671925938893,0.2433085353760961,0.24547836825668534,0.22367552646111571,0.25191884914088597,0.26963087207489184,0.24879425991831805,0.27691705200895955,0.2658796422477438,0.24412029275990857,0.2426359183714644,0.256897808373953,0.25893018676603485,0.24934766496611113,0.2535849075984739,0.24520615513283653,0.26534043220655973,0.26626164273084924,0.25909126661033255,0.2610306423576895,0.24850345630483692,0.2606614982516818,0.23676343533562375
Armenian,0.2442672537638129,0.2321331288937776,0,0.24388540392845115,0.21983154745404226,0.24032894733195823,0.2480012720414269,0.23566030290150722,0.2370964828291974,0.2559857190965128,0.23861662695066768,0.23778269981863406,0.24986638139304043,0.24802753598822685,0.2396481374055304,0.24181759036183237,0.2452693393850109,0.24201749971421246,0.22957637959535124,0.25634603107632975,0.22567012350968715,0.22265870310149524,0.20317165781053934,0.23269580080485203,0.24958585180687445,0.23116866708790904,0.25217781694511265,0.24345908204972447,0.2216025558111865,0.224591653526601,0.2385453779487042,0.239798495842826,0.229868548243392,0.23265992067879257,0.22656093482193607,0.24444325254657884,0.24614269557153468,0.24185937669785934,0.23751010467005765,0.22994085214540042,0.24077319767856215,0.2178391067366597
Bengali,0.2752979704348544,0.2626186461578464,0.24388540392845115,0,0.2439857331473556,0.2605070983287352,0.2692456587138654,0.25789065903648106,0.2580876567316497,0.2807429975223613,0.26133486114876553,0.25981442231009777,0.27149380272168905,0.27136512193162343,0.26123812426633447,0.26374789368105045,0.24776245675282396,0.2455395519067639,0.2601654540361667,0.28515487465000766,0.2424709755433031,0.247869327949022,0.22613178063411804,0.254807955151819,0.2567652530684896,0.23399137742900047,0.28078408159905605,0.2684421361443992,0.248508374098314,0.24101217607902414,0.2610640031104503,0.2601722517473222,0.25251810815772513,0.2561742501313629,0.2484689176003216,0.2673227299067499,0.2660689638703926,0.25974548134065495,0.2612854442969965,0.2506988412731381,0.24707703950632484,0.2391324997913486
Bosnian,0.24844223661671705,0.23968593934791732,0.21983154745404226,0.2439857331473556,0,0.22659387085154678,0.24896818560155856,0.20506708132391713,0.22799124496200926,0.2592748700024105,0.24143145498226598,0.24144041040757827,0.25142761418676535,0.2506561484530134,0.2427423244337595,0.24638269067137514,0.2478629513003239,0.24484981975557324,0.23668961578087477,0.26459369732118726,0.2233098670224397,0.22132085677359556,0.20389485008651276,0.20607731860769993,0.2528913754350874,0.23232693048736242,0.2572253068098174,0.24961063394770686,0.2283673433886968,0.2107579838352456,0.23985114378496056,0.23927138255392863,0.20979445372530486,0.1869616546214864,0.23290748170260742,0.22929699721027835,0.2336155673379708,0.24164397112865638,0.24190256386930795,0.2091770260391088,0.24307419512456468,0.2209435834079296
Bulgarian,0.27205997767511114,0.25983885614029295,0.24032894733195823,0.2605070983287352,0.22659387085154678,0,0.26499751101490354,0.22883054939638073,0.24200554347041642,0.2764515613190629,0.25938385526915475,0.2548492630749318,0.2719498051920268,0.26733296085561814,0.260824799024989,0.2634636847644784,0.26051634665745205,0.25773505914115175,0.2565035228538739,0.2827351278007768,0.2384987547656663,0.24527834036969498,0.22028549314893653,0.22698670085777578,0.26533168200685764,0.2507169604641959,0.27578158777702994,0.26838179139190993,0.24604552798831378,0.23183690741415489,0.25894920528904747,0.25668050140449633,0.23838636469334015,0.2352273715793989,0.24935624913740712,0.24847667101487464,0.2517319397653261,0.2554412198901009,0.25725326794800707,0.23659493463203887,0.25996016152675405,0.23490805104601029
Catalan,0.2788633496979949,0.2677869999165967,0.2480012720414269,0.2692456587138654,0.24896818560155856,0.26499751101490354,0,0.2591989536181317,0.2628226638909525,0.2828161988550653,0.26304578875856793,0.2605758992948164,0.2704870799774679,0.25828961882724777,0.26568891653700905,0.26823262325874164,0.26925196840332694,0.26609967855135525,0.2649152473160549,0.2874886598848556,0.23798952348740718,0.25275157395485764,0.2281661386363039,0.25866429742071584,0.27425561872737364,0.259239907231275,0.2811289985664196,0.2759253565461773,0.2555943872637933,0.24646664679115712,0.2479297787948084,0.2543262486601383,0.25690576531962106,0.2597777417206167,0.2587161548665384,0.27026780626358743,0.2700053686027276,0.24485436917891812,0.2644240992274475,0.2553579153985608,0.26710757551541636,0.24375447864375238
Croatian,0.2662615759531057,0.25416204639035134,0.23566030290150722,0.25789065903648106,0.20506708132391713,0.22883054939638073,0.2591989536181317,0,0.23781417215580206,0.2721333778094095,0.2531566930546277,0.2517054984698754,0.26587067770268,0.2632608275474157,0.2553692364532178,0.2572518733529427,0.25768839415774614,0.2557455658420798,0.25094215839766254,0.27758245759719063,0.2354064278922765,0.23981110641395811,0.2163581921545864,0.22387814718658788,0.26309016906332555,0.24729508245977405,0.2708025203894126,0.2622186887747686,0.24105500188577936,0.22233517687901289,0.2534904739359886,0.2502616146427794,0.23038643506100462,0.2105914898362858,0.24528185863874966,0.23748223732021306,0.2378183081610768,0.25121422749284067,0.25378522966451006,0.22619830874194885,0.25482986663781626,0.23305859808750323
Czech,0.26645533968889434,0.25829140948339935,0.2370964828291974,0.2580876567316497,0.22799124496200926,0.24200554347041642,0.2628226638909525,0.23781417215580206,0,0.27105719418089164,0.25447043925294677,0.25287216848153443,0.2677194741793511,0.264115295953281,0.25739784171302565,0.26098999040511006,0.25991688653861805,0.2580554269321234,0.25265329251786944,0.27763756337881956,0.23969499128772098,0.24074391720196553,0.22119105740432285,0.239029096964429,0.26622344958724575,0.24480072579268172,0.27119048755471653,0.2641209401731333,0.24227901541910332,0.22382825535871784,0.256814347162609,0.2535346994339506,0.23342580568528992,0.23572525348700737,0.24703998281785128,0.23274181702027874,0.24954541827020119,0.25341474676481185,0.2548591826853018,0.2318166698422604,0.25771075543046934,0.23419344121810648
Danish,0.279065206339763,0.2803484224443436,0.2559857190965128,0.2807429975223613,0.2592748700024105,0.2764515613190629,0.2828161988550653,0.2721333778094095,0.27105719418089164,0,0.2657980745763594,0.2596983858543265,0.287978621525566,0.28495825818457216,0.2635394277017431,0.2812723490517598,0.27794354015823086,0.2767330431526433,0.2613526471960036,0.2956846745273893,0.25608337860095515,0.2650004052460624,0.23675314774922035,0.27243235846768227,0.2842306430650589,0.2655909741840561,0.27350580854228024,0.28502033636570523,0.262489126822785,0.25669444383535023,0.27498705045412475,0.27302174698231707,0.2701495816652048,0.2729097901464055,0.2672073074929066,0.2811027642451505,0.280890815866172,0.2738109662862564,0.25914213861517704,0.26814950159817375,0.27710296240439314,0.24875698267860705
