,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.2702438642165717,0.24115675263040315,0.27412734716391235,0.24942006124814298,0.2745909562384825,0.27924247812579317,0.27178904436534945,0.26885539898013916,0.279113193241008,0.2245172723477191,0.2549645494493429,0.2840037141873015,0.27925409926394046,0.2601635679522666,0.2771181014831491,0.27328001626488213,0.27230235915332696,0.2512022557267067,0.28903974559898016,0.2555484307914973,0.2528802598741505,0.22932483967004685,0.2650611749942049,0.2820399632218656,0.2595010880936647,0.27620187159147735,0.27661465608589275,0.2553952764298256,0.25166680115539786,0.27187233313392395,0.26924230573229124,0.26081415194057617,0.26480360655067886,0.26112006462590304,0.27457783688650506,0.27429491716599463,0.2727368330910902,0.2621586655722106,0.2611356180546805,0.27422646136807477,0.24549936513627932
Albanian,0.2702438642165717,0,0.234583366307025,0.264035081738815,0.2412017697235512,0.26216188160555154,0.2693435160504048,0.2573477486603669,0.26073434427280157,0.2809346143987059,0.26004409550002255,0.26023378563788546,0.270492738865786,0.2686171357581003,0.2616653697512485,0.26394127030909337,0.26666081211627396,0.2635435524070494,0.25641799718247865,0.2813724269311249,0.24219163345748881,0.24660517260299714,0.22395014007580008,0.2529370462953568,0.2710976456025906,0.249834246015447,0.2794539942731038,0.2701525431731948,0.24698475508317658,0.24529200254480485,0.25930575365308023,0.26019762204549174,0.2521406564739072,0.25433713129816093,0.2465612066717936,0.2678118171964884,0.2659059609018749,0.25876835919937247,0.26307105168328193,0.2496900667020021,0.2632287598277473,0.2372155515836634
Armenian,0.24115675263040315,0.234583366307025,0,0.24110862408239295,0.21988962344651314,0.24211554132344973,0.24594517070177355,0.2377401294626669,0.23789751902648448,0.2546249274713116,0.23618036064242565,0.23439306667972573,0.24981578573327023,0.24469758366650035,0.2380709456634103,0.24050134177836544,0.24273033092836527,0.24043138679840353,0.22727413794298693,0.25266525016870883,0.22483279218882557,0.22368596754102468,0.20226148680835707,0.23208685655289987,0.2470938958752316,0.23097153476376392,0.2502154721661807,0.2422568924745023,0.22060628381695607,0.2243833455193132,0.239382146014082,0.23742645154231506,0.23004425041722518,0.23214090596905299,0.2282592438953066,0.24270357697169337,0.24336605930533872,0.23980377583442086,0.23724953279282823,0.23005221084585087,0.24037521927622107,0.21799884938743797
Bengali,0.27412734716391235,0.264035081738815,0.24110862408239295,0,0.2449081555206545,0.263041882375759,0.2696210344585446,0.26145484478835046,0.2611200433735737,0.2818592658110544,0.2626201124904268,0.2609550336257546,0.2737237217307282,0.2716322162375834,0.26298658502584404,0.26311308350477347,0.24788208564944297,0.24377594687049234,0.26043266310610824,0.2834540464491816,0.2455834139341081,0.2482743042884163,0.2239063971269231,0.25737518856915453,0.2572888401932566,0.22848209092578065,0.27852932092056243,0.26761576381730684,0.24871418902381806,0.24153415894496486,0.2629240841751405,0.26047946886796863,0.255799682500873,0.2585011238933436,0.2483634454342188,0.26738423297019076,0.265519278267258,0.2604902725429795,0.2622646601736717,0.254385676483088,0.24090512370028283,0.23962178464894515
Bosnian,0.24942006124814298,0.2412017697235512,0.21988962344651314,0.2449081555206545,0,0.2256228604791292,0.24961936861543796,0.20727304414301287,0.22744476591582696,0.2593793153736298,0.24279662275369626,0.2417016351677015,0.25254407296528103,0.25041875782160794,0.24253661881047398,0.2461042826843516,0.24650091857399833,0.2450283852467002,0.23648325948350424,0.26219962171635613,0.22600958296020016,0.22129414205589748,0.20184916369711559,0.20246912333609834,0.25189440844453925,0.23504662267870108,0.2560363585485241,0.25181154382374177,0.22993263049724735,0.2119912020686626,0.241710326559755,0.2407676600940614,0.20620485781420672,0.17949197975228737,0.2346488785144672,0.22589891522566205,0.22984567321344623,0.2410139550684549,0.24184149139242994,0.20497156240912281,0.24498606760748595,0.22214695033176848
Bulgarian,0.2745909562384825,0.26216188160555154,0.24211554132344973,0.263041882375759,0.2256228604791292,0,0.26640636026410025,0.22615346185787474,0.2417025663490102,0.27903814996229737,0.26050692079116916,0.2563859467053693,0.270067695533217,0.2709873585692073,0.259150686554189,0.25968056382265986,0.26578420480023707,0.262053270626531,0.25896682980284025,0.2843857259647579,0.23289131497952667,0.2416539571424202,0.2179099423008615,0.2286092704117059,0.27219674520776443,0.251125932351064,0.2772655894860823,0.27381233369208585,0.2482635264682535,0.22808321728476752,0.2572265497359972,0.25680025340839807,0.238707692972091,0.23523931397548684,0.2511987485165337,0.24919153100977154,0.2536921728026446,0.2531881110657183,0.25975915234904806,0.236238811103361,0.26244207506646045,0.23477073905370408
Catalan,0.27924247812579317,0.2693435160504048,0.24594517070177355,0.2696210344585446,0.24961936861543796,0.26640636026410025,0,0.2631042949274802,0.26380988894698093,0.2854145668643775,0.26709698670023696,0.26314871642634197,0.27040592657973644,0.25965139210661703,0.26819131092942267,0.26794637059021664,0.27028453263650226,0.2673513213265566,0.2643423664650588,0.2883684391921533,0.23716282279178982,0.2508433986097156,0.2261096510925709,0.2608536996604011,0.27684948440533946,0.2582566739002455,0.27997053310230197,0.2765876184757683,0.2551868699465742,0.24599517085433964,0.2495170549851585,0.25708082233798796,0.25909697955166733,0.26190234190553496,0.25958945883949675,0.2697207613217185,0.2711852321219163,0.24502295224569517,0.265773134351446,0.2578741601162354,0.2682161675926156,0.2450231068425639
Croatian,0.27178904436534945,0.2573477486603669,0.2377401294626669,0.26145484478835046,0.20727304414301287,0.22615346185787474,0.2631042949274802,0,0.23767842981890444,0.2772293773238977,0.25608251261370785,0.25234151548909156,0.2662732363504469,0.26771532678508364,0.25566779739977885,0.25680658369662734,0.2613916196258703,0.2615725227927935,0.2566594958478275,0.28173032502170364,0.23179333413831452,0.23735660228386868,0.21442348688607732,0.22937158573163752,0.265829054515951,0.24982396213673067,0.27577984581944526,0.2695262453491501,0.24608886630597918,0.22177993556485215,0.25479035260273997,0.2520980500456822,0.23331365734592377,0.21264477392832612,0.24817733125615565,0.24055973513383194,0.23951517162652228,0.2505029421031966,0.2577113598817643,0.228474690230278,0.2604365481220326,0.2349033584187561
Czech,0.26885539898013916,0.26073434427280157,0.23789751902648448,0.2611200433735737,0.22744476591582696,0.2417025663490102,0.26380988894698093,0.23767842981890444,0,0.2734548864409554,0.2576381095781562,0.2544928328042437,0.266708890188505,0.267636533701792,0.2598615711304903,0.26173130437571834,0.26185763317621696,0.2612521138634125,0.2556737327713159,0.279286004205405,0.23876175753406817,0.2378574403427562,0.2190193543620452,0.24018155854022358,0.26883167155810633,0.24808133355252426,0.27236401735537136,0.268981539379404,0.24743744269494422,0.22059115634502746,0.2551091880070862,0.2558628948721069,0.2321615119145985,0.23744737013120015,0.24990509459612895,0.2279127778051418,0.25080783227052184,0.2530093107422213,0.2578110909344633,0.23258716738303206,0.2616461549442408,0.2347268489202826
Danish,0.279113193241008,0.2809346143987059,0.2546249274713116,0.2818592658110544,0.2593793153736298,0.27903814996229737,0.2854145668643775,0.2772293773238977,0.2734548864409554,0,0.2693463319384444,0.26233801815394336,0.28739433459035607,0.28644365332347105,0.26548885308340836,0.2816586399060148,0.2792356334018498,0.2764172201012822,0.2633499204207773,0.2942500161913109,0.25998875449207076,0.2657848428944816,0.2374414246453138,0.2739230485213419,0.28630107820769135,0.26415129373167634,0.2689608229027726,0.28618185212843206,0.26320489765646105,0.25669388127528836,0.27725613695590534,0.277119687592065,0.26971815608673294,0.2730705209550154,0.270407943674245,0.28097888826006645,0.28091299676770065,0.27567681400162514,0.26285409680172317,0.2681008014868247,0.27705913433093166,0.2500581639035703
Dutch,0.2245172723477191,0.26004409550002255,0.23618036064242565,0.2626201124904268,0.24279662275369626,0.26050692079116916,0.26709698670023696,0.25608251261370785,0.2576381095781562,0.2693463319384444,0,0.24347990404236175,0.271451477377418,0.2725050768155766,0.23935979611825,0.2616091662155453,0.26219706831187306,0.2589943654584924,0.2478372825790428,0.28181954317241376,0.24074325848588463,0.2431623338384032,0.21977701807625402,0.25464511004050794,0.2684030311064313,0.2506509764498725,0.2676429789138491,0.27069299739787606,0.24657455229639672,0.24092312664707569,0.25812590361612225,0.2567868990304615,0.2521652620187997,0.2550019066498564,0.25203002718303663,0.26492228741865653,0.26340760435144206,0.2577117093676804,0.24883678980082757,0.25151931082332735,0.26171692092677684,0.23673501188233145
English,0.2549645494493429,0.26023378563788546,0.23439306667972573,0.2609550336257546,0.2417016351677015,0.2563859467053693,0.26314871642634197,0.25234151548909156,0.2544928328042437,0.26233801815394336,0.24347990404236175,0,0.2687074863153633,0.2676389037382462,0.24612845682561366,0.2619139831594835,0.2595964907600203,0.2609615485273626,0.24758803548479033,0.27327313569349904,0.23549732912364496,0.24311920822140876,0.22084224984107478,0.25397092592002923,0.2662865347988151,0.2483147419746235,0.26448597265915275,0.2691048262924863,0.24527810729756833,0.24065124310039587,0.2535367984826347,0.25455878166127816,0.24927727682633502,0.2528900287123642,0.25142441900958273,0.2597835891736528,0.2636062620609128,0.254553783756405,0.2485396000112442,0.24818614521801882,0.2615669604472775,0.2314476310486905
French,0.2840037141873015,0.270492738865786,0.24981578573327023,0.2737237217307282,0.25254407296528103,0.270067695533217,0.27040592657973644,0.2662732363504469,0.266708890188505,0.28739433459035607,0.271451477377418,0.2687074863153633,0,0.27612797816455625,0.27188004509024155,0.2721123322706868,0.27478002761179016,0.27315022169632397,0.270840719903355,0.29082719103822974,0.243784554223926,0.2542897478607911,0.23033337708368373,0.265800016978683,0.2796022484162929,0.25959748003734273,0.28691498037031427,0.2816334505081765,0.2595711382077603,0.24962541193885737,0.2616191698496307,0.2660058563110271,0.2630789514579618,0.2660526847358498,0.2642715495096217,0.2737262154325869,0.2744906583118438,0.25873718064844864,0.2716795610644165,0.26055358861257777,0.2736557831037675,0.24764126268799438
Galician,0.27925409926394046,0.2686171357581003,0.24469758366650035,0.2716322162375834,0.25041875782160794,0.2709873585692073,0.25965139210661703,0.26771532678508364,0.267636533701792,0.28644365332347105,0.2725050768155766,0.2676389037382462,0.27612797816455625,0,0.2723292027130722,0.2748439642784857,0.27412624568955524,0.27203472361547054,0.2628205711513427,0.28691666461622767,0.23854149814061354,0.25745954602132526,0.23091802116656174,0.26299973205854477,0.27989666215770687,0.25782896178317644,0.283521360344723,0.276939275245515,0.25539466343282036,0.2523904406008224,0.24372671992920814,0.26343357373996457,0.2625283306722156,0.26431552823438714,0.2585997140933665,0.2752806735970222,0.27184981618665155,0.2283109866846092,0.26856132868550564,0.26094638467050324,0.27239775790369464,0.24542214798858814
German,0.2601635679522666,0.2616653697512485,0.2380709456634103,0.26298658502584404,0.24253661881047398,0.259150686554189,0.26819131092942267,0.25566779739977885,0.2598615711304903,0.26548885308340836,0.23935979611825,0.24612845682561366,0.27188004509024155,0.2723292027130722,0,0.26154645978166674,0.2646467719839913,0.2641972144584535,0.24956044853116366,0.28102601528472576,0.23844594896352186,0.24344323025475015,0.22151841058700683,0.2566561879382337,0.2709857425289844,0.2510612336093043,0.26927091537606995,0.2727972267498418,0.2470825718673116,0.24332598191010893,0.2618072127675001,0.25689652160465404,0.2548017458531062,0.2560791205629917,0.25570511127936507,0.2658053980596879,0.2627863066572806,0.2573048760978807,0.2496888643963398,0.2513875246547381,0.2636892284271108,0.23633163392678858
Greek,0.2771181014831491,0.26394127030909337,0.24050134177836544,0.26311308350477347,0.2461042826843516,0.25968056382265986,0.26794637059021664,0.25680658369662734,0.26173130437571834,0.2816586399060148,0.2616091662155453,0.2619139831594835,0.2721123322706868,0.2748439642784857,0.26154645978166674,0,0.2655313321543149,0.2612851691948817,0.25956649846584967,0.2854257606004461,0.23963482013040885,0.24740878767150823,0.22242191280258947,0.25768772233620324,0.2727838087770486,0.25189020911747795,0.2812204546467159,0.2726409784856242,0.2506789847020488,0.24372400184914772,0.2599878286093762,0.2606743829669674,0.25555863986662103,0.2582209311255809,0.25015014269023095,0.268878011336865,0.2679306687234905,0.2567897962743057,0.2612062623248759,0.25199079115787737,0.26138435446346925,0.23727529058861346
Gujarati,0.27328001626488213,0.26666081211627396,0.24273033092836527,0.24788208564944297,0.24650091857399833,0.26578420480023707,0.27028453263650226,0.2613916196258703,0.26185763317621696,0.2792356334018498,0.26219706831187306,0.2595964907600203,0.27478002761179016,0.27412624568955524,0.2646467719839913,0.2655313321543149,0,0.22866629058475552,0.26134401289232767,0.28545447438122634,0.24764768312333132,0.2505349390043298,0.22707497222473524,0.259608974479089,0.22897886300756232,0.23729621803177417,0.2795827988583368,0.2680497055651033,0.2510182885574721,0.24589339404342125,0.2657856401540514,0.26121902178696516,0.2566307737638933,0.2592705710132774,0.253328865108714,0.2682363584555572,0.26640837540680035,0.2620983766128328,0.2642100451557273,0.2555150222937535,0.24820241852073588,0.24215161167363278
Hindi,0.27230235915332696,0.2635435524070494,0.24043138679840353,0.24377594687049234,0.2450283852467002,0.262053270626531,0.2673513213265566,0.2615725227927935,0.2612521138634125,0.2764172201012822,0.2589943654584924,0.2609615485273626,0.27315022169632397,0.27203472361547054,0.2641972144584535,0.2612851691948817,0.22866629058475552,0,0.2573099750897605,0.2808429003350527,0.24572319900732167,0.24921661835178488,0.22392368779359118,0.25404149679810484,0.23989690432118937,0.23062861755235076,0.27652629075017915,0.26331732830598603,0.24745986073353005,0.24426544276157539,0.26302825418000175,0.2577616365881017,0.2555406394843628,0.25801259172013297,0.24790250844443473,0.26574594320009753,0.265478136928611,0.25822415992128245,0.25978215400156557,0.25310188721257454,0.22697629406602482,0.23928878162716777
