,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.2683416566016211,0.2436703563725149,0.27469161102946044,0.2504195463886569,0.2718718710170879,0.27763619684462204,0.2680234900143957,0.26813593445464773,0.2768608588651613,0.21203955858945722,0.25328876250373744,0.2813948298482993,0.2797129824739104,0.2573826085227525,0.2744762182420139,0.2736108067650531,0.2713117468644951,0.2526635651112047,0.28954743302962765,0.2551392565419969,0.25141026218661855,0.22829080395843745,0.2653232592236163,0.2810106276387888,0.25886159367024275,0.2756181086857932,0.27644352053927607,0.25657467074737894,0.25162189810363034,0.26834066793651445,0.2680255276880871,0.26197056537316127,0.2651939207978698,0.2615610982850296,0.2751404301281727,0.277383736801499,0.2704977340185647,0.25652385307958936,0.261388450879153,0.27339721100294856,0.2466452980674974
Albanian,0.2683416566016211,0,0.23363891372106171,0.2632288571358354,0.2371362588698088,0.256295543036474,0.2655859048699331,0.2529281072788653,0.25817462434269545,0.27838298222940006,0.25795809776969475,0.25729998947237154,0.2666981504382753,0.26519901306849597,0.25919004854811206,0.2622489163514266,0.2659098824218367,0.26060643726313576,0.25469351666239703,0.28030075443411057,0.2382907761315001,0.24298150671371208,0.22054067134237643,0.24899685384985484,0.2697310089058112,0.24816201153614742,0.27829604963979004,0.27052044710311873,0.24421609158245342,0.24139155284225977,0.25492156928738313,0.25629939787525574,0.24792817383358187,0.2500968358709239,0.24410933048899552,0.264035007176722,0.2664397199679351,0.2540127627905596,0.2581040430167123,0.24560187359380117,0.2607462188809335,0.23385651335189966
Armenian,0.2436703563725149,0.23363891372106171,0,0.23994255041836643,0.22006272199903593,0.23933106710593877,0.2443915157965443,0.23477981525280645,0.2361062138945036,0.2528845518642375,0.23356693247083593,0.23326227575235364,0.24630554013179268,0.24595795240533666,0.23573932996488883,0.23798731638466747,0.24240334634733832,0.23857994389603712,0.2285036168331159,0.2548706235454582,0.22124454529453644,0.22025045426967807,0.1989874006895909,0.23107483690034195,0.24734973336480798,0.23128643392138623,0.2553452787352334,0.24598279449904245,0.22137606034053234,0.22086246117699987,0.23452030570932234,0.23592544047841513,0.2292103862021517,0.2321554464851693,0.22611901251792366,0.24317727866594946,0.2474468795343583,0.2350050048137865,0.23341174706102105,0.22893530877419066,0.23870154241396696,0.21526426337077206
Bengali,0.27469161102946044,0.2632288571358354,0.23994255041836643,0,0.2472502432777391,0.2630557365052196,0.2690416140403111,0.2630350588261257,0.26251838513942055,0.2825682255421573,0.26032718012018347,0.2594974722026482,0.2722753428852129,0.27344009221273674,0.2620662153943166,0.26123999949153875,0.24560868381507958,0.24022385312665762,0.2586521294965651,0.2857459154197409,0.24265652213239197,0.24840770090140551,0.2235005819354319,0.2581143802010386,0.25447987611774797,0.22854630708327608,0.2838922290309048,0.2709337407782568,0.24872465647877992,0.24309828969225294,0.2587564886012295,0.260930772547054,0.2561424855775847,0.2594943473607133,0.24847850178214842,0.2707109845466179,0.27018064758832805,0.25691681051165727,0.26119712927568906,0.2560919934804248,0.23966869455887738,0.23974304108685052
Bosnian,0.2504195463886569,0.2371362588698088,0.22006272199903593,0.2472502432777391,0,0.21580887444000194,0.2490815803791045,0.1870389494548797,0.2215821900846755,0.2585578483086809,0.24124425191612706,0.24116670918270056,0.2518264454934911,0.24878254401180985,0.243232038013961,0.24623865273912737,0.24793786514946087,0.24585896374088112,0.23678107557087077,0.2645444625761033,0.22205413097589466,0.22186393670077706,0.20220172077208667,0.19340745994853722,0.2522171379815855,0.23541857978166328,0.25812352994591375,0.2536162355004374,0.23032362502526327,0.20971318546387713,0.23884149006661243,0.23916338193937103,0.2026607810998099,0.16549555825650367,0.2330319746072134,0.2218753757720152,0.22532952947684567,0.2376683360138405,0.2402590165726113,0.20083150471562747,0.24481200342243378,0.2211902771767068
Bulgarian,0.2718718710170879,0.256295543036474,0.23933106710593877,0.2630557365052196,0.21580887444000194,0,0.26561108606741496,0.21783434573981358,0.2372203824425778,0.27806471066469435,0.25981639853130273,0.25481071038045777,0.2708548015546505,0.2665148737937956,0.26098399809278977,0.261935786540332,0.26393082561026715,0.26018359115091716,0.25665632089153134,0.2838618989996768,0.2354154390132374,0.2423752790332432,0.2176744102363422,0.21759590388167416,0.2694856157728552,0.24987169020514255,0.2768120035465349,0.2724375111454719,0.2479871543671569,0.22634968875706107,0.2554398467391874,0.25614156718263126,0.23289379099625043,0.22613885531695482,0.24830544105557786,0.24301225135569665,0.24794954157552865,0.2513804758752438,0.25916707232618974,0.2313138498920839,0.261078983605881,0.2347099244802042
Catalan,0.27763619684462204,0.2655859048699331,0.2443915157965443,0.2690416140403111,0.2490815803791045,0.26561108606741496,0,0.26292329856061175,0.2652315493835341,0.2841109584262663,0.2635129163207344,0.26073169381377215,0.2696929189538229,0.2522149673383608,0.2669453409995832,0.26541455806155456,0.26981601706452923,0.2645713481394774,0.2622961644899859,0.28993544735255333,0.2306708024475255,0.24949032452318515,0.22621878033435516,0.26060499758959293,0.2744496854705038,0.25792797932969397,0.28431343438452006,0.2785459211556953,0.25702964283189667,0.24718921679708303,0.24098745880828024,0.2521155817614699,0.25872891942683196,0.26193476254774933,0.25897506570620293,0.2721840587971468,0.2734113021831504,0.23677685809446605,0.2617895450884451,0.2585052969868185,0.26672525375248674,0.24379108702383018
Croatian,0.2680234900143957,0.2529281072788653,0.23477981525280645,0.2630350588261257,0.1870389494548797,0.21783434573981358,0.26292329856061175,0,0.23177521744857377,0.2747530610306075,0.25566039197738566,0.250736419553146,0.2682636331872202,0.26430470259438554,0.256976397315021,0.2601589561681841,0.260389130805186,0.26033030909496147,0.2548810153868848,0.28001013752125414,0.2329191377934229,0.2374433916984819,0.21364743343571785,0.217478906089495,0.2654300529614945,0.24738457667573197,0.274868509106202,0.2675164654994667,0.2451516895382333,0.22009977107312723,0.25339156705666877,0.25167901221926636,0.22603403286761867,0.19396276372434462,0.24819697586178885,0.23358173804294768,0.23186452516090428,0.25036910906009846,0.2569845081559176,0.22153092463971358,0.2600358153517573,0.23330484621266398
Czech,0.26813593445464773,0.25817462434269545,0.2361062138945036,0.26251838513942055,0.2215821900846755,0.2372203824425778,0.2652315493835341,0.23177521744857377,0,0.2732497658943642,0.25938714171922467,0.2549544627109389,0.26971833486064334,0.26543902736402797,0.26091715473540167,0.26332779157494085,0.26456205138138744,0.2622025133389874,0.2545072008501137,0.27990526522792036,0.2402470817289723,0.23780257315693618,0.2194601388529118,0.23757339834822622,0.27020698129797077,0.24794492349573644,0.27206552254195304,0.2692373666021031,0.24645688069363794,0.22001197922366886,0.2554539357695636,0.25448098669366337,0.2296637803188363,0.23241018039340522,0.2478053907242213,0.21895724195634078,0.24952755863164006,0.2539433976191931,0.25857348578823175,0.23014556385475923,0.2619407525129122,0.23516068411416707
Danish,0.2768608588651613,0.27838298222940006,0.2528845518642375,0.2825682255421573,0.2585578483086809,0.27806471066469435,0.2841109584262663,0.2747530610306075,0.2732497658943642,0,0.2655612708733416,0.26014725792921706,0.2871488840421088,0.2862030304645088,0.26529358364978944,0.2811598323110332,0.2810589535869848,0.2779228750725845,0.26014984247758244,0.2958548118304638,0.25596583114166205,0.2635592910459505,0.23504459292566396,0.2724358677938303,0.2880193768441495,0.2641000598289732,0.2688334695986412,0.28686247781626983,0.26372674524614764,0.25830962941477714,0.27422155778332874,0.27551348756481236,0.2684762348456636,0.2726145974784516,0.26759967927226336,0.28267175263498,0.2826546565463684,0.2736627559072004,0.259011526880516,0.2663771323212209,0.2764104054014669,0.24792490417120527
