,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.24354747126200474,0.21953388160655338,0.24370872316131673,0.22955936954847678,0.24904051958546727,0.24884139319230503,0.24520262104481427,0.24470207058882906,0.25806027940602605,0.2388632390336616,0.24073473137122467,0.2561489378342595,0.25121337224622475,0.24513783759592025,0.2437627636171473,0.243546170095694,0.24046426941090934,0.2368118930722241,0.2617253111143929,0.23001722811370834,0.23108677976204556,0.21011990106545808,0.23910096734461245,0.24893697338311577,0.2317426096039856,0.2567721339477923,0.24755330504118703,0.23176314617750265,0.22942630576832704,0.24379216637010567,0.24295169962138166,0.23680272899137966,0.2406899608912489,0.23341226922565766,0.24751178181709965,0.24581827675594245,0.24069310434552194,0.24307030121593992,0.23703347468084374,0.2438191113114245,0.22256784491356862
Albanian,0.24354747126200474,0,0.2128717440351357,0.23662361922714734,0.2226423651696758,0.24081319494930506,0.24219433895359316,0.23670514906584908,0.23574189843565765,0.2507004316471127,0.23736823203711235,0.23513490127347447,0.24679841918229836,0.24119900079779938,0.23879385112172138,0.23750697281038233,0.23772028303429413,0.23539007584067292,0.23175678634499908,0.2531313956097437,0.22406531020098033,0.22443696742443262,0.2049759034728118,0.23119408260357452,0.24148313493850054,0.2263820437471419,0.24909358219059474,0.24089589766086017,0.22393956562687586,0.22301425462970664,0.23445370371942587,0.23548863577330115,0.2282617242039326,0.23252299241005167,0.2244075100272967,0.238664920571318,0.23861456251112362,0.23160118000039687,0.23618080845141656,0.22828318906655834,0.2354592788974106,0.2173662434992995
Armenian,0.21953388160655338,0.2128717440351357,0,0.2132765996852849,0.200638637573754,0.2185393610947422,0.21807043959302466,0.21425556363572057,0.21416645996319053,0.22723197462672942,0.21385536855207457,0.21182059617289292,0.2235204726646278,0.21938027367957327,0.21503049392624243,0.21256357198557757,0.2136986885416626,0.21151975451703328,0.2082503205940203,0.2291915504070277,0.20099137153232705,0.20236660945724433,0.1836930880155951,0.20949011348319144,0.2174060303628229,0.2034562983135204,0.22643999014581112,0.2177411297228509,0.2023389036050428,0.20075598781456164,0.21341436880357942,0.21238878096660235,0.20688978734645197,0.21055261690528657,0.2039383118884679,0.21678436996749934,0.21495618860334975,0.20963812374920177,0.21289332127368543,0.20700309222901897,0.21347167326435185,0.1950429851315001
Bengali,0.24370872316131673,0.23662361922714734,0.2132765996852849,0,0.22197165624832924,0.24042853239277265,0.24146158672246745,0.23660687448744605,0.23676451930559614,0.25122850178270445,0.2369742662687371,0.23410979984329391,0.24658777584848424,0.24366574853278308,0.23854007473577232,0.2368772001097431,0.2359188999544108,0.23286560897591424,0.23174671338553887,0.25382642159527563,0.22264667947590988,0.22363482696401765,0.20319132402050338,0.23117185017700345,0.2403506789670935,0.22273919799312192,0.24994735433938767,0.24100755441035063,0.2246983618802968,0.22198117455318586,0.23574750439933118,0.2354383625483591,0.22866903340588915,0.23289553948112873,0.22647869016363292,0.23905627179129765,0.23853445903908602,0.2325378730510991,0.23579015874241993,0.22903573214390927,0.2345846787120719,0.21548050996161622
Bosnian,0.22955936954847678,0.2226423651696758,0.200638637573754,0.22197165624832924,0,0.2248539906977345,0.22707387519076547,0.21964940098663485,0.22074308778883156,0.23601808157868703,0.2221595804907581,0.21901397775481363,0.23285423586199763,0.22845950512619415,0.22369645585647552,0.2214326179929398,0.22221961773847274,0.22005072094192424,0.2179568518105546,0.23875220617082585,0.20764728030792529,0.20962576518803758,0.19046849736460592,0.21394555749631705,0.22677851041643862,0.21075937831449928,0.23548797697170162,0.22789828409181923,0.21068142429072034,0.20623761204342117,0.22147476746379624,0.22054076808843262,0.21176727285836,0.214220680796986,0.21436856847855998,0.22487503811699536,0.2236800489189892,0.21901398390217697,0.22177962550835503,0.21068798832087782,0.22147076390574497,0.20189614953035237
Bulgarian,0.24904051958546727,0.24081319494930506,0.2185393610947422,0.24042853239277265,0.2248539906977345,0,0.24634807131393008,0.23591601712232896,0.23776383159408188,0.2544029220815397,0.2405874137517398,0.2341399951196586,0.25109241877946553,0.24888000253397072,0.242766552640477,0.24050945448153982,0.24167998230607263,0.23787379661637592,0.23625862251083637,0.2587514650964142,0.22381271428460095,0.22661176495199234,0.20607883606225322,0.2347461803269337,0.2466553833732848,0.22772273045633581,0.25446134598429637,0.24657021225865317,0.22884772790890803,0.22409384112414216,0.24005286718492214,0.2375834903550026,0.23238999937480556,0.23625990380693968,0.23034778640133316,0.24253987256446918,0.24294144643689913,0.23746205991365169,0.23960126093111617,0.23153770914826993,0.24052371784992413,0.21719487019875197
Catalan,0.24884139319230503,0.24219433895359316,0.21807043959302466,0.24146158672246745,0.22707387519076547,0.24634807131393008,0,0.24260746045006157,0.2419177348154979,0.2573572578975552,0.24176552690389244,0.23893626002700974,0.2525634765900445,0.2480610530259969,0.24343493322958268,0.24141984057906493,0.24140842829208262,0.23943311897212122,0.23697054040642845,0.259459345665549,0.22657116538148353,0.22874289210704832,0.20723274501516545,0.23714678614714785,0.24680770090868373,0.22989947841436978,0.2562088744185649,0.24657064316209804,0.22998614067758713,0.22697211645117032,0.24024021418389405,0.23994255535102782,0.2342959734434789,0.23845138438111263,0.23242148197791604,0.24484570477450954,0.2444473000931803,0.23699575526849923,0.240157009992755,0.23477708398310526,0.2422313021926945,0.22035596915191036
Croatian,0.24520262104481427,0.23670514906584908,0.21425556363572057,0.23660687448744605,0.21964940098663485,0.23591601712232896,0.24260746045006157,0,0.23407235711916086,0.2514807076678494,0.2363925332178807,0.23155088423399955,0.2472974071780653,0.24468999387215112,0.23829741271302826,0.23640308696590032,0.23761868210538561,0.23492649287462503,0.23303477052837876,0.25566742512452256,0.220315196848121,0.2232016631394096,0.20258342967795304,0.23030735100731017,0.24223793799274554,0.22421308477087326,0.2509653999333517,0.2437336870075575,0.22496601589198814,0.21983516805883743,0.2357250874631011,0.23458172333861596,0.22815707517766357,0.231004067419893,0.22733464505807444,0.23859343232974606,0.23973759449287527,0.2331693560827993,0.23603398911651483,0.22693834583563552,0.23664868106505063,0.21387443360047115
Czech,0.24470207058882906,0.23574189843565765,0.21416645996319053,0.23676451930559614,0.22074308778883156,0.23776383159408188,0.2419177348154979,0.23407235711916086,0,0.25097978395021603,0.23606240765843983,0.23338944619847932,0.2469874118402481,0.24333722148648945,0.2379750135766775,0.23670596731259774,0.23763507956817512,0.2346750552131666,0.23245495357999998,0.2538676813960457,0.22169047309808906,0.22367370990228702,0.2036270050910953,0.23141677824453438,0.2423832337969908,0.2246259556371055,0.24905083444628157,0.24289105756514887,0.22431500613475805,0.22058763266685757,0.2353751480397833,0.23429951257589748,0.22838742951459262,0.23211040523676454,0.22753700919815667,0.23836642348209655,0.2392287546546319,0.23298020956695184,0.23539319782919363,0.22741711497120765,0.23619471458721483,0.21556829866845836
Danish,0.25806027940602605,0.2507004316471127,0.22723197462672942,0.25122850178270445,0.23601808157868703,0.2544029220815397,0.2573572578975552,0.2514807076678494,0.25097978395021603,0,0.2517460993414532,0.24732207376467982,0.2624071677992697,0.2581205504540575,0.25303210051635194,0.25293771034934887,0.25212822042623856,0.2489249211154754,0.24588795016565712,0.2684172880551932,0.23642926143173923,0.23761327625265077,0.21589816232020267,0.24608791991455448,0.2564499852831428,0.23886665070965601,0.26305447939296445,0.2567304007900664,0.2393211219627103,0.236310201854604,0.2506894490794332,0.2501329582821218,0.24347288203047526,0.24744753220570306,0.24010379727490946,0.2542543951856552,0.25311072266751194,0.24719731742384254,0.25012185425284683,0.2434358384902709,0.25090179752333813,0.22884363276607672
