,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,2.150587615899026,1.9947427042787669,2.3684767546666823,2.0942008986011427,2.2502801164903765,2.463613427582799,2.1962414113232733,2.2711546391236537,2.1983617636662265,1.6206955890347445,2.0010229165471425,2.3424776752428915,2.193821045083762,2.0301555890461724,2.3825497388440198,2.4476702595719786,2.4449357217237746,1.9676166670344863,2.3999971394875708,2.1204626179553925,2.2372422067782582,2.0546774763972735,2.182896292189206,2.4343813658490063,2.0275308073307223,2.1872611717692063,2.1920687249025277,2.0706854641256154,2.2005311890048875,2.189795955948116,2.302114356432681,2.158660617164394,2.186634818069155,1.981167795906318,2.3122059186183415,2.3860871719250656,2.2233920342073383,2.0388790167342914,2.159149892826068,2.262372571090933,1.9832962202102877
Albanian,2.150587615899026,0,1.9406592436189036,2.2017028303062385,2.052421084691323,2.2066325210391735,2.326503473991599,2.1528888958841,2.245236759497678,2.4094705741447653,2.1859788263790203,2.2817402557249493,2.255012408780236,2.0757226009642378,2.2579903753689776,2.273414736731978,2.320601939285399,2.3563381263077106,2.1171784817993107,2.292973087592585,2.0827275483213694,2.178130237802117,1.9603671977064394,2.0954914259618582,2.2671222540400002,1.9322028680343295,2.3944014621928953,2.0960313731200766,1.989032058954285,2.1446347025246633,2.1071590780652034,2.2265501506853416,2.097832518549258,2.142274227644794,1.7594925999104847,2.230098142014537,2.3225032197304865,2.141238050281662,2.201812321280552,2.0739864475797782,2.1329674687056697,1.9989341208204474
Armenian,1.9947427042787669,1.9406592436189036,0,2.031619412170038,1.8260315037614205,1.9917886273612277,2.128675314769253,1.8923242700600227,2.0360392906670812,2.182773135012888,2.009235775355895,2.0129624567786704,2.089720998470673,1.994793552190838,2.0105753688888823,1.959859677394594,2.1504603423392346,2.1139393146993073,1.8404210377269146,2.123487715654194,1.8232392727546343,1.9280940077734718,1.7469926855064886,1.917307129319375,2.118217753260065,1.8328248189423995,2.1221733543740657,1.9446128614579508,1.806199868038938,1.912195571576259,1.9534203155510241,1.9728985199141411,1.9023984531058435,1.9251328521860815,1.73659782250865,2.0215799481756807,2.1107512601637684,1.9707048117763377,1.9800987303837516,1.8836268357687251,1.9821533644050293,1.7077492622972303
Bengali,2.3684767546666823,2.2017028303062385,2.031619412170038,0,2.092125279439163,2.2304782827012057,2.4095877683529108,2.195323740595144,2.284962710815474,2.5121673787421974,2.293469606449646,2.2479990431101973,2.394190877977159,2.288411998804948,2.3261749325780245,2.3056172000120343,2.0040318331359557,1.9749165578932373,2.249677955510374,2.48146013869417,2.091297946495676,2.24443276772365,2.034208784175215,2.1449018963039133,2.067804797958992,1.6900651132711493,2.499963359667069,2.274299535964184,2.1335402468127778,2.135446747031345,2.201278104422956,2.281462967651,2.199698285597101,2.187388036005508,1.9734191095076312,2.295743441520645,2.3454183689808654,2.1798558673867743,2.2700343034159842,2.146458866391721,1.8939945309798822,2.0497720884291786
Bosnian,2.0942008986011427,2.052421084691323,1.8260315037614205,2.092125279439163,0,1.6391587276277404,2.2396716610303287,1.2301460208870165,1.7156083098364994,2.224624723157994,2.0504104530824105,2.119729110864587,2.153799441685166,2.098182705448022,2.0579377961470446,2.1090553345934584,2.218827023705935,2.1965211451228774,1.9733759132336188,2.3040570715809854,1.832574413490261,1.845783322161789,1.670865735369342,1.4169365836890113,2.2425830767671036,1.8452219662775649,2.2057053302184046,2.1131344104875605,1.9372158344319717,1.5604542616495394,2.0049796896353724,2.013831661433036,1.5009992848072462,1.0734411685733676,1.8857422490124278,1.6044780093275657,1.6995542395456582,2.0074801365829806,2.0724010087798046,1.4865484763718875,2.0542681166905647,1.8371001153408042
Bulgarian,2.2502801164903765,2.2066325210391735,1.9917886273612277,2.2304782827012057,1.6391587276277404,0,2.3274667177089046,1.6145651245093124,1.9022213333168703,2.3995253531945853,2.158472575742475,2.212221813059606,2.2967831831226833,2.187427912509372,2.234627389497241,2.2267492232892647,2.351202569081997,2.316408397641238,2.123051152871437,2.401314946224562,1.9326575147536535,2.154292164838287,1.901309038404595,1.5407772846885757,2.3611272692930694,2.0394854096014807,2.4052809860972273,2.262966398700397,2.1047890476766966,1.8112512901400866,2.107861624071353,2.1745136447588758,1.7622026659291445,1.6561650396622625,1.9992044046625763,1.8777802356600888,1.9695660219887265,2.0773197265409267,2.231046036457708,1.765260411268862,2.1557091446496277,1.9018613449121726
Catalan,2.463613427582799,2.326503473991599,2.128675314769253,2.4095877683529108,2.2396716610303287,2.3274667177089046,0,2.257349425568216,2.3887391072345046,2.53840903411904,2.3283908146422307,2.2865102417739185,2.24259438033018,1.9282066234383182,2.406405859826633,2.366842618503135,2.5446328356550607,2.516722462574384,2.309402283794003,2.5267978145321686,1.841293681294725,2.445330994997005,2.1359632328848943,2.273300884689085,2.5002648067380795,2.181483779700031,2.488326490295523,2.4408147698101677,2.2432799040742726,2.256789469620398,1.8987763368093844,2.1180976046893325,2.3060908377318774,2.3181717144463945,2.1500560010500362,2.3757976287520113,2.4567330208325004,1.7891347175867622,2.3268637199234594,2.2288646757016863,2.370646577888559,2.079812284097316
Croatian,2.1962414113232733,2.1528888958841,1.8923242700600227,2.195323740595144,1.2301460208870165,1.6145651245093124,2.257349425568216,0,1.7507932850723182,2.31127190392004,2.1337557404940344,2.181197486328256,2.235519461048479,2.1411562669278577,2.167862442536831,2.1606665538057115,2.2931476322189503,2.277317238687837,2.0724064397108233,2.345947731189339,1.8924216582826012,2.1112298786764896,1.7873878967352357,1.544372465561221,2.2881318560699397,1.9618287837884345,2.3426993710074697,2.165065417054086,2.0150160230083793,1.7073754524963958,2.0810036144378374,2.1049774367516427,1.6779174487693773,1.23975761883694,1.9145333184265625,1.69351044016574,1.6806606152015937,2.0158593559564664,2.1579994490814265,1.6052340116985169,2.1326045473765975,1.8564827019343715
Czech,2.2711546391236537,2.245236759497678,2.0360392906670812,2.284962710815474,1.7156083098364994,1.9022213333168703,2.3887391072345046,1.7507932850723182,0,2.340643230067973,2.1737427910615104,2.2406216676601907,2.3039122168838726,2.276210161370062,2.2596367186696473,2.304869668624803,2.4179427911691316,2.403527055351212,2.155530184964648,2.42146506681567,2.0509360748292753,2.1074832125772924,1.922349113081403,1.8645764135398293,2.4319098697787864,2.039173631909653,2.3957068825594705,2.2489339890630338,2.088690018318383,1.7195945287928196,2.1414289570634364,2.2458846880378944,1.7974285393146943,1.766327598193393,2.069528516696799,1.5307106332050806,1.9837644297915018,2.1219065575150835,2.266442409378229,1.7249397154891828,2.1966641069248083,1.9336086890153432
Danish,2.1983617636662265,2.4094705741447653,2.182773135012888,2.5121673787421974,2.224624723157994,2.3995253531945853,2.53840903411904,2.31127190392004,2.340643230067973,0,2.1460415967399435,2.1084252205369407,2.397744918778423,2.364868410194585,2.1132220684588736,2.4464069572921723,2.573107589340057,2.531462323166531,1.9954997580987948,2.483557334754112,2.172033548224385,2.4323028054475775,2.207174406542409,2.336261268595324,2.5736806656489986,2.1397717944060917,2.05068812626184,2.387502195901692,2.2622262632643153,2.2747698729617642,2.267396771950191,2.3805850247700904,2.304963708842455,2.35338711921536,2.1705932162592942,2.3759920391486347,2.439087850606635,2.27773754876087,2.018596933380755,2.2632198816261955,2.361826048153195,2.022786470158595
Dutch,1.6206955890347445,2.1859788263790203,2.009235775355895,2.293469606449646,2.0504104530824105,2.158472575742475,2.3283908146422307,2.1337557404940344,2.1737427910615104,2.1460415967399435,0,1.9018232364074463,2.2860683089052825,2.2224023759073437,1.8280481160463562,2.2527203169413674,2.3598198846578375,2.366681410641068,1.9715596117811272,2.3394786545214936,2.0433704137810516,2.1658249161526375,2.0096542499049486,2.1109200540691395,2.3682145010567024,2.0187030966634167,2.1104979170236744,2.232524258017216,2.056749956755482,2.1350687833821627,2.073635112541715,2.232039136834594,2.140497920297694,2.1396820053800116,2.0371408336127246,2.2343279618803265,2.2749594510881277,2.1096542650204126,1.9808083398177785,2.115443173801378,2.180479974285032,1.9218245801505305
English,2.0010229165471425,2.2817402557249493,2.0129624567786704,2.2479990431101973,2.119729110864587,2.212221813059606,2.2865102417739185,2.181197486328256,2.2406216676601907,2.1084252205369407,1.9018232364074463,0,2.265166764929361,2.236501797471648,1.9965987101331788,2.2891514539380764,2.307350590835857,2.3348569785400604,2.0125559560195687,2.3295904254574595,2.014107509717942,2.194813496540281,2.0239197012794006,2.1832960184966614,2.3357785795703294,2.0007039130647883,2.115189316679053,2.2828452064681874,2.11587132774025,2.139899157551243,2.127024463400727,2.223725308631318,2.175677986679283,2.197714462131613,2.0883029031171856,2.2617583259776497,2.326894940454851,2.1240618592297764,2.022047825922117,2.1428170816122427,2.167330670845764,1.8906152853162606
French,2.3424776752428915,2.255012408780236,2.089720998470673,2.394190877977159,2.153799441685166,2.2967831831226833,2.24259438033018,2.235519461048479,2.3039122168838726,2.397744918778423,2.2860683089052825,2.265166764929361,0,2.1328668777228117,2.327751521546183,2.332265587825892,2.5347889933012007,2.4859112560289396,2.257573697793663,2.4291940833529044,1.918144009182024,2.3116835138182537,2.1342225956172274,2.2493924845287223,2.468282317617098,2.0984309470894775,2.4821668442456333,2.2926245149334945,2.1951276377762423,2.2268018970748864,2.058224601803419,2.2158487965409677,2.2357543343806485,2.2667086902049602,2.0931587395791214,2.3532924292301822,2.3863052933927413,2.0526393503972833,2.3640393847266457,2.188658953359538,2.2840173369125965,1.9635240987597697
Galician,2.193821045083762,2.0757226009642378,1.994793552190838,2.288411998804948,2.098182705448022,2.187427912509372,1.9282066234383182,2.1411562669278577,2.276210161370062,2.364868410194585,2.2224023759073437,2.236501797471648,2.1328668777228117,0,2.291637996404492,2.29071248847127,2.4122191701666718,2.408138924016275,2.090808693775358,2.33509541851225,1.7843141347992961,2.290344422965629,2.0692184518649763,2.1318312683369065,2.3614378011904607,2.014213207774222,2.400526578748997,2.1991367655901004,2.0424138563746443,2.1966479860998245,1.6413807350140563,2.073744158756826,2.1527599917053952,2.1747064784633343,1.9003290241878714,2.2861305088933377,2.3651225155622964,1.5090514233141115,2.187206896256753,2.113607599659435,2.238927998063043,1.9607801860106042
German,2.0301555890461724,2.2579903753689776,2.0105753688888823,2.3261749325780245,2.0579377961470446,2.234627389497241,2.406405859826633,2.167862442536831,2.2596367186696473,2.1132220684588736,1.8280481160463562,1.9965987101331788,2.327751521546183,2.291637996404492,0,2.2732368703219725,2.4202804967806726,2.393434707097592,2.007786246009614,2.3854141754168627,2.0318351691262584,2.2041919790952345,2.0352351130866015,2.181493195368101,2.4218464874546455,2.051948968645485,2.2187234839401953,2.3080267483120975,2.111933268862856,2.1575618689543155,2.2187075721188525,2.2429759700928593,2.1928820902620174,2.1867455067944017,2.111796761330453,2.2874390637229527,2.3349613010251296,2.185980024927521,2.029572744172207,2.1514983053770775,2.240688855306408,1.9383937121618093
Greek,2.3825497388440198,2.273414736731978,1.959859677394594,2.3056172000120343,2.1090553345934584,2.2267492232892647,2.366842618503135,2.1606665538057115,2.304869668624803,2.4464069572921723,2.2527203169413674,2.2891514539380764,2.332265587825892,2.29071248847127,2.2732368703219725,0,2.4467031663086525,2.3698868217279876,2.183094932524413,2.459156302703286,1.981615647256254,2.237192812097297,2.019740537194673,2.200200362160513,2.441950400729433,2.021327227309497,2.4912298784407114,2.306419727126425,2.1705645223454493,2.184538270218624,2.1944869765465667,2.202928530831507,2.1982668463967254,2.229021349944574,2.033945940052749,2.3136551400205176,2.3671686673830217,2.0807948335188833,2.315293735245324,2.1138036158670253,2.2510334733624533,1.9200423192126057
Gujarati,2.4476702595719786,2.320601939285399,2.1504603423392346,2.0040318331359557,2.218827023705935,2.351202569081997,2.5446328356550607,2.2931476322189503,2.4179427911691316,2.573107589340057,2.3598198846578375,2.307350590835857,2.5347889933012007,2.4122191701666718,2.4202804967806726,2.4467031663086525,0,1.8398483616205514,2.353615418393001,2.6092357187698383,2.2025375618442964,2.4132948809402692,2.1151119260796025,2.268565426875241,1.7957157278986393,1.820120801680331,2.585984105983149,2.3347387005419153,2.222000544833113,2.286869808234721,2.401399787527725,2.4140413918602075,2.3360855241286913,2.3200896456113287,2.0920391878752818,2.4526132710904305,2.499332720168633,2.3016949468478787,2.3625701395600274,2.2630199822848365,1.9920293622915963,2.14894767539424
Hindi,2.4449357217237746,2.3563381263077106,2.1139393146993073,1.9749165578932373,2.1965211451228774,2.316408397641238,2.516722462574384,2.277317238687837,2.403527055351212,2.531462323166531,2.366681410641068,2.3348569785400604,2.4859112560289396,2.408138924016275,2.393434707097592,2.3698868217279876,1.8398483616205514,0,2.3115921867458153,2.5750211280102095,2.138687719801232,2.3830782633540153,2.1213644682620605,2.23835108386254,1.9531025832893927,1.7715610149093588,2.535228145763277,2.2734614944087363,2.184446001085944,2.2604600580684986,2.377479908220884,2.3067385510796425,2.312040725617548,2.318739239149871,2.082557611786183,2.4236945357363044,2.504691236708328,2.2758487237299208,2.326959683609818,2.2447892247246606,1.6366735029872639,2.088931865649012
Icelandic,1.9676166670344863,2.1171784817993107,1.8404210377269146,2.249677955510374,1.9733759132336188,2.123051152871437,2.309402283794003,2.0724064397108233,2.155530184964648,1.9954997580987948,1.9715596117811272,2.0125559560195687,2.257573697793663,2.090808693775358,2.007786246009614,2.183094932524413,2.353615418393001,2.3115921867458153,0,2.334090461068015,1.954724339353718,2.0685586160989033,1.8752202009554533,2.0514401982447588,2.3333527614734226,1.9810633983106372,1.9700837373541806,2.151872536442875,1.9652291965008688,2.061570281211569,2.0902186540534666,2.1538903372597353,2.0144656468267392,2.0530464959596744,1.881221263638863,2.184266591084252,2.2835387509502825,2.091930290722012,1.8276021731248246,1.982822149684101,2.145309027501685,1.8837103099851795
Irish,2.3999971394875708,2.292973087592585,2.123487715654194,2.48146013869417,2.3040570715809854,2.401314946224562,2.5267978145321686,2.345947731189339,2.42146506681567,2.483557334754112,2.3394786545214936,2.3295904254574595,2.4291940833529044,2.33509541851225,2.3854141754168627,2.459156302703286,2.6092357187698383,2.5750211280102095,2.334090461068015,0,2.2585121941034236,2.4874717074122943,2.2442909623096305,2.3272496945640624,2.523000033840316,2.1671385284499927,2.6111748886596184,2.311502534004271,2.244770000644274,2.3608143654323546,2.2212517336496185,2.4362941375754086,2.3736311797984966,2.4182492023092297,2.0794536832228467,2.438939026860042,2.5101643643760365,2.1976218365296414,2.369600149338349,2.3281383678196264,2.354472721097281,1.9993110029076437
Italian,2.1204626179553925,2.0827275483213694,1.8232392727546343,2.091297946495676,1.832574413490261,1.9326575147536535,1.841293681294725,1.8924216582826012,2.0509360748292753,2.172033548224385,2.0433704137810516,2.014107509717942,1.918144009182024,1.7843141347992961,2.0318351691262584,1.981615647256254,2.2025375618442964,2.138687719801232,1.954724339353718,2.2585121941034236,0,2.0610165272611827,1.8380594371671002,1.9216682342060107,2.183231290373711,1.8459748924369466,2.1751411594440655,2.0844690609116627,1.95300942344853,1.9096287530128753,1.7720923529351664,1.7072393645119095,1.9054440943570952,1.9367940836441144,1.8995420970712469,2.037408410077178,2.091916576780455,1.651373541992194,2.0431765929882175,1.8699720767752834,2.065275453468718,1.7031838916056599
