,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,32.902709959049076,36.42361605737198,40.582808445340376,39.17235409760958,43.936338551906175,47.73146320685698,45.8563267918344,49.60928600664005,44.80238742200791,33.71020084648924,45.34509485424067,45.0728133642685,35.44027519881894,38.28380820085143,52.43701429244346,44.16322717242708,49.92057777126253,31.869513986964957,42.61195900178082,44.43763651244643,44.528750109305854,31.68281829367548,38.590051181141014,42.79877427970266,36.08755778406937,39.0294505194829,38.29586596006461,34.34983834285191,48.150315218548336,42.583588521748865,44.96877206738261,39.786212233743285,39.156730763586154,32.10956510229143,46.92238516689032,50.93609077631416,49.503128148507564,36.76012360369795,39.59959370343461,41.45380008924111,41.39967244177608
Albanian,32.902709959049076,0,34.556216236995716,37.548047319704416,37.70668150289951,43.313064624604,47.28681934294287,44.82053126371603,48.76224499124014,48.058862003537804,43.37158615573731,51.12028259189676,43.63483967703689,33.38372043869353,42.34041932974045,49.70661436465601,42.339722684100174,48.49385044941482,34.28419386549723,39.806382607477005,44.72218880510466,41.81102045151525,30.678239820277692,37.0649999474019,40.91325182523279,33.02667844040564,43.29574592390136,35.34851867622101,32.21630684217828,46.58688084336831,40.93637544697403,43.892269664011884,37.53331961922427,38.07566069254146,26.82729759062202,44.436454776990296,50.729683016456825,47.943745366052426,39.80881542773956,37.49466214318646,39.132712552966524,41.03674789723249
Armenian,36.42361605737198,34.556216236995716,0,37.871431598561784,35.50501825571379,41.062386376194176,43.43274472647885,40.39139612616313,44.18371855386882,46.115454747619104,41.61916651036016,43.59582372287325,42.24155201100531,37.322796569911105,40.10635950906129,43.95594004532449,40.442373320552704,43.40799953134842,34.33503736166909,41.82586264122507,39.44421367711553,38.50223464720872,29.17371038786071,36.12654703715776,40.39853376992586,33.943835960505666,41.882467659917104,36.48004317947096,32.85052574970248,41.446877799986154,39.74223218131358,40.46044053032331,36.705375673418835,36.475469766812644,32.28775541235961,42.16608665555815,45.32135845254952,44.25899251435622,38.09254770286683,36.20634954423276,37.83576203189249,35.95860592781216
Bengali,40.582808445340376,37.548047319704416,37.871431598561784,0,41.77579651766959,44.521078950006924,47.2764593671117,47.05477879713951,49.44971896595964,52.91332971095712,44.753838569182044,47.833960424312956,46.32410547120305,41.316942293354074,44.776549023609604,48.930042046272774,37.30528322019071,41.39724433182437,39.62672842740902,45.08172031526005,44.05823473811899,45.82107242977341,32.63527706812669,40.657323071396675,38.072038187819615,32.277494155122156,47.56678269119086,41.58056855780353,37.178747217729054,46.32450128407839,42.11244980444669,46.22580727734542,42.37775781210594,41.63312731227733,35.084696486744456,47.60890975011594,53.05440380447563,45.74494573961002,42.56552066186794,41.327638651286165,36.01694311129689,40.96502059539012
Bosnian,39.17235409760958,37.70668150289951,35.50501825571379,41.77579651766959,0,35.90114524568908,47.322831272981965,29.46757876106199,40.90323459941731,48.45808592265383,43.55624868973942,47.787672445089704,44.9211925135648,40.60995488611069,43.74294210287696,47.95200798442476,45.11356327855232,47.58505388468791,38.24647337392255,46.405477481579524,41.775300746394414,38.973100552144984,31.331035976323548,27.8623969714459,44.66525811794942,37.00739733081892,43.52415889215264,40.97309659777132,36.67171731159213,37.279399394900665,43.02780122608903,43.90791308917052,30.65353604564718,22.566164881423354,35.7476700960547,35.574036395571284,38.066229007803244,46.580992048693396,41.514861643307896,30.849577286388175,41.12214175805043,40.295037413989384
Bulgarian,43.936338551906175,43.313064624604,41.062386376194176,44.521078950006924,35.90114524568908,0,48.13857860377923,35.87948290505777,42.62675931269976,53.161446083590064,46.71367254778324,48.120979343684084,48.695537707762526,42.67967502770892,47.055843894171645,49.87736945606213,46.78845936693127,49.25963312327869,41.65460686596445,50.19520418234418,42.2085543141991,47.7081573611169,35.35156347508269,31.383093971295864,46.517691735382215,42.528061279665756,49.49589639734654,45.462117887362,41.08054252481802,43.11979642755182,45.57622615215492,47.17517438315755,36.56726199633968,33.948011983388305,40.052032662933414,41.520604754263346,43.82287599648527,47.9314116089733,45.17986755167724,36.54619273816833,44.130623597907,40.284260038868446
Catalan,47.73146320685698,47.28681934294287,43.43274472647885,47.2764593671117,47.322831272981965,48.13857860377923,0,50.526020725676126,54.177877015027896,57.253338433107565,49.772262825907475,49.858282987659706,48.19587239460011,40.55556451659818,49.06551751848033,52.48336142400066,47.94716666899468,50.843688355329384,45.01844084114708,52.09772615041024,37.59308686744736,53.06163242464078,37.35154772507648,45.737836685269045,48.374029343247976,45.23987182185573,52.0057736688251,50.347301404459124,43.63649424947631,51.49917088595878,39.02505305993135,46.62574473073819,47.58656081997431,46.959187785326556,43.57445577888322,53.32346259016408,56.91324116970759,38.91519233478976,47.74636100200096,46.20233530850086,47.47399092891125,42.70979001348994
Croatian,45.8563267918344,44.82053126371603,40.39139612616313,47.05477879713951,29.46757876106199,35.87948290505777,50.526020725676126,0,40.56102654234351,53.97270516161774,48.01755533961709,50.493500157923854,50.6490571507963,46.086091011632625,48.03372992594026,52.16940427373847,48.52900050235085,50.78173757761028,43.21354613106852,52.21026791403733,44.093394336578626,49.50388723894248,35.022163583468426,32.89694049476226,48.764918049338704,42.718414611544944,50.96362912493907,46.73311753312908,41.696397887956806,42.175357566177496,46.887600500307066,48.91645931038632,37.423783381829494,27.71454349796113,41.662563247421375,38.43210654099165,39.99850776518865,49.48891345997652,46.934020584677555,35.929558912186,46.030020724426464,41.902867256215835
Czech,49.60928600664005,48.76224499124014,44.18371855386882,49.44971896595964,40.90323459941731,42.62675931269976,54.177877015027896,40.56102654234351,0,54.67603226725464,49.20170899098666,54.20709993276457,53.818804184803476,50.24805102969846,50.16934383172688,54.898428776947256,51.91138008765267,53.96978550527029,46.93516768019552,54.58585783757884,47.27131753786866,51.02301893590365,38.7013278386153,40.87337601279905,52.37935521163899,45.25973443492725,53.60764185472292,49.851949034626905,44.35905253070239,41.91903943895285,48.89391840704306,52.809914489898155,41.4158263623742,40.20689866859885,45.938397175869056,35.9314450382651,46.01566105862655,51.548996103174446,50.42209108238471,38.65678692353799,49.08436119864371,44.32949988365593
Danish,44.80238742200791,48.058862003537804,46.115454747619104,52.91332971095712,48.45808592265383,53.161446083590064,57.253338433107565,53.97270516161774,54.67603226725464,0,48.23760251611617,54.690863868888144,54.74273057722158,49.34038335001978,47.4875095075609,60.52439479759491,55.14662167327561,58.64737172659484,40.22489359138947,55.90563934592765,49.52144666188877,54.97604178962882,40.4428803629141,49.056381796566896,55.93344124132015,46.33157952737753,44.2744077970614,51.85782389484057,44.997651439476854,53.971454012865905,52.68084428592409,54.8729449111718,49.858701505678944,50.078066968323576,44.25694840568588,55.832186359251025,57.97030388923304,57.01433576264216,43.69345530498687,48.11103345108015,52.52832451126575,46.46314360517844
