,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.27657503922637455,0.28447215122893144,0.33309760146551054,0.2832225707207885,0.29900624821640087,0.32291991209629334,0.2911030042645245,0.29452635769443125,0.27795296010371473,0.23227609023849463,0.24998301827315644,0.3169113241968559,0.2887669302857049,0.2762942309938651,0.34431776437341644,0.30954508443755563,0.3078724197560913,0.25705255207636135,0.33319302640341497,0.2669534806802622,0.3767013266488892,0.3130406286364122,0.2865897823089794,0.3045650545048833,0.2547221570689652,0.2612239385252781,0.30290789058395284,0.2887558489783681,0.32798662970210707,0.30746251853222506,0.3007370288863448,0.30319129730699873,0.2873063962490552,0.25284238955924637,0.31440272311680806,0.31962884676385017,0.27814428002342434,0.2467606921512338,0.2885064679546844,0.294487344406797,0.2559413815701341
Albanian,0.27657503922637455,0,0.2539961322420057,0.2928701330102139,0.2667579816250172,0.27859722923554175,0.30319206173282065,0.2717714833820574,0.2801209221588178,0.32089688601466254,0.29752694057900203,0.29982729234694516,0.2966831496427645,0.26763250293133684,0.30956195890192206,0.3078313884011213,0.2841279744588983,0.27727756512703694,0.28076246152945733,0.29345808860595485,0.25159458937812135,0.3516469484978991,0.2981801759791179,0.2731485900193212,0.27959338818307367,0.2309407990599925,0.30089352060080954,0.2750060261390325,0.2649221545243104,0.3116203309022664,0.287952583999826,0.2782503506754125,0.2766963679898184,0.27265135091736903,0.21825790211568105,0.28937118769687564,0.29879380492674407,0.2541481325439922,0.2773118889752514,0.2597836747209263,0.25826991625586715,0.2376717598002568
Armenian,0.28447215122893144,0.2539961322420057,0,0.3039989126566755,0.26143873085326275,0.28015699504681635,0.30860098905391503,0.269829953623546,0.2754715722909972,0.31919252033949264,0.28944348324917085,0.28975612032177955,0.30508267367480574,0.2850166619592895,0.2903567733662965,0.298438995994309,0.29139545573604325,0.2908214902413413,0.26548895405542433,0.30253670816976364,0.2577387836243165,0.3160556998401242,0.26681763148696247,0.26897736567465746,0.29346474880360696,0.2528675867496617,0.3024051443079486,0.2802871309895485,0.2577039127292006,0.29877016841525783,0.29111748597450354,0.28157807991545736,0.2729428590957834,0.2722687013326822,0.24163026633442494,0.29216860168469283,0.29806628671693775,0.2742226125250109,0.2791364609687019,0.2656767032373947,0.27411463177835754,0.24066407134171983
Bengali,0.33309760146551054,0.2928701330102139,0.3039989126566755,0,0.3028233143154775,0.32187195725633444,0.34847139627335594,0.3089728907188746,0.3181925746413237,0.3588296203633851,0.3392530122334274,0.32837800187236754,0.3412323093116861,0.32479673248196134,0.35010310831340014,0.3467370108478491,0.2683192518723866,0.2661298094562998,0.32450567534077845,0.3533466762248268,0.2862870245871706,0.3849987849665095,0.3323001133326643,0.3094000632573402,0.2852629832713232,0.22460050775938303,0.3499167179074416,0.31861505313967176,0.3104919570705887,0.33815245177614034,0.33859726934594375,0.3216241782234656,0.3221826075656845,0.3166012894291289,0.26924125036333035,0.33308083135767746,0.3382769418423918,0.3004417704648765,0.3082318183184553,0.307747412210628,0.2642372651522676,0.2793152243587941
Bosnian,0.2832225707207885,0.2667579816250172,0.26143873085326275,0.3028233143154775,0,0.221536130137525,0.31397021097597244,0.17649037899528278,0.22847311586099783,0.3110922114712176,0.2901433205138204,0.286510541845688,0.30137869600673345,0.2959898561755119,0.29516811043771063,0.31515713975759446,0.2989163149261947,0.28994403586240114,0.27511998386199704,0.3264744609454545,0.25530021559756827,0.3136620465072314,0.2651587061410009,0.19988215218508074,0.29880879979978536,0.24122939950856281,0.2929516346267201,0.2938163251240577,0.265984697217141,0.23058263002162757,0.29430751709298797,0.27569840355876385,0.22169714145839137,0.16116036855249655,0.25262441967906196,0.22206129256750348,0.23091610647954866,0.27286577776875826,0.27670373950924887,0.21783876997603585,0.2725674454221122,0.2496477287737208
Bulgarian,0.29900624821640087,0.27859722923554175,0.28015699504681635,0.32187195725633444,0.221536130137525,0,0.3246245786819167,0.22030500426020969,0.24696817627897308,0.3313126851981878,0.3057351140670325,0.30701182760628265,0.3186884502402652,0.29396198448856337,0.3187963684179883,0.329948158940391,0.30508545258140446,0.2917147226339401,0.29188453454221674,0.3386242895160288,0.25903186199696643,0.3616437651026416,0.2977649033006381,0.20464860505224247,0.2959252296017349,0.259294337529661,0.3188679850298543,0.3116122214031124,0.28828567642287006,0.276122380907188,0.31032571287195254,0.2943520712269477,0.24817167400584575,0.2231564197331901,0.2572559974447523,0.2556937850956058,0.26299720883637007,0.2700862234496654,0.29102009731808287,0.23187175522626566,0.2828805938585292,0.2521413321623984
Catalan,0.32291991209629334,0.30319206173282065,0.30860098905391503,0.34847139627335594,0.31397021097597244,0.3246245786819167,0,0.30962305321973715,0.32474650095479685,0.3399838932382386,0.33229227199763156,0.3182703891245261,0.3087232974138029,0.25276037851946964,0.34400718542235403,0.34159250324545176,0.3226590427350997,0.3217949507805887,0.3187728288316908,0.35224377697572795,0.23898524998495238,0.39502910640931693,0.3253602013829641,0.3143470463471161,0.3245741243700055,0.2827467278193379,0.32665796612599146,0.33583301009840766,0.3172013318323284,0.3519556833668663,0.2827759407987615,0.28435341997851943,0.32812464599982993,0.3204774736830381,0.2825887427844805,0.340150153666042,0.33626653613664803,0.23107607476413283,0.30493698759451093,0.3085748863112264,0.3115381094249821,0.2723054979980144
Croatian,0.2911030042645245,0.2717714833820574,0.269829953623546,0.3089728907188746,0.17649037899528278,0.22030500426020969,0.30962305321973715,0,0.22415418549983174,0.3102677987913847,0.2962610972327386,0.2950901658980132,0.3096289089661693,0.29148063311375316,0.3036660684304727,0.3148152580729704,0.29018113157804043,0.28045364654733307,0.2835651087519149,0.3210288105182455,0.2523978646639006,0.3511517701329464,0.29101509083241206,0.20716245281928167,0.28961308417147474,0.24312975285481245,0.3012833255351376,0.2867994382968728,0.27409408705884886,0.2578216391070226,0.3049241047786966,0.28381453699304765,0.24344626486886242,0.17646983082153883,0.24511585001332123,0.23009211486227268,0.2309452192011254,0.26241036650764404,0.27678159205374187,0.22264758281585917,0.2679481874997386,0.24486736871982448
Czech,0.29452635769443125,0.2801209221588178,0.2754715722909972,0.3181925746413237,0.22847311586099783,0.24696817627897308,0.32474650095479685,0.22415418549983174,0,0.3135888109932644,0.29750244930004804,0.30105716232740787,0.315902388370381,0.2992788603124789,0.3129168608309471,0.3321283987405118,0.2992166817101961,0.29094829450262805,0.29233190882984206,0.3277463367474299,0.261648000286247,0.3450089066665572,0.2961721583817755,0.23857971189260202,0.296771512792466,0.24561562069523651,0.30896719311788806,0.2968408162908482,0.28340100409798114,0.25256752374831876,0.3035284391547843,0.30009535966821405,0.24962861537191297,0.22609998880831692,0.25832319933623415,0.20949124894183732,0.25079023016548113,0.273318776355754,0.28711810562577045,0.22590030473570455,0.2784559538403672,0.2506782117620359
Danish,0.27795296010371473,0.32089688601466254,0.31919252033949264,0.3588296203633851,0.3110922114712176,0.3313126851981878,0.3399838932382386,0.3102677987913847,0.3135888109932644,0,0.2968894329030317,0.2659460999422584,0.33577958226329285,0.31477061011918994,0.29416802804329295,0.3706464687549451,0.3233572993730864,0.31840119995282873,0.2772982698406812,0.3528981016098639,0.2747735381154312,0.419538351832211,0.3467360164704598,0.31934649285782885,0.3226449925105769,0.2690935187203079,0.2386192974053454,0.33460459258605707,0.3156302543586541,0.34919612100203057,0.3334371265427175,0.318447012203744,0.33940400613965455,0.32075452920692155,0.28745852095312147,0.33306679978689147,0.33001834118210593,0.29183395727443295,0.23588162511197244,0.3110854653416761,0.31265056408237796,0.2648299142082361
