,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,2.28803387771091,2.08590392659605,2.4839111775321747,2.188573953816167,2.3572076749409367,2.5603638087590626,2.311812042382889,2.3779359000730254,2.3231339142594623,1.7080821361010408,2.0987812259013277,2.4755392604166944,2.309220956742638,2.1411538397860848,2.507422742262358,2.5472902958172114,2.5816438408293183,2.055015788664113,2.5255908465425323,2.2306090577258386,2.3715203322285965,2.1596255777221716,2.28931258514161,2.5531100716966804,2.148692625280369,2.286889404674371,2.310885249641313,2.1729452506475746,2.3063908850391255,2.2982981417987864,2.414712795323146,2.2619354629213286,2.292089507990752,2.1293389829971465,2.4199542187152283,2.4893225124797627,2.328368547498889,2.1213259464006673,2.2632387309762705,2.3955849515176926,2.0831141973532006
Albanian,2.28803387771091,0,2.0461405976528226,2.2984636485411687,2.169833175795498,2.3101203818892584,2.4443765129277812,2.253203977418282,2.3659148871505864,2.5512841610734367,2.3134189918037227,2.407308150281922,2.3706904602153265,2.186315417204279,2.3936032924549564,2.376052713139862,2.4269608641542497,2.47390450298192,2.240682137958119,2.4351880289596184,2.1757263552530564,2.3245695024947453,2.056788435379763,2.2134235565909886,2.3779471726733874,2.029994421746785,2.5319534592988346,2.2058043508533003,2.0969733836455884,2.2571835391937536,2.2293743841265377,2.3265000488141627,2.213010381257671,2.250178444713977,1.8581656445065942,2.3477704020233188,2.4364177557365423,2.243162192345982,2.297831938062772,2.1772449723945875,2.2402555889403377,2.1002472634026588
Armenian,2.08590392659605,2.0461405976528226,0,2.137892560290183,1.9141131406453435,2.0929037156879087,2.2363445922795777,1.999436702695547,2.147981978240152,2.3087621047026134,2.1143268727431623,2.1227928624467047,2.1947235797385813,2.095181951242528,2.1181167734206996,2.06036656444631,2.2578894230456386,2.2419100203357316,1.9279674410714078,2.2321498424943793,1.9256010657353173,2.0348934722642706,1.842706847615353,2.0239313648269475,2.235135053317273,1.9427078727414133,2.2297843041139385,2.044317589347539,1.893683377014222,2.0258964938485433,2.061052389222236,2.0725829542978835,2.00577554801624,2.02630107834391,1.8496473689437618,2.1317088196115415,2.214079240046713,2.071627903077605,2.0741319825598596,1.9855346242938503,2.094996459343072,1.8054626312681883
Bengali,2.4839111775321747,2.2984636485411687,2.137892560290183,0,2.1878268368394487,2.293520170881586,2.473830868801878,2.2587845332182432,2.365428626617938,2.607487521395668,2.38550925657325,2.3419592915160115,2.4828128951705866,2.367759166798506,2.4350508687204924,2.377444299063914,2.0396288147092947,2.035971937718419,2.351536125396458,2.591618915060886,2.1565429422567948,2.3749862272566746,2.1264061504867855,2.2238927010986753,2.1160222425123076,1.741401101465072,2.615258722587038,2.342987604355008,2.2239935560302313,2.2225065351438866,2.2946611071100915,2.3564862830359745,2.289719165879656,2.268626444480876,2.057812142933286,2.376837195906316,2.4362372616268093,2.2417532755650518,2.3338593441515942,2.2189491753231283,1.9512600099363022,2.114306500884796
Bosnian,2.188573953816167,2.169833175795498,1.9141131406453435,2.1878268368394487,0,1.7143299365801208,2.328973921226705,1.3081983712926528,1.8007485786674216,2.3437103487944597,2.1582608153606,2.2161357621714797,2.2562195895844366,2.205320594227351,2.179155351523663,2.2080688509620994,2.310601554914268,2.2981321390738016,2.0670963074151874,2.432509173779831,1.9289743112166828,1.947695883435155,1.7470012459455977,1.4781509301724578,2.341047857859827,1.9338841005789382,2.310375860901791,2.2153356883530226,2.0335117029467598,1.6340899215062927,2.1054043559261335,2.104417289866451,1.5680520737624029,1.1076013526475146,2.0041093408379878,1.6867473286446006,1.7776147997364515,2.1072841942602705,2.1589320382456267,1.5497122291810845,2.152742587982003,1.9232663398069751
Bulgarian,2.3572076749409367,2.3101203818892584,2.0929037156879087,2.293520170881586,1.7143299365801208,0,2.379606996938519,1.6345887405471895,1.960919312881055,2.479271972844806,2.2441346965037345,2.2818702090445098,2.3794408989551514,2.260020530400946,2.3329276586505374,2.2962731052605156,2.4013714559071135,2.3863727834499833,2.2144034304998326,2.491875408644932,1.9926131573361598,2.2872555869434024,1.9838982288209228,1.5726381910047462,2.412139202806043,2.111680566856506,2.5166089217999246,2.3310175209114306,2.192673100676284,1.8841995964143916,2.193740845097719,2.24807515197094,1.8303243369753208,1.7029068722895175,2.0924791527536533,1.9478490151714574,2.028843241393369,2.12976258390937,2.284024316806524,1.8098959110426884,2.223014185443396,1.9498147290648118
Catalan,2.5603638087590626,2.4443765129277812,2.2363445922795777,2.473830868801878,2.328973921226705,2.379606996938519,0,2.316788514328735,2.4694386604103027,2.6264667742639554,2.4010241987714807,2.3666742415495152,2.298460986633244,1.9743219061539385,2.498201191768075,2.4403506876469017,2.5850610442587003,2.5923260500677126,2.3991618266330077,2.5993683839430908,1.9046328741474103,2.5518667127720103,2.2016919212840533,2.3378633602311196,2.5455090221103744,2.270105432850376,2.5740310323948203,2.520526691938385,2.334268261113408,2.328487885652227,1.9438866531026853,2.177067462401929,2.3841308761057327,2.3910753331805967,2.268393079295411,2.444577370238693,2.529214077905212,1.8071677450811807,2.3871931914536524,2.299288985490875,2.44013109444633,2.1424417574729464
Croatian,2.311812042382889,2.253203977418282,1.999436702695547,2.2587845332182432,1.3081983712926528,1.6345887405471895,2.316788514328735,0,1.8137011214018108,2.395861159476417,2.2218231087521048,2.260057966880565,2.308827137525597,2.214673578562105,2.272348087561052,2.2255719872090243,2.3587419331469732,2.3527913488172576,2.1610364559243953,2.4440162529035723,1.9489237539975937,2.232140268260827,1.868210271753314,1.59776383059223,2.3503077202353713,2.043585341902988,2.4393598837784154,2.240965788669892,2.099621510137005,1.773357710871657,2.169891461927444,2.1684163738647033,1.7610956646217486,1.2821323163873883,2.0045125217137927,1.7624601698903606,1.7346518083942464,2.077829408913033,2.2112593095695647,1.6597566602457008,2.1918853594816037,1.9155536216885651
Czech,2.3779359000730254,2.3659148871505864,2.147981978240152,2.365428626617938,1.8007485786674216,1.960919312881055,2.4694386604103027,1.8137011214018108,0,2.4385157403438162,2.27022282802036,2.324348059932719,2.401452945438667,2.366693415995888,2.3807825476565334,2.400844416186898,2.4912318264154876,2.4995053497430977,2.2545658183384587,2.531014668414463,2.1368929546995696,2.2384012196187055,2.020925764075233,1.9290220366089628,2.5180044550501437,2.12087082535912,2.507136383864184,2.34498531975034,2.2030446890320303,1.7935570886920944,2.2450754933649817,2.3358252585624677,1.8534642304150186,1.828947151749265,2.197391629637077,1.574593652477669,2.0499304514248147,2.2099154677716037,2.3259979605362804,1.7855030889158123,2.2829365677867286,2.006162900101605
Danish,2.3231339142594623,2.5512841610734367,2.3087621047026134,2.607487521395668,2.3437103487944597,2.479271972844806,2.6264667742639554,2.395861159476417,2.4385157403438162,0,2.240420091499391,2.1780826598193044,2.4958837782597127,2.470946263461843,2.1957240026484515,2.541015561189093,2.666250424104901,2.6346642247985392,2.0958058591409094,2.6040776148400524,2.250659925088899,2.5999788389989638,2.317130753419661,2.4497070754551618,2.670726207015899,2.2279909745140185,2.1143566219044403,2.5046745283870924,2.377471418019602,2.384781283948809,2.3798553674144953,2.4721878478862904,2.4279155960306413,2.4605430386744587,2.3143472392637303,2.4750523666556976,2.5318031963415395,2.372731169941886,2.0566485159611436,2.3652814055556477,2.4658109093757217,2.0965608983082507
