,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.005367586165962894,0.004937902849779672,0.0054652550207588135,0.005154869079600821,0.005448448031678919,0.005734825149963448,0.0053490557211014166,0.005255960081425283,0.005929598856562011,0.005420424313322889,0.005447456994515338,0.005701249663591068,0.005613853742439754,0.005548743436476668,0.005544670302604221,0.0057651017415926275,0.005642742072182528,0.005447468412733661,0.005903760552282987,0.005007837525295138,0.005347215677205476,0.004703643587785273,0.005329884925146439,0.005775947148027107,0.005142991731187731,0.0058597213247519745,0.005720885738946166,0.005174888911301964,0.005233950252298669,0.005388358729782436,0.005460053808939025,0.005309288767787888,0.0053074615955257445,0.0049798139855376,0.005604565964274548,0.005904610168575506,0.005248670731731118,0.005475967037123023,0.005214834707707053,0.005325797695580748,0.004889572320679803
Albanian,0.005367586165962894,0,0.0046074707899032424,0.005005905737434452,0.004742973735065655,0.0049420716193698585,0.005281650454865568,0.0048593153744859235,0.004796682065956105,0.0054081369532186,0.005110420760174754,0.00502792811002482,0.005193962601581034,0.005089622300954512,0.0051505097623187005,0.005115316285106064,0.005368609893336639,0.005274076987211585,0.005080671066164258,0.005377440854972745,0.004649330898757744,0.004932185861462294,0.004430911893880592,0.004865414993993887,0.005333716287175189,0.00477490999175992,0.005336042254423489,0.005292932218737484,0.004756680109258926,0.004876602531986047,0.0049034279192974465,0.004988748566077528,0.00484402235530956,0.004831592898475433,0.004527625319498577,0.005106300604607224,0.005397990959763157,0.004763601478074076,0.005016281636928131,0.004739574845281864,0.0048372905009717755,0.004540500406648094
Armenian,0.004937902849779672,0.0046074707899032424,0,0.004680737533304202,0.004437765340260537,0.004694009389175729,0.004907807442091547,0.0045981816034293965,0.004524506652501347,0.0050885087115830575,0.004731980701272602,0.004710511302289709,0.004866729287526454,0.004797823844657719,0.004752737485538719,0.004710502096165816,0.004912421908251106,0.004812843966409824,0.004672670042066526,0.005029850249111812,0.004310807126679237,0.004565700077789147,0.004056373429287458,0.0045700173239072925,0.004901258940153574,0.0044182876604397,0.005048355151624162,0.0048941038221362925,0.004433873587326731,0.0044770479894919385,0.004622870699287396,0.004675931579836154,0.004542922904398204,0.004566776187960497,0.004307569193415343,0.0047936544108078,0.0050025360573602105,0.004501947458985295,0.004703682851839377,0.004483791407302176,0.004586254669655204,0.004215786216313862
Bengali,0.0054652550207588135,0.005005905737434452,0.004680737533304202,0,0.004797457692618651,0.005026325143696011,0.005361332796783128,0.004947480145169556,0.004894346862412989,0.0055224140253461226,0.005187013569086642,0.005094797955427576,0.005273698114628401,0.005245353422731972,0.0052234063132431,0.005177670275237132,0.005398095455224777,0.005287452736883768,0.0051651774928609655,0.005494295479368326,0.004687416979279048,0.004988981856549093,0.0044482188255591335,0.004938799738717452,0.0053789663343537545,0.0047654392638209605,0.0054639202098687575,0.005395267082945834,0.004854712526189098,0.004910982780133759,0.005012349250806,0.005078018751601918,0.004920703684621023,0.00492768016954128,0.004665203600638083,0.005199865795361593,0.005499835258330094,0.004865913884846,0.005103554095819011,0.004836398662078621,0.004905728219706371,0.004572621340426912
Bosnian,0.005154869079600821,0.004742973735065655,0.004437765340260537,0.004797457692618651,0,0.0047104623904349815,0.005031301151766836,0.004608439814187548,0.004613305670810382,0.005179053617558046,0.004884426195717199,0.004754730543427262,0.005012733608092951,0.00494790489324461,0.004930923994707456,0.004855270759370782,0.0050984983610334374,0.005018706276357522,0.004866020987275452,0.005203210137123632,0.004411930576063732,0.004676561896662399,0.004186018814268931,0.004568263133735599,0.005102649981517901,0.0045412912201636116,0.005124320549232667,0.005110615736116283,0.004578097942409212,0.004565722343400048,0.004755191962955687,0.004765392329182819,0.004555878936718165,0.004511046896592005,0.00447228096576911,0.00487482172851208,0.005079862371346174,0.004627670801967554,0.004810072914330855,0.004442907214023899,0.004675982509280736,0.004309833919798088
Bulgarian,0.005448448031678919,0.0049420716193698585,0.004694009389175729,0.005026325143696011,0.0047104623904349815,0,0.005312622323453296,0.004772722308322024,0.004777655774470513,0.005423781645411977,0.00513583679274408,0.004935860703933475,0.005221138783422343,0.0052117561302749155,0.0051987333726203145,0.005123091366107813,0.00541342168305068,0.005290745600544584,0.005145920220230447,0.005449694886481487,0.004599777644074536,0.004933874019679681,0.004429377279099804,0.004871877433803889,0.005395104611528677,0.004759550488447591,0.005373658020112663,0.005388826664218857,0.004835528251415172,0.004846060239131176,0.0049723677835394695,0.004979620852672236,0.0048606581119614726,0.004836533149389603,0.004609549269549593,0.005113504465053077,0.005424465457844408,0.004823976559385751,0.005034307479491731,0.004730479936315163,0.00488075666740388,0.004488905676308079
Catalan,0.005734825149963448,0.005281650454865568,0.004907807442091547,0.005361332796783128,0.005031301151766836,0.005312622323453296,0,0.005225514144706123,0.00514046720884491,0.00584027664773356,0.0054418580388690425,0.005341938545469033,0.005575577223444429,0.005492039760653086,0.005479142574745508,0.005429319492674479,0.0056920402440656485,0.00559399830229993,0.005428771171955169,0.005800924192059709,0.004880163983702014,0.005228426586595,0.004622092417061879,0.0052274379416854975,0.005703724418727207,0.005055129938535894,0.00577729166595601,0.00569110225976754,0.005094658057051847,0.005139377880255756,0.005239114733013939,0.005325066779350793,0.005174443721505611,0.005198003054745424,0.004943089397022381,0.005474073382014375,0.005809988077045724,0.005087489115307567,0.005350746332010107,0.00510322686016894,0.005224462981329042,0.004782021733963912
Croatian,0.0053490557211014166,0.0048593153744859235,0.0045981816034293965,0.004947480145169556,0.004608439814187548,0.004772722308322024,0.005225514144706123,0,0.00469869879041347,0.005350478371473745,0.005040319810040239,0.004889189032851444,0.005145309656707338,0.005106739365716,0.005087188934724491,0.00503661752098397,0.005299116071627843,0.005211229508402146,0.005057121207805687,0.00537161053629515,0.004521454968545803,0.00486246526105577,0.004346804914980969,0.004780636763673238,0.005288678844061483,0.004681751083112445,0.005294186826204125,0.005307030669203206,0.004739778340555867,0.004748135198792611,0.0048781876312477615,0.004912483056724259,0.004783357636011345,0.004725322053948347,0.004546885208578145,0.005031661915492173,0.005344593281590143,0.004741907563071898,0.00495322110968489,0.00464056965525404,0.004810049574145865,0.00442901717584689
Czech,0.005255960081425283,0.004796682065956105,0.004524506652501347,0.004894346862412989,0.004613305670810382,0.004777655774470513,0.00514046720884491,0.00469869879041347,0,0.005294925782954866,0.004971468461723449,0.004886658115768855,0.005082793911265861,0.005012867126479018,0.005016893464878011,0.004985781819609194,0.005232062608571536,0.005131437276537378,0.0049727739376336545,0.005266303509091269,0.004512518379426189,0.004815677900598276,0.00432424208804427,0.004769137412529994,0.005220294268521757,0.004636587416536809,0.005197071330719062,0.005200248321278339,0.0046780706200232084,0.004712675976251206,0.004816006492046327,0.004871218127040833,0.004740531979955315,0.004717769234459937,0.004488349003863192,0.004975428217585052,0.005279353380401354,0.004684991950508333,0.004894908649950643,0.004621416385259172,0.004743369800303041,0.004430879085206157
Danish,0.005929598856562011,0.0054081369532186,0.0050885087115830575,0.0055224140253461226,0.005179053617558046,0.005423781645411977,0.00584027664773356,0.005350478371473745,0.005294925782954866,0,0.005617644903433061,0.0054351805350265755,0.005744248930785695,0.005683569447250975,0.005664190525081555,0.005664401225551293,0.005927679564508529,0.0057956489332142095,0.005587801310522977,0.005971732185732403,0.005058858728821019,0.005414793766537396,0.0048001068785306356,0.0053727256553633895,0.005908704374902957,0.005217650251198456,0.005823244561908755,0.005903157497584391,0.005262304373550366,0.005327960653359625,0.005450134935162431,0.005491966896638654,0.005347976992141413,0.0053269601591695226,0.005046649766700968,0.005643140428020516,0.00595417052748242,0.00527666856950883,0.005504662041358438,0.005225863944677705,0.005364394533883316,0.004923999206218443
Dutch,0.005420424313322889,0.005110420760174754,0.004731980701272602,0.005187013569086642,0.004884426195717199,0.00513583679274408,0.0054418580388690425,0.005040319810040239,0.004971468461723449,0.005617644903433061,0,0.005137607423940594,0.005408541064733033,0.005366352883135672,0.005197455545148005,0.005242162305804191,0.005444723264569133,0.005352086494491106,0.005199896756145131,0.005611186688208309,0.004728131009104241,0.005076015166942547,0.0044971647159840105,0.005066065823089551,0.005469469851532817,0.004883057433368267,0.00555300759574239,0.00548479639534015,0.00492477067785623,0.004950766577741474,0.005121446239221638,0.0051562082655779865,0.005028155969214884,0.005034880631239667,0.004786675725636762,0.005339475284948187,0.005603390634369707,0.004994582538468456,0.005163498724538356,0.004935033380730502,0.00506830805942302,0.004635887242686422
English,0.005447456994515338,0.00502792811002482,0.004710511302289709,0.005094797955427576,0.004754730543427262,0.004935860703933475,0.005341938545469033,0.004889189032851444,0.004886658115768855,0.0054351805350265755,0.005137607423940594,0,0.005316434564463677,0.005275679518749525,0.005185087819115533,0.005165211397771429,0.005449354157901826,0.005310666619108967,0.005137326885689678,0.0055462551979866305,0.004612387829034917,0.004959168286543163,0.0044157976757392215,0.004958467143223803,0.005424410665410499,0.0047997436296140766,0.005422353367461996,0.005432049119501727,0.004856229898837905,0.004867898420204946,0.00504141094223342,0.004997823945948516,0.004916623527401816,0.004915860653707831,0.004692890033595805,0.005190104789110348,0.005461803209301046,0.004911767382406424,0.0050787795311991405,0.0048054682537647464,0.004951875783047409,0.004496905151919573
French,0.005701249663591068,0.005193962601581034,0.004866729287526454,0.005273698114628401,0.005012733608092951,0.005221138783422343,0.005575577223444429,0.005145309656707338,0.005082793911265861,0.005744248930785695,0.005408541064733033,0.005316434564463677,0,0.0054246733954640145,0.005431547805786036,0.0054243801594645175,0.00567052908466511,0.005573175566418093,0.0053844703389562395,0.005699730590705148,0.0048636629617278045,0.005236680107568101,0.004640245332533917,0.005166269446555227,0.005644545405742834,0.005016245987448172,0.005643527252904679,0.005635911613600413,0.005080706273660239,0.005123029603434861,0.005184059530786491,0.0052876721372870856,0.005151638422551807,0.0051279088965048595,0.004832178235122676,0.005422365543591794,0.005757408501015877,0.005034201811629386,0.005316177723856265,0.005049587588268959,0.005123367288067615,0.004781998112110072
Galician,0.005613853742439754,0.005089622300954512,0.004797823844657719,0.005245353422731972,0.00494790489324461,0.0052117561302749155,0.005492039760653086,0.005106739365716,0.005012867126479018,0.005683569447250975,0.005366352883135672,0.005275679518749525,0.0054246733954640145,0,0.0053844566918171055,0.005365872672279699,0.0056176973127905466,0.005538689367868362,0.005302722865509372,0.005617736407280301,0.0048369596463210636,0.005182551025085886,0.004596576528156756,0.0050952475173981155,0.005601268827097136,0.0049855828506068945,0.005593319228856023,0.0055350492399679424,0.0049869607871517495,0.0050975022985467345,0.005079147064296532,0.0052553854681697,0.00508618354313145,0.005072350056426243,0.0047642448203762,0.005366283876798782,0.0056594068106448365,0.004909111828165752,0.005244912874542877,0.004986090314780157,0.0050726498312161136,0.004751533967495583
German,0.005548743436476668,0.0051505097623187005,0.004752737485538719,0.0052234063132431,0.004930923994707456,0.0051987333726203145,0.005479142574745508,0.005087188934724491,0.005016893464878011,0.005664190525081555,0.005197455545148005,0.005185087819115533,0.005431547805786036,0.0053844566918171055,0,0.0052737304860375435,0.005502233471894188,0.005410298183363245,0.005254582116765717,0.005633566879857881,0.004775443602670242,0.005109609387719785,0.004521748709806814,0.005089643868791663,0.0055161593759209485,0.004942477202270652,0.005572055339179633,0.005522483153644225,0.004978313139872035,0.005015646291868897,0.005147881581690041,0.005206532109103111,0.005081342887039469,0.005063544762943751,0.004818092684712522,0.005378820232305867,0.005646510225859344,0.005013537398563389,0.005208519369414182,0.004971193285293437,0.0050932271743497105,0.004697094865184586
Greek,0.005544670302604221,0.005115316285106064,0.004710502096165816,0.005177670275237132,0.004855270759370782,0.005123091366107813,0.005429319492674479,0.00503661752098397,0.004985781819609194,0.005664401225551293,0.005242162305804191,0.005165211397771429,0.0054243801594645175,0.005365872672279699,0.0052737304860375435,0,0.005467196870572255,0.005362704524292431,0.005228905977137314,0.005629962711483121,0.004718124188975135,0.005062484075386458,0.004470826239550497,0.005052707110543351,0.00547779720792233,0.004870581603173209,0.00559618105520369,0.005500113510440944,0.004927122751426076,0.004967137134785246,0.005131013659823895,0.005157864402269426,0.0050258258734537705,0.005019311420284741,0.004772990958721719,0.005330125021288094,0.005592447675551447,0.0049628082312361535,0.005184771769009668,0.004904029014625972,0.005039948019084067,0.0046139475316849055
Gujarati,0.0057651017415926275,0.005368609893336639,0.004912421908251106,0.005398095455224777,0.0050984983610334374,0.00541342168305068,0.0056920402440656485,0.005299116071627843,0.005232062608571536,0.005927679564508529,0.005444723264569133,0.005449354157901826,0.00567052908466511,0.0056176973127905466,0.005502233471894188,0.005467196870572255,0,0.005434454526726259,0.0054362739384121285,0.005895857509766967,0.00494887228661366,0.005273560067502321,0.004637584534457852,0.005283136333006485,0.005554357774678026,0.005073614447296157,0.00586470384833036,0.005684240561588586,0.005136116875068017,0.0051493145292483096,0.00538761071147563,0.005419200265035058,0.005247914756096712,0.005278914732752929,0.004995017482815561,0.0055881763243903985,0.005842834221541295,0.005264669953832612,0.005462838308666575,0.005171411326468151,0.0052727423392544505,0.004848928133553949
Hindi,0.005642742072182528,0.005274076987211585,0.004812843966409824,0.005287452736883768,0.005018706276357522,0.005290745600544584,0.00559399830229993,0.005211229508402146,0.005131437276537378,0.0057956489332142095,0.005352086494491106,0.005310666619108967,0.005573175566418093,0.005538689367868362,0.005410298183363245,0.005362704524292431,0.005434454526726259,0,0.005325998534681286,0.0057648100498084946,0.0048489829260342605,0.005193901502800275,0.004555242330401702,0.005191610388911339,0.00549036963307438,0.004940531073106176,0.005758897207417037,0.005573387428662155,0.00505516867191117,0.005050546305227333,0.00531338665394978,0.005300257503466657,0.005169943761284059,0.005187997655184161,0.004915383915756756,0.005465444138006194,0.005736004823908915,0.005184345680489666,0.005361879854663135,0.005079543764109235,0.0051666131035902904,0.004729096754404084
Icelandic,0.005447468412733661,0.005080671066164258,0.004672670042066526,0.0051651774928609655,0.004866020987275452,0.005145920220230447,0.005428771171955169,0.005057121207805687,0.0049727739376336545,0.005587801310522977,0.005199896756145131,0.005137326885689678,0.0053844703389562395,0.005302722865509372,0.005254582116765717,0.005228905977137314,0.0054362739384121285,0.005325998534681286,0,0.005577138731122167,0.004734857416411732,0.005044960051628394,0.004464642223910991,0.005034010885987748,0.005432776116205022,0.004858392767722744,0.0055245939848341035,0.0054027711657090504,0.00489786782890559,0.004940301657652643,0.005114854177796343,0.00513847361379325,0.005012620550447814,0.005020939137680458,0.004736374094768291,0.005290028992641638,0.005537577368036698,0.004973160047324683,0.005167792764903335,0.004930970311968039,0.005030837231242476,0.004616038886955242
Irish,0.005903760552282987,0.005377440854972745,0.005029850249111812,0.005494295479368326,0.005203210137123632,0.005449694886481487,0.005800924192059709,0.00537161053629515,0.005266303509091269,0.005971732185732403,0.005611186688208309,0.0055462551979866305,0.005699730590705148,0.005617736407280301,0.005633566879857881,0.005629962711483121,0.005895857509766967,0.0057648100498084946,0.005577138731122167,0,0.005067751397328082,0.005429844063638482,0.0047950212800048145,0.005338376482917364,0.005834646803221645,0.005214735452500606,0.005873740542270258,0.005794480439577078,0.005246537821521364,0.005329113683212281,0.005379806290296043,0.005507090674071836,0.005342196697089035,0.005317808804265988,0.005002770172234932,0.005645061052654755,0.0059337295901169835,0.005223200191305453,0.00551138514409771,0.005227427831059218,0.005336338689072004,0.004968441878177896
Italian,0.005007837525295138,0.004649330898757744,0.004310807126679237,0.004687416979279048,0.004411930576063732,0.004599777644074536,0.004880163983702014,0.004521454968545803,0.004512518379426189,0.005058858728821019,0.004728131009104241,0.004612387829034917,0.0048636629617278045,0.0048369596463210636,0.004775443602670242,0.004718124188975135,0.00494887228661366,0.0048489829260342605,0.004734857416411732,0.005067751397328082,0,0.004597889016999086,0.004090021805027006,0.004579449185041788,0.004957585094421036,0.004413349879739476,0.00504042260226676,0.004969937109263898,0.004477227331063901,0.004488210471996487,0.004648540642215617,0.004615856901969158,0.004553409727018892,0.004555037498207614,0.004356686814955752,0.0048095549047362405,0.005034389689390247,0.004513302286908954,0.004678887784650868,0.004445149137887794,0.004577895846734215,0.004147569242087374
Latvian,0.005347215677205476,0.004932185861462294,0.004565700077789147,0.004988981856549093,0.004676561896662399,0.004933874019679681,0.005228426586595,0.00486246526105577,0.004815677900598276,0.005414793766537396,0.005076015166942547,0.004959168286543163,0.005236680107568101,0.005182551025085886,0.005109609387719785,0.005062484075386458,0.005273560067502321,0.005193901502800275,0.005044960051628394,0.005429844063638482,0.004597889016999086,0,0.004264423364412005,0.004852827633201434,0.005285335996129021,0.004715890438553848,0.005368057300398996,0.005275325426465436,0.004778588160809209,0.004768416349677873,0.004967910131077283,0.004964673701752583,0.0048109042341033465,0.004837120913649616,0.004622812800877482,0.005101970578387358,0.005316336329988076,0.0048298805365405055,0.005007637968931403,0.004736458713219944,0.004890286418551815,0.0044671444515363475
Lithuanian,0.004703643587785273,0.004430911893880592,0.004056373429287458,0.0044482188255591335,0.004186018814268931,0.004429377279099804,0.004622092417061879,0.004346804914980969,0.00432424208804427,0.0048001068785306356,0.0044971647159840105,0.0044157976757392215,0.004640245332533917,0.004596576528156756,0.004521748709806814,0.004470826239550497,0.004637584534457852,0.004555242330401702,0.004464642223910991,0.0047950212800048145,0.004090021805027006,0.004264423364412005,0,0.004339997116775514,0.004666242670293068,0.004190987074220156,0.0047576086627664545,0.0046599213507037916,0.004249326188608582,0.004226730872653575,0.004437533231923996,0.004413967075770612,0.004314116773270747,0.004335237238900794,0.004164828058367008,0.004557248828703463,0.004702604413881517,0.004319839960612485,0.004460509502536869,0.004253150040494248,0.004375004380241745,0.003995108941863152
Macedonian,0.005329884925146439,0.004865414993993887,0.0045700173239072925,0.004938799738717452,0.004568263133735599,0.004871877433803889,0.0052274379416854975,0.004780636763673238,0.004769137412529994,0.0053727256553633895,0.005066065823089551,0.004958467143223803,0.005166269446555227,0.0050952475173981155,0.005089643868791663,0.005052707110543351,0.005283136333006485,0.005191610388911339,0.005034010885987748,0.005338376482917364,0.004579449185041788,0.004852827633201434,0.004339997116775514,0,0.0052748393445367575,0.0046932545106154865,0.005309600806254455,0.005270526451590062,0.004744799111997274,0.004763192926371326,0.0048868809932475265,0.004940736058949222,0.004723940483389505,0.004662225738863387,0.004574194229067319,0.005056581324484822,0.005288261023763626,0.00474680782870524,0.004980497686373992,0.00461449981931756,0.004806588396956165,0.004470916237626301
Marathi,0.005775947148027107,0.005333716287175189,0.004901258940153574,0.0053789663343537545,0.005102649981517901,0.005395104611528677,0.005703724418727207,0.005288678844061483,0.005220294268521757,0.005908704374902957,0.005469469851532817,0.005424410665410499,0.005644545405742834,0.005601268827097136,0.0055161593759209485,0.00547779720792233,0.005554357774678026,0.00549036963307438,0.005432776116205022,0.005834646803221645,0.004957585094421036,0.005285335996129021,0.004666242670293068,0.0052748393445367575,0,0.005075179014036298,0.005845628078807969,0.005696507352022485,0.00514920228778361,0.005178402663427132,0.005353640357416001,0.0054169756529948735,0.005227101554870493,0.005272154780389087,0.004962880896849444,0.005568315544158408,0.005840431967313322,0.00522095668111938,0.005456366446989211,0.005155164721386347,0.005251625593767146,0.004844496772768621
Nepali,0.005142991731187731,0.00477490999175992,0.0044182876604397,0.0047654392638209605,0.0045412912201636116,0.004759550488447591,0.005055129938535894,0.004681751083112445,0.004636587416536809,0.005217650251198456,0.004883057433368267,0.0047997436296140766,0.005016245987448172,0.0049855828506068945,0.004942477202270652,0.004870581603173209,0.005073614447296157,0.004940531073106176,0.004858392767722744,0.005214735452500606,0.004413349879739476,0.004715890438553848,0.004190987074220156,0.0046932545106154865,0.005075179014036298,0,0.00517560190795276,0.005068372940520156,0.004598230054832007,0.004619792008807963,0.0048014414957060466,0.004784920685134129,0.004682416262450633,0.004691081335881487,0.004444611498006021,0.004943905255960194,0.005189068657618433,0.004673561314177966,0.004834856286966426,0.004587776722120469,0.004666097168812815,0.004298784477135037
Norwegian,0.0058597213247519745,0.005336042254423489,0.005048355151624162,0.0054639202098687575,0.005124320549232667,0.005373658020112663,0.00577729166595601,0.005294186826204125,0.005197071330719062,0.005823244561908755,0.00555300759574239,0.005422353367461996,0.005643527252904679,0.005593319228856023,0.005572055339179633,0.00559618105520369,0.00586470384833036,0.005758897207417037,0.0055245939848341035,0.005873740542270258,0.00504042260226676,0.005368057300398996,0.0047576086627664545,0.005309600806254455,0.005845628078807969,0.00517560190795276,0,0.005834681055805329,0.005187391832556391,0.0052644930580247,0.00535192211217452,0.005459529634288734,0.005256073261308957,0.005253547977436682,0.004983921669650164,0.005558950297585981,0.005861853884364382,0.005185113850645248,0.0054432413630574215,0.005154519214804097,0.005267192175744035,0.004919521663234499
