,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.033657936594328336,0.03142575358432409,0.03700083179045792,0.032755218411396995,0.03609421870139883,0.03817644269546532,0.035202685347876565,0.03576217086522578,0.03611451670012425,0.02669751883254917,0.03277161598305856,0.03698764895098865,0.03484334278261191,0.03323183413255814,0.03675511164125793,0.03778943358069762,0.037251863130386885,0.03163482004762176,0.03844306531656101,0.033774358573986106,0.03433675276462536,0.031416976945735975,0.034482060564377574,0.038019991259582775,0.03309303454259034,0.03474398287061697,0.03500441837020568,0.03309984775571844,0.034665170339472744,0.03506038234179262,0.03540128474686678,0.03431211574724714,0.034310051749017904,0.0319747851226632,0.03658201593600996,0.03706375431680993,0.036104908208639444,0.03259303145613664,0.033926897169015306,0.0357803436342283,0.032549668985811284
Albanian,0.033657936594328336,0,0.029475599920398412,0.03447006078165375,0.03153289400528865,0.03488956240274295,0.036602991113948186,0.033790329301448666,0.03457179608737158,0.036275558924174486,0.03348255066146815,0.035172145494840296,0.03495162766461839,0.032288087561055695,0.03426926186879816,0.03414597317859465,0.03568482165543595,0.03513970216395748,0.032282748674729515,0.0360440218414879,0.032498613838971076,0.03312621021287611,0.029958346337949967,0.03285373068941868,0.035482659187384566,0.03017713065996175,0.03621548547244285,0.032606408382543806,0.0312085083212008,0.03277754560110291,0.033116507122776515,0.033185916536712975,0.03286437369021912,0.03322872304373601,0.027929930715681218,0.03444780714431011,0.035487813389466036,0.034337106207717294,0.03359206638054537,0.03224423480905906,0.03330561558742138,0.031331257063460724
Armenian,0.03142575358432409,0.029475599920398412,0,0.03149529770528056,0.028469602529643135,0.03156378407832118,0.03306737494682998,0.030427134074856567,0.031270983200033034,0.03421120844683295,0.031355836942636446,0.03147565270828121,0.032509538974322114,0.030857000834204104,0.03189224965726928,0.031078183823146605,0.032705048761277535,0.03214801231076102,0.02906666648563076,0.0339530968508572,0.029588189229617524,0.029751380073065926,0.027079560556678667,0.02984503917388484,0.03242220678216607,0.028677063337718623,0.03258146392160402,0.030322052550598985,0.02864504768777388,0.02993043634028978,0.031063281689287337,0.03063018222855785,0.030009587251133917,0.03000592931486937,0.027432097587889046,0.03177769127554211,0.03246075057593631,0.03176066784679811,0.030347231418580006,0.029420575535147063,0.03060284883425255,0.027984993787507413
Bengali,0.03700083179045792,0.03447006078165375,0.03149529770528056,0,0.033025571998844434,0.03554200544134352,0.03723068069678276,0.0351008031554601,0.03526890035975327,0.03961566457570106,0.03591876361797723,0.03528370098903231,0.03711835118368326,0.03558454410731703,0.03642707307073626,0.03544230911506556,0.03271308847312762,0.032125059210676196,0.034590471018644174,0.03900164520859144,0.03298211883078088,0.03512730107448738,0.031339196298096075,0.03427695053128272,0.033260812844616655,0.028616362599237704,0.03835003130148474,0.03574252361609032,0.0334979773370993,0.03374586781819757,0.03484526923251371,0.03466098200890211,0.03432500861445567,0.034321689653146456,0.03189734917770201,0.03622789405846105,0.03721971831892132,0.03458392780589315,0.03526515099574364,0.033588166376005424,0.030708317614783442,0.03206530085420988
Bosnian,0.032755218411396995,0.03153289400528865,0.028469602529643135,0.033025571998844434,0,0.027622261367983784,0.0347241928360563,0.022334793376937605,0.028643501034394028,0.03483216436895806,0.03229523999553583,0.032899945083530314,0.03355068190453691,0.03232982603013812,0.03320045943690474,0.03281430822996407,0.03413430208883953,0.03309170861512757,0.03081227966355853,0.036056419984531116,0.02946359401729687,0.03006558358631916,0.027010471082562198,0.02365256856508682,0.03431940476151222,0.029780320367127563,0.034274922162715854,0.03265326048192939,0.03072482570442167,0.02623577832142867,0.03185303985768815,0.03138741970266795,0.025266082182381678,0.018744290628179807,0.029707923177991022,0.027599647009419657,0.028165401887705457,0.032081213005519485,0.032034743532820806,0.0249569775725157,0.031844656479578175,0.029396764726324923
Bulgarian,0.03609421870139883,0.03488956240274295,0.03156378407832118,0.03554200544134352,0.027622261367983784,0,0.03677958226044742,0.02695323419469433,0.03096011957284967,0.03802260446574446,0.03503117257750624,0.03468210669535172,0.036260975311391545,0.034705275915986086,0.03609387027054146,0.03467169458608602,0.03622807570909555,0.03562485524019503,0.03386645867258238,0.03851224833377373,0.031200086362222487,0.03439045461508643,0.030541348496811328,0.025984071411727115,0.03653427358641006,0.03303231359182902,0.037404117209370064,0.03558607364244324,0.033741603048951914,0.03020046363556589,0.034360046880609854,0.03404868251921625,0.029400322748652723,0.027605688288904667,0.032384168955043806,0.031276520492630196,0.031513980170531745,0.0340879822871621,0.034795497107925774,0.029222066056957048,0.034191633486638576,0.030829490269612816
Catalan,0.03817644269546532,0.036602991113948186,0.03306737494682998,0.03723068069678276,0.0347241928360563,0.03677958226044742,0,0.03624429928351949,0.03727612670130512,0.04030779809658624,0.03690791573799473,0.03596933347012885,0.03568423790247143,0.031824357285253485,0.03780518955195069,0.03675724532239278,0.038371818227536166,0.03758557486809139,0.03598970989839789,0.04020724593720979,0.02983773138643553,0.03653662162051475,0.032475614410554805,0.03576884415975202,0.038389097491042336,0.035138592184504276,0.03786928547850338,0.03828252016754298,0.03529934608235912,0.035867700643019175,0.03150493072980009,0.033387537697012706,0.0363043199285816,0.03612675991149194,0.0347652395215746,0.038023192473238,0.03821453719580444,0.03014408667655788,0.03636854607967923,0.03534058585187464,0.03622049295051305,0.03314191169833108
Croatian,0.035202685347876565,0.033790329301448666,0.030427134074856567,0.0351008031554601,0.022334793376937605,0.02695323419469433,0.03624429928351949,0,0.029183914518628208,0.03700870071715372,0.03434695881060415,0.03421757135998883,0.03525177062140943,0.03425134730906914,0.03520389101521082,0.03455211901065836,0.0360467606092602,0.035241362591143986,0.03307994734888233,0.03809845742618646,0.030829961751107113,0.0340426528144365,0.029632926909502436,0.02617381208811647,0.03588148713957091,0.03204683554914433,0.036820858074891785,0.03438388060239279,0.032467129246909025,0.029031680266394643,0.033872639755293,0.0331282273112993,0.02849624379927759,0.021708595991804948,0.031340431013050556,0.028671129487955138,0.028187069523159115,0.03360060604327423,0.034102506324463946,0.02717253540957125,0.03355815172141969,0.030466506848052428
Czech,0.03576217086522578,0.03457179608737158,0.031270983200033034,0.03526890035975327,0.028643501034394028,0.03096011957284967,0.03727612670130512,0.029183914518628208,0,0.037063118518563566,0.03455738158238974,0.03488775151426047,0.036012585369421736,0.035112042293959644,0.03603220279091393,0.035365284434067445,0.03673261698412308,0.03589123344186843,0.033673484988274584,0.0384674509355243,0.03215177937843052,0.03361802471079176,0.030913408416941308,0.030378662067980778,0.036871373332426065,0.0323312036536819,0.03736762082782772,0.034857500723946784,0.03292760009268313,0.029010611659058955,0.03430358221968897,0.03422168699315944,0.030017153069517615,0.029110289582478768,0.03237447183319095,0.026763790442285728,0.03221300601588227,0.0342177399188221,0.03506037114819017,0.028983692554712014,0.03417774427070199,0.030920037093959542
Danish,0.03611451670012425,0.036275558924174486,0.03421120844683295,0.03961566457570106,0.03483216436895806,0.03802260446574446,0.04030779809658624,0.03700870071715372,0.037063118518563566,0,0.03486841843730411,0.03585985716582723,0.03821667746670892,0.03725717638593273,0.03551487562715084,0.03874443881042715,0.040066556930671515,0.03888960458001749,0.03284230196082375,0.04085104478976261,0.034286850537724727,0.03768779071864892,0.03415131442565713,0.03656132149965807,0.0401474149316063,0.0345205689828296,0.03358482753710567,0.03769135063537496,0.03574003938591601,0.03625270049986386,0.03751563946828763,0.03700339446854139,0.03615842253659116,0.03685775969995563,0.03355892200043016,0.038591998120696774,0.038826224086523184,0.03775542780087837,0.0330375100405824,0.03552945070263135,0.03759053985807017,0.03335505393501251
