,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.05389169435521249,0.05318809203427423,0.06086199061104162,0.05501646274610868,0.05844111098939566,0.06249358123439528,0.05830374324972522,0.05814868470372058,0.05750013953338235,0.04205714324188597,0.05391377412144628,0.06137884749726517,0.05648331919843861,0.05253034459986489,0.06298171064861999,0.06306937072849728,0.06431883052298781,0.05111771865286894,0.06260301768925189,0.05626813756524757,0.05722692076908469,0.052274090133112225,0.05696061408125079,0.06314398089540461,0.05426359791864377,0.056572481857788806,0.05786144435636005,0.053695379742586896,0.057582464660338825,0.0564511164922003,0.060654455253932274,0.05653315372035051,0.057003902085018654,0.05202540558441681,0.05979938542892202,0.06236083316601181,0.058498125593535996,0.05250563684322137,0.05643300540364445,0.05902129508107739,0.05314417822398781
Albanian,0.05389169435521249,0,0.049404651243293476,0.05549780929228911,0.05198994467997296,0.055778408633024766,0.05824689288372291,0.054607849665655905,0.05637264641705963,0.06086888516796262,0.05572512425255949,0.05923818064397956,0.05659209512501969,0.05230917218511163,0.05688787216672558,0.05757439605699588,0.05862752105962533,0.0589892021345343,0.05348094533297274,0.05797847742305717,0.052039561936859,0.05469928374795038,0.049434435406140294,0.05316630440470826,0.05762514211050098,0.04907360302061334,0.06081165404203228,0.05324929061577145,0.05052123497066533,0.05484573326241832,0.05317417114444788,0.05580404211403915,0.053213291493256216,0.05421003981741111,0.045061828840190055,0.05630195609012825,0.05887144669366979,0.05445290945107383,0.055927410960328695,0.052636610864349495,0.054379852260252645,0.05040574594114589
Armenian,0.05318809203427423,0.049404651243293476,0,0.053855020665882415,0.04947797083518789,0.05355969629588506,0.056691462022921094,0.05160204718163075,0.05405419982450655,0.05977859819020684,0.05401387669410858,0.05564738673495439,0.056761947021285064,0.05294464575249673,0.05389653244921384,0.05406611315166038,0.05679814442772923,0.05732908727139581,0.049701549692346886,0.057372983018411754,0.050405788103426,0.050226956760372234,0.04487194447398987,0.05147955271544976,0.056453642143670726,0.05022519637128601,0.05726605578703939,0.05255029289520703,0.04745264694155657,0.05149565595310453,0.05238369856429555,0.05384184115541073,0.05142268395789596,0.05165481184641496,0.04657782737449189,0.0545463480444158,0.05724074743378052,0.0538628064937177,0.05286444370811712,0.0511517414236717,0.05344555885000118,0.04755298447222214
Bengali,0.06086199061104162,0.05549780929228911,0.053855020665882415,0,0.055256545650666705,0.05818971327278144,0.06278207215239334,0.05847111232332961,0.058967967736569746,0.06649345934674819,0.05969452404681152,0.06029450135777289,0.06241116536127549,0.058968660920151544,0.06061502164910695,0.06097399956954271,0.05144850155601862,0.05136847121986078,0.05847903477270371,0.06487641278059474,0.05506726013023708,0.057264862216796025,0.051402537640055,0.0561970872505128,0.05349728391796681,0.044878853097193507,0.06453616979104751,0.05912329773968823,0.05487739854648993,0.05606527681219896,0.05780717645089507,0.06004438610800897,0.05754757524923819,0.057491778344506604,0.05148111356662561,0.060057301537702015,0.062079956682525354,0.057694135593440284,0.05890241384002379,0.05672132507918877,0.04908719075275105,0.05444944762343737
Bosnian,0.05501646274610868,0.05198994467997296,0.04947797083518789,0.055256545650666705,0,0.04386009916696497,0.0589099205574469,0.033407523427169204,0.04500659974202727,0.06014333516938287,0.054542497396883244,0.05843169477816916,0.05807507558177633,0.05502269318169603,0.05492046043016378,0.05741384175753974,0.05810138007666184,0.05856989860723702,0.05220008811930145,0.06189801488601299,0.04952637007421831,0.047320560153705324,0.042756672388121635,0.03788668801720052,0.05888595342449631,0.05036545236221604,0.0584233056127163,0.056696902251097206,0.050609336372809455,0.041673829585725006,0.05329665149071185,0.05380994201209481,0.04000283915167995,0.028902167360547595,0.05034993600383442,0.042717002005855514,0.04586044929977857,0.05438669771830101,0.054621953072994174,0.04012577368757743,0.05463819629687395,0.05062911245344446
Bulgarian,0.05844111098939566,0.055778408633024766,0.05355969629588506,0.05818971327278144,0.04386009916696497,0,0.060624744481749884,0.043648999737350716,0.04901379847494215,0.06412741759254575,0.05722021452567136,0.06032300204911941,0.06093746748820657,0.05662755086836355,0.05877020437435012,0.05966810427280098,0.06094933147422033,0.06118628348064575,0.05582058994074425,0.06381153815468558,0.05201107781975414,0.05550657713222261,0.04851560305227595,0.04075077723208786,0.061429950695532975,0.05501566545490778,0.06305048108532614,0.059978901652275596,0.05451646158824204,0.048107248881885736,0.055570625509421386,0.05791239407332285,0.04692866660484574,0.04411925253162008,0.05304759889524724,0.04951890815158561,0.05251881108473893,0.055725285135492936,0.05814359807357048,0.04715014108245955,0.05697832027918094,0.051896839637909524
Catalan,0.06249358123439528,0.05824689288372291,0.056691462022921094,0.06278207215239334,0.0589099205574469,0.060624744481749884,0,0.060359498418390084,0.06217184303974418,0.06713954966238302,0.06118368805576495,0.06144904757975444,0.05864511466967578,0.0491572489976611,0.0625020621034676,0.06290724130701938,0.06478812987493125,0.06496117384309699,0.05981490115096122,0.06640551193131591,0.04896303473441916,0.06147626674625638,0.05357237579028973,0.05964806224055843,0.0645825306429127,0.05844689888034677,0.06391872253815802,0.06359625032797316,0.05763649863977396,0.05944751000378872,0.05056771013738564,0.05593881212003931,0.06047336199102774,0.06065496277836946,0.05590308172017874,0.0627055016335525,0.06504849654391959,0.0479135699192603,0.060196896708621425,0.05918312636133481,0.061653773635466,0.05601086874058768
Croatian,0.05830374324972522,0.054607849665655905,0.05160204718163075,0.05847111232332961,0.033407523427169204,0.043648999737350716,0.060359498418390084,0,0.0468445538514248,0.0633428966530346,0.05786596953900976,0.060667039983029865,0.06090032568374774,0.056557548947411294,0.05877397480628368,0.05976365255783309,0.06012582546232269,0.0606914124247915,0.05556316886107742,0.06393148667432902,0.05173330737169666,0.05444897260043254,0.045917754183886834,0.041743835221832414,0.06043405967050364,0.05391598725676391,0.06260563497123729,0.05849170560982181,0.052841917293897506,0.045825607953367015,0.056479275885483404,0.0568592076039323,0.045140233559520244,0.03359507994462946,0.05135283371036106,0.04615472826780965,0.04634228475763182,0.05583495571114114,0.05747363172592808,0.043960644680957464,0.05738477195854454,0.05196434264762399
Czech,0.05814868470372058,0.05637264641705963,0.05405419982450655,0.058967967736569746,0.04500659974202727,0.04901379847494215,0.06217184303974418,0.0468445538514248,0,0.062234723438604436,0.05749874352233763,0.06012441175141016,0.06083358331651854,0.058095479317314916,0.0590543305364677,0.0615386895281006,0.061935911780071726,0.0621020557816357,0.055810107201102487,0.06441795292897971,0.05391379169487562,0.05314700684921635,0.048413514030708565,0.04857756596994065,0.06250537677082262,0.05436850654150582,0.06227830491773626,0.05925789941351988,0.053645102426703443,0.04441672952617659,0.056744129792006534,0.05847631735855798,0.04666053063922549,0.04599634527601289,0.054053699687513834,0.040325594478361065,0.05299226350243785,0.05712437230832043,0.05857277648548087,0.04549330943917207,0.05748630055926069,0.052094405946505024
Danish,0.05750013953338235,0.06086888516796262,0.05977859819020684,0.06649345934674819,0.06014333516938287,0.06412741759254575,0.06713954966238302,0.0633428966530346,0.062234723438604436,0,0.05759500704411578,0.05831256776385255,0.06500273863292892,0.06233531900316689,0.05676723390281697,0.068066875697137,0.0670546531158299,0.06784496312132217,0.053662381732898584,0.06688411473659665,0.059879552227294006,0.06312141019915775,0.05673098632589865,0.06261035733965936,0.06738425010983154,0.058583893159666424,0.05446756955524864,0.0641068792984315,0.0594249417168229,0.061410312265385916,0.06110538606623289,0.06492871310501984,0.06190901699962308,0.0631830470141597,0.05812326034870103,0.06417687992329073,0.06597231540045574,0.06283362669149803,0.05346331749088577,0.06152285051774262,0.06298831381221236,0.0564664932682085
