,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.09148948544034008,0.07885057753762698,0.09530864003934203,0.08355844099296188,0.0876674370764754,0.09611229921406358,0.08513362903433107,0.0880468059277454,0.08779677620483042,0.0666368677607146,0.07856908048626676,0.09107451471976792,0.09055742728729688,0.08068108377107654,0.09026314157722375,0.09815130942390951,0.09508103256242623,0.07891511195757489,0.0977263936796838,0.08000405239242764,0.09136604322094789,0.08392145054519082,0.08684440060545225,0.0988513928446929,0.08281112266446553,0.08909746274120321,0.08905294943501069,0.0843400021904299,0.08632279162318994,0.08677082899359119,0.08823341203753533,0.08523102591835385,0.08685626809107852,0.08360007586540741,0.09163265966985415,0.09210657902205464,0.0855033031084754,0.08253482535464775,0.08468959568140347,0.09197232666221722,0.07511206414696721
Albanian,0.09148948544034008,0,0.07739190637473783,0.09215062753064492,0.08479423352365843,0.08825976508578987,0.09326722821356136,0.08529554427321215,0.08971567366222352,0.098452929928192,0.0898553688069799,0.08970598386437723,0.08961894486036187,0.08923548830030197,0.09155626756401405,0.08827169175470781,0.09684372169236016,0.09324644137696289,0.08760179489884717,0.09588691114555904,0.07921602247110186,0.09183018926053388,0.08311112890694575,0.08667113709439365,0.09526830615320973,0.08265799583283169,0.10085338900821429,0.08759956939248559,0.08328059887995817,0.08595979716839056,0.08615577956395226,0.08772053887227317,0.08537160923724772,0.08744451420826141,0.07754327323571532,0.0910148906130441,0.09191935318409873,0.08439116010475774,0.09193633595789955,0.08350335540901209,0.08961286512612211,0.07643611447566374
Armenian,0.07885057753762698,0.07739190637473783,0,0.08079413192504381,0.07075673101619519,0.07766115428267703,0.08416647041922727,0.07393090495615516,0.07896689743631476,0.08661441279386196,0.0798317969929339,0.078463523596746,0.08036587208989276,0.08075969593707719,0.07877161743661522,0.0744522640398402,0.08579491880398486,0.08188802053979427,0.07290187984031027,0.084363058537149,0.06908869208076204,0.07545444864616994,0.07023947433222406,0.07626223687885139,0.08455729812096074,0.07323360332076312,0.08493184452320705,0.07706365695166446,0.07147744166548989,0.07464807657117452,0.07762913744952933,0.07612119200614409,0.07433868380051269,0.07581215447820874,0.07037813925561265,0.07965371401038039,0.08080221881486489,0.07683283703334726,0.07971281415248015,0.07401167302616365,0.07952245535728805,0.06619726755494047
Bengali,0.09530864003934203,0.09215062753064492,0.08079413192504381,0,0.08060806986414452,0.08338538318853954,0.09051464223456536,0.08203911866093411,0.08528303715061165,0.09389977914752762,0.08763383907198072,0.08362096110695527,0.08947879354595178,0.09122416340054902,0.08682773724823568,0.08553836718350008,0.07708302117017657,0.07381570072575362,0.0876942085107071,0.09795184658145904,0.0748407181074831,0.08723003947224446,0.08010014423956172,0.08154822677660002,0.08043797390522196,0.06774096153811192,0.09790616940128882,0.08862439814396664,0.08415045488080777,0.07991673064257446,0.08511385838850209,0.08397481573864829,0.08369722359817688,0.0833173912213753,0.08056664776763005,0.08738141185688654,0.08772809309189462,0.0820436806926512,0.08778317568632493,0.08133235308786212,0.07336170389683103,0.07409207322836217
Bosnian,0.08355844099296188,0.08479423352365843,0.07075673101619519,0.08060806986414452,0,0.06508926020769977,0.0862524574817139,0.05078301893157027,0.06696403571040678,0.08322098983941612,0.08050039735907577,0.0788364336861685,0.08059500573072526,0.0850999165207183,0.07872530392284427,0.07828088030293896,0.08621551233302081,0.08151361640360198,0.07771369449395647,0.09258039571816555,0.06653280988193423,0.07016701066643875,0.06651179593776081,0.05778927116635424,0.08733638376545119,0.06896127054740347,0.08509142183488973,0.08333825470875057,0.07735569094152332,0.060089097660677736,0.07783556178480608,0.07408616785115058,0.05852351312751201,0.04432331513242112,0.07720458478722696,0.06299006333971803,0.06455486878908828,0.0777526289682395,0.08134230670720863,0.05868343744430234,0.07877353910524917,0.0675965874528449
Bulgarian,0.0876674370764754,0.08825976508578987,0.07766115428267703,0.08338538318853954,0.06508926020769977,0,0.08501750174821252,0.05924966667482392,0.07030352077585415,0.08699976014904104,0.08095361196490188,0.0798104838199787,0.08467015656041924,0.08416521154968916,0.08279585700514257,0.0816215109039725,0.08709574576943915,0.0842773110379296,0.08083569297110925,0.09114915151969977,0.07000792356211939,0.08447612652903069,0.07459794210706092,0.05770262553070476,0.08715448972116424,0.07892401182351179,0.09263002500138633,0.08548605159913507,0.08052621647046451,0.06873452320825402,0.07895639867053013,0.07976091481273137,0.06723717907663546,0.06287377239088741,0.0794489277845249,0.07126721849253952,0.07328159645697506,0.07606991557101062,0.08389273999109363,0.06567372620173019,0.08061860430069175,0.06767386403797815
Catalan,0.09611229921406358,0.09326722821356136,0.08416647041922727,0.09051464223456536,0.0862524574817139,0.08501750174821252,0,0.08288425590027526,0.08891439220607746,0.09263852978906251,0.08714598624914784,0.08329076015672379,0.08174570830884367,0.0746410283793026,0.08904835485576237,0.0867448954519184,0.09489006042254154,0.09249183598178999,0.08839660722936908,0.09564100430417609,0.06766810628814618,0.09317579652610777,0.08193093868627815,0.08455724864844266,0.09296559059402987,0.08561879181118705,0.09427403654310126,0.0930884206750282,0.08706209917662683,0.08398704758377205,0.07215075159133269,0.07832239573042239,0.08677899129886661,0.08700605128210209,0.08541304158745956,0.08880468174569209,0.09023025521172992,0.06577654666299831,0.0877302921004156,0.08350154728710045,0.08869480136324145,0.07533950919492699
Croatian,0.08513362903433107,0.08529554427321215,0.07393090495615516,0.08203911866093411,0.05078301893157027,0.05924966667482392,0.08288425590027526,0,0.06569525294923372,0.08445599907172498,0.07966554321702207,0.07879677515908405,0.08102507319845008,0.08217700687452792,0.08005035190335638,0.07843807177647899,0.08547794161003111,0.08265902376813691,0.0786701730677022,0.08901193831681276,0.06764503864370595,0.07967960510897847,0.07012825302579988,0.05872598001918991,0.08512015565497297,0.07682352833169062,0.0888856331223204,0.08256557962543876,0.07676313851649226,0.06314770820601336,0.07789633684131735,0.07603695467795261,0.06334622342906152,0.04871285136398137,0.07588315290812125,0.06430013753478385,0.06322458250296879,0.07478341883587089,0.08076548145846382,0.06044025124159328,0.07946822153576787,0.06677259251933518
Czech,0.0880468059277454,0.08971567366222352,0.07896689743631476,0.08528303715061165,0.06696403571040678,0.07030352077585415,0.08891439220607746,0.06569525294923372,0,0.08491741464294099,0.0816077373282921,0.07969350944177303,0.08498895614272936,0.08727119846046451,0.083144327444169,0.08390048023312408,0.08941108532227898,0.08667493752025666,0.08116887311548902,0.09441578162963647,0.07258440232754915,0.08043334431146347,0.07511831261459728,0.06971194197749493,0.09038779689615317,0.07710915442287432,0.09206090702603255,0.08516042040754616,0.08026348647376087,0.06506309228824328,0.08115991433085123,0.0804957507470819,0.0668774096966578,0.06611390061490065,0.08243522784422996,0.06072385287357464,0.07306382332042088,0.07940676334517685,0.08457622403353379,0.064667381283201,0.08198388361874442,0.06930294238913647
Danish,0.08779677620483042,0.098452929928192,0.08661441279386196,0.09389977914752762,0.08322098983941612,0.08699976014904104,0.09263852978906251,0.08445599907172498,0.08491741464294099,0,0.08052959784834525,0.07472796260746928,0.08688187044521777,0.09242665887905382,0.07653637047914494,0.08834395331379817,0.09565835882220593,0.09153030072589059,0.07811184568375654,0.09454314201093458,0.07624434716322157,0.0934129832949905,0.08529559316759755,0.0875448627750007,0.09554924499977449,0.08107933297724189,0.07962090199458187,0.09236295305426234,0.0882923858218452,0.08332706191395424,0.08373579076400757,0.08483260627586557,0.08579166871019188,0.08827234424128029,0.08977483918480594,0.08713607535515733,0.08839989002676268,0.08311678575550273,0.07768499048508284,0.08369470607460182,0.08846157572236973,0.07126153623838266
Dutch,0.0666368677607146,0.0898553688069799,0.0798317969929339,0.08763383907198072,0.08050039735907577,0.08095361196490188,0.08714598624914784,0.07966554321702207,0.0816077373282921,0.08052959784834525,0,0.0699321016578548,0.08590999276699819,0.08696712739981333,0.06989625735205365,0.0825659821904546,0.08888986336063008,0.08704847247066373,0.07681858017155449,0.09217799665179861,0.0738123521859734,0.08576827492988053,0.07903998606907942,0.07980560174075534,0.0894354694082378,0.07986535444748481,0.08354792964124413,0.08642387145903498,0.08082109922936816,0.08025049508968081,0.07988822937892455,0.08176376284184005,0.08079601357936356,0.08169859800512903,0.0837034616916383,0.08515416121372815,0.08392215342204279,0.07848538657842662,0.07602544525127541,0.07916126184714695,0.08419607996657706,0.07089372851569826
English,0.07856908048626676,0.08970598386437723,0.078463523596746,0.08362096110695527,0.0788364336861685,0.0798104838199787,0.08329076015672379,0.07879677515908405,0.07969350944177303,0.07472796260746928,0.0699321016578548,0,0.08175766162452089,0.08472746485964099,0.07286967725357811,0.08264939393398008,0.08504096572670256,0.08470695432108409,0.07689519065905837,0.08792126041039211,0.07070981896013669,0.08548189492709223,0.07763967790518873,0.08044780309691456,0.08629159605312636,0.07626363059630013,0.07883364622088851,0.08671370524366499,0.08094193894535671,0.07807889825960782,0.07874632404678066,0.07897416732780894,0.08004240429747074,0.0811556394817455,0.08272869323355801,0.08307445792466778,0.08424632794169282,0.07709533025221975,0.07455922595807947,0.07833479834981615,0.08108811383943007,0.06723841158022102
French,0.09107451471976792,0.08961894486036187,0.08036587208989276,0.08947879354595178,0.08059500573072526,0.08467015656041924,0.08174570830884367,0.08102507319845008,0.08498895614272936,0.08688187044521777,0.08590999276699819,0.08175766162452089,0,0.08216400848488298,0.08646394320640063,0.08319861084341279,0.0946121668039552,0.08983203657177619,0.08563884311784425,0.09194091815737376,0.06848755954220746,0.08847398561525102,0.08177802924348647,0.0833637090295844,0.09155406093884709,0.07935260420039492,0.09357023276759541,0.08739805836417304,0.0847115255869111,0.08217394098395442,0.07633147247292832,0.07953151118468152,0.08327855718362116,0.08443620202171476,0.08307172542802858,0.08643305233557297,0.08596034837744299,0.07346953824780374,0.08910992000812445,0.08144115938135973,0.085395262190606,0.07004672771833055
Galician,0.09055742728729688,0.08923548830030197,0.08075969593707719,0.09122416340054902,0.0850999165207183,0.08416521154968916,0.0746410283793026,0.08217700687452792,0.08727119846046451,0.09242665887905382,0.08696712739981333,0.08472746485964099,0.08216400848488298,0,0.08905502040765098,0.08713341050397028,0.09650646327626333,0.09369573259821258,0.08393893359285366,0.09252284914439796,0.06777711533566956,0.09376322668568622,0.08392047407695445,0.08366486939589884,0.09451700039097136,0.08397591571218864,0.09780793683006972,0.08829527925161522,0.08253820644511245,0.08583587803350376,0.06327480922887183,0.0807225103211093,0.08549476144470279,0.08543640132657769,0.08074398067650684,0.08988494492385622,0.09090708924831728,0.056540639227231654,0.08728522291706349,0.08258049710373504,0.08972978696110753,0.07265953460592972
German,0.08068108377107654,0.09155626756401405,0.07877161743661522,0.08682773724823568,0.07872530392284427,0.08279585700514257,0.08904835485576237,0.08005035190335638,0.083144327444169,0.07653637047914494,0.06989625735205365,0.07286967725357811,0.08646394320640063,0.08905502040765098,0,0.08123848186161942,0.08978750655826143,0.08590814727556832,0.07684819254170273,0.09227548113117315,0.07192843813124644,0.08568359432884495,0.07954710570257661,0.08273278855013298,0.0899462833329178,0.0780634833294138,0.08659058794458789,0.08840170810498994,0.08244140035060493,0.08029476016482939,0.08416112046928108,0.08047721403579194,0.08271123270906838,0.08286729454156273,0.08531694798412123,0.08556718043993819,0.08504322530873071,0.08100774353182404,0.07664320605104744,0.08018961930722601,0.08454546902974296,0.07019177513512945
Greek,0.09026314157722375,0.08827169175470781,0.0744522640398402,0.08553836718350008,0.07828088030293896,0.0816215109039725,0.0867448954519184,0.07843807177647899,0.08390048023312408,0.08834395331379817,0.0825659821904546,0.08264939393398008,0.08319861084341279,0.08713341050397028,0.08123848186161942,0,0.09101948959089116,0.08630970618098012,0.08069355768649479,0.09310324843892377,0.07083761914641236,0.08159488691211268,0.07562964736879185,0.0815530152115061,0.09022264830263105,0.07697867083770807,0.09299731228376099,0.0867358412149076,0.08210065511084942,0.07942548694134023,0.08128562835609611,0.07857049066596092,0.08080993101875726,0.08245281983366198,0.07965659388548837,0.08498267889234228,0.0853530975774408,0.07722144700943782,0.08654971375477412,0.07802519150678164,0.08356057387242519,0.06888149772283148
Gujarati,0.09815130942390951,0.09684372169236016,0.08579491880398486,0.07708302117017657,0.08621551233302081,0.08709574576943915,0.09489006042254154,0.08547794161003111,0.08941108532227898,0.09565835882220593,0.08888986336063008,0.08504096572670256,0.0946121668039552,0.09650646327626333,0.08978750655826143,0.09101948959089116,0,0.06712311458124887,0.09139347569747976,0.10230249132900447,0.07991911296521084,0.09389677591824698,0.08250208596481137,0.08615741193758704,0.06714859629352248,0.07434088106464679,0.09918844787013192,0.09206806864288128,0.08760090494140658,0.08433258870613558,0.09162309036842771,0.08808132421623145,0.09022483849932345,0.08913392403129361,0.08655769357080229,0.09267487748759731,0.09254283379849991,0.08598135644536278,0.0911806362946212,0.08636007638235381,0.07614055904452433,0.07846039483039281
Hindi,0.09508103256242623,0.09324644137696289,0.08188802053979427,0.07381570072575362,0.08151361640360198,0.0842773110379296,0.09249183598178999,0.08265902376813691,0.08667493752025666,0.09153030072589059,0.08704847247066373,0.08470695432108409,0.08983203657177619,0.09369573259821258,0.08590814727556832,0.08630970618098012,0.06712311458124887,0,0.08873703089370796,0.09760442148370889,0.07657052510789808,0.08889434507983324,0.08019801166382265,0.08335637679545348,0.07149693924026068,0.06820446228325469,0.09487270141269602,0.087075390232015,0.08360171790821028,0.08071916752338543,0.08808010705825084,0.08278946484432462,0.08633664146929868,0.08591627726617292,0.08279451409332024,0.0881995880208078,0.08973971505293248,0.08392632093430971,0.08806931088047877,0.08296608439732571,0.06169923218647813,0.07554412347861154
Icelandic,0.07891511195757489,0.08760179489884717,0.07290187984031027,0.0876942085107071,0.07771369449395647,0.08083569297110925,0.08839660722936908,0.0786701730677022,0.08116887311548902,0.07811184568375654,0.07681858017155449,0.07689519065905837,0.08563884311784425,0.08393893359285366,0.07684819254170273,0.08069355768649479,0.09139347569747976,0.08873703089370796,0,0.09181508693349866,0.07244664556633017,0.08242279067181797,0.07449022252109896,0.07989106819945482,0.09075624553837187,0.07992647144302964,0.0814961774673417,0.08469146879356938,0.0785696342446998,0.07919462292203905,0.08075349388898123,0.08110321996068351,0.07775250410837342,0.07959115683843633,0.07787978260077971,0.08425799520075879,0.08652300074903821,0.07918265618068082,0.07419155405334407,0.07655826669300571,0.0848372299815536,0.07008850459986213
Irish,0.0977263936796838,0.09588691114555904,0.084363058537149,0.09795184658145904,0.09258039571816555,0.09114915151969977,0.09564100430417609,0.08901193831681276,0.09441578162963647,0.09454314201093458,0.09217799665179861,0.08792126041039211,0.09194091815737376,0.09252284914439796,0.09227548113117315,0.09310324843892377,0.10230249132900447,0.09760442148370889,0.09181508693349866,0,0.08341573375291379,0.10121164006703805,0.09059091441803638,0.09108335865948124,0.0991264844000717,0.08907636553893952,0.10424590173642063,0.09134970436024749,0.08970546321988569,0.09181835387643485,0.0876306798040805,0.09082027636557387,0.09299765289182495,0.09506052760464309,0.08524924261088396,0.09679216405484001,0.09609199933918572,0.08294186425280665,0.0923817482668743,0.08988371591749658,0.0936123535278357,0.07391182779225249
