,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.08515587260915466,0.08292662426800604,0.0974281678032337,0.08414869664976503,0.08838777021928733,0.09353642191206456,0.08436069670868665,0.08683165429220481,0.07922167257754509,0.06741454212272603,0.07171909172773089,0.09127529688726166,0.08716440811585009,0.08069016181582835,0.09639746765954058,0.09019053623726642,0.08753707993358696,0.07761048518590133,0.09878589476381204,0.0762577012049091,0.107892195386881,0.09126555241807173,0.08579213644383482,0.08957519459745121,0.07594183835280158,0.07930744106983068,0.0891880099937368,0.08700450606672687,0.09291024226597634,0.08997362744405903,0.0870839097215966,0.08951045720716337,0.08572624856300251,0.07712166992067843,0.09279441705098634,0.09154576090531141,0.0818356445798472,0.07406709921851148,0.08546359477644633,0.08721001687249921,0.07371259863443518
Albanian,0.08515587260915466,0,0.07400086533899108,0.08607971836514468,0.07887340442299329,0.0821058358792908,0.08770514385460496,0.07810267493037872,0.0828580889014034,0.09133224540284864,0.08698793833303381,0.08535127345059876,0.08554708714143007,0.08098900352123421,0.09069884221823343,0.08597312803570305,0.0828169712654202,0.07855131528683046,0.0846632000419465,0.08793083550938977,0.07137846743869052,0.10161859046330698,0.08721688959449075,0.08152024470560694,0.08209985138353151,0.0687768095707626,0.09088077685282725,0.08123718360643087,0.08028825934655161,0.08832712462600831,0.08475542126276381,0.08013062035441036,0.08181448203660155,0.08112096562161955,0.06655926533904534,0.08552331173916751,0.08552439456784161,0.07449124731313293,0.08299427830534237,0.07696176776342653,0.07709213498509501,0.06829267510304306
Armenian,0.08292662426800604,0.07400086533899108,0,0.08685407333047535,0.07546019049637992,0.08067965144322457,0.087702058873306,0.07673220829608063,0.07899638505895093,0.08957261353642683,0.0824477298120136,0.08167693468942805,0.08666801873891265,0.08272657431549289,0.08319988015710404,0.08304624424183858,0.08300854564298628,0.08180612827389169,0.07717808939601782,0.08695517946547406,0.07311446947431717,0.08920899195776658,0.07635857031387554,0.07814192802655973,0.0839895450753125,0.07293528638522494,0.08768446546446121,0.08026105111322043,0.07512989184971848,0.0838159001264908,0.08356437825877353,0.08026259885093066,0.07879327194009991,0.07881939232455132,0.07026507462286015,0.08407554581928195,0.08420385706902758,0.07877339783204684,0.08090680112069909,0.07688647660607216,0.07919820595390176,0.06854743722735933
Bengali,0.0974281678032337,0.08607971836514468,0.08685407333047535,0,0.08718895683937428,0.09248860415211607,0.09870353545186529,0.08736894864280442,0.09098343464441586,0.10010759436312718,0.0961238674183333,0.09195197994691615,0.09619590571019036,0.09414635746232086,0.09992919940777421,0.09580658111115019,0.07658129517725361,0.07458302376365963,0.09436191672618861,0.10162666088329263,0.08049897290424553,0.10830098482630336,0.09492592963889834,0.08966093395683176,0.08144761151386115,0.0649487509083286,0.10140512877194297,0.09109825318060842,0.09046307534154262,0.09423738807270315,0.09660576892417444,0.09103029823129484,0.09278953014324974,0.09123535345376438,0.07864463339172266,0.09578936021272548,0.09473439939575047,0.08579526922801305,0.0892887689358746,0.08855265805968329,0.07605363341111922,0.07891997361968596
Bosnian,0.08414869664976503,0.07887340442299329,0.07546019049637992,0.08718895683937428,0,0.06493641133657437,0.08988076610086444,0.051064511005633736,0.06627321224907211,0.08788011952921082,0.0834574702799093,0.0814314124188589,0.08601490239286602,0.08667538671917564,0.08515908963212977,0.08780404826407484,0.08557178107209869,0.08183994047982923,0.08084890309823448,0.09487160784842097,0.07257000933480691,0.08840799758256639,0.07613920940615877,0.05923247405265859,0.086120546771931,0.07015086650858987,0.08617045056777528,0.08478175962598675,0.07813125246395723,0.06486224702054975,0.08480766995298875,0.07899401697077693,0.06459504415816805,0.04742179805453089,0.07445408329214157,0.06462286719110973,0.0656902697152711,0.07892963864992564,0.08098661574550298,0.06375310024564271,0.07934872465389764,0.0713794956991082
Bulgarian,0.08838777021928733,0.0821058358792908,0.08067965144322457,0.09248860415211607,0.06493641133657437,0,0.09290356278315189,0.06353093192639321,0.0713744593105487,0.09337810712328895,0.08768180920599475,0.0872137892812592,0.09069919911107549,0.08637357184968979,0.09209759153443405,0.09208758758411288,0.08732626448320215,0.08271344079272305,0.0855471429757219,0.09760026475560689,0.07390701278420157,0.10237349146603913,0.08559078982597669,0.060248143906955605,0.08539999827987951,0.07538362576453296,0.0937600786883652,0.08987154590511395,0.0845387161749504,0.07780191890490817,0.08883959179466236,0.08449078140515393,0.07276819504389175,0.06542096530790764,0.07568214146056214,0.07444587553491402,0.07515259791005666,0.07804381347202223,0.08513757960970171,0.06784863948629012,0.08243515394562341,0.07211877757493547
Catalan,0.09353642191206456,0.08770514385460496,0.087702058873306,0.09870353545186529,0.08988076610086444,0.09290356278315189,0,0.08728158972850844,0.09263350175271401,0.09465546833356574,0.09374824931165797,0.08854688030282504,0.0866635017942474,0.07284005221994112,0.09786149491195469,0.09373502456935955,0.09125052970899801,0.0895900482089189,0.09201823012419659,0.1004220903835354,0.06746593717785956,0.11044830586608873,0.09264092866073514,0.0904056517694962,0.09169094261827333,0.08097438143345824,0.09409801317787118,0.0952579568688323,0.09220590690155113,0.09772397537741094,0.08053503240510503,0.08052488352856223,0.09374145876249942,0.09185197580789756,0.08177255519835301,0.09704568392092498,0.09376526443273633,0.06618969448651253,0.08770350135727552,0.08816767763553489,0.08896029671070799,0.07681021753057486
Croatian,0.08436069670868665,0.07810267493037872,0.07673220829608063,0.08736894864280442,0.051064511005633736,0.06353093192639321,0.08728158972850844,0,0.06436123578622395,0.08626240953422405,0.08377886282793279,0.08259116576026272,0.08683705902416711,0.08329766270395127,0.08661679800725033,0.08681093240287743,0.08193100641895253,0.07825461568802065,0.08188546706944728,0.09135115085460452,0.07097804000944345,0.09796485793346513,0.08287565154076416,0.06014361040765872,0.08191174728561632,0.06962787855841289,0.08693053361699467,0.08139854340670413,0.07897568623803843,0.07177541571015617,0.08656630535544219,0.08013058765443933,0.06996914242528832,0.05111295164478421,0.07051643496738431,0.06640361803130432,0.06519299031099607,0.07466754113636366,0.07967529972937375,0.06399406501653195,0.07662151233847829,0.0690825469336636
Czech,0.08683165429220481,0.0828580889014034,0.07899638505895093,0.09098343464441586,0.06627321224907211,0.0713744593105487,0.09263350175271401,0.06436123578622395,0,0.08828071320986121,0.08576207608296234,0.0843920901037666,0.08989982953376704,0.08701904585938017,0.09035087467768114,0.09231606928771141,0.08559571938366108,0.08198704139984021,0.08536624540957087,0.09542032323572175,0.07379764302494216,0.09717377921855297,0.08535135796241787,0.0698065508613293,0.08533590985872509,0.07144451752109351,0.0903241143944687,0.08538135100677893,0.0829939664736015,0.07090556673294814,0.08768961845090673,0.08465467417631922,0.07231031919883278,0.06589418614071461,0.07554792688134127,0.06201407107653705,0.07152218080570183,0.07905625750391206,0.08378026214461493,0.06593428381437978,0.08081764394998442,0.07133245214573782
Danish,0.07922167257754509,0.09133224540284864,0.08957261353642683,0.10010759436312718,0.08788011952921082,0.09337810712328895,0.09465546833356574,0.08626240953422405,0.08828071320986121,0,0.08320782380974608,0.07318958062587634,0.09271115599280975,0.0888382879635596,0.08290785520646853,0.10060550747379086,0.08984963390382113,0.08738015032728606,0.07964577189343293,0.09835248473740879,0.07629811131504396,0.11597033366515144,0.09778527106899036,0.09058994971867036,0.08967845296762515,0.07557535153067228,0.06858086235532405,0.0934508512050778,0.09045248958592379,0.09620691784924951,0.09316499821444353,0.08865163737021445,0.09547854324786244,0.09088445909055916,0.08167669543443352,0.09388494566286401,0.09139597626378183,0.081878615336487,0.06736328017408119,0.08770390108717313,0.08772303745543703,0.07358930342004337
