,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.10326229286780754,0.09743228575470471,0.11573759905161865,0.10273305329756241,0.10861822910522832,0.11465572489681118,0.10667171841440821,0.10377850129432029,0.10619140069867553,0.07936838509156087,0.09766703506772831,0.11400625111182104,0.10747837388615367,0.09887887401704498,0.11222271989940652,0.11770485850183884,0.11928949889661847,0.095685353520652,0.11727270668368021,0.10309246407542867,0.10645787222096326,0.10090534345976221,0.10640715293272156,0.11852518951394217,0.10122610025397331,0.10538857214687157,0.10782113980028603,0.09932701214484817,0.1039180838975841,0.10422045828760342,0.11003074562739146,0.10437821745579363,0.10654630348183401,0.09957851947321701,0.10866878078875428,0.11175833578013195,0.10481275229948878,0.09826184931471614,0.10507358879081961,0.11104099357467488,0.09655669187686644
Albanian,0.10326229286780754,0,0.09246237758471235,0.10347413889755334,0.09849325819929654,0.10115023728956012,0.1057094069692923,0.09769170160999764,0.10001605460478186,0.1111786876663146,0.10167503014746761,0.10631397417787972,0.10246574167284711,0.09775279386971424,0.10582688325573136,0.10087090057048301,0.10812143454943453,0.10784367717446268,0.10068612158868034,0.10794750720552844,0.09344513381566891,0.10285379484554215,0.09626778161463538,0.09952830559595065,0.10593344158061443,0.09023328798889656,0.11220750352132934,0.09853154210841489,0.0931185216973118,0.09872457927734163,0.0971570779535828,0.10019660164831684,0.09871289855739311,0.10077002043747493,0.08399874711082168,0.10240723978923227,0.1055101239212418,0.09569249451722318,0.10280542312395236,0.09704116794631334,0.09989700251446851,0.0920552474667918
Armenian,0.09743228575470471,0.09246237758471235,0,0.09978504489499346,0.08996532460309149,0.09641116873722204,0.1021375597060095,0.0934496564254332,0.09621416025660462,0.10740610064271612,0.0973068774815872,0.0995283610490845,0.10326371046956445,0.09815108266912248,0.09736283035689354,0.09543674898728395,0.10399520104225074,0.10420655424505992,0.09077466040146022,0.10486431844779069,0.09057417972459303,0.09184801378278391,0.08542206531766508,0.09445457846691044,0.10341853904576795,0.09240186417102432,0.10353968716619616,0.0968367190781983,0.08648472806621506,0.0922615087204671,0.0962759193905727,0.09641850919553473,0.09327950014768709,0.09392067651997088,0.0879549903859125,0.09753513105884001,0.10152182331034218,0.09618636136818798,0.09680222503310823,0.0932066389020124,0.09863105497643473,0.08660175148018544
Bengali,0.11573759905161865,0.10347413889755334,0.09978504489499346,0,0.10129189888169852,0.10394391998401993,0.1122808864039041,0.10261938912093808,0.10452603354867435,0.11856148347389042,0.10925542817307082,0.10846880005739867,0.11312582901121639,0.10898661440575268,0.11108293243202984,0.10663094250583856,0.09341304624990383,0.09350743575436958,0.10822661446965076,0.12001521974289162,0.098149214435985,0.10617068237124554,0.09917186499436485,0.10143017325955717,0.09708985561593696,0.08117092386543175,0.11830693139954401,0.10741676291930126,0.10048791498219355,0.10021275547021108,0.10597307573196428,0.10693407548617827,0.10388990128074793,0.10416628023371843,0.09548105084481598,0.10680035916405567,0.10971481011038177,0.1025345896814701,0.10632708157013336,0.10156696140159831,0.08935908652116636,0.09819802928489925
Bosnian,0.10273305329756241,0.09849325819929654,0.08996532460309149,0.10129189888169852,0,0.08046016232245738,0.10600093422452844,0.06392318199800802,0.07976340858289367,0.10928177406586868,0.09965082019742491,0.10448028652607096,0.10585654216607125,0.10370855706689554,0.1007714183078333,0.10115358629540606,0.10523880147005805,0.1065850380204727,0.09555712783215535,0.11483894178211385,0.08956560607587247,0.08495885442368828,0.07804147282689333,0.07045359206869062,0.1076331258226826,0.09162000154605292,0.10615995140750366,0.1052130455907184,0.09142290956986125,0.07352337430130726,0.09795552389771499,0.09541624208210484,0.0719840221806926,0.05314932056229282,0.09475295238261128,0.07662802294981495,0.08169047026086822,0.09793137004606328,0.09938677723770009,0.07120888776532244,0.10066956563142077,0.0908255065915699
Bulgarian,0.10861822910522832,0.10115023728956012,0.09641116873722204,0.10394391998401993,0.08046016232245738,0,0.10675391260584685,0.07458733270720269,0.08556880123564045,0.11238363606823261,0.10156800635810398,0.10571667589751786,0.10693327986585818,0.10257153519383787,0.10488020132358115,0.1014663330763097,0.1071888645282255,0.10773167948258333,0.10132862566246559,0.11383600937785514,0.09055846708867868,0.0992172309488394,0.09041623932996519,0.07317883298262305,0.10836879227963303,0.0970705252042012,0.11409813893278814,0.10666243292583998,0.09623120221178932,0.0831432893491576,0.0994416445730576,0.10060767274259531,0.08307760061880629,0.07909859863871888,0.09549727642006511,0.08681258377618206,0.09191986841054224,0.09540246722231363,0.10317036275601704,0.08258325407396062,0.1007411010366454,0.09107636088296645
Catalan,0.11465572489681118,0.1057094069692923,0.1021375597060095,0.1122808864039041,0.10600093422452844,0.10675391260584685,0,0.10474284378306424,0.1074335262753423,0.11752140606040044,0.10840786133903615,0.10891631765982596,0.10177778919267826,0.08866859743436514,0.11097811504948164,0.1072332719980138,0.11570406209766053,0.11565626225415647,0.10776086646588065,0.11762578379835176,0.08633347090120487,0.1093071195465744,0.09837574680880777,0.10642881106252207,0.11400633996885205,0.10398782117167531,0.1136291623632205,0.11305300227043441,0.10292201005068621,0.1018661741214523,0.08950028726953746,0.09768089891018097,0.10630052662891867,0.10793581081489116,0.10172755303235109,0.10858517939264803,0.11250163304045202,0.0829332830898328,0.10718045014350273,0.10365666682306186,0.11045842645028335,0.09891415441268503
Croatian,0.10667171841440821,0.09769170160999764,0.0934496564254332,0.10261938912093808,0.06392318199800802,0.07458733270720269,0.10474284378306424,0,0.0796046733363197,0.10960368430595988,0.1005158964756874,0.10515382221887744,0.10487841510292914,0.100476699744407,0.10371818861440223,0.09977410170541644,0.10492148580131568,0.10623779098966822,0.09958892190666165,0.11295057476202487,0.08820146461082418,0.09505941056162111,0.085487258498511,0.07490004156313132,0.10525332492596838,0.09429294267829379,0.11137216085538691,0.10309486005278375,0.09174674141756217,0.07698796100502463,0.09876109976049682,0.0965129296365743,0.07976622096329222,0.06123210031829005,0.09079090800544051,0.07974156313601516,0.08022503191874103,0.09478509923765824,0.10014211191456214,0.07558139338459154,0.09984731863250221,0.08971601152771089
Czech,0.10377850129432029,0.10001605460478186,0.09621416025660462,0.10452603354867435,0.07976340858289367,0.08556880123564045,0.1074335262753423,0.0796046733363197,0,0.10766026391060954,0.10010784702041473,0.10367043886189299,0.10373177362611526,0.10244842937339439,0.10486660907042347,0.10312593294099777,0.1073448927001029,0.10793028615669244,0.09894686161271618,0.11298240616595227,0.09315954246773081,0.09296920253777695,0.08799743995369892,0.08531676022657755,0.1086164132522199,0.09477897123188127,0.1096541290832906,0.10396413864475676,0.09413137216722878,0.07601208586557805,0.09895784963563688,0.09966948651059586,0.08071660543062237,0.07980793945208439,0.09587737467370015,0.06905340962492416,0.09090516080669875,0.0965492239695805,0.10144997789239053,0.07794622199926726,0.10045869088990832,0.09031233529093721
Danish,0.10619140069867553,0.1111786876663146,0.10740610064271612,0.11856148347389042,0.10928177406586868,0.11238363606823261,0.11752140606040044,0.10960368430595988,0.10766026391060954,0,0.10237888680235976,0.09844852041993318,0.11367006320715099,0.11173078889372268,0.10031484836018974,0.11535167565900613,0.1188927834370243,0.1184044776519309,0.09666012016032108,0.11936634716144072,0.10504445730067975,0.11423643619917276,0.10621298169892271,0.11263478858330632,0.11935626490134695,0.10467285585213747,0.09716670878875337,0.11500064846139334,0.10482794653189412,0.1066528966117061,0.10716983381774604,0.11261646685285044,0.11060077860129501,0.1125221241468023,0.10711800830372778,0.11130422313403047,0.11475572294440492,0.10654085360297011,0.09482612623702126,0.10871379361376633,0.11132484647073591,0.09874369703357047
