,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.06394908800820313,0.05448329279299434,0.0681993305817168,0.05838813438055657,0.06448886666944792,0.06725268377076374,0.06089369227549973,0.06289048259606603,0.058268435171502354,0.0431094499100138,0.052319948467505636,0.06523733931394202,0.062306861568676195,0.057314307164425954,0.06382818013196889,0.06803640382952182,0.06584965565909777,0.05518893709968779,0.06726233513406268,0.05791170339307319,0.06494286625732518,0.06027573009142548,0.06205305284328771,0.06726788497826983,0.05660134584609833,0.06059932936808323,0.0618524151777565,0.06024408621163764,0.062324813668456804,0.060583100688014584,0.06345644649866496,0.06069604598915474,0.06140736246839769,0.05797851234429035,0.06446652097752746,0.0649735489563257,0.06038569801851296,0.05584217634058019,0.0600906759093161,0.06412249475514686,0.05354016775480785
Albanian,0.06394908800820313,0,0.052736960274454896,0.06199988673270943,0.056664307927935184,0.06130939941243637,0.06441614982839086,0.056689184543567105,0.061410905526696764,0.06399524513017901,0.06172506721185602,0.0614443744259623,0.06012676498769107,0.05758884383629614,0.06448103879844733,0.058667471361814376,0.06405758039161688,0.06124353971802161,0.06032272102581994,0.06475042818071373,0.054489786772640644,0.06438368314406144,0.057491909301660774,0.05841951050371264,0.06209364503840638,0.05132316888576701,0.06744341086385691,0.057592639991301375,0.057383847919766744,0.06074133467606058,0.05825933261451799,0.05829942139947328,0.05806633402806028,0.058737431502904065,0.04830356337137358,0.06171083865770271,0.0628852034110413,0.05691098601500459,0.061213703957779565,0.05611541281416719,0.05823411413493543,0.05251632655904978
Armenian,0.05448329279299434,0.052736960274454896,0,0.05545768308376246,0.04916075910862461,0.05436207753805521,0.056970439617042616,0.050612618456758594,0.05434785623297144,0.056872294344945756,0.05345643897527305,0.05258726416598482,0.05566254606756098,0.05319578135822015,0.05452874617281099,0.05135460383672643,0.05688294316999937,0.05539504595332949,0.05014184029655776,0.05675704807293049,0.048674511533047755,0.05369974720379734,0.048981711230230734,0.05175629648207956,0.056242785818097746,0.0486985131289537,0.05778618108257009,0.051580245830673575,0.048809175708448664,0.05282413545755118,0.052311157714745454,0.05234568495104552,0.05160360551567262,0.05182706720929512,0.04756629350833697,0.05443960059365824,0.05607688808540613,0.052145530034541164,0.0526521771755179,0.05058990679522988,0.05315935203923626,0.04520210710773417
Bengali,0.0681993305817168,0.06199988673270943,0.05545768308376246,0,0.05887616241556763,0.06308493625020557,0.06645466302759502,0.05982960182064533,0.063748878401625,0.06930421771521518,0.06455989079826409,0.0618702884807254,0.06593309923800807,0.06325124203973619,0.06751890631232213,0.06080831063412086,0.05346186725006952,0.05124123977536078,0.06404427138884589,0.06941219650470322,0.05624741787340319,0.06642896694270019,0.05953038302935879,0.060416437863634216,0.0551737167826365,0.04478689369728342,0.07182549845534751,0.06184526044077695,0.06062642072016093,0.061061954114464974,0.06171743939991927,0.06234726075137061,0.061595580935851955,0.06132761849033244,0.054212465759539336,0.06448482575746088,0.06451273787645267,0.0585693730307669,0.06336416525661293,0.05948990482775125,0.0518917756546088,0.05566840794780506
Bosnian,0.05838813438055657,0.056664307927935184,0.04916075910862461,0.05887616241556763,0,0.0442283578477729,0.060948271054925535,0.03167250170513423,0.04556488348289003,0.0607859881735155,0.05654483150030046,0.057008430217151344,0.05915832463458502,0.05725728728618073,0.05867002642017091,0.05613008484795233,0.060518491370248985,0.05890115196822566,0.05413788879013945,0.06326588703667549,0.049875119776047964,0.05244105310866502,0.0466980264969198,0.03738597919177312,0.06107360236819319,0.05171222310342516,0.06190133795502194,0.05767914684428303,0.05282143581924559,0.04241574689567944,0.05509913477386577,0.054660789930857635,0.04019197708219136,0.026737332202002785,0.05214677703238212,0.04343369413333389,0.04513679344560812,0.05420802952584235,0.056702492518926825,0.038901688176730016,0.05696381688667688,0.049361685086349506
Bulgarian,0.06448886666944792,0.06130939941243637,0.05436207753805521,0.06308493625020557,0.0442283578477729,0,0.06415826203313257,0.04169406423744943,0.05051965039794165,0.06519286603149295,0.060750338327030584,0.06016483213751355,0.06283987345254914,0.060636681943731216,0.06469037749143229,0.05901198992486723,0.0646693260741204,0.06199380994126797,0.06037766962785567,0.06694082541770321,0.05171652286651478,0.06272314834178423,0.054932947787404936,0.04165920573766675,0.0644298432260413,0.055305050117462146,0.06854157308307297,0.06236591584582633,0.058905984260614115,0.05032164385436873,0.05874022908095865,0.05925988811622876,0.04843119865195149,0.045043988666625484,0.055297139845773155,0.0510784036343813,0.05263290386829815,0.056054955355813195,0.06210862665554351,0.047376391608075184,0.05947016920529977,0.05078486632895506
Catalan,0.06725268377076374,0.06441614982839086,0.056970439617042616,0.06645466302759502,0.060948271054925535,0.06415826203313257,0,0.060635805387463354,0.0656546755278443,0.06876677904183552,0.063585936921738,0.06089441573134413,0.059858840673769315,0.050432817954712814,0.06759139743968742,0.06165680247147646,0.06762038141053307,0.06586798150251524,0.06369987721075762,0.06881569734351939,0.04809623373391724,0.068880967239767,0.060377815342242964,0.06292440382188402,0.06666632772924996,0.058172973175703455,0.06932299083725146,0.06555533428036182,0.06209212900664689,0.06245067675619848,0.05099839687682274,0.05650561236654434,0.06312834274937418,0.06360899828858409,0.05934923875179204,0.06567345924872457,0.06593643930947522,0.0465628306895208,0.0638055362778319,0.06077792196077053,0.06427626075324815,0.055330331726541775
Croatian,0.06089369227549973,0.056689184543567105,0.050612618456758594,0.05982960182064533,0.03167250170513423,0.04169406423744943,0.060635805387463354,0,0.045399316358626214,0.06029547971716806,0.05808733166788226,0.057320680596092174,0.05901510502855479,0.056265190982568554,0.061059532695889596,0.05560870025664833,0.061094079250164766,0.05905174957224171,0.056825543120105355,0.0635448638442874,0.048961918746919623,0.058712656201469524,0.05000851101457779,0.041188746083324075,0.06053348478934174,0.05110043757838219,0.0642273407751155,0.05716039679403676,0.05397439543425373,0.04608014063415753,0.056339632502950855,0.054918442904515315,0.04471941268066215,0.031657965323738206,0.05006676521215082,0.045231335738160114,0.04361689112304277,0.05317838835129178,0.05783190055826776,0.04152072512773772,0.05638813357032797,0.04821923605610772
Czech,0.06289048259606603,0.061410905526696764,0.05434785623297144,0.063748878401625,0.04556488348289003,0.05051965039794165,0.0656546755278443,0.045399316358626214,0,0.06307470389560187,0.06089059656992499,0.05937979664024643,0.06218907147625785,0.061140797921415184,0.0651317670165684,0.060839642668745836,0.06523320389085392,0.06312072507464236,0.059514988502131605,0.06639964307001735,0.05459576494024788,0.058632715123077654,0.05464600356751049,0.05035145859826798,0.06503487767829522,0.0553795175216998,0.06671774277019642,0.06101844379947735,0.0583868488154522,0.046416959156573796,0.05959968743128179,0.0599036609832868,0.04716210184363893,0.04714839662367868,0.05541898681411157,0.04038369289822614,0.053088744552009244,0.057312077902302964,0.062111064332125564,0.04573702024496732,0.05973322452169775,0.05151220847526521
Danish,0.058268435171502354,0.06399524513017901,0.056872294344945756,0.06930421771521518,0.0607859881735155,0.06519286603149295,0.06876677904183552,0.06029547971716806,0.06307470389560187,0,0.05776237141642665,0.05344158587522006,0.06364800529014934,0.062303280261742734,0.058778729333173914,0.06395020225131746,0.06963704528713563,0.06644855152926764,0.05327013673953792,0.06610836971028623,0.05721908103274173,0.06885196036730207,0.06254057905542341,0.06402506314440949,0.06869437077977911,0.056338353973776546,0.054032355590772546,0.06281984431355006,0.06113107300470243,0.06357248965792328,0.061721473956497706,0.06389622409279161,0.06285978623513212,0.06387420220029609,0.057065842338779746,0.06491939108152536,0.06463110208207987,0.06068806842112346,0.05193432855198887,0.06104788480615711,0.06327114337354224,0.05270939169308422
