,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.0511709989498954,0.0471701202420537,0.05254384769716087,0.046502531901042664,0.051178304988613685,0.053165978476421315,0.04879476393443751,0.050411255476152446,0.04706423780525457,0.03577330369740745,0.04500489509510531,0.05279800580132445,0.05010593003160956,0.046272310141053076,0.0534376654285677,0.05346324368118379,0.0529078806007569,0.04444035828314038,0.05447799296362406,0.04955716785197544,0.04954266249500517,0.046409247468828956,0.04804621028376729,0.05284525696951621,0.04754094838792673,0.04681755650070445,0.05066924250218752,0.048711941740273386,0.05068543707393548,0.04988937900642488,0.051161653560047045,0.04802027503069915,0.04728795411060634,0.04748630102988853,0.051962835539313676,0.05146071979106938,0.05113420902001619,0.04508724262009575,0.047731215724796064,0.05145939768081048,0.048212825189846396
Albanian,0.0511709989498954,0,0.04531787636886284,0.04864760080740137,0.04570321769386999,0.049338471305551565,0.05147835998191455,0.04671012160592816,0.049970557264463956,0.053883311337711945,0.050778566019320445,0.05267410937098698,0.04949680740122486,0.04768216714615329,0.05276616384713557,0.050674467170906755,0.0502013411518418,0.048795809247189924,0.049712389577779854,0.053195961821711865,0.04735558465537757,0.04939851493184999,0.04462313369273197,0.046269477469300456,0.04921123940812918,0.043124407241405184,0.05399838163607972,0.0481827424162539,0.0471068114733146,0.049380382146618454,0.04875225927193993,0.04812520027677467,0.046362003124477386,0.04621813763451091,0.041080291796726474,0.05020942032116855,0.050994784169873304,0.0488585616593882,0.05024236924758455,0.045341055658520896,0.04759361498088494,0.04708076984122362
Armenian,0.0471701202420537,0.04531787636886284,0,0.04698487506825965,0.04197214373620915,0.04625144980427221,0.04808378431294768,0.04351912504582954,0.046085199923304926,0.05045941288639335,0.0469379663396167,0.0474943986095697,0.04869761863890995,0.046309771936163306,0.04655217496489154,0.04515212066659406,0.04784226127379203,0.04715888453475601,0.0437561802304015,0.04917810360204617,0.04323841681790737,0.04421356001486072,0.039921855921265514,0.04388360926557226,0.04792427961382013,0.043108982802537776,0.04984409046088574,0.04608549069002194,0.04223663591886475,0.04521000666484731,0.045832625531021305,0.044770291421083616,0.04386968101526401,0.044029539759562974,0.04211368091551434,0.046825600022883086,0.047663459588740506,0.045759995892463164,0.04589535268919373,0.04330316264814774,0.04628162823823957,0.04137152456384873
Bengali,0.05254384769716087,0.04864760080740137,0.04698487506825965,0,0.046267693585719215,0.049065958146800016,0.05173349648918351,0.04787277671893954,0.050518351313891055,0.055299542998273166,0.05146665446359325,0.0519232404109693,0.05163489887266145,0.04968795346526068,0.053398638155764504,0.05014571993851984,0.04132296243755568,0.040095968675744574,0.05080534022729804,0.054355988070046685,0.04723538004961797,0.05002585727830579,0.0450003681916458,0.046780327367009364,0.042809174778267005,0.037069706074875815,0.05510550696838366,0.04923053995261411,0.048190906839590375,0.048723868540911354,0.04954758518989495,0.04956180155456673,0.047598606268024375,0.0471012811993498,0.043155566400620564,0.05134073765596805,0.05090731829280567,0.04819877500013097,0.050577098229662,0.04668738002231169,0.04168484959212312,0.0476005639807131
Bosnian,0.046502531901042664,0.04570321769386999,0.04197214373620915,0.046267693585719215,0,0.03543724854061287,0.04764755705871158,0.026877784729466826,0.03833584818530122,0.049574031289586706,0.04659240659693354,0.048095920753694434,0.04773735545715918,0.04561974066564529,0.04755020848598818,0.04602470396006584,0.04788593516949236,0.04690886383746147,0.04379962158495059,0.051065447877068265,0.04168244867000373,0.04189445264811583,0.03834841982042783,0.03020760142884126,0.04798007735372919,0.042937994213493196,0.04858377641452337,0.0471671043755731,0.04356827133389974,0.035960374688859036,0.04522479236565601,0.043503265506802516,0.03351413998667135,0.023237375609572068,0.04258083381134645,0.036625786104620195,0.03683881889818979,0.044451684265930214,0.04550099128501094,0.03291955033103565,0.045939152211784594,0.043147777365203525
Bulgarian,0.051178304988613685,0.049338471305551565,0.04625144980427221,0.049065958146800016,0.03543724854061287,0,0.050022330846661335,0.03410249116444814,0.04164931270829145,0.053127895218661556,0.04995729812017062,0.05071040333760243,0.05071452826231474,0.04849609330477142,0.05174999966639291,0.04869856721606383,0.05068126439495155,0.04912972151171591,0.04910750640212215,0.05391763075361536,0.043687292778887464,0.04843276370160066,0.04258256844597376,0.03355241223075586,0.05061992838093625,0.045660078860877654,0.05368258335047898,0.050711602223451495,0.04772864325914316,0.041321926677656044,0.04810761977809044,0.047423029273782225,0.03918754829131478,0.036068118270936415,0.045462906507832926,0.041744989810653596,0.04183442928863569,0.046007301540752187,0.049489612316546354,0.03828544044784929,0.04861454680845034,0.04424366537051536
Catalan,0.053165978476421315,0.05147835998191455,0.04808378431294768,0.05173349648918351,0.04764755705871158,0.050022330846661335,0,0.04787450678487006,0.05245937120504923,0.05556404960392917,0.05185588804100662,0.05119216403844379,0.048073464524004315,0.04117469583903894,0.053868306687313516,0.050469063392033796,0.05253930577220464,0.05171099853770381,0.05160002379693653,0.0548358435876195,0.040688047400026385,0.05273085801679342,0.04652629688148168,0.049079463993887774,0.05232859796657814,0.047838757195775725,0.05535300680063235,0.05318088528797375,0.05042662523537489,0.050454508127015255,0.04196538242712588,0.04526479525417072,0.04959533411567896,0.04912462799993408,0.04794767131803713,0.05231677362839866,0.05144394249629442,0.037907223496291186,0.051384505317648,0.04826862966179885,0.051958046952638975,0.04695944563790278
Croatian,0.04879476393443751,0.04671012160592816,0.04351912504582954,0.04787277671893954,0.026877784729466826,0.03410249116444814,0.04787450678487006,0,0.03857962088373552,0.050535212594480836,0.048088050740196495,0.04916823340360504,0.048417256416325334,0.046236674476388295,0.049483421768639596,0.04687390615642087,0.0488486444393485,0.04755221012972094,0.04665508331742687,0.051858946580882505,0.04170860730561958,0.04629144672031912,0.040554447938480974,0.03341763124581743,0.04871910117628526,0.04379404011855455,0.05138915612438042,0.04765407296002564,0.04503518184661371,0.0383454776857691,0.04689053304847022,0.04412535361060152,0.036702303746651226,0.02703591891230442,0.04290955796308804,0.0377568023444494,0.036691568433230466,0.045002143512846725,0.04742595580479699,0.03536604576428239,0.04742568834666142,0.04314960107973306
Czech,0.050411255476152446,0.049970557264463956,0.046085199923304926,0.050518351313891055,0.03833584818530122,0.04164931270829145,0.05245937120504923,0.03857962088373552,0,0.052240401690806106,0.0497344696108755,0.05079672617653818,0.05117176298609982,0.05025267271287525,0.05237609304014692,0.05135216132191862,0.05211892489397926,0.05118366626513558,0.048792531634556366,0.05395005483610465,0.04685320319010484,0.046960743396150244,0.04329366198467021,0.040811271765407546,0.05208438571763361,0.046445032874857815,0.053051712585873004,0.05088858567266654,0.04794089835390872,0.038902373964265886,0.04917915325022111,0.04860271064066269,0.03938754571726263,0.038870326397025964,0.04643705461399879,0.03404548225265704,0.0441825746296959,0.048667720008337294,0.05054386869855762,0.03847207389092407,0.049448747171115054,0.045817566759208374
Danish,0.04706423780525457,0.053883311337711945,0.05045941288639335,0.055299542998273166,0.049574031289586706,0.053127895218661556,0.05556404960392917,0.050535212594480836,0.052240401690806106,0,0.04874998894786453,0.047186036363212946,0.05336820235455082,0.052804713881506884,0.04780224819949306,0.05526926773106799,0.055724313359162114,0.05504325017036226,0.044427017995345326,0.055098835860971106,0.050222525524478284,0.05382823590864771,0.04924227979751542,0.05149562235968093,0.05553437555051944,0.048875530898372856,0.0435072194013302,0.05390032842905328,0.051292061300186126,0.05283986910338331,0.053022455481942454,0.052554122417744806,0.0510948678110794,0.05112560378092506,0.04943385315923381,0.05389186080838949,0.0529012009993467,0.053151651520793736,0.04342299902267215,0.050398586536377125,0.0535823549015434,0.0485323868404502
Dutch,0.03577330369740745,0.050778566019320445,0.0469379663396167,0.05146665446359325,0.04659240659693354,0.04995729812017062,0.05185588804100662,0.048088050740196495,0.0497344696108755,0.04874998894786453,0,0.043749122549902826,0.0521385231953547,0.051201699885658904,0.04192914091798028,0.05110518172939981,0.05152148596030668,0.05107753161141555,0.045316125750274036,0.05406239080534303,0.04778249663195537,0.049448906108309,0.045801536538267996,0.048004101745997764,0.051711609192160335,0.04758718308893744,0.047975068990706436,0.0515767252437867,0.04820775035193391,0.049399719627531355,0.04886345993408853,0.05049068363404322,0.048506979949436,0.04806383365346447,0.04777920694620932,0.05213690165423885,0.051397896974885525,0.04955827499995917,0.045023908422050105,0.04830473239715,0.05041064468459512,0.046619637472100496
English,0.04500489509510531,0.05267410937098698,0.0474943986095697,0.0519232404109693,0.048095920753694434,0.05071040333760243,0.05119216403844379,0.04916823340360504,0.05079672617653818,0.047186036363212946,0.043749122549902826,0,0.0524908781094861,0.0519011495196956,0.046367401678128375,0.05266435369772374,0.05216792738229566,0.05255632523317028,0.04714077686479015,0.05303477801017308,0.04749651964848005,0.051000646440586245,0.0467335153906227,0.05027837095143146,0.052922819266656956,0.04781691021076767,0.048932268919772745,0.0536772067322156,0.04935744544146937,0.05012053748069672,0.04963732231866229,0.050888280138078175,0.0499800509052614,0.04980303505309675,0.0498391230501344,0.052363913668335926,0.05202570893595169,0.04978193669756941,0.04586488380611493,0.049388657455373186,0.05127649511480365,0.04524642185008199
French,0.05279800580132445,0.04949680740122486,0.04869761863890995,0.05163489887266145,0.04773735545715918,0.05071452826231474,0.048073464524004315,0.048417256416325334,0.05117176298609982,0.05336820235455082,0.0521385231953547,0.0524908781094861,0,0.046683776080216836,0.05378207662618904,0.05187520468428803,0.053456109116346844,0.05261829084997216,0.051508447987484995,0.054170497489016825,0.04402151586903439,0.05198731411090264,0.04722355838120373,0.04916999363657266,0.05259322980860575,0.047340429163511416,0.055186721248773316,0.05147313003071921,0.04971303439121584,0.05087625824964468,0.046759504130405596,0.04759500536533663,0.049325100154433255,0.048920099477927165,0.04774327763261203,0.052529933736649485,0.05197429544005165,0.04674066633798712,0.052369390319091276,0.04813326517138581,0.051416723692176314,0.04750444690651545
Galician,0.05010593003160956,0.04768216714615329,0.046309771936163306,0.04968795346526068,0.04561974066564529,0.04849609330477142,0.04117469583903894,0.046236674476388295,0.05025267271287525,0.052804713881506884,0.051201699885658904,0.0519011495196956,0.046683776080216836,0,0.05314138603762072,0.05055659459443756,0.051549314785680075,0.05110340118179714,0.04840914101797607,0.05294767478151245,0.04038478946937339,0.04995479561905099,0.045498418725536886,0.04623605559732972,0.05070117655413732,0.04506848078644076,0.052535233370657505,0.05002674944895494,0.04789945983363147,0.04992924883726532,0.03691712198728301,0.044517227795194694,0.04710217238435797,0.04641333645434264,0.043874660113941,0.0505483455124428,0.0501663785676932,0.03308274282646185,0.04931510508472146,0.04616326745182431,0.04976916383802157,0.046449507029497204
German,0.046272310141053076,0.05276616384713557,0.04655217496489154,0.053398638155764504,0.04755020848598818,0.05174999966639291,0.053868306687313516,0.049483421768639596,0.05237609304014692,0.04780224819949306,0.04192914091798028,0.046367401678128375,0.05378207662618904,0.05314138603762072,0,0.051293546271180365,0.053507703967949564,0.052780341876062856,0.04662986333559478,0.0556213675464486,0.04702131151944761,0.051486694275920154,0.04656782454570602,0.050620100355285726,0.054195902291997625,0.04836329567432821,0.05137879293635547,0.054156555283826006,0.049333173693777294,0.05074229236791701,0.052094906534470645,0.050680800131040274,0.05098731534428686,0.05023817986732036,0.04972726355121472,0.053743979108298416,0.0526749121775511,0.05084858840632947,0.04554244473941343,0.049669346965194414,0.05267304986370488,0.04661627088397174
Greek,0.0534376654285677,0.050674467170906755,0.04515212066659406,0.05014571993851984,0.04602470396006584,0.04869856721606383,0.050469063392033796,0.04687390615642087,0.05135216132191862,0.05526926773106799,0.05110518172939981,0.05266435369772374,0.05187520468428803,0.05055659459443756,0.051293546271180365,0,0.05108598343933803,0.04986246462505547,0.049355618594622036,0.05542974361348762,0.04450411489278126,0.04910252510953731,0.04320433512880921,0.04813784808221613,0.052237144521449994,0.0455148074733193,0.056318655242648084,0.05191269664927196,0.048370308833342035,0.04901819452328042,0.049710457518862154,0.04749483291376842,0.047785298575509526,0.048352392866091706,0.046940423969644804,0.051903979380838926,0.05132655590997067,0.04713855360281023,0.05135473674354516,0.04618510806315947,0.050489617629544806,0.04519993063941979
Gujarati,0.05346324368118379,0.0502013411518418,0.04784226127379203,0.04132296243755568,0.04788593516949236,0.05068126439495155,0.05253930577220464,0.0488486444393485,0.05211892489397926,0.055724313359162114,0.05152148596030668,0.05216792738229566,0.053456109116346844,0.051549314785680075,0.053507703967949564,0.05108598343933803,0,0.03717627630445429,0.051542943394695014,0.055351955604382726,0.048374568841687046,0.052471942009296266,0.045800335347217815,0.04861407463997258,0.036507880221324146,0.03846657073127209,0.055738870288216884,0.04987612251652597,0.04900867655531626,0.050627714034216204,0.05162731845414397,0.05081451020983547,0.05000278357122848,0.049258697633427946,0.04534819180208789,0.052758087941702406,0.0527994031244951,0.049250395972739995,0.05098378638835103,0.048410231550109456,0.04214387911563079,0.0481686225662321
Hindi,0.0529078806007569,0.048795809247189924,0.04715888453475601,0.040095968675744574,0.04690886383746147,0.04912972151171591,0.05171099853770381,0.04755221012972094,0.05118366626513558,0.05504325017036226,0.05107753161141555,0.05255632523317028,0.05261829084997216,0.05110340118179714,0.052780341876062856,0.04986246462505547,0.03717627630445429,0,0.0505601222050045,0.05395163358782114,0.047352379694227814,0.05189741471678803,0.04518060328865737,0.04688858625524748,0.03981591683395197,0.037088149530791516,0.05497785520248153,0.0480385462898004,0.04741928045920635,0.049057666103327645,0.05005184917939411,0.048880863939050674,0.04874495454271136,0.04801411734329458,0.043804783084053764,0.05134672674402686,0.05217583975724299,0.047978135394249354,0.04983453072947856,0.0470298655818191,0.03417557195832909,0.047564302852024704
Icelandic,0.04444035828314038,0.049712389577779854,0.0437561802304015,0.05080534022729804,0.04379962158495059,0.04910750640212215,0.05160002379693653,0.04665508331742687,0.048792531634556366,0.044427017995345326,0.045316125750274036,0.04714077686479015,0.051508447987484995,0.04840914101797607,0.04662986333559478,0.049355618594622036,0.051542943394695014,0.0505601222050045,0,0.05322606770764079,0.046375820182242136,0.04596164922170758,0.042343236076194356,0.046238544921116495,0.05138754513908657,0.046483726643794764,0.04432615612036417,0.050503586774839314,0.046175163180530276,0.04787007654360577,0.048899261113508494,0.04797148149909321,0.045371381157562334,0.045650038069570006,0.045164052924820855,0.0500702328388027,0.05021019841318071,0.04873198190827098,0.04149224443302917,0.04502156028996897,0.04984476076797892,0.04582360158842147
Irish,0.05447799296362406,0.053195961821711865,0.04917810360204617,0.054355988070046685,0.051065447877068265,0.05391763075361536,0.0548358435876195,0.051858946580882505,0.05395005483610465,0.055098835860971106,0.05406239080534303,0.05303477801017308,0.054170497489016825,0.05294767478151245,0.0556213675464486,0.05542974361348762,0.055351955604382726,0.05395163358782114,0.05322606770764079,0,0.051422454111797966,0.05539708010499714,0.050304567863980354,0.051432538782274155,0.053951659689915325,0.04931302282350654,0.0580027747149308,0.05249482246789442,0.0517551897493527,0.05391884763566821,0.051077550362732635,0.05313012946573331,0.05213653978378402,0.05267612227771166,0.049297994621011906,0.05532574064105518,0.054911881015177216,0.05087931232925795,0.05372247698025583,0.05155982298037505,0.053028173193488445,0.04774816367297752
Italian,0.04955716785197544,0.04735558465537757,0.04323841681790737,0.04723538004961797,0.04168244867000373,0.043687292778887464,0.040688047400026385,0.04170860730561958,0.04685320319010484,0.050222525524478284,0.04778249663195537,0.04749651964848005,0.04402151586903439,0.04038478946937339,0.04702131151944761,0.04450411489278126,0.048374568841687046,0.047352379694227814,0.046375820182242136,0.051422454111797966,0,0.047334292705154934,0.04123700722243301,0.043928161355570934,0.04887428869604067,0.04350267069689468,0.051051486228073,0.04927247402761383,0.045046504557956994,0.043694589732623045,0.040821438611532236,0.03878417176630338,0.0436968198645445,0.04353490782689864,0.04509516364866447,0.0464035814296134,0.04643142243731888,0.03739912263057931,0.046498013847694114,0.04276718556665826,0.04828427983271787,0.040329561085193956
Latvian,0.04954266249500517,0.04939851493184999,0.04421356001486072,0.05002585727830579,0.04189445264811583,0.04843276370160066,0.05273085801679342,0.04629144672031912,0.046960743396150244,0.05382823590864771,0.049448906108309,0.051000646440586245,0.05198731411090264,0.04995479561905099,0.051486694275920154,0.04910252510953731,0.052471942009296266,0.05189741471678803,0.04596164922170758,0.05539708010499714,0.047334292705154934,0,0.03614218961228522,0.04522351870035233,0.05223941989675642,0.04761932172816772,0.05222152612970255,0.05150662092628515,0.04802459041673415,0.04497092066310536,0.048302318933950206,0.0490424358071719,0.042984918458678155,0.04413218803774279,0.04737016023940028,0.04762083243290161,0.048481399084483276,0.050565986935226445,0.04916821349485191,0.04413115157276001,0.04986725781528858,0.04669448204271673
Lithuanian,0.046409247468828956,0.04462313369273197,0.039921855921265514,0.0450003681916458,0.03834841982042783,0.04258256844597376,0.04652629688148168,0.040554447938480974,0.04329366198467021,0.04924227979751542,0.045801536538267996,0.0467335153906227,0.04722355838120373,0.045498418725536886,0.04656782454570602,0.04320433512880921,0.045800335347217815,0.04518060328865737,0.042343236076194356,0.050304567863980354,0.04123700722243301,0.03614218961228522,0,0.040859768609123964,0.04674453094599567,0.041713003810142986,0.04784914896926039,0.04611912664163049,0.0426333193635205,0.04137693530703253,0.04567938333461668,0.04321802322832314,0.04005351767121306,0.04007624211683099,0.04148136304215824,0.04465548552636722,0.04446981249632332,0.044181169893676604,0.04433733219052248,0.03954912252696136,0.04514396682644701,0.04131146605100787
Macedonian,0.04804621028376729,0.046269477469300456,0.04388360926557226,0.046780327367009364,0.03020760142884126,0.03355241223075586,0.049079463993887774,0.03341763124581743,0.040811271765407546,0.05149562235968093,0.048004101745997764,0.05027837095143146,0.04916999363657266,0.04623605559732972,0.050620100355285726,0.04813784808221613,0.04861407463997258,0.04688858625524748,0.046238544921116495,0.051432538782274155,0.043928161355570934,0.04522351870035233,0.040859768609123964,0,0.04849198656430697,0.043442191519439045,0.05097296392000132,0.04731100942711999,0.04551774929385533,0.039887311509819945,0.04688101127405319,0.045597870614233975,0.03576181487391084,0.029071764584883426,0.04278797348769777,0.039963811555661186,0.04035349969930785,0.04588623048875416,0.04760926077539118,0.035024809550322736,0.046349779183858214,0.045575961667304835
Marathi,0.05284525696951621,0.04921123940812918,0.04792427961382013,0.042809174778267005,0.04798007735372919,0.05061992838093625,0.05232859796657814,0.04871910117628526,0.05208438571763361,0.05553437555051944,0.051711609192160335,0.052922819266656956,0.05259322980860575,0.05070117655413732,0.054195902291997625,0.052237144521449994,0.036507880221324146,0.03981591683395197,0.05138754513908657,0.053951659689915325,0.04887428869604067,0.05223941989675642,0.04674453094599567,0.04849198656430697,0,0.040208223947021476,0.05559405687623984,0.049239892223249315,0.049948835881911686,0.0507841424113578,0.05059723195765045,0.05080210412352893,0.04903488980640385,0.04877267820060149,0.044465822319813636,0.05216964659457537,0.052540351524199974,0.04887241352443021,0.05101891439270086,0.04842281265154344,0.043341206690348584,0.048140848249402984
Nepali,0.04754094838792673,0.043124407241405184,0.043108982802537776,0.037069706074875815,0.042937994213493196,0.045660078860877654,0.047838757195775725,0.04379404011855455,0.046445032874857815,0.048875530898372856,0.04758718308893744,0.04781691021076767,0.047340429163511416,0.04506848078644076,0.04836329567432821,0.0455148074733193,0.03846657073127209,0.037088149530791516,0.046483726643794764,0.04931302282350654,0.04350267069689468,0.04761932172816772,0.041713003810142986,0.043442191519439045,0.040208223947021476,0,0.05025015793287101,0.043224196980758633,0.043516576270982966,0.04596947281076988,0.0461645715212044,0.0451757047893176,0.04452369550513873,0.044145849627090644,0.0382915025422853,0.046630659112034074,0.04690666471701173,0.044757502836308014,0.045847914459521084,0.04329568744966385,0.03819393785051652,0.043024071016608594
Norwegian,0.04681755650070445,0.05399838163607972,0.04984409046088574,0.05510550696838366,0.04858377641452337,0.05368258335047898,0.05535300680063235,0.05138915612438042,0.053051712585873004,0.0435072194013302,0.047975068990706436,0.048932268919772745,0.055186721248773316,0.052535233370657505,0.05137879293635547,0.056318655242648084,0.055738870288216884,0.05497785520248153,0.04432615612036417,0.0580027747149308,0.051051486228073,0.05222152612970255,0.04784914896926039,0.05097296392000132,0.05559405687623984,0.05025015793287101,0,0.055347768816501955,0.05177548784010299,0.052250214143334625,0.0525827050485306,0.05303452287717827,0.05090812557442831,0.05033511342317011,0.04937453471576644,0.05428352731162801,0.05326589296070029,0.052569115619714564,0.03807739576655914,0.05001590584846461,0.05283041261085953,0.05076205488536201
Pashto,0.05066924250218752,0.0481827424162539,0.04608549069002194,0.04923053995261411,0.0471671043755731,0.050711602223451495,0.05318088528797375,0.04765407296002564,0.05088858567266654,0.05390032842905328,0.0515767252437867,0.0536772067322156,0.05147313003071921,0.05002674944895494,0.054156555283826006,0.05191269664927196,0.04987612251652597,0.0480385462898004,0.050503586774839314,0.05249482246789442,0.04927247402761383,0.05150662092628515,0.04611912664163049,0.04731100942711999,0.049239892223249315,0.043224196980758633,0.055347768816501955,0,0.043816768948733584,0.05136317727380599,0.05022287234409214,0.050076034327407835,0.048280824069090275,0.047650673443371525,0.043010094570170375,0.052412803822663306,0.05116352438467138,0.05002095542671967,0.0513934143084892,0.047347566590847864,0.04580844757904677,0.04802202510334008
