,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.00409891960269311,0.003694652581250127,0.004756967018493519,0.0038395054701604345,0.0042817988736211406,0.004722917813811002,0.004009075691871759,0.003930519368810447,0.003980641810866019,0.003351452564139845,0.003814895662476925,0.004469890166528547,0.004286344259423846,0.004213537825878636,0.004612608121651421,0.005025571420059599,0.004847937255525343,0.0036013593073324773,0.0046072399744209085,0.0042383587228308215,0.004100046722898495,0.003831956798269885,0.004124853892960088,0.00478523692943642,0.003912351196831324,0.003835803609401458,0.004458035539816917,0.004243589819596038,0.004289190617314251,0.0043218622650762085,0.0043132153156798855,0.004257437614388735,0.0041755798737542,0.003733041079758163,0.004248373604606927,0.0044249688884171945,0.0043263815321834525,0.003749556730398466,0.003947089074908189,0.004303368546212685,0.0038716217261106738
Albanian,0.00409891960269311,0,0.0034817237969697423,0.004318232133731043,0.0036692833448831253,0.0039448270040762885,0.004554014321795013,0.0037683382266233845,0.00377848071772161,0.004235473237705283,0.0041820315941380895,0.004160738051756274,0.004017123275045617,0.00399108354444582,0.0044960863329522125,0.004335679992276311,0.004794386876004483,0.004491389667004961,0.003784645304193471,0.004064726625673528,0.0038862863605938712,0.004205950325688325,0.0037532522157837605,0.003910598369675069,0.004441701387215174,0.0036048478076090226,0.004210361345069719,0.0041851043119239565,0.0037410319820366756,0.004037180321837912,0.004069118334731709,0.003990658701173532,0.004046731171000165,0.0038502134619747977,0.003422147487937659,0.004058017617335341,0.00408127563689991,0.0038438899208636857,0.003860660783904304,0.003545580335922686,0.003911195801946045,0.0035730638857281167
Armenian,0.003694652581250127,0.0034817237969697423,0,0.004090437440233471,0.003331360524832635,0.0036944023236769766,0.004270442804266267,0.0035573441576588452,0.003437391816781224,0.004036369452513613,0.0038720731575723095,0.003854995806625429,0.0039630425856535855,0.003743922225801248,0.003940848984215179,0.0037842202992299625,0.004252531594189699,0.004109857426290645,0.003371588595200443,0.003838284090120855,0.003807170775144831,0.0036203140542902055,0.0031964640380010272,0.0035913378546536764,0.0040576711458268815,0.003604395031430808,0.0038641919406210224,0.0036989097407314655,0.0034285179388628072,0.003856750941406042,0.003945902877231333,0.0036944722672573012,0.0036581458622122563,0.003586246098451352,0.0033589975450299017,0.0036930658094052487,0.003908793597266908,0.003874193176231307,0.0034741026507535424,0.003442101887471587,0.003674533150059578,0.0034271171597970093
Bengali,0.004756967018493519,0.004318232133731043,0.004090437440233471,0,0.004023172929491177,0.004252207564096613,0.0047802321775763015,0.004114357273027598,0.004168368029846322,0.004931861942216151,0.004567307558987672,0.004601042430399246,0.004530023496361631,0.004614078816606149,0.004883913776856746,0.004757847234366706,0.00421710850416385,0.003947309195811418,0.004432181248142988,0.005010371282442188,0.00408068925226826,0.004479290670677666,0.00409495100499904,0.004227203449201745,0.003970007248027663,0.00335197314029474,0.004927138009925314,0.004593389143048352,0.004322601656175905,0.0042478152748691685,0.004429464029108261,0.004423512818983633,0.004503460866418582,0.004347478771647208,0.0037603785390337655,0.004546232038982018,0.004534752190638038,0.00426607392596865,0.004438942800575359,0.004104686975597601,0.003796448677849778,0.004059665454593347
Bosnian,0.0038395054701604345,0.0036692833448831253,0.003331360524832635,0.004023172929491177,0,0.0031687193778889874,0.004004807605798394,0.002802170610912875,0.0030347622956186765,0.004123651696949699,0.004026309824617543,0.004027939757016811,0.0039054519561638806,0.0038494766832458055,0.004358459940442205,0.004065771092760139,0.004310466424194917,0.004210152744268695,0.003499223423165178,0.004200239294426189,0.0036180285645092012,0.003551501514201787,0.0031792278599324032,0.0027515163023202425,0.0041350752564400925,0.0036401300752044816,0.003876567713476547,0.003946242277958224,0.0035748724012233976,0.0032004881169189914,0.0037787609512942326,0.0037395529854093645,0.003024317329467586,0.0022633459540588458,0.0034552056833745087,0.0031265308197588,0.0034871182843352164,0.0038032512096772683,0.0036207605058570383,0.0028477852575909787,0.003811520016824282,0.0034909703443339094
Bulgarian,0.0042817988736211406,0.0039448270040762885,0.0036944023236769766,0.004252207564096613,0.0031687193778889874,0,0.004288702372973156,0.0029116398953397417,0.0032080392398935423,0.004182852490528274,0.004305358067013322,0.004205372020885079,0.004044766487394361,0.003879389381508355,0.004617100936790313,0.0042791444526079185,0.004624703983694961,0.0044320030876565586,0.004036427991199011,0.004216353867560495,0.003617094523496708,0.004343259478643682,0.0037785205741568384,0.0031577983983465977,0.004349534225141063,0.0036426304684989796,0.004333367586964527,0.004215255304332614,0.0038959933980353616,0.0037820766017526543,0.004048013584236202,0.003979263808311345,0.003732579897696058,0.003362610767355177,0.0034016619962759487,0.0035807467267072297,0.003621202314204335,0.003598329321189182,0.004030939778341257,0.0032587619980704347,0.00382531045452278,0.003317018766944251
Catalan,0.004722917813811002,0.004554014321795013,0.004270442804266267,0.0047802321775763015,0.004004807605798394,0.004288702372973156,0,0.0038626358476172764,0.004043749006621704,0.004938238685234544,0.004675436610627668,0.0045855505815981445,0.0041480265109024445,0.0037817050960857945,0.005156262759419645,0.004849124410286542,0.005217815325977485,0.005008043478021162,0.004529523615530289,0.004817691667380952,0.0035397266638127404,0.004507171928066895,0.003997278838653713,0.004236826727512994,0.004865150714315248,0.004090465260391761,0.004805923883581806,0.004694051113958451,0.004392505412904531,0.004315101519115786,0.0037766219429541444,0.003990421528920279,0.00447436749985966,0.004324754164776051,0.004008331451047574,0.004357092298335999,0.004550889387562349,0.00344546132213827,0.004506794226040817,0.004119042416326715,0.00448111463772018,0.003862113265559161
Croatian,0.004009075691871759,0.0037683382266233845,0.0035573441576588452,0.004114357273027598,0.002802170610912875,0.0029116398953397417,0.0038626358476172764,0,0.002967580697637613,0.004034312922127083,0.004082748695272802,0.003974021385471843,0.0038545444506411612,0.0036705708861138444,0.004467883599831148,0.004232068841653733,0.004422303181874662,0.004364026708520417,0.0038352408893550173,0.003966441394460839,0.0034336770917167097,0.00396208394613007,0.003625192792108989,0.003154823884853256,0.004187419416504318,0.00354194617190688,0.003995730760215471,0.003999700716202392,0.003715956847818612,0.003323498249187676,0.003624051117445082,0.0037755472302763208,0.0034626019150074063,0.0028706217424468976,0.003294992096476538,0.003111475282648637,0.0032971763435659125,0.0034856034994636,0.0037964610768799526,0.0031986795596706213,0.0036929377287151246,0.003300102805165952
Czech,0.003930519368810447,0.00377848071772161,0.003437391816781224,0.004168368029846322,0.0030347622956186765,0.0032080392398935423,0.004043749006621704,0.002967580697637613,0,0.004154981703780461,0.004038173639771498,0.004068096416609458,0.0038845606160190066,0.00373985819686567,0.004425672722358197,0.004173607370488181,0.0043969661808207,0.004292344660669246,0.0037140511246189756,0.004160518298487509,0.0035560645341066637,0.003742225850581232,0.0035528151751788007,0.0032967461172500284,0.004161993774530316,0.003522737584810214,0.003979700988630289,0.004039762763281779,0.0038734447982911842,0.003302547494873012,0.0038377169417604896,0.0037892426019503133,0.003384597993168435,0.003171535733096206,0.0033751255907952834,0.0027445553729468497,0.003524578045399075,0.0036763726731383426,0.0037890976945220835,0.0030743859421852268,0.003716103862321978,0.00341294369292693
Danish,0.003980641810866019,0.004235473237705283,0.004036369452513613,0.004931861942216151,0.004123651696949699,0.004182852490528274,0.004938238685234544,0.004034312922127083,0.004154981703780461,0,0.004241593601331585,0.0038902256934843222,0.004558486413377041,0.004204140599452522,0.0040996137968308845,0.0047892104670325605,0.005398955828178629,0.005080768235456118,0.003625154074602508,0.004362580947407698,0.004091537194733973,0.004901012757038201,0.004304907045223106,0.004456148694583488,0.004895024649843784,0.0039440692795091985,0.0035521408952869787,0.004673421344062553,0.004200629634742688,0.004620513704229264,0.004434745302989399,0.00445230619477585,0.004732704612405329,0.004362522845548807,0.003708850458009915,0.004539665507429439,0.004629292765383612,0.004082786509884708,0.003687312212454481,0.004217242298758667,0.0043279865492392025,0.0036612580170501834
