,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,1.808819489922087,1.7538286640034175,2.086002266210237,1.7956681048899084,2.011027665978544,2.194099907432256,1.963829646297616,2.0293521461369317,2.026427588158449,1.5297785074111057,1.8897400318974262,2.04906271087227,1.8979618700624368,1.8546287793496314,2.075354354341636,2.1746395011819764,2.197459023348092,1.7225387691410041,2.100146922460894,1.9033118243092235,1.9211723980772817,1.7803880254461466,1.9027857153621266,2.1501598131858524,1.8052247369841636,1.9319525739294627,1.912335479434207,1.7951450683264973,1.9568163983243123,1.9423319879628453,1.9999925566148802,1.8988142337001872,1.8999708269639144,1.7239747790150075,2.0293901849352642,2.0896247739318503,2.009122036174383,1.8229249207062017,1.8668382390881353,1.9913548510638983,1.8454820464220332
Albanian,1.808819489922087,0,1.652430088138811,1.921618823903443,1.735294768870142,1.9275142013260234,2.09358909680012,1.882398917991703,1.9632226243890216,2.025410714624132,1.8934350267790045,2.0306406630361593,1.9179827240252845,1.7336176730695032,1.9214443699489288,1.931497466615383,2.055997913712382,2.101611648864656,1.749670607195433,1.9463408377114502,1.8336913095749294,1.8546761554509672,1.7196248785127057,1.8059432165589473,2.004777948801311,1.6407299521766052,2.0074257727070055,1.7619310914346298,1.6891736257280827,1.86945546814156,1.8296382211805757,1.8756510373449615,1.8109966242753892,1.8422573623903085,1.4809873764814239,1.9113290591022662,2.0111567055117914,1.9067284780614573,1.8768545697434562,1.7681944764061033,1.8372679086370909,1.786572007616383
Armenian,1.7538286640034175,1.652430088138811,0,1.7646015905857344,1.5835716575215104,1.7544941082117604,1.8689525465093326,1.6914663031714672,1.7540001640179617,1.9175056099014183,1.7605113122968779,1.7783947325757776,1.811418073100421,1.727912813189972,1.7813006382195022,1.7384200516066137,1.8505382573284062,1.8454514468737466,1.6023362422797116,1.8914741424193842,1.6523795059652564,1.663489852588962,1.5149274513907056,1.6562453497628076,1.825148987496578,1.5821194047256368,1.8223304020662348,1.6754064565835456,1.58114305301696,1.6780669341724552,1.7322139667803325,1.7181524838407343,1.6672564615755157,1.6650151109219955,1.5173375372353917,1.765714315661638,1.8251007078604429,1.7684117691291166,1.694981899777943,1.628974744695139,1.705407482639907,1.5656273356501853
Bengali,2.086002266210237,1.921618823903443,1.7646015905857344,0,1.846534802512098,1.9953341395461794,2.1306145914725545,1.968901586656347,2.0090215390272514,2.244351250563208,2.037299553491715,2.0148777804184443,2.095744715850437,1.9947628231288135,2.0621331410658676,1.9962237321050762,1.8662080366357756,1.8817591157839326,1.9309567417600313,2.198250008601425,1.8559471580040394,1.9794393528206695,1.7718891464924749,1.917934298421539,1.8833766118164765,1.588953865723834,2.1677337575403355,1.9985036397334601,1.8581272802799624,1.9128895565667698,1.955444513893228,1.9696325606431506,1.9259574426490842,1.9272591102646008,1.778384529431501,2.0373863444960816,2.1131907466038125,1.9334911423282293,1.9856592562993638,1.8715617631794221,1.7221230547624342,1.8110056124267473
Bosnian,1.7956681048899084,1.735294768870142,1.5835716575215104,1.846534802512098,0,1.5357100121693108,1.971704444583254,1.2528628840851763,1.6148672138486018,1.9345112120362167,1.8039650032777872,1.8591947791357848,1.8597105537677563,1.7929357173581828,1.8470541321090468,1.8404489610955845,1.9342748928553735,1.919333441041202,1.6928056057620824,1.9898654054813332,1.6495623067235314,1.6774578595986973,1.5194634287553626,1.302387131052423,1.9275230206510605,1.6311855173725587,1.90322564110337,1.794300225205108,1.6743356147645192,1.4705126553010208,1.7702349451847477,1.7588180041308816,1.397189437768965,1.0351098330078992,1.6208337747971848,1.5242545979423188,1.58360657931587,1.7822501582123622,1.7849621465551528,1.3679334714550484,1.7710326110461718,1.648693389032818
Bulgarian,2.011027665978544,1.9275142013260234,1.7544941082117604,1.9953341395461794,1.5357100121693108,0,2.0839876941333486,1.4967081944562228,1.7547879617880062,2.1329777319263226,1.9741964504775487,1.966882371496123,2.027622646976653,1.9346855002523966,2.0256572863047975,1.9451494732526013,2.0695035065187053,2.075573473252733,1.8752889101419699,2.1584848068536804,1.7427969635828573,1.9226578822617564,1.7109500530851154,1.4403364727997692,2.064443099380328,1.8208161531458578,2.09996961523964,1.9747022301618988,1.8529194984148922,1.6961539033806519,1.919516032279251,1.9208644647672726,1.627215744414752,1.5323674640878286,1.786864722735768,1.7418779223148269,1.7665776204023094,1.897641231036119,1.9464578577526126,1.6113868111208258,1.8955524081875061,1.726981011680349
Catalan,2.194099907432256,2.09358909680012,1.8689525465093326,2.1306145914725545,1.971704444583254,2.0839876941333486,0,2.0662133809102907,2.1366017291536705,2.326814999335697,2.10664328100743,2.0628202252931023,2.0515170945903742,1.8368400803938614,2.157322133972047,2.0864630188637365,2.2008892883333018,2.195693106860213,2.0391481079426756,2.315483322881155,1.6715087098518508,2.0789105276565354,1.8368992717785644,2.033166975716889,2.1975827489003597,1.976826674182515,2.1812232944191248,2.1958666581908832,1.9844144139646516,2.032418463163743,1.8004759230664134,1.9125538579121883,2.0573596503407185,2.0608202639708755,1.980505387090318,2.165820451857375,2.1947430537379327,1.7059880273171435,2.0847802289037696,1.9996823336589822,2.06171825093472,1.8836337370484009
Croatian,1.963829646297616,1.882398917991703,1.6914663031714672,1.968901586656347,1.2528628840851763,1.4967081944562228,2.0662133809102907,0,1.6397905325621138,2.078427194063965,1.9241722857232237,1.9366468407289463,1.9728533188672452,1.91466619099315,1.9670080624081856,1.9315298332939392,2.0394075994292846,2.043845165734482,1.834287710602301,2.119792298207757,1.7230060190492815,1.905453412585621,1.6605662692465375,1.4497098696805188,2.0190457645954782,1.7620607201805913,2.071179503804667,1.906341720160433,1.7802593925810655,1.6255619974567794,1.8798819674295952,1.869456973133904,1.5865497147815821,1.2108081274063023,1.7314895584205494,1.589790646615562,1.579255916020705,1.86031192246534,1.9116167982879335,1.4988235705460644,1.8672537663290305,1.7018219572890665
Czech,2.0293521461369317,1.9632226243890216,1.7540001640179617,2.0090215390272514,1.6148672138486018,1.7547879617880062,2.1366017291536705,1.6397905325621138,0,2.0903208308056875,1.9557965327924938,1.9882611919057247,2.0378818291638723,2.0078857044928666,2.0223155116958877,1.9902098673309279,2.091566168749078,2.0701795923799597,1.8952760726798628,2.180367025549247,1.8104987775831891,1.8861446992067037,1.7319008029653602,1.7065987028512801,2.095707344211996,1.7978289219720023,2.120816671077768,1.9658148102331632,1.8383858402767692,1.636414958043841,1.932494112651438,1.9452837572742003,1.700409864590888,1.6384643647633894,1.8214439904488555,1.5016542736423373,1.8177832551395305,1.9189891719492584,1.9948820036408816,1.6174879071954482,1.929968324384741,1.7426701924831562
Danish,2.026427588158449,2.025410714624132,1.9175056099014183,2.244351250563208,1.9345112120362167,2.1329777319263226,2.326814999335697,2.078427194063965,2.0903208308056875,0,1.9654493929228731,2.0566100996176244,2.151856587458043,2.0868948138094483,1.986840258657652,2.184847121927153,2.296925200970423,2.279048544745018,1.8128733779803143,2.288383860339132,1.926265131707249,2.1271896643201385,1.9191269872674646,2.045312925658197,2.287907953025931,1.9154602183162062,1.8955690641057636,2.1080904055860614,1.9693936354044164,2.031817453926795,2.0956973833470793,2.102672999269886,2.0228795573252616,2.0613084952748837,1.8636078088782984,2.152666074042329,2.1945800437770298,2.1120237795085255,1.8581346013738964,1.975752439149365,2.109622767303111,1.881029408574412
