,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,2.153798902295082,1.9947354416009042,2.3743291094198096,2.097616671555943,2.257227287157329,2.471778884698297,2.2017998411157436,2.2745150269758714,2.206376588137657,1.630608714170326,2.0006105053525305,2.3465154046184264,2.1975729786987603,2.03849201777202,2.3950109166901297,2.458624785162694,2.451448493219468,1.9725011149311014,2.406081894652675,2.1248353296507663,2.245152381663439,2.059804777478796,2.184993704938857,2.442114795156907,2.0407146876705147,2.188526538777101,2.2032707035214543,2.0751686520673145,2.2079442743645616,2.192375312219414,2.3084899901429834,2.1608356172124545,2.189534700267618,1.9926721551723385,2.3132741316110748,2.395091296166431,2.224074017903039,2.0428262753645123,2.160691433223322,2.2668133930437544,1.9820513004700384
Albanian,2.153798902295082,0,1.9440927177806582,2.206167770519069,2.055774769286171,2.2116733130301856,2.333243353010394,2.1592677688915582,2.2499277748470754,2.415759279425324,2.1933108182402363,2.284785101672533,2.2599124679326232,2.080065024876157,2.266484325270698,2.2839226574991938,2.326260022748457,2.3618829189734347,2.1197195945747316,2.298886970098596,2.0865304442274404,2.183599258643665,1.962577204764138,2.0986197660818493,2.2721714629206646,1.9440256492283978,2.3990703693988986,2.102759049790767,1.9956810020676714,2.1501235270280588,2.1112001405974836,2.229826668556896,2.1004938990236095,2.1445452886378114,1.765101340169788,2.2340173798071086,2.330831851053012,2.1440130573294125,2.2063280996865484,2.0769459392089713,2.1358946675915282,2.0003613658149417
Armenian,1.9947354416009042,1.9440927177806582,0,2.034147230257334,1.8260619472033253,1.9920275317307699,2.1314308946268943,1.897637262521323,2.0404435842886626,2.1881329202161783,2.010812412675807,2.015931625185154,2.0902536735858726,1.9964226283746416,2.01007690614026,1.9680838169837735,2.1550551535027145,2.1210110411179977,1.8391352238609844,2.1267832983928474,1.8272393044433375,1.926655606523932,1.746421620259027,1.9175550895389721,2.1243865986649446,1.8431140181589603,2.114810655515204,1.9525175359373736,1.8086596001124107,1.9145583153585362,1.9546868468165193,1.9713560297421717,1.902826276497546,1.9253835657756326,1.744299512817682,2.021521252070352,2.1148696712125394,1.9737218864818904,1.9792092254683495,1.884946454699852,1.9838743149906994,1.711595913470873
Bengali,2.3743291094198096,2.206167770519069,2.034147230257334,0,2.097774084434753,2.2352703224245145,2.414852941406826,2.198395559903574,2.2907455951693456,2.5166623034583533,2.298081371966062,2.2524979792030195,2.3975987728778727,2.292791255595471,2.3369892420984315,2.3105137337180555,2.006475935730736,1.9767493393358657,2.2547480920295833,2.4902792658289545,2.0943993486732415,2.256223950652001,2.0398761493778728,2.152064438997807,2.0703176845036295,1.694038947666547,2.5059355394324494,2.2776876911813275,2.14127893663088,2.140621646665685,2.2067816949003443,2.283117755589827,2.2046632747977672,2.191903241265649,1.9804710448269283,2.301658610396053,2.3502759811685543,2.1830967753934387,2.273621947239793,2.149553784299724,1.8954569731243895,2.0473217574120253
Bosnian,2.097616671555943,2.055774769286171,1.8260619472033253,2.097774084434753,0,1.642373333744526,2.2467884014186397,1.2387663467601298,1.721726838641952,2.2348350267418446,2.0577892140578116,2.1209173700618,2.155397014034327,2.1031081834019667,2.0637557062114547,2.1229176808322134,2.2285994813274224,2.2031361394685898,1.9748673281477636,2.3089311870565115,1.841114169253692,1.8491072630317347,1.6708968213228628,1.4179173033746422,2.2510613386375464,1.8592279653862716,2.2074861183091805,2.121955174822065,1.9407592455141707,1.5654273220550774,2.007358275750637,2.017334825753868,1.5029860415856542,1.0751423677813576,1.892702731393598,1.6094691796654506,1.7073177141994862,2.010191793538826,2.0769817349073945,1.4882632217675607,2.0554767378246503,1.8379921216306676
Bulgarian,2.257227287157329,2.2116733130301856,1.9920275317307699,2.2352703224245145,1.642373333744526,0,2.3349302087611403,1.6157533658545566,1.9069030846304,2.405582723554257,2.160995675906723,2.213724091036927,2.2993235642802357,2.192812398388159,2.2419031889336694,2.229757841158028,2.357534465928211,2.3204228207150277,2.127653735089842,2.4067260309589096,1.9351632249473547,2.1672729103022927,1.9074991376802284,1.5449360567002024,2.3675369924330227,2.0440783184366085,2.4098817599725497,2.265764250973009,2.113609912680291,1.8166524046551922,2.1125750073374467,2.1796457405587777,1.766856937831817,1.6598865537736796,2.0070287895469074,1.8833746541983594,1.9762367521950461,2.0759656793653116,2.233105237634712,1.7661857583451173,2.1561040049082822,1.8984046579698068
Catalan,2.471778884698297,2.333243353010394,2.1314308946268943,2.414852941406826,2.2467884014186397,2.3349302087611403,0,2.2612477812781715,2.3985559911182976,2.543578971997502,2.3331093794812827,2.293742472599043,2.247182214150848,1.9346045142745183,2.414094283853031,2.3758081992129605,2.549069482537391,2.5199020461639248,2.318823694792605,2.5378968579936783,1.843887272380157,2.462128062152729,2.14462174449022,2.2814254638568894,2.5061458485951222,2.1869015397769864,2.492425793841215,2.4477578542308946,2.2529908569985833,2.266022618861523,1.9062321823100346,2.120998325238851,2.314275815533706,2.3254476519993577,2.162702842320061,2.3855927593570745,2.465044276914327,1.7962513346251672,2.3289769782703402,2.2355803201456736,2.374969108602275,2.078667896108671
Croatian,2.2017998411157436,2.1592677688915582,1.897637262521323,2.198395559903574,1.2387663467601298,1.6157533658545566,2.2612477812781715,0,1.758697241197408,2.315352098821799,2.1366847866318803,2.186954466831243,2.2368585860543084,2.144726164519102,2.17249695849827,2.1647448585138274,2.2971244881219497,2.279039832709801,2.07507374041367,2.352592114444654,1.8942391801507934,2.125849827506967,1.7946807013807422,1.550559522488364,2.290078314338263,1.9672675512515783,2.3429618079190306,2.169019557023864,2.024376769310449,1.7127584937635372,2.0861569052726767,2.104617968630285,1.6879232320161355,1.2484574920473506,1.9232156651092025,1.7042778634698623,1.6866961209087519,2.0215240832045076,2.1577539604159144,1.6113422880361372,2.1331091404624956,1.8570276451576566
Czech,2.2745150269758714,2.2499277748470754,2.0404435842886626,2.2907455951693456,1.721726838641952,1.9069030846304,2.3985559911182976,1.758697241197408,0,2.348017209172928,2.1794803787675465,2.24414811253919,2.3078099739549542,2.2828944898486094,2.269865505436163,2.3154370144997345,2.4268286367267358,2.4137550811685204,2.1614631569364544,2.4276179234309128,2.0570080534593163,2.116906523081436,1.9292983638164742,1.8679195336389633,2.4395049318248017,2.050233501376371,2.400341304617152,2.2557313328402535,2.096449783782137,1.724419270532535,2.147096047712686,2.2531995792401185,1.8009835180784497,1.7723415139335634,2.0826568236185583,1.5353637729549918,1.9912278993358585,2.1263492970955764,2.2701158778820463,1.728862050794354,2.1995262718642152,1.93582442366142
Danish,2.206376588137657,2.415759279425324,2.1881329202161783,2.5166623034583533,2.2348350267418446,2.405582723554257,2.543578971997502,2.315352098821799,2.348017209172928,0,2.1477909700186264,2.1204224768491953,2.4025577370408313,2.371465266223824,2.1187240462432713,2.4512435136781345,2.5792312223101193,2.5359587464385824,2.002753178101581,2.4928495367711148,2.1737746345170446,2.451071951778984,2.216549410913651,2.3454676013591675,2.5826390748672097,2.1444186209203426,2.051175736571214,2.39368586743077,2.273566584872824,2.2830220059819766,2.275725807694476,2.3822037158653515,2.3174163360043387,2.361753775242868,2.183870766652052,2.382094753880866,2.4472313491263997,2.2859577469524446,2.019452434769521,2.2712402913046335,2.3677788597901896,2.0236449452396745
