,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,32.91130718280351,36.42936021743352,40.58136169406613,39.17469622749796,43.93457396380488,47.727979963425604,45.86812973236115,49.61486070055931,44.79688921828742,33.71787312447522,45.33233470237505,45.082967974246166,35.44860170305478,38.298256759959585,52.44865152252563,44.162286165259545,49.91161631561805,31.86952264331211,42.61086019790285,44.44177435372622,44.53035944381146,31.682725413997268,38.59162453487385,42.795164472201975,36.09593076122835,39.04920941242135,38.295276428786,34.351718661351825,48.159860501211845,42.5975655737588,44.96719659916328,39.78745336517921,39.158951556130305,32.11591913650402,46.92239972538329,50.93555346881447,49.51483841806901,36.76694366380441,39.604639582765316,41.4566189677154,41.394346270231416
Albanian,32.91130718280351,0,34.560856740059364,37.555093481864276,37.71342458233608,43.31704884482573,47.28896248377584,44.83973728618775,48.77569712018765,48.06492053699881,43.38499627713809,51.11131742002666,43.643406877581974,33.382187032394064,42.34838564312238,49.715708788518214,42.336106266885615,48.47864871513736,34.29041715642077,39.811892446970745,44.72940643827686,41.8088850486133,30.685838635862503,37.067897398585366,40.90903424826082,33.05472428227431,43.29488018232609,35.35085066499402,32.219747763918505,46.5941943331224,40.94626084131978,43.88962472088613,37.53140666820956,38.07678717504406,26.821547569080263,44.448807886432014,50.73416415051031,47.94536286310031,39.816295828605035,37.49759559922791,39.13037308269406,41.042649570418234
Armenian,36.42936021743352,34.560856740059364,0,37.87181287231813,35.50280408137381,41.06301427330707,43.43394075995488,40.39690595798016,44.18909743082226,46.12472656910311,41.6215501283753,43.5956478497553,42.24004173462417,37.326587310691366,40.10616517398536,43.957257796517794,40.44325314041777,43.39867049092268,34.33711674270572,41.833194223811425,39.444878069547315,38.497591510044344,29.170527799906157,36.1235278253409,40.401253692627094,33.95511971655035,41.88341831085671,36.48136130993627,32.85243077561625,41.449016116886014,39.74132209807966,40.45248354437881,36.70469668679778,36.473293094069014,32.290193376882726,42.17348296642991,45.324163323092584,44.257124092952964,38.092513330413745,36.205703978319704,37.838385625360964,35.96644441549985
Bengali,40.58136169406613,37.555093481864276,37.87181287231813,0,41.77491786523964,44.513047984633275,47.26901484765079,47.053795347433,49.447148974468675,52.90335981919451,44.747774967356875,47.82163444142255,46.32120650073191,41.32782402124513,44.77972946544444,48.927648376004846,37.30201442117561,41.38620875769645,39.626374344714456,45.07964923257696,44.05892045111884,45.81724027011611,32.62840400216634,40.65497057806185,38.06980070187179,32.278995583703995,47.57490790773922,41.5764400587191,37.17765281234961,46.326395739120876,42.11401700861711,46.221666404664184,42.37779165705646,41.63224171176827,35.08837715584993,47.608155740871446,53.04795230553441,45.747011941775945,42.5614569786151,41.3262474962161,36.016018183546294,40.95812553405815
Bosnian,39.17469622749796,37.71342458233608,35.50280408137381,41.77491786523964,0,35.8969086553996,47.316045326309464,29.480279678285356,40.90627431134208,48.449843433519696,43.554649568003406,47.772954323064376,44.920959249712865,40.61360594719932,43.74681508372228,47.950747658602666,45.10779433232738,47.56795296528366,38.24778728766088,46.401754544369595,41.776328811885485,38.97501748966683,31.33199091845263,27.860659185486103,44.660274890988994,37.013459347630764,43.52427886216179,40.97181998548295,36.67325197585785,37.28250092773667,43.030916597949236,43.90388123791682,30.65390665393113,22.566725371001162,35.74989415325485,35.57563247866818,38.062236952711224,46.57911917309645,41.51290989440777,30.8509926620001,41.11802989619489,40.29128833313868
Bulgarian,43.93457396380488,43.31704884482573,41.06301427330707,44.513047984633275,35.8969086553996,0,48.12556410835159,35.880304022673144,42.62458067166252,53.15259478965084,46.699456638749595,48.10963143468169,48.69605997681917,42.68973200758501,47.056337652755936,49.873065744687686,46.78570141941159,49.25603576257128,41.65262584975273,50.18812622093575,42.20802569831568,47.71091835616576,35.345059303984456,31.380838073346823,46.51650466076106,42.52609807637327,49.49753112033425,45.45744765662319,41.07757558166864,43.120332336699626,45.57095737344877,47.17585313239285,36.57190421854396,33.946536999510506,40.05656421037538,41.51474435677406,43.81448782260735,47.92339280239652,45.17217183942256,36.54379343427335,44.1277983505009,40.279096327451285
Catalan,47.727979963425604,47.28896248377584,43.43394075995488,47.26901484765079,47.316045326309464,48.12556410835159,0,50.52161033764635,54.17228326739756,57.25138686787529,49.765899217427005,49.85227937195059,48.19397618867682,40.56996593244207,49.061820441608354,52.48798894197401,47.9401567577246,50.83466426883238,45.01364108521898,52.09832527111883,37.585697705042804,53.050475402522984,37.3337649941797,45.73050528889847,48.370153892972,45.238549581178376,52.021185941456494,50.34264919207971,43.62768758997469,51.49398635758166,39.02902392110361,46.616847982226865,47.58187909281382,46.95632092041686,43.57389285270887,53.32105968906436,56.90871879723195,38.926294925876064,47.74195156391502,46.19935080900917,47.47389486195116,42.70220316836696
Croatian,45.86812973236115,44.83973728618775,40.39690595798016,47.053795347433,29.480279678285356,35.880304022673144,50.52161033764635,0,40.5649230836981,53.976110808787105,48.014655326378566,50.49645302167513,50.65167559995161,46.10660811049423,48.040827768538016,52.16936293981876,48.53428841203999,50.77902578284496,43.22424688646476,52.218869971197506,44.09486295867498,49.5194083916216,35.02219723135855,32.900387816997345,48.770380568831946,42.72071190837562,50.97719480102696,46.739374195580126,41.71079475753783,42.178703314849045,46.88651100863822,48.91899837255314,37.44343181388454,27.73030292348382,41.6793863589263,38.443453989681544,40.00084676024391,49.4906431372905,46.93103585350059,35.93723131388554,46.03771552760969,41.90484379695336
Czech,49.61486070055931,48.77569712018765,44.18909743082226,49.447148974468675,40.90627431134208,42.62458067166252,54.17228326739756,40.5649230836981,0,54.6747216877153,49.198762667745626,54.20496064554058,53.817143475211545,50.260584053600965,50.18011231120232,54.900693752070985,51.913666221994625,53.970063087125645,46.94077424144258,54.58823870599424,47.27374098203359,51.031263455112686,38.69717171267835,40.87517606515015,52.382555213717595,45.26246442655836,53.622048368092145,49.853673177656425,44.36582618298105,41.921260170011294,48.89855737195309,52.808965074074834,41.42174420728135,40.21165974948378,45.94702714694635,35.93243523270452,46.01466385782288,51.556597700821655,50.42055022212423,38.65919790539008,49.08654316683101,44.3296497117226
Danish,44.79688921828742,48.06492053699881,46.12472656910311,52.90335981919451,48.449843433519696,53.15259478965084,57.25138686787529,53.976110808787105,54.6747216877153,0,48.23017619898783,54.69398379919585,54.749925323421216,49.35019105465799,47.48869694796528,60.53470510117826,55.14802484869058,58.654378021930484,40.214598099365254,55.90654100176951,49.52032481981214,54.96984170069526,40.4228748126167,49.052608404464756,55.94125246656021,46.32785327310914,44.31055391894456,51.85804315801661,44.99130980087295,53.969202630110814,52.68656682128323,54.87440838652072,49.86142073672237,50.07916876466482,44.262444587292954,55.83030028821731,57.967859237226946,57.029265569279524,43.692749953814214,48.1124695301146,52.53128707612811,46.4575044467627
