,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.30256005108668177,0.30022525140587014,0.354354967227579,0.3032987119010978,0.3222759135830077,0.3417583614854083,0.3101426831759506,0.3182314181406584,0.2908329213440742,0.24567394813284352,0.2602361762975326,0.3384727505610952,0.30829920810512784,0.2973475414325505,0.37025901053887145,0.32955467200602906,0.32459182377923973,0.2725069197585232,0.36507155179401013,0.2805646084497533,0.42492322281573963,0.3327641171407409,0.30754483661496834,0.32592188815255363,0.2715879644759072,0.274498137997876,0.32389073248611716,0.3069123216063085,0.3564041624915667,0.33155382704440195,0.3201129633158243,0.32407999533551174,0.3058954407202779,0.2758607016917149,0.34000055693063436,0.3422497350981067,0.2949420595753091,0.259617658519004,0.307972503549896,0.3158858098765359,0.27131557601444545
Albanian,0.30256005108668177,0,0.27206835524017964,0.31043255174447265,0.2946638737196167,0.3027410761801761,0.32349266789268094,0.290378070888481,0.30672084098164437,0.3508488616701858,0.33156288387618466,0.32536754585399164,0.3253057161426952,0.28628931246073586,0.3488671484047045,0.3321941579229957,0.2999792401551393,0.292134856482894,0.30643234711906187,0.31995111316534103,0.26903474467582794,0.40222568559254174,0.32127299385866326,0.29549801302564005,0.2953530455263704,0.24386423085392142,0.32946943422021624,0.2934480950051975,0.2834312919396458,0.3479540102895109,0.3207208665456829,0.29838506957044586,0.29889376231839093,0.29398288682555646,0.23003109076045347,0.3159106262608526,0.32838608277447356,0.2728871336869342,0.2972829856110717,0.2789818407766458,0.27714574282302684,0.25525955439967973
Armenian,0.30022525140587014,0.27206835524017964,0,0.3185081698850937,0.27543863859671586,0.2937651141075113,0.3264076371398089,0.281407695327111,0.289152229997368,0.33628416408581335,0.30742930999762147,0.30294055205214504,0.32089734844955026,0.30106752167466816,0.305291576637417,0.31016257674776143,0.3058823423205742,0.3036071114788693,0.27595654003102266,0.3210528334546326,0.2685065550458283,0.33628286618685177,0.27592840493259896,0.2814220458791624,0.31067412771742114,0.2655799256626616,0.31859033962652905,0.29352754628804945,0.26676888387159275,0.3209309528061466,0.3112686073528403,0.29409425314242954,0.2845572251757264,0.2863432966111687,0.25924164737773897,0.30817283024173114,0.3133063270385206,0.29025237272698096,0.2930898142918978,0.27813750396776893,0.28748993712800575,0.25156147247780564
Bengali,0.354354967227579,0.31043255174447265,0.3185081698850937,0,0.32275546421966034,0.3405555673261831,0.3679963341441052,0.32271648075826476,0.3354073973402449,0.3833431620761323,0.3649763435763444,0.34482458628471874,0.36158544772175427,0.34219979000135425,0.38107053036796734,0.3651411593692645,0.276169525949234,0.2744300519225168,0.34507532670145624,0.3771683174098345,0.3016342373024278,0.42632465872702785,0.34891117232932306,0.3256495931969058,0.29669741341226813,0.22961079137106524,0.3739874265945552,0.33610786284929745,0.3252738662335079,0.36621169378857693,0.364983827229682,0.33901168105961704,0.3401004519921772,0.3333937118825931,0.28374190759083906,0.35429620228881803,0.3621801830182913,0.31576213578379636,0.3233100165152902,0.3245684262856574,0.27639510965484115,0.2936989410045471
Bosnian,0.3032987119010978,0.2946638737196167,0.27543863859671586,0.32275546421966034,0,0.22837731037093031,0.3385679187540715,0.18024837948713274,0.23563150667259672,0.33082785343852283,0.3109497718584684,0.29964043390131256,0.31974099553147095,0.32217658518683995,0.3164052718575844,0.33334525024991296,0.32419596358395203,0.3086515923327224,0.2895394276857776,0.35583604915656747,0.26814253287443546,0.33964373444667134,0.2754972308175908,0.20571660767640804,0.3235031765321386,0.2568974802141046,0.3135052737184969,0.31607089707215974,0.2822351088042435,0.23678077548733725,0.3143803423174255,0.2915178307379037,0.22522706196369066,0.16410055542281057,0.280256867286972,0.22815251490693952,0.23802361558225996,0.29391067527438375,0.2942584929050181,0.22630061790521377,0.2909155991010701,0.2609159489629553
Bulgarian,0.3222759135830077,0.3027410761801761,0.2937651141075113,0.3405555673261831,0.22837731037093031,0,0.3485734623220324,0.22774137215914397,0.256336531052052,0.3547940684361372,0.3296328491180945,0.32442831488187673,0.33854129246789955,0.316775683213739,0.3446966444941811,0.34846466428094597,0.3275236063126172,0.3067333081338996,0.30763150681969537,0.368875077476984,0.27164223356728556,0.39922115057247215,0.31185458569781727,0.2099102674995202,0.3171397258368133,0.27364207467347545,0.34333793245579886,0.3337863348193306,0.3093084523143208,0.29421667953513614,0.3333486029945634,0.31320282059582166,0.25752867146203823,0.22961823499242703,0.2795471015679337,0.2679142670014563,0.27099006595792224,0.2882964550838104,0.3096253896807211,0.2408892122146519,0.3009037029289136,0.2645581921615776
Catalan,0.3417583614854083,0.32349266789268094,0.3264076371398089,0.3679963341441052,0.3385679187540715,0.3485734623220324,0,0.3291778427528487,0.34928076863547497,0.36327422834611567,0.3602437453360699,0.3372523818392612,0.32950578931807256,0.2606376561314187,0.375213259939862,0.36074497245719106,0.3379659711791273,0.33722575663369025,0.33854217301707396,0.37914563130888806,0.2485766576882104,0.43997943127005595,0.3430323223027957,0.33576102547204195,0.3438277710721905,0.29707683658828765,0.3494148062208274,0.35732436360454967,0.3369305875849144,0.38405164773749967,0.30229027842698314,0.2998055632392722,0.34944591295870614,0.3425083101501693,0.3020964162070218,0.36771459682776836,0.36157313862095974,0.2394196052909923,0.3245670529012432,0.32686074469130477,0.33103695756134843,0.28737768287548815
Croatian,0.3101426831759506,0.290378070888481,0.281407695327111,0.32271648075826476,0.18024837948713274,0.22774137215914397,0.3291778427528487,0,0.23349293359085305,0.33184111456117515,0.32092098202229125,0.31161795172057905,0.3303592632563293,0.308446592873047,0.3300054410039084,0.3326200765851044,0.30592925444292085,0.29222272126956755,0.2985318244463075,0.3474529898363211,0.26400195675092886,0.38866672783900436,0.30578652483377944,0.21213599466677938,0.3052565640173691,0.2526334817429145,0.3216784831805329,0.3027745584093219,0.2882225947213787,0.27308839915346406,0.32940946442089936,0.29902798542922676,0.25112858961591994,0.17888836066793656,0.26026310619651793,0.23934672881768468,0.23789031781335146,0.27748583236543456,0.29211279690702036,0.2300270983752504,0.28003162472070925,0.25597431056385167
Czech,0.3182314181406584,0.30672084098164437,0.289152229997368,0.3354073973402449,0.23563150667259672,0.256336531052052,0.34928076863547497,0.23349293359085305,0,0.33663082921930365,0.3209403384434926,0.32048780701601626,0.33707673295264756,0.32428542067529265,0.33834666692527376,0.35320062877478703,0.3203458845346303,0.30630501591356485,0.30791198407953574,0.3572807354207374,0.27409820564750664,0.37922540107918984,0.30986772979012406,0.24832715196326854,0.31922010586942956,0.26142882266732265,0.3333046072812966,0.31901535268190645,0.3020431368823276,0.2655391341447899,0.32413377337507615,0.3194768138318875,0.25793427248203965,0.23302427393142325,0.2848594705157732,0.2170367783987678,0.25919011395162167,0.291903735017033,0.3064886984751061,0.23402008098614563,0.29578737928930715,0.2629651376687217
Danish,0.2908329213440742,0.3508488616701858,0.33628416408581335,0.3833431620761323,0.33082785343852283,0.3547940684361372,0.36327422834611567,0.33184111456117515,0.33663082921930365,0,0.3155908220087729,0.27592129442197905,0.3579956805270288,0.33527659377200064,0.3178598633557523,0.39799116701558507,0.3449965211751988,0.33912621614439803,0.28776153728231885,0.38519553002829127,0.28649629980303276,0.4612022507219628,0.3632581227868366,0.34111026262711536,0.34873272087321894,0.28795953875884905,0.24600962110205965,0.359685888886089,0.33601021453186813,0.37571878196539943,0.3562489312141422,0.3421780179200438,0.3616161598822104,0.3423767147020764,0.31256982475776196,0.3600984849925992,0.35569647975755403,0.3107416617907498,0.2447600222354663,0.33009732331996416,0.33807291020410324,0.27746917957060957
