,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,2.3123962656231822,2.088167355103933,2.4878591266479617,2.2002786745016203,2.4005975417051753,2.5681420914727897,2.378910272682303,2.424702944778656,2.3575034147900955,1.7186850276848744,2.1171698206867124,2.4982297562172704,2.324127894139272,2.1577687769541036,2.525314897029804,2.551594090855547,2.5825989035294916,2.060714541413553,2.5310688701593236,2.2490463541087684,2.376896130588357,2.1646772596392636,2.303828844475529,2.5567528175836816,2.154150999330036,2.311445585272881,2.3158537221316373,2.186751781478872,2.3227666592468057,2.327404692969952,2.4312482468180487,2.273553961709637,2.3076129883551753,2.141999687852048,2.441442890272775,2.4952539952522,2.35312242854683,2.1339740710670623,2.2847196446777898,2.4075097702028896,2.1135542666714167
Albanian,2.3123962656231822,0,2.054337512098564,2.312659542314682,2.1769205858279013,2.333469391862681,2.4619451011219953,2.2877539433937235,2.388061284464632,2.577651799045233,2.326312216912579,2.4296146277298254,2.3767305689452773,2.192822760021237,2.4021848960140173,2.3838157588254822,2.442929576258092,2.4865775211687615,2.2552793631800667,2.4545815339337156,2.186096407683596,2.3397282760824565,2.0738266112341135,2.2197251194628054,2.3907997845031637,2.0505795375880544,2.5340237442444318,2.2214282127126466,2.103540384610277,2.2670459051422913,2.233954072721872,2.3336112347153737,2.2185341572851525,2.2547237542916587,1.8599729234939157,2.3636626971185972,2.448889565887604,2.2471121288445346,2.305642521747992,2.1833255952489528,2.2468549148337025,2.1324048605482884
Armenian,2.088167355103933,2.054337512098564,0,2.139025712700823,1.918675453347336,2.11901926985275,2.2396947498720827,2.0463842117998934,2.1760341624852457,2.3276281112442545,2.117232001578768,2.135435113564045,2.202670173169741,2.099389770786669,2.121526022717305,2.067838424432315,2.2602670667075637,2.244263530069214,1.9285593023799477,2.2363369474842396,1.9350757047639353,2.0365107030750353,1.8460240310707656,2.027819984649128,2.2382552958123534,1.9499558097264464,2.2350681847290375,2.0477294298643725,1.8963881702096679,2.032374435709205,2.0721926270309488,2.0771020895398777,2.009817386774853,2.0317200198709413,1.854667130151499,2.141826299551083,2.217308555452011,2.0816700310327385,2.0773855905789045,1.9959300873508752,2.0988846616150156,1.8302557574659806
Bengali,2.4878591266479617,2.312659542314682,2.139025712700823,0,2.1921990816922734,2.3211957252343587,2.4763306884798126,2.3082735963179757,2.395373092298328,2.625129139947714,2.388880094226441,2.352560411152314,2.4959308078331017,2.377645024937146,2.445021176022608,2.3853191936329874,2.041014599592911,2.036133220524876,2.3553118405292115,2.597411455610782,2.1662925568797182,2.3763612253965274,2.127665133121982,2.2308813429947016,2.117776344945179,1.7437771769263497,2.6279903926798744,2.34560115177847,2.2294726653849195,2.229344184881856,2.310875016660776,2.3638128544396797,2.294897122227435,2.2756684582478663,2.067783006093178,2.38740805827427,2.4385888982104666,2.256143210007837,2.339316740191284,2.2305064835510855,1.9575426385945496,2.1318322422287883
Bosnian,2.2002786745016203,2.1769205858279013,1.918675453347336,2.1921990816922734,0,1.7309822964987753,2.3328792665012266,1.3482032162924547,1.821604345059762,2.3543592120861234,2.162197350470885,2.224058897685673,2.26374493490896,2.214113918520323,2.1875902230670774,2.212299240519141,2.317855805423558,2.3021860731688366,2.073619334076833,2.443655539651816,1.9342610057656766,1.9545620834639639,1.7536654022380442,1.4813361119028754,2.347245334256231,1.9417873025460877,2.3160381942555888,2.2254480529569634,2.0367859650892526,1.637438272405914,2.1139004391412026,2.1086919476540196,1.5701523018198962,1.111327465863026,2.0085420925947957,1.6923714521169575,1.7828205997865507,2.116527688179842,2.161176668120063,1.5551129504764916,2.1559641486682812,1.9371795573139698
Bulgarian,2.4005975417051753,2.333469391862681,2.11901926985275,2.3211957252343587,1.7309822964987753,0,2.400542139829798,1.642902539310786,1.9681725214271863,2.4842920142757765,2.261596577496097,2.29340541134706,2.398161683015353,2.2952830561278734,2.365458493345209,2.3074427486840507,2.4333707652004155,2.411104254073859,2.245174677770372,2.5302018528953485,2.0022428262789305,2.317203461083658,2.0076647505706835,1.5945155216244373,2.4424543740009557,2.135453415131678,2.5381270438523864,2.366512673521252,2.212075259028389,1.896437171502977,2.2124019453309574,2.26478763654869,1.8529670143638983,1.7238650473458323,2.1136996759824562,1.9573597658875073,2.051780928584818,2.151778833684074,2.299267124902095,1.821194400933388,2.2419647925739477,1.9599427166120706
Catalan,2.5681420914727897,2.4619451011219953,2.2396947498720827,2.4763306884798126,2.3328792665012266,2.400542139829798,0,2.3549810360303494,2.4936955435350288,2.63905123837012,2.404590690896547,2.37318200122728,2.313470119622622,1.9931901731040587,2.5116895693762586,2.4481696567700792,2.5892125306432447,2.5945128757650466,2.407271893392517,2.608962621650006,1.913350843590315,2.555466151720489,2.203626500919054,2.3451575725082945,2.550239556355341,2.2714439736282204,2.591965297431334,2.5274851673710708,2.3415297852694623,2.334920122107605,1.9662208420507061,2.1852619480960556,2.389537381489916,2.399427210149914,2.280510523940897,2.452677321563658,2.5308517560440027,1.8293048223355686,2.391000809036055,2.310555319488359,2.4450390152616928,2.1540939043361083
Croatian,2.378910272682303,2.2877539433937235,2.0463842117998934,2.3082735963179757,1.3482032162924547,1.642902539310786,2.3549810360303494,0,1.8210096213213058,2.412421507928127,2.2560104417175646,2.288830360915979,2.336654837905533,2.263693898151455,2.321877929123864,2.2487781458905958,2.4126590376233668,2.398548329343246,2.211691389079626,2.503102099711148,1.972092028118982,2.283817674685587,1.913396974524187,1.6343325907640511,2.3997440843970193,2.0898455502058244,2.4683930598670463,2.2989877287879903,2.1333594714662882,1.8002159116851157,2.1957954458227507,2.198570980828158,1.7994943850360317,1.3237966350466999,2.037484786383839,1.7883463808274094,1.7826667336461102,2.1093510867159173,2.241966348940917,1.6818394062789082,2.2280751377290136,1.9418953831678976
Czech,2.424702944778656,2.388061284464632,2.1760341624852457,2.395373092298328,1.821604345059762,1.9681725214271863,2.4936955435350288,1.8210096213213058,0,2.451475540153095,2.2924707838423894,2.3440449136097095,2.4166486384199692,2.399531501894283,2.4166698658823065,2.415455149547272,2.5238989588096943,2.5254738223506,2.2900977361785735,2.5735750891078344,2.151609848053,2.2731849535038413,2.05051627425959,1.9485092669572388,2.547912997381331,2.152605918089948,2.526133106586125,2.3831611313197656,2.2247565133684617,1.809510477630967,2.2620838601849838,2.3552273836101647,1.8751884192253676,1.8497702580449,2.2157745321641436,1.5917168564015245,2.0815532657085267,2.22971668565255,2.3443721750081816,1.7969778220910144,2.3042468642792704,2.0289567218362623
Danish,2.3575034147900955,2.577651799045233,2.3276281112442545,2.625129139947714,2.3543592120861234,2.4842920142757765,2.63905123837012,2.412421507928127,2.451475540153095,0,2.2529621239734636,2.184761684195885,2.516337226697731,2.5021936427124336,2.2268718339175475,2.5521389013802973,2.689260102479555,2.652120667212175,2.1212478453942936,2.635878444124784,2.259212923682059,2.616043000833628,2.3266864998285968,2.464172043438844,2.6935400974316175,2.243058186572107,2.1446378807037405,2.5315222414636267,2.3947396304895303,2.392074137133551,2.4031124374377697,2.4839473886527585,2.443167501138585,2.475609209207457,2.3346291495910982,2.4814654747835827,2.544389446507943,2.400525112853052,2.069123164260104,2.3778989061360245,2.4825392584118307,2.1024057936998757
