,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.13846200229509137,0.12209808617049854,0.16616669205914358,0.1321001454400608,0.14702999068232117,0.16718963744523535,0.13910840675339212,0.14071206193326347,0.14069707158906775,0.10364525566932033,0.12432171077655291,0.14755864654349254,0.14214990181682158,0.1324998731104835,0.1404324854504955,0.16602491591705235,0.16079264483298705,0.12473440875438319,0.15187524450633902,0.12713463234918285,0.14424745356513535,0.1464301884880401,0.14052584831825327,0.1607369823184523,0.12251577585670771,0.1455601289403812,0.13566791988777596,0.13002011074515962,0.1374739675735795,0.13755840321697607,0.1401700631243767,0.13533390872164183,0.14075954316726494,0.12552156573353387,0.1436492005337653,0.14605759894708106,0.1344338810196184,0.13587534613118432,0.13661268842579366,0.14412446165078688,0.11870782528749184
Albanian,0.13846200229509137,0,0.11724125387326076,0.14681568880535156,0.12695113530508717,0.13325803741874906,0.1491207250896916,0.12504866202024956,0.13183491377317239,0.14385110866434594,0.13021712991474022,0.134485523154123,0.13097483625543824,0.12656795297898255,0.13992306829553416,0.12506591921100377,0.15277647256426155,0.14998158712174045,0.13125442804245022,0.13905829633051597,0.11627340204622091,0.1406669744837929,0.14005171960902735,0.12938013395634657,0.14329659720999913,0.11252743425943036,0.15245952446264163,0.12472675725968996,0.12132952250807423,0.12889851269131286,0.12253129343662016,0.127797433150259,0.12740895739531394,0.13160279904721964,0.10398288901839282,0.13248838846045663,0.13610521646243737,0.11838446081418906,0.13816567439691407,0.12341780846205526,0.12698900446132672,0.11459473194584374
Armenian,0.12209808617049854,0.11724125387326076,0,0.133588458009101,0.11063782166833566,0.12238866778394684,0.136093495414154,0.11611958464317283,0.12315124442110933,0.1302280726445686,0.12056340114874073,0.12135115411658745,0.1250466496556444,0.12130974456874104,0.122437990318062,0.11259996979637563,0.139479169155079,0.1347464268426369,0.11116112818145892,0.12785976493018558,0.10663772893820846,0.12116130607704605,0.12213736970373891,0.11849934160515611,0.13299888285572933,0.10774411843954294,0.13204988137553875,0.11657124470470392,0.10973793946460422,0.11624860922739334,0.11859385874473706,0.11609392350797859,0.11495199812001164,0.11844419093322164,0.10554894214356123,0.12031883277166741,0.12491619299024063,0.11556955045060702,0.124442985077502,0.11418535395596609,0.12132148768571781,0.10213090652030893
Bengali,0.16616669205914358,0.14681568880535156,0.133588458009101,0,0.13861903664916497,0.14877090648070626,0.1641256070458913,0.14161965553176314,0.15060052522339273,0.16327104779149057,0.15281579281629779,0.14752492886500868,0.15860403646719817,0.15285089370704777,0.15780028285432407,0.1432654298969225,0.14237631479336035,0.14037689551578575,0.15088380808963303,0.1664666052232058,0.1321403683731139,0.1548513185646752,0.1522837553795868,0.1420413158133787,0.1422442293849045,0.10968574205321548,0.1741554948694607,0.14898527133594247,0.14189172472204123,0.14077462972029858,0.14602142446144184,0.14554055348584788,0.1438369747573831,0.14516730526879465,0.13081004097529292,0.14789759471355252,0.14932054777600684,0.13923527957135018,0.15215927564430842,0.13803778830343771,0.12697955726938234,0.1310001072963106
Bosnian,0.1321001454400608,0.12695113530508717,0.11063782166833566,0.13861903664916497,0,0.10249349872546333,0.14590859221956073,0.08051546124775444,0.10280579742017257,0.13514214615029352,0.12538929038707058,0.1284565778668195,0.12988665180084305,0.1320256957907148,0.1275770279023784,0.12137995674027517,0.1433625531024947,0.14146253172487833,0.12095697939866067,0.142233499815808,0.10840433407552197,0.1131473515323391,0.11208864990146168,0.08823433142871813,0.14261173118067286,0.10887854362384715,0.13981432486279416,0.12911579358541586,0.11669007301614315,0.09237882400177493,0.12302229377582456,0.11860823446593119,0.08940046636385056,0.065655687308175,0.11481934714569651,0.09674979682325607,0.10175896560829796,0.12069051642288679,0.131263278741857,0.08697198835845286,0.1272106099364871,0.10814253982678347
Bulgarian,0.14702999068232117,0.13325803741874906,0.12238866778394684,0.14877090648070626,0.10249349872546333,0,0.15129726541540547,0.0917915988735539,0.11327175547387384,0.1423353648489862,0.1308245039077039,0.13406839871453438,0.13651550063875836,0.13662950601787321,0.1396446072259692,0.12529597753164334,0.15322811198239092,0.1496344205456559,0.13387658421210646,0.14682302070211975,0.1111895768846342,0.1376762093448,0.1341111325321117,0.09624337829957254,0.14935652457985998,0.1183401677362598,0.1560579516085977,0.1369535172972844,0.12758698482789907,0.10785697409012246,0.12660917375298758,0.12807435458459002,0.1066010374133463,0.10236213732936864,0.11915026768046914,0.11134886613959698,0.11837773219402417,0.11967694571355172,0.14086710654770376,0.10368679233325964,0.1296885639143643,0.11017629062737351
Catalan,0.16718963744523535,0.1491207250896916,0.136093495414154,0.1641256070458913,0.14590859221956073,0.15129726541540547,0,0.14415590779543871,0.15274435498005265,0.16285687877757782,0.14973039809012487,0.14724058560617312,0.14280603681750892,0.1261619184887996,0.15833582844001504,0.14383074386718483,0.1745828629910489,0.17204837811747037,0.15162707476734422,0.16416677709300645,0.11334108452714112,0.16039579093258954,0.15075897370167549,0.1483972208412969,0.1654002628343078,0.13523347819054757,0.1658954646798265,0.15682785307786698,0.14448452996858913,0.14203869478909328,0.12253116797264146,0.13269735619651707,0.14646649564109515,0.15204429401709382,0.13899133340887915,0.14961742197776634,0.15544194101501693,0.1130665849436762,0.15439390267409886,0.141020512342843,0.15310189320563988,0.13002557910482831
Croatian,0.13910840675339212,0.12504866202024956,0.11611958464317283,0.14161965553176314,0.08051546124775444,0.0917915988735539,0.14415590779543871,0,0.09782462871470825,0.12993123538625928,0.12428230879213413,0.12788962541251242,0.12492656969255223,0.12777082091247535,0.13239798968487768,0.11518417722452509,0.14776123622767778,0.14520955335278585,0.12717804111733416,0.13835380592811292,0.10568568015189972,0.1306286203917928,0.12685311274583852,0.09521917176702784,0.14121234670249838,0.11019392716803135,0.14527182600257302,0.12609830462344546,0.11837793796052883,0.09882517436614385,0.11885723236850988,0.11916558291669208,0.10037342313179241,0.07793495789123225,0.10845243790823134,0.09672803387449505,0.09787098086324178,0.11156552118633302,0.13016285017902235,0.09074881780838946,0.12379656332045708,0.10366253968899708
Czech,0.14071206193326347,0.13183491377317239,0.12315124442110933,0.15060052522339273,0.10280579742017257,0.11327175547387384,0.15274435498005265,0.09782462871470825,0,0.13576263981144565,0.1287711095570557,0.13172602750961104,0.13071107857661393,0.13654642415978363,0.14005458872496518,0.1265066387445002,0.15351753022901707,0.1511776984189413,0.13116237772234599,0.14493010830470612,0.11710263495390097,0.12845666274157827,0.13094653734399928,0.11290937689466238,0.14979214263129856,0.11742875531500022,0.15028163553074503,0.1317259918364796,0.12426210118216365,0.1016726582498163,0.1252510261892223,0.12963259209916272,0.10599719247081597,0.10534026773269402,0.11951741519258799,0.08960210553002815,0.1159420963846804,0.11968069295727479,0.13909906022312143,0.09896033413156696,0.13040688356244456,0.10985432560404727
Danish,0.14069707158906775,0.14385110866434594,0.1302280726445686,0.16327104779149057,0.13514214615029352,0.1423353648489862,0.16285687877757782,0.12993123538625928,0.13576263981144565,0,0.12787299405403413,0.11999799584773378,0.13767520479794568,0.14224153980748824,0.13128720201142768,0.1314156879921603,0.16945669262652302,0.1599568114691478,0.12147584678381478,0.14730127035537,0.1233622631270733,0.15426178417710776,0.15414171140685626,0.14221925375944436,0.1614543044934277,0.12087757273866075,0.13109798326359648,0.1402462011041026,0.1350847828620612,0.13502175625507368,0.13023019826684634,0.13637814991712913,0.13728353315405728,0.14232117286216467,0.12742893286309045,0.13582938021251015,0.14196636564056375,0.12499170392513856,0.1256491209482319,0.13164193515284894,0.13922967162797967,0.11332122357226225
Dutch,0.10364525566932033,0.13021712991474022,0.12056340114874073,0.15281579281629779,0.12538929038707058,0.1308245039077039,0.14973039809012487,0.12428230879213413,0.1287711095570557,0.12787299405403413,0,0.11100461959028969,0.13501854308687278,0.13452148330305144,0.11467925910329574,0.1248597201318772,0.1530308950685119,0.1504078948572124,0.12002741455227316,0.14097519274321077,0.11762471857453297,0.1364495749281702,0.138793836323633,0.12746544318344297,0.14774816858493092,0.11625728749390063,0.13356474660628634,0.13126744880277608,0.12260993595071644,0.1290210784949785,0.12352680941910475,0.12980788623931103,0.12805300802784111,0.12998772158782188,0.12072572759442243,0.1318672744275246,0.13247580784123722,0.11950361381241843,0.12183884445667549,0.12436132719504421,0.13133728434127334,0.11034754762478262
English,0.12432171077655291,0.134485523154123,0.12135115411658745,0.14752492886500868,0.1284565778668195,0.13406839871453438,0.14724058560617312,0.12788962541251242,0.13172602750961104,0.11999799584773378,0.11100461959028969,0,0.13370392358848893,0.13292016398913575,0.12276196764754876,0.12921268174137263,0.14978516836419972,0.14896004870996882,0.11874384055647087,0.14018677412739694,0.11573671015042258,0.13939213422529767,0.13918333265429472,0.132549468443273,0.1467154626336026,0.11495789231784916,0.13121351704266473,0.1349178668721638,0.1249202361262003,0.12802478225204628,0.12462935824887164,0.12922225581373487,0.1296806719921714,0.1347064232377675,0.12331666890091553,0.13233263161131695,0.1368558298445585,0.1215003874043726,0.12067278695032689,0.1263472286956659,0.13105505007896961,0.10849593736939099
French,0.14755864654349254,0.13097483625543824,0.1250466496556444,0.15860403646719817,0.12988665180084305,0.13651550063875836,0.14280603681750892,0.12492656969255223,0.13071107857661393,0.13767520479794568,0.13501854308687278,0.13370392358848893,0,0.12428784602077383,0.14389870530557122,0.12291200485093318,0.16369166427771745,0.1552588039742105,0.13691698279882125,0.14218381027002305,0.1069394183721503,0.14540633129298336,0.14996364290799669,0.13487581390305778,0.15134836234608695,0.11587559100883581,0.15405013530361866,0.13222608643842315,0.13084655531074332,0.13139294693123293,0.11609547068375366,0.12621391493839734,0.131604948705424,0.13568224400237208,0.11930878117833572,0.13331122518503669,0.13552218663134827,0.10862593326156253,0.14614739261978832,0.12673396616164023,0.1338535085223776,0.11033611433935969
Galician,0.14214990181682158,0.12656795297898255,0.12130974456874104,0.15285089370704777,0.1320256957907148,0.13662950601787321,0.1261619184887996,0.12777082091247535,0.13654642415978363,0.14224153980748824,0.13452148330305144,0.13292016398913575,0.12428784602077383,0,0.1433776148976474,0.1274812056645125,0.15956055648939493,0.1544447458878671,0.1304959156973888,0.13956782110717572,0.10325041684608481,0.14833259360339723,0.1481555208978777,0.13214496757372166,0.1491841754744314,0.11662550260755124,0.15398001409485107,0.129538129189312,0.12419901270338314,0.13306374605828708,0.09539269749673994,0.12153186240024932,0.13180570090236143,0.1360607849552894,0.11373262983555965,0.1360910036556722,0.14082378996093264,0.0823922518198047,0.13768280058509336,0.12834997336723397,0.1341549575712625,0.11563307380782666
German,0.1324998731104835,0.13992306829553416,0.122437990318062,0.15780028285432407,0.1275770279023784,0.1396446072259692,0.15833582844001504,0.13239798968487768,0.14005458872496518,0.13128720201142768,0.11467925910329574,0.12276196764754876,0.14389870530557122,0.1433776148976474,0,0.13058844991748653,0.1602317958010811,0.1533795130202461,0.12403931928731197,0.14993879689406697,0.12022725384327639,0.13941788973232833,0.14216650694104477,0.13517192227081118,0.15422790626292898,0.12360288690483069,0.14342562531380945,0.14122058794577436,0.12936133076550455,0.133022329775641,0.13757177933369302,0.13384224506891135,0.13519448523006497,0.13593917637459485,0.12949096741955543,0.1405457638747581,0.14175168106728084,0.12967168295274606,0.13033460830488025,0.13077540281474342,0.14049387246533945,0.1166194919595894
