,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,2.140263477830442,2.0017300667333995,2.345734200614336,2.0887773690566602,2.2478843756657017,2.4164632869522906,2.194839552985297,2.2697028674501745,2.205762666158125,1.6841236637884598,1.9944131823265343,2.3242267022603036,2.182535178384617,2.0520247513773286,2.383011081618913,2.3779786458443666,2.405157153702831,1.9866452551447438,2.3683001847567984,2.13143932607848,2.23887245282941,2.044253688007435,2.1756790325753492,2.3758511795624817,2.052435598338089,2.1771300200635477,2.165217529637482,2.0574847242624976,2.192287730699064,2.192131780875755,2.295190977389721,2.1532767091680594,2.1905005250816725,2.0157745686386086,2.2978525949470647,2.3330702362564377,2.2262993673500104,2.0352828407776653,2.1597913267545525,2.262945130305903,2.001179007357218
Albanian,2.140263477830442,0,1.9336387469052707,2.1568991427731485,2.034905367656655,2.1842095763727714,2.2890045520489632,2.120750030056139,2.231936308260462,2.3379134551637852,2.1717245927062305,2.213941315641932,2.2165772133837587,2.025179941687701,2.2166613663850394,2.253770958141652,2.2293718621152614,2.2777470218772713,2.0965011701836973,2.2558079054948723,2.0576725138071814,2.1811166396882915,1.9348406838149834,2.0819178048616247,2.1916418555650496,1.9147637860144917,2.335885652007917,2.0504315722993,1.9608220096082531,2.122652221646938,2.0866359791308717,2.1821432480238188,2.0835641787500028,2.1172690762576267,1.7500275375432102,2.197477118501317,2.255546675749378,2.1050571986737197,2.1624111533506105,2.0456674061463076,2.096712041595108,1.987871673249587
Armenian,2.0017300667333995,1.9336387469052707,0,2.0198753622531944,1.829118197663987,1.995873660126168,2.108521368549685,1.908669833132371,2.040453525688478,2.13219914230823,1.9960083008598553,1.9723935601570035,2.0686328275100148,1.9843433696879378,1.9896463488181468,1.9794595716190528,2.0853734732456677,2.0792303129863514,1.8447041619435338,2.1177417558282983,1.830122702644102,1.943949208132852,1.7530057045591445,1.9177545628678423,2.079131596425281,1.849102926961228,2.09528204873904,1.9408210597718734,1.804311698707351,1.9067915131444557,1.9593261234037274,1.9670699325044658,1.9069556648525596,1.9309484316048733,1.7717564184265726,2.013555941349315,2.0553411051698123,1.9711449176388056,1.9584687653034454,1.888968584546131,1.9822633053093874,1.7396467362757777
Bengali,2.345734200614336,2.1568991427731485,2.0198753622531944,0,2.0849900885489836,2.218307572882939,2.359659475473195,2.168165207417679,2.2714164758609257,2.4406461388214082,2.2677245320120716,2.2125911816038366,2.346945585970668,2.2461217610777826,2.2943175071018596,2.2767282606109505,1.9661093197406134,1.9735554261656891,2.228191333394595,2.431636446692353,2.073786569203876,2.255196716413708,2.020912990557108,2.1381125511080907,2.0461264898070626,1.736034140346691,2.4647495198238043,2.215084526744143,2.107653052864987,2.1236007548488542,2.195290730133869,2.25143699207967,2.186406558077246,2.176629714892635,1.9699759878575795,2.2778805822755595,2.2883744255860026,2.1581466032195413,2.235704732591229,2.136378114260327,1.9235606688938662,2.037456823471726
Bosnian,2.0887773690566602,2.034905367656655,1.829118197663987,2.0849900885489836,0,1.6924271979622751,2.2115335766158597,1.3486563323124192,1.7771763429894252,2.2009144193129138,2.041289026932481,2.0606688571131886,2.144546704063214,2.080822416219838,2.0607611089721884,2.1135461905767965,2.1501046308296177,2.157454370823005,1.9618244394757713,2.28426725836922,1.8500975969771782,1.8732676239337471,1.6703709514286649,1.474560288419147,2.1859277670147255,1.8856697709919603,2.1894817130767583,2.091364225833916,1.897527907269861,1.5939757645735433,2.015885277227029,2.0092561651928236,1.5469400590953917,1.17752572274943,1.892106499136208,1.665761135255835,1.7366563035219018,2.018598299821307,2.0524607844830456,1.5172159862370356,2.049820453843579,1.8417557864471708
Bulgarian,2.2478843756657017,2.1842095763727714,1.995873660126168,2.218307572882939,1.6924271979622751,0,2.2956711911361487,1.6742049785821658,1.9431678515252004,2.3466034737178956,2.1549689825072647,2.1530201508925977,2.2773641766851043,2.1667425387125743,2.2252566895978036,2.2238590839700443,2.2663631871027987,2.2607839970995096,2.1273074740401885,2.3694795017198356,1.9474717917988194,2.182256543527368,1.9204005253536836,1.6145455224559908,2.288170916215688,2.04466936288349,2.3797223963767404,2.2168535531760987,2.078818580762683,1.8522610118787726,2.1243633566685625,2.1720149229443626,1.8041768341704187,1.7191219594144134,2.010284406313193,1.9277061883749995,1.9748254066115236,2.0839172203982077,2.2076993487609786,1.7953033794467017,2.146994947869667,1.9045524264728382
Catalan,2.4164632869522906,2.2890045520489632,2.108521368549685,2.359659475473195,2.2115335766158597,2.2956711911361487,0,2.218374434518817,2.363091572387381,2.449725509681504,2.2862328796083657,2.2225602440768952,2.207450727533715,1.9473731748125545,2.3524194153289546,2.3448129057835225,2.424186968881589,2.4220470971899317,2.2839072067522452,2.4667716081126736,1.8729016568457821,2.4297731194339462,2.1079730594828407,2.2462201221597775,2.410308327062346,2.165228244741922,2.43400277684688,2.3755374564062297,2.200447171769005,2.2146418848222695,1.92532344251319,2.126756210109396,2.283334990145346,2.2937355777898203,2.141951201495667,2.3437689888203264,2.372112562092494,1.831993147169097,2.274401006714668,2.2159324119290615,2.323516086339239,2.0656715172573255
Croatian,2.194839552985297,2.120750030056139,1.908669833132371,2.168165207417679,1.3486563323124192,1.6742049785821658,2.218374434518817,0,1.7934096305538643,2.2390344842744008,2.113700204161878,2.112387035771735,2.195966453256307,2.1179355262639064,2.148152578100779,2.1332680668083484,2.1999526991648204,2.204811026974647,2.0637928391415366,2.312690680669237,1.890538062210037,2.131649638450893,1.802319577405217,1.6101459724425562,2.209843300272115,1.965371736630607,2.292656520432176,2.1294434671631,1.9782562617085317,1.7283963974952758,2.0723690021709085,2.0804000717476683,1.7335497840059013,1.352711877355331,1.918324151642255,1.744399181757445,1.710830893155925,2.0214587401658517,2.1174244477672404,1.6372255323339544,2.107747406699912,1.8517235381333232
Czech,2.2697028674501745,2.231936308260462,2.040453525688478,2.2714164758609257,1.7771763429894252,1.9431678515252004,2.363091572387381,1.7934096305538643,0,2.3095907882716276,2.1678956922381083,2.1900788936839746,2.2910156029660014,2.2704728956237186,2.2703886902909507,2.3046060549198355,2.3409740939983625,2.354137653725493,2.163846725484662,2.4009912706178396,2.065780429445746,2.134899943593899,1.9318039517282508,1.90331618077092,2.3654604522447955,2.052842300171454,2.3734380107658004,2.2357464530629474,2.0986120122731435,1.7766637347997525,2.1714720305456834,2.2599035990745318,1.8498406716964826,1.821051362516695,2.0835750349686104,1.6296944439817749,1.994975709083495,2.135363757097742,2.2359908573655094,1.7833502438316418,2.19727879627936,1.9497695747574895
Danish,2.205762666158125,2.3379134551637852,2.13219914230823,2.4406461388214082,2.2009144193129138,2.3466034737178956,2.449725509681504,2.2390344842744008,2.3095907882716276,0,2.1393458563240406,2.0501148348745075,2.3400044774810773,2.300835736832599,2.1107591755950192,2.384438059367732,2.4520831418873574,2.432222114845161,2.0110697245443467,2.4143068539823327,2.135306837531145,2.4329575917045645,2.1697233325474126,2.306221668429953,2.462549774519304,2.0967372126454538,2.053194203919105,2.315898774954024,2.2121464598527103,2.2325335917031803,2.2394215307446577,2.333743847690019,2.284203913590517,2.319461001367455,2.1376124830725685,2.3284043374515635,2.337338833625569,2.2457704281328423,1.99573411669034,2.225074940293194,2.3197381897435134,1.9945814144091976
