,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,294.38261039417836,339.34543660885043,325.37712057536936,329.836953639892,307.33950667472953,321.0893113286847,307.74207710488633,310.23303619693274,256.74225774855654,219.22617464844544,280.95830088070585,293.40062745579536,284.3588973644682,274.039534656906,316.46222832811446,337.4622714638336,345.0352749477444,279.4994362627458,279.23039117144714,336.8865848494045,332.03604543986995,412.57265101267984,316.53629169473754,317.192025587086,304.8251815660897,269.24379738377826,287.7831285652737,328.00264057991717,357.39466220210653,296.0341218449156,323.9168285461021,320.22955858274776,315.290402103655,296.1296169134321,301.73763277434153,318.4488383452017,307.09489004755875,282.2873248270182,321.84569188967413,313.1791830677121,327.7664129309594
Albanian,294.38261039417836,0,340.0544891712313,323.7174783523104,335.4367175945929,313.5418085173655,321.502955154384,314.0377100090941,323.9645732482937,296.75335631716325,310.63718748478044,330.4708518496117,289.7352083913393,284.9251779952293,318.80911970458897,313.82479451572715,345.7744795648784,342.6407471061688,313.3597794168103,282.95580194321013,327.8052080782669,343.97412840543603,415.93009245655213,317.6697139917397,318.55023000413127,302.97816649653106,311.67853375112577,291.65203613690045,332.26817312567164,365.38537027492663,297.70333139430795,319.72141555268126,324.7864542626076,324.34161800923,286.19401263604317,310.2724493998099,323.10994561012495,304.35778326889636,326.58035102744327,322.0509263065712,311.5054148599744,332.59649162116904
Armenian,339.34543660885043,340.0544891712313,0,363.4736457189516,365.8364919356267,351.65401793089455,365.6603954176179,345.0928414827629,359.84271661715553,347.4018070929244,354.3188002693283,368.65130011657055,346.8690075238028,335.81357451498263,354.89103688169104,352.53455464408233,382.9972105625306,384.86775981625067,342.7792362861462,334.40255025274024,370.2720774531218,369.40311123067704,422.8260655409371,354.933751472694,363.7393805133107,352.46932738246693,351.51112919930017,337.00079404256843,352.98583503411925,390.5698893506426,345.9110780587548,360.3109254758099,360.6150262135116,352.7926152670635,335.0498025078313,346.7931086194891,366.7392186573626,355.0778272902097,357.3912787043637,359.4784079824194,356.45609633924016,359.98995458233907
Bengali,325.37712057536936,323.7174783523104,363.4736457189516,0,355.16687257999007,327.05763105471954,340.311601905896,330.7821148331292,339.8856825524426,326.25594959812594,334.8343605851682,343.3214416148378,322.2618542403229,315.0807141421833,339.1940727225025,337.37425560470183,294.97156917903465,293.0593402184482,337.7107879576263,317.3917879036361,350.8138879866336,364.8516830120191,428.3331270967823,331.9918972718834,291.10205043982126,275.89296829967384,332.5876816851991,315.080119486551,350.5600495966116,372.28288901443557,326.5713833419132,345.05161404848315,347.0931359088193,337.38503104199054,313.12866849578745,328.3932159770194,335.4792199136248,326.44297303737375,338.91666641888384,343.85687470099003,284.6548477935329,359.41310048660904
Bosnian,329.836953639892,335.4367175945929,365.8364919356267,355.16687257999007,0,275.5148357875626,361.6729515526398,205.25319362632757,289.0007502167221,339.8451546292999,346.35394875955154,370.19689190134835,344.3424526235299,329.55804286383363,349.6108787320189,354.6746555878474,371.37151967053234,377.34004661866436,336.0898666313787,341.0240693789153,351.3095862891527,341.05414689451874,389.0831811926851,249.1375850839086,360.9551465347185,347.12160001478514,343.7239295931771,338.0201026683306,351.4257077119121,308.9794349229048,342.9338093748829,345.7162590123386,272.91821034620205,184.96495572446045,330.29813446178775,266.0927521434088,282.13993839197644,340.8491702326228,351.1264845253624,266.78258436996674,353.45660030433277,368.1970884353911
Bulgarian,307.33950667472953,313.5418085173655,351.65401793089455,327.05763105471954,275.5148357875626,0,325.90109180297327,249.0457224603857,286.7593109845995,311.24911328536797,320.9749412227626,337.9338797304205,314.809551222594,298.26893671035066,328.2563363686883,323.2622506963207,340.1129059290075,341.8297641726174,322.02600281901437,306.4569336105294,333.68339332597964,346.0308986479052,395.7221191737388,243.38630833849058,327.2218967150786,318.5515262376695,321.3146783104182,314.17928144277704,339.4831338442784,318.7148208799007,314.03484108371026,325.0274521232054,285.7582919090619,260.17637887297826,306.9216062963073,268.281512591463,286.5868185260261,309.1441396161759,327.51647092916966,288.2889064414927,317.0805064279979,339.9596668743474
Catalan,321.0893113286847,321.502955154384,365.6603954176179,340.311601905896,361.6729515526398,325.90109180297327,0,331.7796276162621,343.5963996773743,315.31260754181113,329.9693912333443,334.7864064255764,288.06543317928725,250.65896283731317,337.98515539065744,333.82084590495253,359.6261163054649,358.9096145478408,333.9829632653491,313.1732257228457,303.66321274286656,369.0108762406088,429.4282374988318,338.71814884288636,337.9670804068779,334.5068768344319,316.78483200720626,323.05987223401013,353.2518019101956,377.5503584073527,272.35629209512604,311.59963520250176,352.1167441156686,341.8308884304434,322.8933071003184,326.88133449037844,340.81127458822215,261.38596462112173,329.85334963413413,347.86419701884324,336.2390574781918,358.4699294464519
Croatian,307.74207710488633,314.0377100090941,345.0928414827629,330.7821148331292,205.25319362632757,249.0457224603857,331.7796276162621,0,269.24310179319235,311.4152102367889,323.1153983995313,342.12399730526465,314.88497753240426,303.22172754779945,326.48761067546945,326.6231593139355,343.4040537120139,347.56651767803606,321.08095988151945,308.7688213685611,330.77676482355787,336.1766379496249,376.9274015338583,250.7887558623168,328.9598820589411,319.87596343459137,321.42066290214535,311.58837513602725,331.72040195109736,303.86312985462826,319.7454277470122,323.970038812118,273.92222359737264,197.3405256523189,305.7498060939845,252.75839098001762,255.60547806696812,314.3860328896029,328.55648600296513,265.87291281515274,324.4568845207386,340.6398084169657
Czech,310.23303619693274,323.9645732482937,359.84271661715553,339.8856825524426,289.0007502167221,286.7593109845995,343.5963996773743,269.24310179319235,0,313.4392709833963,330.4242250723283,341.3200942722971,317.37443015641065,308.93926187704045,338.38140526727364,340.0999451600726,353.0883330453278,355.8745868251421,327.4439784236269,313.7711941147865,350.0180513755243,338.26317601631587,399.18396808251254,293.64576764244595,337.98635454686786,327.61431168062916,327.8749969673059,315.6247607946124,343.03011676174145,302.88886531491,328.05812112559795,334.6317949428199,289.2164467000312,274.73151996073534,315.51535087580487,222.49747258969123,297.4842438563915,322.4887485215604,338.9865107442805,280.63781003066134,328.5197572099628,345.33524200612146
Danish,256.74225774855654,296.75335631716325,347.4018070929244,326.25594959812594,339.8451546292999,311.24911328536797,315.31260754181113,311.4152102367889,313.4392709833963,0,281.3045088216293,281.9811440781817,287.29601079050985,280.09312562357,275.01769147658973,319.09591364137924,335.38989374936085,339.15601077998105,267.4235898563706,267.68550385685137,337.170827714839,349.6938012906618,426.2795570976379,322.24474228349686,315.23252619067785,303.15720388284126,244.7651153698975,286.5925100589486,328.8437245907046,362.8526789253563,295.4095023347526,321.98130793509387,327.8642376150114,323.49641906249707,293.42371366242,303.01624854125754,316.4724750742566,300.4934084991057,267.0430804678977,326.2212045611772,308.34365766254007,326.0531381359113
