,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,4485.921211302602,6107.4364159001825,5466.107237090814,6269.270633894214,5952.263135905215,6181.314535265305,6425.103203762776,7036.699453342592,5230.952271254683,4501.207535816831,6099.077129769393,5569.064504055581,4636.827331881793,5245.616380645847,6973.016053908555,5976.842859717172,6794.430107268303,4534.131368964334,4999.147195861546,6856.041931851854,6616.572034246816,6352.062593467689,5581.595875060427,5526.033767349832,5330.7995235161425,4831.747645162586,4982.011175252539,5444.472086417888,7879.160438988404,5881.716860748871,6294.109977159905,5882.3167224642375,5648.3126392817385,4724.568443024503,6358.7599184865885,6903.930912756569,6705.264185052008,5080.42887947955,5942.367970845174,5707.55067120165,6593.225904751719
Albanian,4485.921211302602,0,5980.533595695741,5413.528441145889,6282.587205833054,6138.6137067455675,6444.353636647715,6639.831655024771,7314.746253119926,6076.040817674718,6190.071481738095,7199.653288211804,5744.0087442173335,4609.242975836884,6120.354566000975,6938.358030261707,6061.085982923784,6849.046985305976,5122.069908268182,4979.3701204066365,7058.345423500055,6728.8009663103185,6448.584897729482,5648.105248519927,5585.463233134551,5232.892717554138,5728.612105842614,4951.655127730453,5340.677557354939,8038.034977932728,5964.121341725139,6365.031300958747,5807.196929573565,5762.876387606612,4369.697261810373,6472.545939011022,7211.657621421645,6777.825802310825,5918.088018158273,5853.515427439542,5709.3528998498305,6666.57581603197
Armenian,6107.4364159001825,5980.533595695741,0,6732.94577891054,7221.39652799914,7295.833364262836,7488.045297455336,7472.9518479614935,8107.2152483636855,7444.139987347832,7395.267163846319,7898.052306958393,7087.667356444979,6266.426777400072,7215.674793057131,7930.0480474982005,7168.517313816774,7850.808397917424,6396.2296716520195,6564.654438691552,7920.979118548283,7483.670243138081,7142.399906131951,6745.295501735138,6906.092452780396,6573.206193717709,6966.22574280712,6319.682550331729,6477.908742925827,8645.856362034994,7108.184643183573,7485.527126472552,7033.804849229588,6784.1374109789285,6126.3233218531805,7478.685847258198,8108.256405631633,7870.768549401285,6942.70328783927,6984.903805226099,6849.216282711521,7506.691467619784
Bengali,5466.107237090814,5413.528441145889,6732.94577891054,0,7072.105433672333,6485.227611770168,6583.781938979081,7060.200087418835,7540.409014988948,6788.964978672083,6547.439067041326,7079.011112650543,6241.272555846842,5625.447094736639,6581.080524504859,7176.274227306399,5466.699353167832,6096.0563452341,5930.723594746556,5757.760201838962,7298.93317800746,7434.828837997743,6934.884189710291,6281.854110213206,5334.775238961899,5180.38974561469,6287.376186742381,5720.816413557911,6127.641092645282,8125.279474200223,6253.628573609316,6924.164057372095,6667.655431684062,6362.566911224215,5507.335534641654,6969.661923452257,7604.821906583407,6779.158637599828,6330.29600582931,6629.545592486394,5396.187897096925,7043.74502191997
Bosnian,6269.270633894214,6282.587205833054,7221.39652799914,7072.105433672333,0,6187.436215702643,7739.765647932011,5141.4688086601,7182.57432417416,7477.548419867869,7499.014186141615,8312.407326297362,7201.683059477997,6524.637329799683,7553.942111287112,8226.830965154724,7612.122875518987,8225.642110619232,6666.79765652754,6995.303788347266,8042.285894391006,7213.592044732321,7388.006669994273,5067.1873676190025,7312.3889988811125,6856.922085300667,6844.916173148674,6739.046822227881,6847.3089980319255,7513.060780776869,7458.698030574816,7714.071721746806,5699.736415675919,4058.1879361098177,6398.85209043713,6166.917588788069,6567.333063561456,7997.842238065971,7183.659209162484,5747.821925646949,7145.934907869361,8041.842646493935
Bulgarian,5952.263135905215,6138.6137067455675,7295.833364262836,6485.227611770168,6187.436215702643,0,6782.315197128032,5701.289624595028,6708.665379067295,7004.8130703878305,6960.4378737650095,7288.606661780862,6652.090547968976,5830.449995200554,6979.097481534369,7457.8023019014345,6749.73831036475,7275.283711171439,6345.211850769493,6416.1141897377875,7268.2111702478105,7693.5511612479295,7371.870352808048,4950.188737352138,6457.200474744931,6636.288675023075,6626.149857599541,6312.39660926631,6689.200690593028,7650.139765739924,6845.352842903651,7110.874918042979,5983.400101192952,5362.447599865022,6127.296439180845,6149.8540330745245,6580.674496488701,7123.004304017817,6707.020483352993,6039.452554140303,6483.774118342716,7177.290379597553
Catalan,6181.314535265305,6444.353636647715,7488.045297455336,6583.781938979081,7739.765647932011,6782.315197128032,0,7403.4690639075325,8040.8759347882215,7110.626332589301,7089.135441674427,7242.992207195766,6278.262846817737,5257.707973291628,7077.132778782051,7521.469051538383,6769.612180554916,7288.28206360819,6575.386772136205,6407.286084895923,6393.8496662097305,8131.6291321878925,7681.824598578258,6808.857509480388,6484.781699853804,6882.640785838761,6620.4091177167575,6611.875938886271,6995.11433107606,8759.515724049706,5659.7627160144275,6872.60153412782,7247.6988412050005,6938.820982595258,6480.302823239221,7442.678162091647,7882.262015590543,5713.272181431793,6727.56677599181,7184.321573235543,6691.849134995776,7391.00515279592
Croatian,6425.103203762776,6639.831655024771,7472.9518479614935,7060.200087418835,5141.4688086601,5701.289624595028,7403.4690639075325,0,6579.687955733153,7396.9470609923355,7408.385682926985,7931.303300732055,7198.825483631395,6536.936654754284,7437.4512814414575,8039.796195482323,7327.911936069202,7830.3040117751525,6811.062716159313,6940.838726672312,7863.655426646552,8087.219406984324,7626.4894578827825,5443.262336911315,7083.5779131250365,7026.9846749940325,7050.672419647255,6743.287373125435,7026.710943112881,7749.385331274085,7313.079076464721,7655.535743503096,6238.082148664122,4474.251591645715,6693.875016393517,5967.381685767116,6290.693692151361,7725.279239496249,7242.367593467307,6077.166507183337,7031.950580712743,7818.586688167104
Czech,7036.699453342592,7314.746253119926,8107.2152483636855,7540.409014988948,7182.57432417416,6708.665379067295,8040.8759347882215,6579.687955733153,0,7709.1546825310525,7836.191578858839,8467.563598575296,7779.795904310989,7153.682947699145,7889.085176428422,8564.747923506227,7889.51400850405,8379.151530305406,7392.116209264805,7410.893275359838,8378.059721345768,8435.695417318584,8366.1246941617,6710.605316182617,7636.491015503661,7517.263666852915,7601.331118545816,7269.283677935385,7577.497999109629,7767.674561569489,7800.753661133088,8177.336521748177,6850.182817359034,6507.111275166682,7375.629788969108,5599.1469796743895,7197.976207772211,8212.242298666357,7851.420132285854,6580.2445937424045,7586.353885997796,8283.097716057075
Danish,5230.952271254683,6076.040817674718,7444.139987347832,6788.964978672083,7477.548419867869,7004.8130703878305,7110.626332589301,7396.9470609923355,7709.1546825310525,0,6378.937141064811,7216.6054082256,6667.567154788864,5942.108878997491,6321.193030087715,7988.080217906159,7131.609274254002,7776.373158395908,5468.738290814357,6131.6402669201125,7774.4290986817405,7975.0592033387165,7902.233374844387,6819.652851756331,6774.511013993353,6652.701427857407,5234.544559368971,6335.280634281037,6735.89907705855,8780.719230202409,7026.972532247609,7395.899094181454,7129.228562599242,6917.669932087003,6178.987227066138,7301.042668362181,7601.386530309858,7531.892137569942,5846.391077153336,6983.088607846751,6890.075312485084,7536.129313942561
